,NetIncome,GainandLossonSaleofPPE,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,Restated
2020-10,200.28M,-1.23M,-1.741M,-2.971M,29.23M,29.23M,6.239M,,8.913M,,8.913M,-32.04M,-8.259M,15.24M,51.25M,,,-9.196M,17.00M,,258.53M,2020-10,-147.09M,0.271M,-146.82M,,,,-146.82M,,-0.327M,,-0.327M,,,,20.01M,-0.489M,19.20M,,2020-10,477.72M,-2.895M,605.73M,,2020-10,,-0.327M,,6.157M,4.762M,,2020-10,
2020-07,165.53M,-0.168M,-0.517M,-0.685M,27.50M,27.50M,13.82M,,6.093M,,6.093M,1.751M,0.139M,-6.127M,58.23M,,,0.327M,54.32M,,266.92M,2020-07,-104.24M,0.313M,-103.93M,-8.434M,,,-112.36M,,-1.065M,,-1.065M,,0.00,0.00,20.30M,-4.074M,15.17M,,2020-07,306.39M,1.611M,477.72M,,2020-07,,-1.065M,0.00,24.47M,5.214M,,2020-07,
2020-04,147.49M,-0.43M,-1.206M,-1.636M,28.66M,28.66M,2.546M,,5.555M,,5.555M,134.26M,-1.556M,-0.916M,-37.12M,,,16.74M,111.41M,,294.05M,2020-04,-87.38M,0.514M,-86.86M,-3.268M,,,-90.13M,,-13.60M,,-13.60M,,0.00,0.00,23.06M,-0.769M,8.693M,,2020-04,93.51M,0.267M,306.39M,,2020-04,-13.60M,,0.00,1.711M,5.507M,,2020-04,
2020-01,168.71M,-1.043M,2.269M,1.226M,24.39M,24.39M,1.88M,,6.141M,,6.141M,-73.08M,1.055M,3.105M,12.37M,,,-2.249M,-58.80M,,144.46M,2020-01,-268.56M,1.356M,-267.20M,,,,-267.20M,,13.60M,,13.60M,,0.00,0.00,23.93M,-0.068M,37.46M,,2020-01,181.10M,-2.311M,93.51M,,2020-01,13.60M,,0.00,50.13M,4.501M,,2020-01,
2019-10,218.18M,-0.272M,0.855M,0.583M,23.70M,23.70M,4.839M,,5.533M,,5.533M,-54.15M,1.71M,4.079M,18.29M,,,-10.69M,-40.76M,,212.46M,2019-10,-131.79M,0.283M,-131.51M,,,,-131.51M,,0.00,,0.00,,,,12.62M,-101.35M,-88.73M,,2019-10,186.32M,2.569M,181.10M,,2019-10,,0.00,,7.465M,4.506M,,2019-10,Restated
2019-07,153.50M,0.68M,2.271M,2.951M,21.62M,21.62M,8.584M,,5.845M,,5.845M,8.475M,1.002M,-3.66M,-3.256M,,,-1.142M,1.419M,,193.15M,2019-07,-114.55M,0.433M,-114.11M,0.00,,,-114.11M,,-7.00M,,-7.00M,,0.00,0.00,20.82M,-1.294M,12.52M,,2019-07,102.83M,-8.068M,186.32M,,2019-07,-7.00M,,0.00,21.52M,4.589M,,2019-07,Restated
2019-04,192.74M,0.137M,-1.338M,-1.201M,21.22M,21.22M,7.951M,,5.65M,,5.65M,-2.659M,5.919M,-7.88M,10.82M,,,5.481M,11.68M,,238.29M,2019-04,-122.61M,0.44M,-122.17M,-0.745M,,,-122.91M,,-86.30M,,-86.30M,,0.00,0.00,12.04M,-45.57M,-119.83M,,2019-04,108.17M,-0.90M,102.83M,,2019-04,-86.30M,,0.00,21.60M,5.682M,,2019-04,Restated
2019-01,131.37M,-3.788M,-0.33M,-4.118M,20.51M,20.51M,7.52M,,5.929M,,5.929M,-56.86M,-8.372M,-1.339M,20.66M,,,-7.756M,-53.66M,,107.52M,2019-01,-74.39M,16.68M,-57.71M,,,,-57.71M,,93.30M,,93.30M,,-365.00M,-365.00M,7.492M,-0.025M,-264.23M,,2019-01,320.31M,2.287M,108.17M,,2019-01,93.30M,,-365.00M,33.27M,4.493M,,2019-01,Restated
2018-10,114.08M,-0.102M,-0.184M,-0.286M,21.98M,21.98M,-0.888M,,6.021M,,6.021M,-13.98M,-3.268M,0.614M,-6.434M,,,-10.28M,-33.35M,,107.68M,2018-10,-62.34M,0.81M,-61.53M,,,,-61.53M,,,,,,,,1.229M,-0.002M,1.227M,,2018-10,274.52M,-1.595M,320.31M,,2018-10,,,,6.053M,4.525M,,2018-10,Restated
2018-07,109.74M,-0.804M,0.071M,-0.733M,28.36M,28.36M,16.73M,,5.982M,,7.139M,-10.93M,2.741M,-0.335M,8.165M,,,-3.055M,-3.417M,,157.87M,2018-07,-108.22M,3.057M,-105.16M,1.796M,,,-103.36M,,0.00,,0.00,,0.00,0.00,23.77M,-1.292M,22.48M,,2018-07,204.28M,-6.746M,274.52M,,2018-07,,0.00,0.00,39.40M,4.937M,,2018-07,Restated
