,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,AsOriginallyReported,Restated
2020-09,894.80M,894.80M,452.50M,442.30M,341.90M,-18.70M,14.50M,0.40M,-14.10M,,341.90M,100.40M,0.40M,14.50M,-14.10M,-19.60M,-14.10M,66.70M,12.50M,54.20M,,-0.40M,53.80M,69.00M,169.30M,,2020-09,0.25,,0.3196,2020-09,0.25,,0.3194,0.25,218.50M,219.20M,0.10,AOR,
2020-06,490.60M,490.60M,314.50M,176.10M,279.10M,-1.30M,12.30M,1.00M,-11.30M,,279.10M,-103.00M,1.00M,12.30M,-11.30M,-5.60M,-11.30M,-119.90M,-24.00M,-95.90M,,0.50M,-95.40M,-94.36M,-28.70M,,2020-06,-0.44,,-0.4352,2020-06,-0.44,,-0.4352,-0.44,218.70M,218.70M,0.10,AOR,
2020-03,874.30M,874.30M,406.50M,467.80M,393.50M,-199.10M,6.70M,0.40M,-6.30M,,393.50M,74.30M,0.40M,6.70M,-6.30M,-197.70M,-6.30M,-129.70M,10.20M,-139.90M,,0.00,-139.90M,5.443M,-43.60M,,2020-03,-0.63,,0.0280,2020-03,-0.63,,0.0280,-0.63,220.90M,220.90M,0.10,AOR,
2019-12,1.112B,1.112B,500.90M,610.60M,461.40M,-12.60M,6.40M,0.40M,-6.00M,,461.40M,149.20M,0.40M,6.40M,-6.00M,-5.70M,-6.00M,137.50M,35.00M,102.50M,,-0.20M,102.30M,111.69M,222.20M,,2019-12,0.46,,0.5023,2019-12,0.46,,0.5023,0.46,221.90M,222.00M,0.10,AOR,
2019-09,962.10M,962.10M,448.10M,514.00M,399.30M,-5.20M,6.60M,0.70M,-5.90M,,399.30M,114.70M,0.70M,6.60M,-5.90M,-2.30M,-5.90M,106.50M,21.50M,85.00M,,0.00,85.00M,89.15M,191.70M,,2019-09,0.38,,0.3986,2019-09,0.38,,0.3985,0.38,223.10M,224.90M,0.10,AOR,Restated
2019-06,1.009B,1.009B,468.60M,540.80M,430.90M,-42.40M,8.00M,0.20M,-7.80M,,430.90M,109.90M,0.20M,8.00M,-7.80M,-54.50M,-7.80M,47.60M,11.20M,36.40M,,0.00,36.40M,68.84M,138.40M,,2019-06,0.16,,0.3047,2019-06,0.16,,0.3037,0.16,224.20M,225.70M,0.0875,AOR,Restated
2019-03,946.20M,946.20M,446.50M,499.70M,431.90M,-20.50M,8.40M,1.10M,-7.30M,,431.90M,67.80M,1.10M,8.40M,-7.30M,-6.70M,-7.30M,53.80M,14.60M,39.20M,,0.00,39.20M,54.14M,145.30M,,2019-03,0.18,,0.2469,2019-03,0.17,,0.2364,0.17,223.30M,225.00M,0.0875,AOR,Restated
2018-12,1.060B,1.060B,534.90M,524.80M,433.20M,-9.80M,9.40M,0.50M,-8.90M,,433.20M,91.60M,0.50M,9.40M,-8.90M,-5.30M,-8.90M,77.40M,75.90M,1.50M,,0.30M,1.80M,8.954M,164.50M,,2018-12,0.01,,0.0422,2018-12,0.01,,0.0422,0.01,222.50M,222.50M,0.0875,AOR,Restated
2018-09,928.40M,928.40M,452.30M,476.10M,418.50M,-12.10M,9.70M,0.60M,-9.10M,,418.50M,57.60M,0.60M,9.70M,-9.10M,-16.80M,-9.10M,31.70M,4.20M,27.50M,,0.50M,28.00M,38.50M,125.60M,,2018-09,0.13,,0.1772,2018-09,0.13,,0.1770,0.13,222.40M,223.70M,0.0875,AOR,Restated
2018-06,1.042B,1.042B,489.30M,552.80M,432.20M,-1.275B,9.60M,0.40M,-9.20M,,432.20M,120.60M,0.40M,9.60M,-9.20M,-1.274B,-9.20M,-1.162B,-41.30M,-1.121B,,-1.00M,-1.122B,107.41M,-1.067B,,2018-06,-4.98,,0.4792,2018-06,-4.98,,0.4792,-4.98,225.20M,225.20M,0.0875,AOR,Restated
2018-03,956.10M,956.10M,442.00M,514.10M,435.20M,-10.20M,8.60M,0.60M,-8.00M,,435.20M,78.90M,0.60M,8.60M,-8.00M,23.90M,-8.00M,94.80M,13.70M,81.10M,,0.10M,81.20M,89.92M,186.60M,,2018-03,0.36,,0.3984,2018-03,0.35,,0.3879,0.35,227.20M,229.90M,0.0875,AOR,Restated
2017-12,1.091B,1.091B,497.70M,593.30M,421.90M,-877.80M,9.60M,0.70M,-8.90M,,421.90M,171.40M,0.70M,9.60M,-8.90M,-875.40M,-8.90M,-712.90M,-62.70M,-650.20M,,-0.20M,-650.40M,150.20M,-621.30M,,2017-12,-2.95,,0.5491,2017-12,-2.95,,0.5491,-2.95,228.80M,228.80M,0.0875,AOR,Restated
2017-09,1.009B,1.009B,450.20M,559.00M,430.50M,-20.60M,9.80M,0.40M,-9.40M,,430.50M,128.50M,0.40M,9.80M,-9.40M,-21.50M,-9.40M,97.60M,7.10M,90.50M,,0.10M,90.60M,109.70M,187.90M,,2017-09,0.39,,0.4732,2017-09,0.39,,0.4719,0.39,229.50M,233.10M,0.0875,AOR,Restated
2017-06,992.70M,992.70M,448.50M,544.20M,417.60M,-1.175B,9.60M,0.60M,-9.00M,,417.60M,126.60M,0.60M,9.60M,-9.00M,-1.182B,-9.00M,-1.065B,-14.50M,-1.050B,,0.30M,-1.05B,2.442M,-977.40M,,2017-06,-4.58,,0.0078,2017-06,-4.58,,0.0078,-4.58,229.40M,229.40M,0.0875,AOR,Restated
2017-03,900.50M,900.50M,408.50M,492.00M,404.70M,-3.10M,9.30M,0.70M,-8.60M,,404.70M,87.30M,0.70M,9.30M,-8.60M,-2.10M,-8.60M,76.60M,16.90M,59.70M,,0.10M,59.80M,62.21M,162.00M,,2017-03,0.26,,0.2705,2017-03,0.26,,0.2703,0.26,230.10M,234.00M,0.0875,AOR,Restated
2016-12,996.50M,996.50M,455.00M,541.50M,399.70M,-7.60M,9.00M,0.60M,-8.40M,,399.70M,141.80M,0.60M,9.00M,-8.40M,-0.80M,-8.40M,132.60M,24.70M,107.90M,,-0.90M,107.00M,113.18M,216.40M,,2016-12,0.46,,0.4868,2016-12,0.46,,0.4864,0.46,230.60M,234.20M,0.0775,AOR,Restated
2016-09,954.20M,954.20M,440.60M,513.60M,379.10M,-7.90M,8.40M,0.50M,-7.90M,,379.10M,134.50M,0.50M,8.40M,-7.90M,-9.50M,-7.90M,117.10M,24.80M,92.30M,,0.20M,92.50M,98.73M,201.70M,,2016-09,0.40,,0.4268,2016-09,0.39,,0.4163,0.39,232.60M,236.30M,0.0775,AOR,Restated
2016-06,1.022B,1.022B,495.10M,526.90M,402.10M,-3.60M,9.30M,0.40M,-8.90M,,402.10M,124.80M,0.40M,9.30M,-8.90M,7.90M,-8.90M,123.80M,17.90M,105.90M,,-0.50M,105.40M,108.48M,208.50M,,2016-06,0.45,,0.4632,2016-06,0.44,,0.4530,0.44,233.70M,237.40M,0.0775,AOR,Restated
2016-03,772.60M,772.60M,353.70M,418.90M,342.10M,-4.10M,9.20M,0.50M,-8.70M,,342.10M,76.80M,0.50M,9.20M,-8.70M,-0.70M,-8.70M,67.40M,-57.90M,125.30M,,-0.30M,125.00M,127.46M,121.90M,,2016-03,0.72,,0.7341,2016-03,0.70,,0.7138,0.70,174.80M,178.40M,0.0775,AOR,Restated
2015-12,671.10M,671.10M,296.40M,374.70M,267.80M,-13.80M,25.80M,0.40M,-25.40M,,267.80M,106.90M,0.40M,25.80M,-25.40M,-9.20M,-25.40M,72.30M,13.80M,58.60M,,0.00,58.60M,69.77M,126.60M,,2015-12,0.42,,0.4998,2015-12,0.41,,0.4884,0.41,140.00M,142.50M,0.0725,AOR,Restated
2015-09,648.90M,648.90M,279.40M,369.50M,264.30M,-6.60M,9.60M,0.40M,-9.20M,,264.30M,105.20M,0.40M,9.60M,-9.20M,-2.80M,-9.20M,93.20M,19.60M,84.40M,,0.10M,84.50M,89.71M,136.60M,,2015-09,0.60,,0.6373,2015-09,0.59,,0.6266,0.59,139.80M,142.40M,0.0725,AOR,Restated
