,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,54.20M,0.00,0.10M,,,0.10M,39.30M,48.80M,88.10M,88.10M,-20.30M,,2.40M,16.50M,,1.90M,-119.60M,74.80M,17.20M,94.70M,,-2.90M,64.20M,207.10M,,2020-09,-21.20M,0.00,0.00,,-0.60M,,-23.80M,,2020-09,0.00,0.00,0.00,,0.00,0.00,-21.90M,0.60M,-2.60M,-23.90M,,1.109B,159.40M,3.50M,1.272B,,2020-09,,-0.10M,0.00,,2020-09,AOR,
2020-06,-95.90M,0.00,0.40M,,,0.40M,32.30M,46.60M,78.90M,78.90M,-24.30M,,0.00,10.20M,,-8.10M,215.40M,56.30M,60.20M,-124.90M,,6.90M,213.90M,175.10M,,2020-06,-13.20M,0.00,0.00,,48.10M,,34.90M,,2020-06,748.30M,-32.00M,716.30M,,0.00,0.00,-21.90M,1.60M,-37.90M,658.10M,,235.90M,868.10M,5.10M,1.109B,,2020-06,,-701.30M,0.00,,2020-06,AOR,
2020-03,-139.90M,,0.20M,,,0.20M,32.20M,47.20M,79.40M,79.40M,-8.10M,,195.30M,9.50M,,10.70M,53.30M,-57.30M,-27.20M,-117.00M,,-9.60M,-157.80M,-10.70M,,2020-03,-25.60M,0.70M,0.70M,,9.40M,,-15.50M,,2020-03,-0.80M,30.80M,30.00M,,-140.00M,-140.00M,-22.10M,3.80M,-1.60M,-129.90M,,404.90M,-156.10M,-12.90M,235.90M,,2020-03,,-0.80M,-140.00M,,2020-03,AOR,
2019-12,102.50M,-12.00M,0.70M,,,-11.30M,31.60M,46.70M,78.30M,78.30M,2.50M,,0.00,16.40M,,-6.40M,-70.70M,62.10M,16.60M,110.20M,,-0.90M,117.30M,299.30M,,2019-12,-36.00M,0.50M,0.50M,,6.70M,,-28.70M,,2019-12,-0.70M,-1.10M,-1.80M,,-100.00M,-100.00M,-22.20M,30.00M,-1.80M,-95.80M,,226.10M,174.80M,4.00M,404.90M,,2019-12,,-1.10M,-100.00M,,2019-12,AOR,
2019-09,85.00M,-0.50M,2.30M,,,1.80M,31.20M,47.40M,78.60M,78.60M,-21.50M,,4.00M,15.40M,,5.40M,-19.20M,-30.10M,-11.50M,69.70M,,-18.50M,-9.60M,159.10M,,2019-09,-23.40M,3.60M,3.60M,,7.90M,,-15.20M,,2019-09,1.30M,-44.10M,-42.80M,,-100.00M,-100.00M,-19.60M,2.40M,-0.80M,-160.80M,,250.10M,-16.90M,-7.10M,226.10M,,2019-09,,-160.70M,-100.00M,,2019-09,AOR,Restated
2019-06,36.40M,14.50M,0.70M,,,15.20M,35.50M,47.30M,82.80M,82.80M,-12.40M,,33.20M,25.20M,,-3.10M,-38.00M,13.20M,24.20M,-35.20M,,3.60M,-32.20M,145.10M,,2019-06,-29.60M,0.40M,0.40M,,4.80M,,-11.80M,,2019-06,-131.90M,44.60M,-87.30M,,-60.00M,-60.00M,-19.60M,56.60M,0.00,-110.30M,,225.40M,23.00M,1.70M,250.10M,,2019-06,,-156.00M,-60.00M,,2019-06,AOR,Restated
2019-03,39.20M,-8.70M,-0.10M,,,-8.80M,34.90M,48.20M,83.10M,83.10M,-6.00M,,5.30M,9.20M,,2.60M,36.50M,-31.50M,-16.30M,-89.10M,,5.10M,-95.30M,29.30M,,2019-03,-33.90M,0.30M,0.30M,,21.90M,,-12.70M,,2019-03,-1.00M,-67.90M,-68.90M,,0.00,0.00,-19.50M,19.80M,-30.60M,-99.20M,,309.60M,-82.60M,-1.60M,225.40M,,2019-03,,-1.90M,0.00,,2019-03,AOR,Restated
2018-12,1.50M,,1.90M,0.00,,1.90M,29.50M,48.20M,77.70M,77.70M,35.90M,,0.00,5.90M,,9.40M,-1.60M,63.40M,20.20M,3.30M,,-15.40M,69.90M,202.20M,,2018-12,-51.90M,2.90M,2.90M,0.00,0.70M,,-48.30M,,2018-12,-0.30M,-63.90M,-64.20M,,0.00,0.00,-19.50M,5.10M,,-78.60M,,233.10M,75.30M,1.20M,309.60M,,2018-12,,-0.10M,0.00,,2018-12,AOR,Restated
2018-09,27.50M,0.00,2.10M,0.00,,2.10M,34.60M,49.60M,84.20M,84.20M,-27.10M,,0.00,5.30M,,11.70M,2.10M,-14.00M,-21.60M,55.80M,,-0.40M,21.90M,125.60M,,2018-09,-49.60M,2.40M,2.40M,-0.20M,1.70M,,-45.50M,,2018-09,-8.90M,-63.00M,-71.90M,,0.00,0.00,-19.40M,8.90M,,-82.40M,,239.30M,-2.30M,-3.90M,233.10M,,2018-09,,-8.90M,0.00,,2018-09,AOR,Restated
2018-06,-1.121B,0.00,0.10M,0.00,,0.10M,35.50M,50.20M,85.70M,85.70M,-54.00M,,1.265B,0.50M,,-10.50M,-64.50M,-4.60M,-20.10M,55.80M,,-15.50M,-48.90M,116.90M,,2018-06,-47.40M,0.90M,0.90M,-2.00M,56.00M,,-114.30M,,2018-06,0.00,195.10M,195.10M,,-250.20M,-250.20M,-19.90M,5.60M,,-69.40M,,317.10M,-66.80M,-11.00M,239.30M,,2018-06,,7.60M,-250.20M,,2018-06,AOR,Restated
