,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,2.738B,2.738B,2.340B,398.00M,93.04M,93.04M,,,13.76M,10.34M,,-10.34M,83.52M,190.31M,207.69M,,10.34M,-10.34M,,-10.34M,197.35M,43.34M,154.01M,154.01M,154.01M,207.69M,,207.69M,,1.458,,1.458,1.458,,1.44,,1.44,1.44,,105.65M,106.74M,0.27,,AOR,
2020-09,2.473B,2.473B,2.111B,361.29M,85.98M,85.98M,,,13.70M,11.90M,,-11.90M,86.10M,185.78M,175.50M,,11.90M,-11.90M,,-11.90M,163.61M,38.11M,125.50M,125.50M,125.50M,307.90M,132.39M,175.50M,,1.19,,1.19,1.19,,1.18,,1.18,1.18,,105.65M,106.80M,0.27,,AOR,
2020-06,2.146B,2.146B,1.794B,351.38M,83.50M,83.50M,,,13.57M,12.82M,,-12.82M,79.13M,176.20M,175.18M,,12.82M,-12.82M,,-12.82M,162.36M,40.67M,121.70M,121.70M,121.70M,305.48M,130.30M,175.18M,,1.15,,1.15,1.15,,1.14,,1.14,1.14,,105.50M,106.58M,0.27,,AOR,
2020-03,2.281B,2.281B,1.942B,339.21M,85.56M,85.56M,,,13.31M,12.04M,,-12.04M,85.60M,184.47M,154.74M,,12.04M,-12.04M,,-12.04M,142.70M,37.87M,104.83M,104.83M,104.83M,284.84M,130.10M,154.74M,,0.99,,0.99,0.99,,0.98,,0.98,0.98,,105.98M,106.95M,0.27,,AOR,
2019-12,2.450B,2.450B,2.054B,396.00M,92.95M,92.95M,,,14.34M,14.53M,,-12.78M,83.63M,190.93M,205.08M,,14.53M,-12.78M,,-12.78M,192.30M,47.62M,144.68M,144.68M,144.68M,335.25M,128.42M,206.83M,,1.362,,1.362,1.362,,1.35,,1.35,1.35,,106.49M,107.52M,0.26,,AOR,
2019-09,2.364B,2.364B,1.993B,370.84M,101.67M,101.67M,,,14.27M,12.36M,,-12.36M,87.04M,202.98M,167.86M,,12.36M,-12.36M,,-12.36M,155.50M,37.10M,118.41M,118.41M,118.41M,294.67M,126.80M,167.86M,,1.11,,1.11,1.11,,1.10,,1.10,1.10,,106.74M,107.69M,0.26,,AOR,Restated
2019-06,2.262B,2.262B,1.864B,398.05M,107.13M,107.13M,,,13.56M,14.76M,,-14.76M,84.26M,204.96M,193.09M,,14.76M,-14.76M,,-14.76M,178.33M,44.70M,133.63M,133.63M,133.63M,317.09M,123.99M,193.09M,,1.24,,1.24,1.24,,1.23,,1.23,1.23,,107.39M,108.37M,0.26,,AOR,Restated
2019-03,2.090B,2.090B,1.748B,341.36M,82.23M,82.23M,,,13.16M,13.03M,,-13.03M,78.17M,173.56M,167.80M,,13.03M,-13.03M,,-13.03M,154.76M,35.16M,119.60M,119.60M,119.60M,287.72M,119.93M,167.80M,,1.10,,1.10,1.10,,1.09,,1.09,1.09,,108.73M,109.66M,0.26,,AOR,Restated
2018-12,2.318B,2.318B,2.018B,299.78M,85.80M,85.80M,,,14.06M,11.46M,,-11.23M,77.18M,177.04M,122.74M,,11.46M,-11.23M,,-11.23M,111.50M,22.82M,88.68M,88.68M,88.68M,237.05M,114.09M,122.96M,,0.82,,0.82,0.82,,0.80,,0.80,0.80,,109.05M,109.94M,0.24,,AOR,Restated
2018-09,2.210B,2.210B,1.848B,362.25M,95.13M,95.13M,,,13.20M,9.961M,,-9.961M,79.22M,187.56M,174.69M,,9.961M,-9.961M,,-9.961M,164.73M,33.62M,131.11M,131.11M,131.11M,283.49M,108.80M,174.69M,,1.20,,1.20,1.20,,1.19,,1.19,1.19,,109.25M,110.24M,0.24,,AOR,Restated
2018-06,2.139B,2.139B,1.761B,377.57M,74.08M,74.08M,,,12.23M,9.855M,,-9.855M,76.45M,162.76M,214.81M,,9.855M,-9.855M,,-9.855M,204.96M,53.30M,151.65M,151.65M,151.65M,322.24M,107.42M,214.81M,,1.39,,1.39,1.39,,1.37,,1.37,1.37,,109.45M,110.68M,0.24,,AOR,Restated
2018-03,1.948B,1.948B,1.629B,319.62M,68.57M,68.57M,,,11.59M,9.152M,,-9.152M,70.68M,150.84M,168.78M,,9.152M,-9.152M,,-9.152M,159.63M,41.49M,118.14M,118.14M,118.14M,274.36M,105.58M,168.78M,,1.08,,1.08,1.08,,1.07,,1.07,1.07,,109.75M,110.86M,0.24,,AOR,Restated
2017-12,1.990B,1.990B,1.659B,331.04M,105.58M,105.58M,,,12.50M,6.264M,,-6.029M,67.15M,185.23M,145.81M,,6.264M,-6.029M,,-6.029M,139.78M,-245.52M,385.31M,385.31M,385.31M,248.37M,102.32M,146.05M,,3.511,,3.511,3.511,,3.48,,3.48,3.48,,109.75M,110.73M,0.23,,AOR,Restated
2017-09,1.843B,1.843B,1.538B,304.88M,61.59M,61.59M,,,10.74M,8.31M,,-8.31M,67.58M,139.91M,164.97M,,8.31M,-8.31M,,-8.31M,156.66M,56.28M,100.38M,100.38M,100.38M,260.93M,95.96M,164.97M,,0.92,,0.92,0.92,,0.91,,0.91,0.91,,109.70M,110.63M,0.23,,AOR,Restated
2017-06,1.727B,1.727B,1.433B,293.80M,54.79M,54.79M,,,10.90M,7.393M,,-7.393M,64.49M,130.18M,163.62M,,7.393M,-7.393M,,-7.393M,156.22M,58.35M,97.87M,97.87M,97.87M,256.66M,93.05M,163.62M,,0.89,,0.89,0.89,,0.88,,0.88,0.88,,109.63M,110.82M,0.23,,AOR,Restated
