,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2008-06,1.26M,1.26M,382.12M,,382.12M,,57.03M,,25.94M,466.35M,,,,,2.125B,-742.99M,1.382B,,,,,11.07M,1.393B,1.860B,,188.32M,,,188.32M,66.23M,254.55M,,209.00M,,209.00M,,19.94M,19.94M,19.34M,502.82M,615.70M,,615.70M,279.65M,279.65M,35.39M,930.74M,1.434B,,,,,,,,426.26M,,AOR,Restated
2008-03,16.22M,16.22M,340.42M,,340.42M,,81.80M,,33.21M,471.66M,,,,,2.103B,-727.68M,1.376B,,,,,10.89M,1.386B,1.858B,,189.16M,20.04M,-20.04M,189.16M,64.84M,254.00M,,164.00M,,164.00M,,20.04M,20.04M,18.77M,456.81M,701.20M,,701.20M,292.47M,292.47M,36.39M,1.030B,1.487B,,,,,,,,371.20M,,AOR,Restated
2007-12,14.96M,14.96M,330.20M,,330.20M,15.44M,69.61M,,58.68M,488.89M,114.36M,24.28M,1.942B,,2.081B,-722.17M,1.359B,,,,,15.13M,1.374B,1.863B,,189.99M,,,189.99M,80.38M,270.36M,,234.00M,,234.00M,,20.07M,20.07M,,524.43M,679.10M,,679.10M,281.56M,281.56M,34.45M,995.12M,1.520B,,1.671M,1.193B,170.54M,1.021B,,-0.993M,343.20M,,AOR,Restated
2007-09,4.113M,4.113M,359.22M,,359.22M,,48.20M,,,411.53M,,,,,2.115B,-715.23M,1.400B,,,,,14.94M,1.415B,1.826B,,202.97M,21.80M,-21.80M,202.97M,58.41M,261.38M,,234.00M,,234.00M,,21.80M,21.80M,18.52M,535.70M,623.20M,,623.20M,273.58M,273.58M,34.41M,931.18M,1.467B,,,,,,,,359.28M,,AOR,Restated
2007-06,6.174M,6.174M,351.00M,,351.00M,,66.06M,,,423.24M,,,,,2.064B,-670.28M,1.394B,,,,,14.76M,1.409B,1.832B,,180.07M,14.40M,-14.40M,180.07M,68.66M,248.73M,,234.00M,,234.00M,,14.40M,14.40M,18.08M,515.20M,469.50M,,469.50M,257.97M,257.97M,32.70M,760.17M,1.275B,,,,,,,,556.50M,,AOR,Restated
2007-03,9.484M,9.484M,329.75M,,329.75M,,90.19M,,,429.42M,,,,,1.961B,-632.32M,1.329B,,,,,15.05M,1.344B,1.773B,,175.16M,35.75M,-35.75M,175.16M,62.00M,237.16M,,164.00M,,164.00M,,35.75M,35.75M,80.41M,517.32M,285.00M,,285.00M,249.30M,249.30M,33.25M,567.55M,1.085B,,,,,,,,688.51M,,AOR,Restated
2006-12,7.371M,7.371M,346.25M,11.82M,358.08M,13.92M,83.95M,,7.929M,471.24M,,,,,1.884B,-600.77M,1.284B,,,,,15.26M,1.299B,1.770B,,170.67M,,,170.67M,50.31M,220.98M,,214.00M,,214.00M,,23.70M,23.70M,20.04M,478.73M,182.40M,,182.40M,294.53M,294.53M,54.66M,531.59M,1.010B,,1.671M,1.036B,177.06M,454.66M,,-0.148M,759.74M,,AOR,Restated
2006-09,18.08M,18.08M,343.47M,,343.47M,,77.75M,,,439.30M,,,,,1.857B,-600.60M,1.256B,,,,,15.41M,1.272B,1.711B,,177.25M,6.034M,-6.034M,177.25M,61.38M,238.63M,,214.00M,,214.00M,,6.034M,6.034M,19.63M,478.30M,166.00M,,166.00M,305.30M,305.30M,58.10M,529.40M,1.008B,,,,,,,,703.11M,,AOR,Restated
2006-06,9.21M,9.21M,325.30M,,325.30M,,85.68M,,,420.19M,,,,,1.679B,-571.84M,1.107B,,,,,17.20M,1.124B,1.545B,,176.99M,7.166M,-7.166M,176.99M,52.24M,229.24M,,40.00M,,40.00M,,7.166M,7.166M,13.19M,289.59M,177.00M,,177.00M,300.85M,300.85M,55.19M,533.04M,822.63M,,,,,,,,721.89M,,AOR,Restated
2006-03,8.821M,8.821M,307.31M,,307.31M,,108.64M,,,424.77M,,,,,1.632B,-552.84M,1.079B,,,,,19.42M,1.098B,1.523B,,167.93M,30.34M,-30.34M,167.93M,56.86M,224.80M,,47.40M,,47.40M,,30.34M,30.34M,-34.63M,267.91M,47.40M,,47.40M,295.19M,295.19M,51.93M,394.52M,662.43M,,,900.26M,,,,,860.47M,,AOR,Restated
2005-12,7.412M,7.412M,343.50M,,343.50M,11.14M,76.43M,,36.21M,474.69M,,,,,1.592B,-537.50M,1.054B,,,,,20.12M,1.074B,1.549B,,162.75M,,,162.75M,70.20M,232.95M,,,,,,27.49M,27.49M,15.65M,276.09M,124.00M,,124.00M,285.93M,285.93M,45.83M,455.76M,731.85M,,1.671M,863.59M,182.68M,230.91M,,0.00,817.02M,,AOR,Restated
2005-09,3.738M,3.738M,329.97M,6.58M,336.55M,,92.61M,,,432.90M,,,,,1.558B,-523.77M,1.034B,,,,,23.00M,1.057B,1.490B,,195.16M,39.29M,-39.29M,195.16M,65.32M,260.47M,,75.70M,,75.70M,,39.29M,39.29M,-57.67M,317.80M,75.70M,,75.70M,263.21M,263.21M,44.45M,383.36M,701.16M,,,807.52M,,,,,788.90M,,AOR,Restated
2005-06,4.757M,4.757M,311.80M,6.58M,318.38M,,103.51M,,,426.65M,,,,,1.507B,-489.43M,1.018B,,,,,20.90M,1.039B,1.466B,,139.55M,54.58M,-54.58M,139.55M,53.78M,193.33M,,67.30M,,67.30M,,54.58M,54.58M,-49.59M,265.63M,67.30M,,67.30M,253.50M,253.50M,43.28M,364.08M,629.71M,,,796.36M,,,,,835.84M,,AOR,Restated
2005-03,1.952M,1.952M,300.11M,19.42M,319.53M,,122.93M,,,444.41M,,,,,1.471B,-460.40M,1.010B,,,,,23.85M,1.034B,1.479B,,161.73M,37.85M,-37.85M,161.73M,54.00M,215.73M,,68.00M,,68.00M,,37.85M,37.85M,-50.21M,271.37M,68.00M,,68.00M,297.40M,297.40M,41.58M,406.98M,678.35M,,,,,,,,800.41M,,AOR,Restated
2004-12,34.72M,34.72M,,,308.56M,9.692M,,,121.95M,474.92M,,,,,1.450B,-438.64M,1.011B,,,,,16.70M,1.028B,1.503B,,190.90M,25.41M,,216.31M,,216.31M,,,,,,,,102.79M,319.10M,,,,282.24M,282.24M,40.66M,322.90M,642.00M,,0.836M,694.23M,197.45M,31.57M,,,861.00M,,AOR,Restated
2004-09,41.82M,41.82M,309.20M,,309.20M,,57.76M,,,408.78M,,,,,1.379B,-410.75M,968.41M,,,,,28.60M,997.01M,1.406B,,139.60M,34.33M,-34.33M,139.60M,73.99M,213.58M,50.00M,50.00M,0.00,50.00M,,34.33M,34.33M,6.544M,304.46M,,,,256.41M,256.41M,6.923M,263.34M,567.80M,,0.418M,681.74M,195.35M,39.52M,,,837.99M,,AOR,Restated
2004-06,41.69M,41.69M,276.02M,,276.02M,,70.85M,,,388.56M,,,,,1.367B,-401.73M,965.08M,,,,,37.66M,1.003B,1.391B,,127.51M,31.92M,-31.92M,127.51M,65.65M,193.16M,104.98M,104.98M,21.60M,126.58M,,31.92M,31.92M,9.224M,360.89M,,,,239.97M,239.97M,6.564M,246.53M,607.42M,,,,,,,,783.88M,,AOR,Restated
2004-03,35.81M,35.81M,268.50M,,268.50M,,95.89M,,,400.20M,,,,,1.327B,-411.08M,915.68M,,,,,38.53M,954.21M,1.354B,,143.15M,30.83M,-30.83M,143.15M,55.12M,198.28M,104.96M,104.96M,39.86M,144.82M,,30.83M,30.83M,9.012M,382.94M,,,,227.62M,227.62M,5.925M,233.55M,616.49M,,0.00,588.24M,189.20M,39.52M,,,737.92M,,AOR,Restated
2003-12,58.11M,58.11M,,,256.03M,8.64M,,,106.20M,428.99M,,,,,1.346B,-460.56M,884.96M,,,,,42.05M,927.01M,1.356B,,158.89M,23.50M,,182.38M,,182.38M,,171.78M,,171.78M,,,,80.59M,434.75M,,,,213.99M,213.99M,4.255M,218.25M,653.00M,,0.418M,555.26M,186.97M,39.52M,,,703.00M,,AOR,Restated
2003-09,93.17M,93.17M,266.09M,,266.09M,,57.55M,,,416.81M,,,,,1.314B,-472.91M,841.12M,,,,,39.36M,880.48M,1.297B,,109.75M,10.50M,-10.50M,109.75M,56.70M,166.45M,105.00M,105.00M,89.82M,194.82M,,10.50M,10.50M,27.74M,399.50M,9.909M,0.00,9.909M,208.68M,208.68M,3.517M,222.10M,621.60M,,,,,,,,675.69M,,AOR,Restated
2003-06,128.33M,128.33M,257.68M,,257.68M,,68.66M,,,454.67M,,,,,1.307B,-464.08M,843.21M,,,,,39.62M,882.83M,1.338B,,101.45M,6.676M,-6.676M,101.45M,50.77M,152.22M,97.01M,97.01M,99.20M,196.21M,,6.676M,6.676M,23.34M,378.44M,104.88M,21.76M,126.64M,196.79M,196.79M,3.35M,326.78M,705.22M,,,,,,,,632.28M,,AOR,Restated
2003-03,84.28M,84.28M,257.02M,,257.02M,,93.48M,,,434.78M,,,,,1.300B,-461.59M,838.08M,,,,,40.30M,878.38M,1.313B,,123.08M,4.002M,-4.002M,123.08M,43.63M,166.70M,97.01M,97.01M,22.98M,119.98M,,4.002M,4.002M,14.63M,305.32M,104.85M,110.81M,215.66M,186.79M,186.79M,3.055M,405.51M,710.83M,,,,,,,,602.33M,,AOR,Restated
2002-12,80.63M,80.63M,,,237.16M,9.515M,,,105.88M,433.18M,,,,,1.306B,-461.09M,844.56M,,,,,40.98M,885.55M,1.319B,,117.93M,10.74M,,128.67M,,128.67M,,124.15M,,124.15M,,,,72.51M,325.33M,105.00M,,105.00M,181.95M,181.95M,115.96M,402.91M,728.24M,,0.418M,459.80M,184.68M,54.42M,,,591.00M,,AOR,Restated
2002-09,85.76M,85.76M,253.93M,,253.93M,,74.73M,,,414.43M,,,,,1.293B,-445.85M,847.30M,,,,,37.19M,884.49M,1.299B,,119.28M,,,119.28M,59.89M,179.17M,98.01M,98.01M,29.13M,127.14M,,0.00,0.00,7.161M,313.48M,114.78M,119.44M,234.23M,174.60M,174.60M,2.18M,411.00M,724.48M,,,445.08M,,,,,574.44M,,AOR,
2002-06,80.32M,80.32M,246.82M,,246.82M,,79.67M,,,406.81M,,,,,1.266B,-429.38M,836.65M,,,,,46.45M,883.10M,1.290B,,120.53M,,,120.53M,52.92M,173.45M,10.00M,10.00M,29.36M,39.36M,,0.00,0.00,18.05M,230.85M,202.76M,126.21M,328.98M,171.37M,171.37M,1.97M,502.32M,733.17M,,,,,,,,556.74M,,AOR,
2002-03,12.40M,12.40M,226.23M,,226.23M,,90.91M,,,329.55M,,,,,1.257B,-419.86M,837.60M,,,,,53.40M,891.01M,1.221B,,111.68M,,,111.68M,39.35M,151.04M,33.00M,33.00M,28.88M,61.88M,,3.672M,3.672M,12.05M,228.64M,212.98M,133.48M,346.46M,167.57M,167.57M,5.389M,519.42M,748.06M,,,412.84M,,,,,472.49M,,AOR,
2001-12,49.24M,49.24M,,,233.25M,8.915M,,,93.39M,384.80M,,,,,1.264B,-432.26M,831.71M,,,,,44.69M,876.40M,1.261B,,163.29M,3.15M,,166.44M,,166.44M,,38.43M,,38.43M,,,,60.97M,265.83M,353.61M,,353.61M,177.26M,177.26M,6.194M,537.07M,802.90M,,0.39M,407.99M,115.32M,58.34M,,,458.30M,,AOR,Restated
2001-09,63.16M,63.16M,247.21M,,247.21M,,61.38M,,,371.74M,,,,,1.254B,-443.87M,809.85M,,,,,56.45M,866.30M,1.238B,,141.50M,11.26M,-11.26M,141.50M,40.96M,182.46M,10.00M,10.00M,31.41M,41.41M,,11.26M,11.26M,16.23M,251.36M,222.92M,136.33M,359.24M,171.86M,171.86M,5.434M,536.54M,787.90M,,,399.98M,,,,,450.14M,,AOR,
2001-06,22.49M,22.49M,229.01M,,229.01M,,73.29M,,,324.79M,,,,,1.251B,-440.88M,810.58M,,,,,63.91M,874.49M,1.199B,,128.22M,13.00M,-13.00M,128.22M,44.38M,172.60M,10.00M,10.00M,26.38M,36.38M,,13.00M,13.00M,14.81M,236.79M,222.89M,118.53M,341.41M,173.66M,173.66M,5.214M,520.29M,757.08M,,,,,,,,442.20M,,AOR,
2001-03,19.22M,19.22M,216.72M,,216.72M,,85.86M,,,321.80M,,,,,1.251B,-435.01M,816.25M,,,,,71.79M,888.05M,1.210B,,135.91M,13.00M,-13.00M,135.91M,36.27M,172.18M,62.00M,62.00M,20.76M,82.76M,,13.00M,13.00M,15.03M,282.96M,222.86M,95.34M,318.20M,173.30M,173.30M,5.138M,496.63M,779.60M,,,,,,,,430.25M,,AOR,
2000-12,5.37M,5.37M,,,225.80M,7.233M,,,92.57M,330.97M,,,,,1.334B,-489.28M,845.18M,,,,,61.65M,906.83M,1.238B,,158.58M,13.00M,,171.59M,,171.59M,,100.89M,,100.89M,,,,52.80M,325.27M,300.39M,,300.39M,173.28M,173.28M,21.06M,494.73M,820.00M,,0.39M,385.22M,107.09M,58.20M,-6.502M,-6.502M,417.80M,,AOR,Restated
2000-09,9.147M,9.147M,225.34M,,225.34M,,55.86M,,,290.34M,,,,,1.282B,-475.18M,806.51M,,,,57.48M,,863.99M,1.154B,,137.43M,,,137.43M,42.75M,180.18M,,64.11M,,64.11M,,,,4.687M,248.98M,300.17M,,300.17M,182.78M,182.78M,5.436M,488.39M,737.37M,,,374.34M,,,,,416.96M,,AOR,
2000-06,5.93M,5.93M,253.55M,,253.55M,,57.78M,,,317.25M,,,,,1.283B,-457.12M,825.82M,,,,53.20M,,879.02M,1.196B,,160.54M,,,160.54M,44.62M,205.15M,,60.00M,,60.00M,,,,3.433M,268.58M,331.94M,,331.94M,182.84M,182.84M,5.647M,520.42M,789.01M,,,365.21M,,,,,407.26M,,AOR,
2000-03,3.888M,3.888M,238.54M,,238.54M,,72.44M,,,314.87M,,,,,1.273B,-451.90M,821.16M,,,,,57.38M,878.54M,1.193B,,168.92M,,,168.92M,36.16M,205.08M,,60.00M,,60.00M,,,,1.982M,267.06M,336.43M,,336.43M,181.07M,181.07M,6.483M,523.98M,791.05M,,,354.16M,,,,,402.36M,,AOR,
1999-12,12.61M,12.61M,,,238.57M,7.825M,,,36.14M,295.14M,,,,,1.239B,-453.51M,785.88M,,,,,46.47M,832.36M,1.128B,,180.01M,4.185M,,184.19M,,184.19M,,60.00M,,60.00M,,,,30.62M,274.82M,267.64M,,267.64M,176.26M,176.26M,17.59M,461.48M,736.30M,,0.39M,350.93M,107.17M,51.78M,-5.324M,-5.324M,391.20M,,AOR,Restated
1999-09,2.817M,2.817M,,,225.30M,,,1.275M,37.43M,266.83M,,,,,1.494B,-568.82M,925.54M,,,,,48.44M,973.98M,1.241B,,183.30M,,,183.30M,,183.30M,,19.30M,,19.30M,,,,38.08M,240.68M,417.51M,,417.51M,177.34M,177.34M,7.662M,602.50M,843.18M,,,347.13M,,,,,397.63M,,,
1999-06,3.248M,3.248M,,,198.23M,,,1.275M,22.61M,225.37M,,,,,1.473B,-559.99M,913.08M,,,,,30.45M,943.53M,1.169B,,122.11M,,,122.11M,,122.11M,,11.30M,,11.30M,,,,44.61M,178.02M,417.48M,,417.48M,175.33M,175.33M,4.192M,596.99M,775.02M,,,343.95M,,,,,393.88M,,,
1999-03,3.892M,3.892M,,,190.37M,,,1.275M,26.86M,222.40M,,,,,1.447B,-529.64M,917.67M,,,,,27.55M,945.22M,1.168B,,117.13M,,,117.13M,,117.13M,,21.90M,,21.90M,,,,49.33M,188.37M,417.36M,,417.36M,170.37M,170.37M,6.772M,594.51M,782.87M,,,334.95M,,,,,384.75M,,,
1998-12,9.227M,9.227M,,,184.37M,6.917M,,1.275M,23.48M,225.27M,,,,,1.418B,-492.63M,925.40M,,,,,20.83M,946.23M,1.172B,,147.97M,,,147.97M,,147.97M,,16.35M,,16.35M,,,,41.72M,206.04M,417.04M,,417.04M,165.57M,165.57M,17.34M,599.96M,806.00M,,0.39M,326.14M,106.98M,52.24M,-5.621M,-5.621M,365.50M,,AOR,Restated
1998-09,5.133M,5.133M,,,192.84M,,,2.337M,20.72M,221.03M,,,,,1.376B,-461.87M,914.35M,,,,,21.65M,936.00M,1.157B,,136.53M,,,136.53M,,136.53M,,15.60M,,15.60M,,,,53.25M,205.38M,417.29M,,417.29M,149.69M,149.69M,18.18M,585.16M,790.55M,,,317.04M,,,,,366.47M,,,
1998-06,9.06M,9.06M,,,180.79M,,,2.337M,17.61M,209.80M,,,,,1.326B,-441.52M,884.77M,,,,,21.94M,906.71M,1.117B,,135.73M,,,135.73M,,135.73M,,97.35M,,97.35M,,,,46.70M,279.78M,317.74M,,317.74M,146.92M,146.92M,15.25M,479.91M,759.70M,,,307.98M,,,,,356.81M,,,
1998-03,9.363M,9.363M,,,176.04M,,,2.337M,20.48M,208.21M,,,,,1.263B,-420.56M,842.20M,,,,,21.95M,864.16M,1.072B,,119.13M,,,119.13M,,119.13M,,88.65M,,88.65M,,,,47.89M,255.67M,317.32M,,317.32M,143.00M,143.00M,15.17M,475.49M,731.15M,,,294.13M,,,,,341.22M,,,
1997-12,3.70M,3.70M,,,169.20M,6.30M,,,20.80M,200.00M,,,,,1.218B,-420.70M,796.80M,,,,,25.10M,821.90M,1.022B,,138.50M,,,138.50M,,138.50M,,17.50M,,17.50M,,,,49.10M,205.10M,322.80M,,322.80M,140.90M,140.90M,15.10M,478.80M,683.90M,,,286.40M,,,,,338.00M,,AOR,
1997-09,13.00M,13.00M,,,154.30M,,,11.00M,19.26M,197.56M,,,,,1.163B,-409.51M,753.75M,,,,,27.00M,780.75M,978.31M,,102.59M,,,102.59M,,102.59M,,5.00M,,5.00M,,,,60.39M,167.98M,309.58M,,309.58M,143.21M,143.21M,12.80M,465.59M,633.58M,,,281.22M,,,,,344.73M,,,
1997-06,5.335M,5.335M,,,150.40M,,,11.00M,18.93M,185.66M,,,,,1.213B,-423.67M,789.57M,,,,,21.95M,811.52M,997.18M,,96.48M,,,96.48M,,96.48M,,13.30M,,13.30M,,,,62.82M,172.60M,322.77M,,322.77M,142.74M,142.74M,12.80M,478.31M,650.91M,,,281.11M,,,,,346.27M,,,
1997-03,12.11M,12.11M,,,162.29M,,,11.00M,24.33M,209.73M,,,,,1.202B,-415.32M,786.30M,,,,,22.49M,808.79M,1.019B,,72.45M,,,72.45M,,72.45M,,67.95M,,67.95M,,,,54.27M,194.67M,322.47M,,322.47M,142.36M,142.36M,12.80M,477.62M,672.29M,,,281.07M,,,,,346.22M,,,
1996-12,3.786M,3.786M,,,153.87M,6.772M,,11.00M,29.19M,204.62M,,,,,1.218B,-404.99M,813.25M,,,,,25.56M,838.82M,1.043B,,92.08M,,,92.08M,,92.08M,,49.75M,,49.75M,,,,56.83M,198.65M,332.57M,,332.57M,142.16M,142.16M,12.80M,487.53M,686.18M,,0.39M,282.36M,105.90M,25.78M,-5.621M,-5.621M,357.26M,,AOR,
1996-09,2.938M,2.938M,,,171.01M,,,10.17M,14.88M,199.00M,,,,,1.223B,-400.35M,823.10M,,,,,26.85M,849.95M,1.049B,,79.44M,,,79.44M,,79.44M,,64.55M,,64.55M,,,,67.37M,211.36M,332.51M,,332.51M,125.47M,125.47M,13.50M,471.48M,682.84M,,,278.88M,,,,,366.11M,,,
1996-06,6.00M,6.00M,,,167.74M,,,11.99M,19.38M,205.11M,,,,,1.222B,-403.15M,818.98M,,,,,22.33M,841.30M,1.046B,,86.99M,,,86.99M,,86.99M,,61.87M,,61.87M,,,,66.04M,214.90M,334.36M,,334.36M,123.31M,123.31M,13.50M,471.17M,686.07M,,,273.71M,,,,,360.34M,,,
1996-03,,,,,163.00M,,,13.97M,22.19M,199.16M,,,,,1.197B,-386.80M,810.29M,,,,,18.82M,829.10M,1.028B,,88.00M,,,88.00M,,88.00M,,43.25M,,43.25M,,,,66.50M,197.75M,339.39M,,339.39M,123.38M,123.38M,13.50M,476.27M,674.02M,,,268.74M,,,,,354.25M,,,
1995-12,4.30M,4.30M,,,143.00M,,,,39.80M,187.10M,,,,,1.185B,-375.80M,809.00M,,,,,20.70M,829.70M,1.017B,,90.10M,,,90.10M,,90.10M,,30.30M,,30.30M,,,,64.20M,184.60M,339.00M,,339.00M,122.70M,122.70M,13.60M,475.30M,659.90M,,,267.80M,,,,,356.90M,,AOR,
1995-09,4.368M,4.368M,,,156.60M,,,8.103M,24.08M,193.15M,,,,,1.167B,-366.84M,799.73M,,,,,25.62M,825.35M,1.019B,,76.71M,,,76.71M,,76.71M,,74.93M,,74.93M,,,,64.07M,215.71M,293.95M,,293.95M,118.43M,118.43M,16.75M,429.13M,644.84M,,,276.52M,,,,,373.66M,,,
1995-06,3.233M,3.233M,,,145.00M,,,8.083M,26.27M,182.59M,,,,,1.175B,-353.59M,821.83M,,,,,23.23M,845.06M,1.028B,,73.21M,,,73.21M,,73.21M,,95.15M,,95.15M,,,,61.10M,229.47M,292.51M,,292.51M,116.78M,116.78M,16.75M,426.04M,655.51M,,,276.61M,,,,,372.14M,,,
1995-03,5.978M,5.978M,,,145.14M,,,8.083M,26.36M,185.56M,,,,,1.114B,-322.74M,790.88M,,,,,26.92M,817.80M,1.003B,,69.36M,,,69.36M,,69.36M,,60.65M,,60.65M,,,,62.02M,192.03M,293.20M,,293.20M,119.83M,119.83M,16.75M,429.78M,621.81M,,,280.68M,,,,,381.55M,,,
1994-12,2.142M,2.142M,138.30M,,138.30M,16.28M,32.71M,8.083M,-16.28M,181.23M,,,,,1.089B,-299.54M,789.70M,,,,,22.77M,812.47M,993.70M,,48.85M,,,48.85M,24.03M,72.88M,,68.08M,,68.08M,,,,36.97M,177.92M,299.24M,,299.24M,121.89M,121.89M,16.75M,437.88M,615.80M,,0.39M,277.72M,104.72M,4.933M,,,377.90M,,AOR,
1994-09,2.82M,2.82M,,,138.18M,,,3.525M,24.72M,169.25M,,,,,1.061B,-271.11M,789.64M,,,,,19.53M,809.17M,978.42M,,65.75M,,,65.75M,,65.75M,,65.15M,,65.15M,,,,61.58M,192.48M,288.53M,,288.53M,114.34M,114.34M,12.00M,414.87M,607.34M,,,268.85M,,,,,371.08M,,,
1994-06,3.093M,3.093M,,,122.49M,,,2.693M,26.20M,154.48M,,,,,1.018B,-260.14M,757.50M,,,,,18.42M,775.93M,930.41M,,71.03M,,,71.03M,,71.03M,,35.89M,,35.89M,,,,57.56M,164.48M,283.76M,,283.76M,110.71M,110.71M,12.00M,406.47M,570.96M,,,258.52M,,,,,359.45M,,,
1994-03,2.763M,2.763M,,,129.06M,,,5.407M,25.31M,162.54M,,,,,958.62M,-246.74M,711.88M,,,,,17.45M,729.33M,891.87M,,59.52M,,,59.52M,,59.52M,,,,,,,,60.85M,120.38M,302.43M,,302.43M,107.30M,107.30M,12.00M,421.73M,542.11M,,,248.88M,,,,,349.77M,,,
1993-12,3.40M,3.40M,,,137.30M,,,,27.80M,168.50M,,,,,913.90M,-232.30M,681.60M,,,,,12.30M,693.90M,862.40M,,37.60M,,,37.60M,,37.60M,,3.00M,,3.00M,,,,55.10M,95.70M,303.50M,,303.50M,107.30M,107.30M,11.90M,422.70M,518.40M,,,245.10M,,,,,344.00M,,,
1993-09,3.30M,3.30M,,,124.40M,,,,25.40M,153.10M,,,,,916.60M,-238.80M,677.80M,,,,,11.40M,689.20M,842.30M,,45.10M,,,45.10M,,45.10M,,,,,,,,57.40M,102.50M,282.90M,,282.90M,102.10M,102.10M,20.30M,405.30M,507.80M,,,217.60M,,,,,334.50M,,,
1993-06,1.80M,1.80M,,,133.60M,,,,28.00M,163.40M,,,,,828.40M,-226.50M,601.90M,,,,,8.20M,610.10M,773.50M,,40.60M,,,40.60M,,40.60M,,,,,,,,59.80M,100.40M,233.60M,,233.60M,94.20M,94.20M,20.10M,347.90M,448.30M,,,217.60M,,,,,325.20M,,,
1993-03,2.10M,2.10M,,,110.70M,,,,29.80M,142.60M,,,,,795.90M,-233.20M,562.70M,,,,,6.60M,569.30M,711.90M,,29.40M,,,29.40M,,29.40M,,,,,,,,56.10M,85.50M,203.40M,,203.40M,90.60M,90.60M,20.30M,314.30M,399.80M,,,217.60M,,,,,312.10M,,,
1992-12,1.80M,1.80M,,,105.90M,,,,34.20M,141.90M,,,,,789.00M,-221.20M,567.80M,,,,,6.00M,573.80M,715.70M,,32.00M,,,32.00M,,32.00M,,,,,,,,48.70M,80.70M,216.30M,,216.30M,89.90M,89.90M,20.20M,326.40M,407.10M,,,214.50M,,,,,308.60M,,,
1992-09,33.00M,33.00M,,,112.30M,,,,52.20M,197.50M,,,,,709.20M,-210.90M,498.30M,,,,,5.90M,504.20M,701.70M,,46.70M,,,46.70M,,46.70M,,,,,,,,51.60M,98.30M,213.90M,,213.90M,78.80M,78.80M,24.00M,316.70M,415.00M,,,187.50M,,,,,286.70M,,,
1992-06,2.60M,2.60M,,,100.20M,,,,41.80M,144.60M,,,,,646.40M,-194.30M,452.10M,,,,,4.90M,457.00M,601.60M,,18.10M,,,18.10M,,18.10M,,,,,,,,47.30M,65.40M,207.40M,,207.40M,76.00M,76.00M,22.50M,305.90M,371.30M,,,187.50M,,,,,230.30M,,,
1992-03,1.80M,1.80M,,,89.40M,,,,39.60M,130.80M,,,,,597.30M,-184.80M,412.50M,,,,,4.10M,416.60M,547.40M,,17.50M,,,17.50M,,17.50M,,,,,,,,44.20M,61.70M,170.10M,,170.10M,74.30M,74.30M,20.00M,264.40M,326.10M,,,187.50M,,,,,221.30M,,,
1991-12,2.50M,2.50M,,,91.30M,,,,41.70M,135.50M,,,,,548.60M,-167.70M,380.90M,,,,,3.70M,384.60M,520.10M,,16.30M,,,16.30M,,16.30M,,,,,,,,40.90M,57.20M,156.90M,,156.90M,72.20M,72.20M,18.00M,247.10M,304.30M,,,182.80M,,,,,215.80M,,,
1991-09,3.00M,3.00M,,,89.40M,,,,31.50M,123.90M,,,,,560.40M,-169.40M,391.00M,,,,,2.50M,393.50M,517.40M,,16.00M,,,16.00M,,16.00M,,,,,,,,67.60M,83.60M,165.00M,,165.00M,60.60M,60.60M,,225.60M,309.20M,,,161.50M,,,,,208.20M,,,
1991-06,4.10M,4.10M,,,83.30M,,,,31.10M,118.50M,,,,,536.70M,-153.30M,383.40M,,,,,2.40M,385.80M,504.30M,,14.70M,,,14.70M,,14.70M,,28.50M,,28.50M,,,,55.20M,98.40M,139.90M,,139.90M,66.00M,66.00M,,205.90M,304.30M,,,161.50M,,,,,200.00M,,,
1991-03,0.80M,0.80M,,,81.10M,,,,30.90M,112.80M,,,,,504.30M,-146.20M,358.10M,,,,,1.30M,359.40M,472.20M,,11.10M,,,11.10M,,11.10M,,14.50M,,14.50M,,,,49.60M,75.20M,139.80M,,139.80M,63.60M,63.60M,0.10M,203.50M,278.70M,,,161.50M,,,,,193.50M,,,
