,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2017-09,7.707M,7.707M,858.72M,,858.72M,,140.16M,,,1.007B,,,,,4.508B,-1.632B,2.876B,55.74M,58.70M,114.44M,,57.10M,3.047B,4.054B,,493.58M,,,493.58M,188.17M,681.76M,,,,,,,,,681.76M,1.085B,,1.085B,746.83M,746.83M,68.56M,1.900B,2.582B,,,,,,,,1.472B,,AOR,Restated
2017-06,7.274M,7.274M,749.04M,,749.04M,,152.04M,,,908.35M,,,,,4.385B,-1.565B,2.820B,,,,,50.00M,2.870B,3.778B,,419.31M,,,419.31M,188.79M,608.09M,,,,,,,,,608.09M,943.20M,,943.20M,753.28M,753.28M,66.09M,1.763B,2.371B,,,,,,,,1.408B,,AOR,Restated
2017-03,12.26M,12.26M,707.43M,,707.43M,,173.65M,,,893.34M,,,,,4.331B,-1.500B,2.831B,,,,,46.43M,2.877B,3.770B,,369.76M,,,369.76M,216.76M,586.52M,,,,,,,,,586.52M,950.60M,,950.60M,792.56M,792.56M,68.42M,1.812B,2.398B,,,,,,,,1.372B,,AOR,Restated
2016-12,6.377M,6.377M,745.29M,189.66M,934.95M,18.58M,107.51M,,,1.067B,,46.83M,4.036B,175.90M,4.259B,-1.440B,2.819B,0.00,2.40M,2.40M,,62.16M,2.883B,3.951B,,384.31M,,,384.31M,310.56M,694.87M,,,,,,,,,694.87M,986.30M,,986.30M,790.63M,790.63M,64.86M,1.842B,2.537B,,1.671M,3.219B,293.09M,2.100B,,,1.414B,,AOR,Restated
2016-09,5.481M,5.481M,775.02M,,775.02M,,61.90M,,,842.40M,,,,,4.209B,-1.400B,2.809B,,,,,78.85M,2.888B,3.730B,,402.91M,,,402.91M,197.93M,600.84M,,,,,,,,,600.84M,943.70M,,943.70M,731.07M,731.07M,69.30M,1.744B,2.345B,,,,,,,,1.385B,,AOR,Restated
2016-06,11.28M,11.28M,744.03M,,744.03M,,71.70M,,,827.01M,,,,,4.129B,-1.362B,2.767B,,,,,103.44M,2.870B,3.697B,,343.65M,,,343.65M,209.06M,552.72M,,,,,,,,,552.72M,957.60M,,957.60M,742.57M,742.57M,65.05M,1.765B,2.318B,,,,,,,,1.379B,,AOR,Restated
2016-03,5.992M,5.992M,690.35M,,690.35M,,118.59M,,,814.93M,,,,,4.079B,-1.339B,2.739B,,,,,92.66M,2.832B,3.647B,,381.18M,,,381.18M,199.53M,580.71M,,,,,,,,,580.71M,961.30M,,961.30M,755.48M,755.48M,63.39M,1.780B,2.361B,,,,,,,,1.286B,,AOR,Restated
2015-12,5.566M,5.566M,624.29M,106.99M,731.28M,23.19M,97.89M,,,857.92M,,39.03M,3.826B,154.14M,4.019B,-1.318B,2.701B,,,,,70.29M,2.772B,3.630B,,340.33M,,,340.33M,192.08M,532.42M,,,,,,,,,532.42M,998.00M,,998.00M,740.22M,740.22M,58.56M,1.797B,2.329B,,1.671M,2.886B,268.73M,1.856B,,,1.300B,,AOR,Restated
2015-09,5.542M,5.542M,671.40M,,671.40M,,91.23M,,,768.17M,,,,,3.958B,-1.287B,2.671B,,,,,80.58M,2.751B,3.519B,,355.67M,,,355.67M,188.38M,544.05M,,,,,,,,,544.05M,993.40M,,993.40M,673.03M,673.03M,59.60M,1.726B,2.270B,,,,,,,,1.249B,,AOR,Restated
2015-06,5.586M,5.586M,665.24M,,665.24M,,115.80M,,,786.63M,,,,,3.881B,-1.255B,2.626B,,,,,72.62M,2.699B,3.485B,,341.52M,,,341.52M,185.08M,526.60M,,250.00M,,250.00M,,,,,776.60M,643.20M,,643.20M,667.14M,667.14M,59.20M,1.370B,2.146B,,,,,,,,1.339B,,AOR,Restated
2015-03,5.646M,5.646M,631.17M,,631.17M,,148.06M,18.63M,,803.51M,,,,,3.801B,-1.248B,2.553B,,,,,72.62M,2.625B,3.429B,,328.11M,,,328.11M,184.22M,512.33M,,250.00M,,250.00M,,,,,762.33M,628.20M,,628.20M,700.52M,700.52M,60.56M,1.389B,2.152B,,,,,,,,1.277B,,AOR,Restated
2014-12,5.961M,5.961M,653.80M,,653.80M,27.74M,78.55M,,95.46M,861.50M,,38.98M,3.527B,153.70M,3.720B,-1.237B,2.483B,,,,,34.46M,2.517B,3.378B,,325.84M,,,325.84M,195.23M,521.07M,,250.00M,,250.00M,,,,,771.07M,683.54M,,683.54M,659.79M,659.79M,59.56M,1.403B,2.174B,,1.671M,2.556B,247.64M,1.601B,,,1.205B,,AOR,Restated
2014-09,5.859M,5.859M,671.30M,,671.30M,,60.52M,,,737.68M,,,,,3.585B,-1.200B,2.385B,,,,,36.13M,2.421B,3.159B,,352.64M,,,352.64M,173.86M,526.50M,,250.00M,,250.00M,,13.79M,13.79M,,790.29M,587.07M,,587.07M,556.35M,556.35M,65.38M,1.209B,1.999B,,,,,,,,1.160B,,AOR,Restated
