,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2020-10,137.00M,,,,,,56.00M,56.00M,0.00,,,,49.00M,,16.00M,-194.00M,20.00M,,87.00M,1.00M,1.00M,-97.00M,161.00M,,2020-10,-40.00M,0.00,-40.00M,0.00,22.00M,-10.00M,,2020-10,-100.00M,-50.00M,-150.00M,,0.00,0.00,-107.00M,-107.00M,1.00M,-257.00M,,2020-10,3.641B,1.00M,3.536B,,2020-10,,0.00,270.00M,,,,2020-10,AOR,
2020-07,77.00M,,,,,,49.00M,49.00M,0.00,,,,54.00M,,38.00M,391.00M,9.00M,,-215.00M,7.00M,-18.00M,22.00M,240.00M,,2020-07,-52.00M,6.00M,-46.00M,-350.00M,85.00M,-311.00M,,2020-07,1.468B,-370.00M,1.098B,,0.00,0.00,-107.00M,-107.00M,48.00M,1.003B,,2020-07,2.666B,43.00M,3.641B,,2020-07,,2.057B,-959.00M,,,,2020-07,AOR,
2020-04,196.00M,,,0.00,,,47.00M,47.00M,6.00M,,,,35.00M,,29.00M,-156.00M,-32.00M,,137.00M,6.00M,-2.00M,70.00M,383.00M,,2020-04,-24.00M,0.00,-24.00M,-17.00M,82.00M,42.00M,,2020-04,101.00M,-271.00M,-170.00M,,-161.00M,-161.00M,-105.00M,-105.00M,0.00,-440.00M,,2020-04,2.711B,-30.00M,2.666B,,2020-04,,111.00M,-10.00M,,,,2020-04,AOR,
2020-01,277.00M,,,0.00,,,47.00M,47.00M,0.00,,,,36.00M,,10.00M,-41.00M,-2.00M,,41.00M,37.00M,-5.00M,50.00M,420.00M,,2020-01,-32.00M,0.00,-32.00M,0.00,142.00M,111.00M,,2020-01,0.00,194.00M,194.00M,,-500.00M,-500.00M,-108.00M,-108.00M,47.00M,-372.00M,,2020-01,2.551B,1.00M,2.711B,,2020-01,,,0.00,,,,2020-01,AOR,
2019-10,243.00M,,,-38.00M,,,50.00M,50.00M,-16.00M,,,,40.00M,,7.00M,-237.00M,5.00M,,0.00,-18.00M,0.00,-339.00M,-53.00M,,2019-10,-36.00M,96.00M,60.00M,0.00,119.00M,178.00M,,2019-10,-400.00M,468.00M,68.00M,,-500.00M,-500.00M,-111.00M,-111.00M,1.00M,-545.00M,,2019-10,2.973B,-2.00M,2.551B,,2019-10,,0.00,-181.00M,,,,2019-10,AOR,Restated
2019-07,103.00M,,,,,,49.00M,49.00M,-7.00M,,,,42.00M,,6.00M,672.00M,15.00M,,-472.00M,59.00M,0.00,117.00M,310.00M,,2019-07,-32.00M,0.00,-32.00M,-56.00M,1.027B,938.00M,,2019-07,0.00,-219.00M,-219.00M,,-250.00M,-250.00M,-115.00M,-115.00M,54.00M,-603.00M,,2019-07,2.331B,-3.00M,2.973B,,2019-07,,0.00,-219.00M,,,,2019-07,AOR,Restated
2019-04,396.00M,,,,,,48.00M,48.00M,18.00M,,,,37.00M,,-6.00M,-350.00M,-31.00M,,171.00M,-31.00M,-2.00M,-21.00M,399.00M,,2019-04,-35.00M,0.00,-35.00M,0.00,215.00M,183.00M,,2019-04,0.00,85.00M,85.00M,,-500.00M,-500.00M,-97.00M,-97.00M,3.00M,-514.00M,,2019-04,2.276B,-13.00M,2.331B,,2019-04,,,-136.00M,,,,2019-04,AOR,Restated
2019-01,249.00M,,,,,,51.00M,51.00M,4.00M,,,,43.00M,,-3.00M,-104.00M,-14.00M,,103.00M,-23.00M,-4.00M,107.00M,451.00M,,2019-01,-31.00M,0.00,-31.00M,0.00,172.00M,140.00M,,2019-01,0.00,-86.00M,-86.00M,,-550.00M,-550.00M,-99.00M,-99.00M,53.00M,-688.00M,,2019-01,2.365B,8.00M,2.276B,,2019-01,,,0.00,,,,2019-01,AOR,Restated
2018-10,241.00M,,,,,,49.00M,49.00M,1.00M,,,,38.00M,,3.00M,-154.00M,11.00M,,109.00M,-24.00M,1.00M,-167.00M,165.00M,,2018-10,-43.00M,0.00,-43.00M,-3.00M,241.00M,195.00M,,2018-10,0.00,50.00M,50.00M,,-561.00M,-561.00M,-102.00M,-102.00M,2.00M,-617.00M,,2018-10,2.633B,-11.00M,2.365B,,2018-10,,,0.00,,,,2018-10,AOR,Restated
2018-07,283.00M,,,,,,49.00M,49.00M,-26.00M,,,,40.00M,,8.00M,423.00M,25.00M,,-398.00M,5.00M,-1.00M,-28.00M,326.00M,,2018-07,-64.00M,,-64.00M,0.00,248.00M,186.00M,,2018-07,,-185.00M,-185.00M,,-500.00M,-500.00M,-105.00M,-105.00M,63.00M,-812.00M,,2018-07,2.947B,-14.00M,2.633B,,2018-07,,,,,,,2018-07,AOR,Restated
2018-04,290.00M,218.00M,,0.00,,,48.00M,48.00M,25.00M,,,,36.00M,,-19.00M,-279.00M,-32.00M,,251.00M,-54.00M,-1.00M,114.00M,494.00M,,2018-04,-48.00M,0.00,-48.00M,0.00,168.00M,120.00M,,2018-04,0.00,-247.00M,-247.00M,,-344.00M,-344.00M,-53.00M,-53.00M,16.00M,-636.00M,,2018-04,2.98B,-11.00M,2.947B,,2018-04,,0.00,-115.00M,-51.00M,-45.00M,,2018-04,AOR,Restated
2018-01,-479.00M,-218.00M,,-218.00M,,,48.00M,48.00M,205.00M,,,,38.00M,,-3.00M,-156.00M,10.00M,,207.00M,-13.00M,-4.00M,829.00M,420.00M,,2018-01,-32.00M,210.00M,178.00M,0.00,-226.00M,-49.00M,,2018-01,-750.00M,-86.00M,-836.00M,,-150.00M,-150.00M,-53.00M,-53.00M,100.00M,-951.00M,,2018-01,3.536B,24.00M,2.98B,,2018-01,,0.00,-750.00M,51.00M,45.00M,,2018-01,AOR,Restated
2017-10,174.00M,,,,,,51.00M,51.00M,40.00M,,,,39.00M,,-10.00M,-80.00M,34.00M,,159.00M,-32.00M,-2.00M,20.00M,314.00M,,2017-10,-29.00M,,-29.00M,-51.00M,-64.00M,-145.00M,,2017-10,795.00M,-176.00M,619.00M,,-150.00M,-150.00M,-54.00M,-54.00M,9.00M,420.00M,,2017-10,2.953B,-6.00M,3.536B,,2017-10,,795.00M,,,,,2017-10,AOR,Restated
2017-07,131.00M,,,,,,51.00M,51.00M,,,,,48.00M,,5.00M,226.00M,24.00M,,-193.00M,61.00M,-1.00M,15.00M,250.00M,,2017-07,-36.00M,,-36.00M,-24.00M,112.00M,53.00M,,2017-07,,394.00M,394.00M,,-150.00M,-150.00M,-54.00M,-54.00M,48.00M,181.00M,,2017-07,2.45B,19.00M,2.953B,,2017-07,,,,,,,2017-07,AOR,Restated
