,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,,SharesData(Quarterly),AverageBasicSharesOutstanding,,SECFilingLinks,AsOriginallyReported,Restated
2020-10,1.416B,1.416B,483.00M,933.00M,432.00M,67.00M,499.00M,212.00M,,-40.00M,18.00M,2.00M,-16.00M,,711.00M,222.00M,2.00M,18.00M,-16.00M,-31.00M,-16.00M,175.00M,38.00M,137.00M,137.00M,56.00M,193.00M,,2020-10,0.62,0.62,,2020-10,0.61,,,2020-10,222.00M,,2020-10,AOR,
2020-07,1.303B,1.303B,431.00M,872.00M,429.00M,61.00M,490.00M,233.00M,,-13.00M,18.00M,3.00M,-15.00M,,723.00M,149.00M,3.00M,18.00M,-15.00M,-30.00M,-15.00M,104.00M,27.00M,77.00M,77.00M,49.00M,122.00M,,2020-07,0.35,0.35,,2020-07,0.35,,,2020-07,221.00M,,2020-07,AOR,
2020-04,1.401B,1.401B,460.00M,941.00M,389.00M,63.00M,452.00M,212.00M,,0.00,14.00M,7.00M,-7.00M,,664.00M,277.00M,7.00M,14.00M,-7.00M,-20.00M,-7.00M,250.00M,54.00M,196.00M,196.00M,47.00M,264.00M,,2020-04,0.89,0.89,,2020-04,0.88,,,2020-04,221.00M,,2020-04,AOR,
2020-01,1.404B,1.404B,463.00M,941.00M,402.00M,60.00M,462.00M,211.00M,,0.00,14.00M,10.00M,-4.00M,,673.00M,268.00M,10.00M,14.00M,-4.00M,12.00M,-4.00M,276.00M,-1.00M,277.00M,277.00M,47.00M,290.00M,,2020-01,1.23,1.23,,2020-01,1.21,,,2020-01,226.00M,,2020-01,AOR,
2019-10,1.371B,1.371B,446.00M,925.00M,389.00M,69.00M,458.00M,209.00M,,38.00M,12.00M,12.00M,0.00,,667.00M,258.00M,12.00M,12.00M,0.00,41.00M,0.00,299.00M,56.00M,243.00M,243.00M,50.00M,311.00M,,2019-10,1.03,1.03,,2019-10,1.03,,,2019-10,235.00M,,2019-10,AOR,Restated
2019-07,1.236B,1.236B,420.00M,816.00M,405.00M,71.00M,476.00M,215.00M,,-21.00M,15.00M,19.00M,4.00M,,691.00M,125.00M,19.00M,15.00M,4.00M,-10.00M,4.00M,119.00M,16.00M,103.00M,103.00M,49.00M,134.00M,,2019-07,0.43,0.43,,2019-07,0.42,,,2019-07,239.00M,,2019-07,AOR,Restated
2019-04,1.592B,1.592B,566.00M,1.026B,439.00M,69.00M,508.00M,205.00M,,57.00M,14.00M,20.00M,6.00M,,713.00M,313.00M,20.00M,14.00M,6.00M,65.00M,6.00M,384.00M,-12.00M,396.00M,396.00M,48.00M,398.00M,,2019-04,1.62,1.62,,2019-04,1.59,,,2019-04,245.00M,,2019-04,AOR,Restated
2019-01,1.563B,1.563B,581.00M,982.00M,401.00M,67.00M,468.00M,203.00M,,0.00,16.00M,22.00M,6.00M,,671.00M,311.00M,22.00M,16.00M,6.00M,2.00M,6.00M,319.00M,70.00M,249.00M,249.00M,51.00M,335.00M,,2019-01,1.00,1.00,,2019-01,0.98,,,2019-01,250.00M,,2019-01,AOR,Restated
2018-10,1.517B,1.517B,543.00M,974.00M,408.00M,69.00M,477.00M,211.00M,,0.00,14.00M,21.00M,7.00M,,688.00M,286.00M,21.00M,14.00M,7.00M,0.00,7.00M,293.00M,52.00M,241.00M,241.00M,49.00M,307.00M,,2018-10,0.93,0.93,,2018-10,0.91,,,2018-10,258.00M,,2018-10,AOR,Restated
2018-07,1.474B,1.474B,511.00M,963.00M,409.00M,73.00M,482.00M,208.00M,,-19.00M,14.00M,25.00M,11.00M,,690.00M,273.00M,25.00M,14.00M,11.00M,-12.00M,11.00M,272.00M,-11.00M,283.00M,283.00M,49.00M,286.00M,,2018-07,1.08,1.08,,2018-07,1.05,,,2018-07,262.00M,,2018-07,AOR,Restated
