,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,LongTermInvestments,LongTermNotesReceivable,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2020-09,558.45M,,558.45M,,40.00M,35.61M,75.43M,46.68M,10.63M,,724.07M,,,,72.91M,,72.91M,,72.91M,1.153B,,,12.68B,13.40B,205.52M,142.36M,30.29M,378.18M,378.18M,0.00,,0.00,0.00,,378.18M,6.610B,74.84M,6.685B,,,,184.48M,30.72M,39.64M,6.755B,7.134B,0.007M,-821.84M,6.922B,,-16.80M,6.083B
2020-06,246.20M,,246.20M,,25.24M,19.60M,44.75M,52.89M,10.27M,,378.61M,,,,73.67M,,73.67M,,73.67M,1.163B,,,12.80B,13.18B,164.34M,142.63M,48.81M,355.78M,355.78M,0.00,,0.00,0.00,,355.78M,6.319B,75.63M,6.395B,,,,186.81M,33.24M,40.47M,6.469B,6.825B,0.007M,-760.03M,6.945B,,-18.71M,6.166B
2020-03,271.88M,,271.88M,,20.87M,14.06M,34.87M,49.94M,10.47M,,367.15M,,,,74.43M,,74.43M,,74.43M,1.145B,,,13.08B,13.45B,193.56M,142.80M,50.54M,386.90M,386.90M,350.00M,,350.00M,350.00M,,736.90M,6.146B,76.40M,6.222B,,,,189.78M,32.64M,41.29M,6.296B,7.033B,0.007M,-708.70M,6.960B,,-22.67M,6.228B
2019-12,70.09M,,70.09M,,119.82M,14.54M,134.36M,40.94M,11.01M,,256.39M,,,,74.74M,,74.74M,,74.74M,1.480B,,,12.45B,12.71B,158.02M,135.38M,48.91M,342.31M,342.31M,55.00M,,55.00M,55.00M,,397.31M,5.754B,76.74M,5.831B,,,,183.08M,37.41M,36.56M,5.905B,6.302B,0.007M,-887.62M,7.122B,,-13.89M,6.220B
2019-09,74.03M,,74.03M,,203.74M,12.80M,216.54M,41.54M,17.70M,,349.80M,,,,75.48M,,75.48M,,75.48M,1.631B,,,12.65B,13.00B,193.34M,135.49M,53.21M,382.05M,382.05M,220.00M,,220.00M,220.00M,,602.05M,5.828B,77.50M,5.906B,,,,189.90M,39.08M,36.13M,5.981B,6.583B,0.007M,-887.52M,7.132B,,-19.03M,6.225B
2019-06,38.17M,,38.17M,,61.07M,13.34M,74.42M,45.53M,16.80M,,174.92M,,,,76.20M,,76.20M,,76.20M,1.540B,,,12.50B,12.67B,140.19M,134.44M,59.72M,334.35M,334.35M,117.00M,,117.00M,117.00M,,451.35M,5.724B,78.23M,5.802B,,,,190.21M,36.83M,35.37M,5.875B,6.326B,0.007M,-857.99M,7.032B,,-18.99M,6.155B
2019-03,107.03M,,107.03M,,59.65M,11.51M,71.15M,46.88M,17.09M,,242.16M,,,,77.00M,,77.00M,,77.00M,1.519B,,,12.34B,12.58B,180.57M,134.34M,60.09M,375.00M,375.00M,0.00,,0.00,0.00,,375.00M,5.736B,79.01M,5.815B,,,,125.94M,37.17M,33.83M,5.886B,6.261B,0.007M,-822.09M,7.028B,,-14.82M,6.191B
2018-12,134.46M,,134.46M,,58.95M,12.94M,71.90M,39.44M,16.93M,,262.73M,,,,,,0.00,,0.00,1.510B,,,12.12B,12.38B,127.09M,128.53M,59.34M,314.96M,314.96M,0.00,,0.00,0.00,,314.96M,5.606B,0.00,5.606B,,,,126.77M,35.48M,33.38M,5.675B,5.990B,0.007M,-812.80M,7.093B,,-13.22M,6.267B
2018-09,157.28M,,157.28M,,56.87M,12.29M,69.17M,50.92M,17.35M,,294.72M,,,,,,,,,1.478B,,,12.22B,12.52B,185.43M,128.83M,63.90M,378.16M,378.16M,0.00,,0.00,0.00,,378.16M,5.634B,,5.634B,,,,119.07M,36.66M,33.62M,5.704B,6.082B,0.007M,-808.08M,7.134B,,-8.548M,6.317B
2018-06,160.90M,,160.90M,,56.24M,12.15M,68.39M,56.34M,16.67M,,302.30M,,,,,,,,,1.499B,,,12.25B,12.56B,132.80M,129.01M,58.32M,320.12M,320.12M,2.67M,,2.67M,2.67M,,322.79M,5.688B,,5.688B,,,,120.50M,36.26M,33.50M,5.758B,6.081B,0.007M,-766.19M,7.132B,,-11.44M,6.354B
