,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-10,758.00M,,-2.00M,22.00M,504.00M,504.00M,149.00M,47.00M,18.00M,216.00M,1.383B,398.00M,565.00M,,-621.00M,1.725B,3.426B,,-750.00M,473.00M,-277.00M,,-72.00M,-1.387B,-1.802B,,-646.00M,-1.53B,-2.176B,220.00M,-487.00M,-267.00M,-238.00M,-238.00M,-23.00M,-2.704B,,8.30B,-1.08B,-48.00M,7.172B,,220.00M,940.00M,-1.586B,-487.00M,,AOR,
2020-07,811.00M,,3.00M,3.00M,547.00M,547.00M,-99.00M,33.00M,15.00M,1.00M,1.117B,495.00M,135.00M,,207.00M,1.954B,3.281B,,-505.00M,412.00M,-93.00M,,16.00M,-1.47B,-1.547B,,-1.426B,-968.00M,-2.394B,41.00M,0.00,41.00M,-237.00M,-237.00M,-29.00M,-2.619B,,9.003B,-885.00M,182.00M,8.30B,,41.00M,1.056B,-2.482B,0.00,,AOR,
2020-04,666.00M,,-8.00M,-8.00M,529.00M,529.00M,-32.00M,114.00M,29.00M,-20.00M,-561.00M,146.00M,427.00M,,-98.00M,-86.00M,1.284B,,-613.00M,472.00M,-141.00M,,303.00M,-1.158B,-996.00M,,3.909B,1.611B,5.52B,17.00M,-149.00M,-132.00M,-239.00M,-239.00M,-43.00M,5.106B,,3.71B,5.394B,-101.00M,9.003B,,17.00M,5.573B,-1.664B,-149.00M,,AOR,
2020-01,518.00M,,,,538.00M,538.00M,-29.00M,,19.00M,154.00M,70.00M,-642.00M,-1.134B,,-17.00M,-1.723B,-508.00M,,-788.00M,426.00M,-362.00M,,-16.00M,1.404B,1.026B,,51.00M,-473.00M,-422.00M,53.00M,-114.00M,-61.00M,-242.00M,-242.00M,-38.00M,-763.00M,,3.956B,-245.00M,-1.00M,3.71B,,53.00M,1.702B,-1.651B,-114.00M,,AOR,
2019-10,722.00M,,-1.00M,4.00M,497.00M,497.00M,-133.00M,,19.00M,113.00M,1.337B,388.00M,352.00M,,-353.00M,1.724B,3.008B,,-1.231B,477.00M,-754.00M,,-13.00M,-1.121B,-1.795B,,476.00M,-581.00M,-105.00M,45.00M,-373.00M,-328.00M,-240.00M,-240.00M,-34.00M,-707.00M,,3.482B,506.00M,-32.00M,3.956B,,45.00M,2.546B,-2.07B,-373.00M,,AOR,Restated
2019-07,899.00M,,19.00M,19.00M,506.00M,506.00M,-50.00M,,19.00M,-142.00M,525.00M,226.00M,-240.00M,,116.00M,627.00M,1.899B,,-803.00M,348.00M,-455.00M,,-10.00M,-1.292B,-1.757B,,2.279B,-1.906B,373.00M,38.00M,-399.00M,-361.00M,-241.00M,-241.00M,-28.00M,-257.00M,,3.586B,-115.00M,11.00M,3.482B,,38.00M,3.208B,-929.00M,-399.00M,,AOR,Restated
2019-04,1.136B,,-2.00M,-2.00M,513.00M,513.00M,-226.00M,,24.00M,183.00M,-2.224B,2.00M,632.00M,,83.00M,-1.507B,156.00M,,-757.00M,452.00M,-305.00M,,55.00M,-1.091B,-1.341B,,535.00M,1.094B,1.629B,44.00M,-337.00M,-293.00M,-242.00M,-242.00M,-24.00M,1.07B,,3.723B,-115.00M,-22.00M,3.586B,,44.00M,2.021B,-1.486B,-337.00M,,AOR,Restated
2019-01,500.00M,,-7.00M,-7.00M,503.00M,503.00M,-56.00M,,20.00M,-106.00M,-507.00M,-1.396B,-698.00M,,94.00M,-2.507B,-1.651B,,-658.00M,371.00M,-287.00M,,-24.00M,1.28B,969.00M,,270.00M,476.00M,746.00M,51.00M,-144.00M,-93.00M,-220.00M,-220.00M,-30.00M,403.00M,,4.015B,-279.00M,-13.00M,3.723B,,51.00M,2.211B,-1.941B,-144.00M,,AOR,Restated
2018-10,785.00M,0.00,-16.00M,-16.00M,482.00M,482.00M,839.00M,,21.00M,103.00M,834.00M,-233.00M,509.00M,,-854.00M,256.00M,2.494B,,-951.00M,367.00M,-584.00M,-51.00M,-71.00M,-977.00M,-1.683B,,676.00M,-710.00M,-34.00M,8.00M,-504.00M,-496.00M,-223.00M,-223.00M,-27.00M,-780.00M,,4.029B,31.00M,-45.00M,4.015B,,8.00M,2.549B,-1.873B,-504.00M,,AOR,Restated
2018-07,911.10M,-11.80M,-5.50M,-17.30M,494.20M,494.20M,36.70M,,23.20M,26.60M,-270.90M,257.80M,-93.90M,,-858.60M,-965.60M,548.10M,,-720.30M,367.40M,-352.90M,78.10M,-6.00M,-1.054B,-1.334B,,178.00M,983.90M,1.162B,10.40M,-393.40M,-383.00M,-196.10M,-196.10M,-22.10M,560.70M,,4.329B,-225.50M,-74.90M,4.029B,,10.40M,1.661B,-1.483B,-393.40M,,AOR,Restated
