,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,,SECFilingLinks,AsOriginallyReported,Restated
2020-10,10.58B,,10.58B,463.73M,649.38M,4.998B,4.998B,425.03M,,,16.65B,0.00,1.495B,,6.406B,9.029B,3.612B,20.54B,-6.509B,14.03B,96.73M,,96.73M,56.13M,725.26M,14.91B,31.57B,,2020-10,6.143B,6.189B,3.229B,9.418B,,749.45M,749.45M,1.650B,2.400B,,,,11.82B,,5.447B,7.796B,13.24B,78.01M,78.01M,,,860.50M,14.18B,2020-10,1.201B,4.983B,126.41M,,,2020-10,AOR,
2020-07,6.620B,,6.620B,444.23M,749.85M,3.744B,3.744B,403.62M,,,11.52B,0.00,1.462B,,6.397B,9.064B,3.599B,20.52B,-6.358B,14.16B,97.13M,,97.13M,48.60M,740.46M,15.05B,26.57B,,2020-07,2.422B,2.422B,2.885B,5.307B,,749.21M,749.21M,1.591B,2.340B,,,,7.647B,,5.445B,7.875B,13.32B,91.77M,91.77M,,,848.25M,14.26B,2020-07,1.199B,4.116B,68.53M,,,2020-07,AOR,
2020-04,4.288B,,4.288B,172.46M,654.11M,4.946B,4.946B,408.59M,,,10.30B,0.00,1.443B,,6.380B,9.074B,3.510B,20.41B,-6.132B,14.28B,94.47M,,94.47M,36.74M,712.19M,15.12B,25.42B,,2020-04,1.071B,1.082B,2.188B,3.270B,,,,1.399B,1.399B,,,,4.670B,,7.192B,7.915B,15.11B,113.23M,113.23M,,,786.01M,16.01B,2020-04,1.198B,4.331B,8.104M,,,2020-04,AOR,
2020-01,3.217B,,3.217B,386.26M,386.26M,4.873B,4.873B,415.02M,,,8.891B,0.00,1.426B,,6.405B,9.060B,3.541B,20.43B,-6.047B,14.39B,95.55M,,95.55M,12.13M,761.32M,15.25B,24.15B,,2020-01,2.673B,3.174B,909.59M,4.084B,,,,1.411B,1.411B,,,883.68M,7.150B,52.21M,2.237B,7.817B,10.05B,397.54M,397.54M,0.00,514.79M,28.74M,11.05B,2020-01,1.199B,5.422B,0.00,,,2020-01,AOR,
2019-10,2.060B,,2.060B,442.88M,442.88M,6.275B,6.275B,596.78M,,,9.375B,0.00,1.385B,,6.237B,9.069B,3.507B,20.20B,-5.877B,14.32B,96.31M,,96.31M,5.484M,492.18M,14.91B,24.29B,,2019-10,3.447B,3.469B,2.806B,6.275B,,,,1.412B,1.412B,,,,7.687B,,2.236B,7.822B,10.06B,203.52M,203.52M,,,797.57M,11.06B,2019-10,1.203B,4.977B,0.00,,,2019-10,AOR,Restated
2019-07,2.186B,,2.186B,377.06M,377.06M,5.087B,5.087B,618.12M,,,8.269B,0.00,1.236B,,6.097B,8.944B,3.411B,19.69B,-5.702B,13.99B,95.94M,,95.94M,5.642M,498.62M,14.59B,22.85B,,2019-07,2.608B,2.645B,2.602B,5.247B,,,,1.354B,1.354B,,,,6.601B,,2.235B,7.743B,9.978B,196.98M,196.98M,,,776.65M,10.95B,2019-07,1.209B,4.807B,0.00,,,2019-07,AOR,Restated
2019-04,2.235B,0.00,2.235B,393.28M,393.28M,5.057B,5.057B,381.68M,,,8.067B,0.00,1.220B,,6.017B,8.810B,3.380B,19.43B,-5.597B,13.83B,96.68M,,96.68M,5.801M,490.40M,14.42B,22.49B,,2019-04,2.578B,2.769B,2.469B,5.238B,,,,1.343B,1.343B,,,,6.581B,,2.234B,7.622B,9.856B,167.28M,167.28M,,,752.97M,10.78B,2019-04,1.213B,4.553B,0.00,,,2019-04,AOR,Restated
2019-01,3.030B,,3.030B,346.30M,346.30M,4.579B,4.579B,513.66M,,,8.469B,0.00,1.458B,,5.894B,,3.377B,10.73B,-5.474B,5.255B,97.55M,,97.55M,6.467M,497.58M,5.857B,14.33B,,2019-01,2.644B,3.211B,812.67M,4.023B,,,,0.00,0.00,,,770.27M,5.531B,130.12M,2.234B,243.26M,2.477B,393.66M,393.66M,269.06M,449.06M,27.28M,3.746B,2019-01,1.217B,4.462B,0.00,,,2019-01,AOR,Restated
2018-10,2.712B,0.00,2.712B,419.79M,517.41M,5.543B,5.543B,544.43M,,,9.317B,0.00,1.424B,,5.729B,,3.319B,10.47B,-5.305B,5.166B,97.35M,,97.35M,,445.01M,5.708B,15.03B,,2018-10,3.341B,3.419B,2.595B,6.014B,,,,,,,,,6.014B,,2.233B,,2.233B,236.77M,236.77M,,,1.285B,3.755B,2018-10,1.233B,4.616B,0.00,,,2018-10,AOR,Restated
2018-07,2.873B,0.00,2.873B,356.18M,485.38M,4.499B,4.499B,583.35M,,,8.440B,0.00,1.395B,,5.619B,,3.263B,10.28B,-5.177B,5.100B,98.11M,,98.11M,,472.89M,5.671B,14.11B,,2018-07,2.683B,2.724B,2.414B,5.138B,,,,,,,,,5.138B,,2.232B,,2.232B,225.07M,225.07M,,,1.289B,3.747B,2018-07,620.77M,5.205B,0.00,,,2018-07,AOR,Restated
