,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2017-01,9.468B,9.468B,6.787B,2.681B,1.578B,0.00,,15.17M,5.555M,-9.616M,,1.578B,1.103B,5.555M,15.17M,-9.616M,0.00,-9.616M,1.094B,415.73M,677.93M,,,,,1.275B,166.40M,1.109B,,2017-01,,,0.5245,0.5245,,,,,,2017-01,1.299B,1.316B,0.13,,2017-01,AOR,Restated
2016-10,8.292B,8.292B,5.844B,2.448B,1.463B,-82.95M,,16.96M,4.496M,-12.46M,,1.463B,985.24M,4.496M,16.96M,-12.46M,-82.95M,-12.46M,889.83M,340.05M,549.79M,,,,,1.074B,167.63M,906.79M,,2016-10,,,0.4592,0.42,,,,,,2016-10,1.307B,1.323B,0.13,,2016-10,AOR,Restated
2016-07,7.882B,7.882B,5.563B,2.319B,1.393B,,,14.56M,3.294M,-11.26M,,1.393B,925.84M,3.294M,14.56M,-11.26M,,-11.26M,914.58M,352.41M,562.17M,,,,,1.097B,167.75M,929.14M,,2016-07,,,0.425,0.425,,,,,,2016-07,1.316B,1.333B,0.13,,2016-07,AOR,Restated
2016-04,7.542B,7.542B,5.372B,2.170B,1.335B,,,14.99M,4.792M,-10.19M,,1.335B,835.16M,4.792M,14.99M,-10.19M,,-10.19M,824.97M,316.62M,508.35M,,,,,996.97M,157.01M,839.96M,,2016-04,,,0.385,0.385,,,,,,2016-04,1.323B,1.341B,0.105,,2016-04,AOR,Restated
2016-01,8.962B,8.962B,6.388B,2.574B,1.497B,0.00,,15.12M,4.157M,-10.96M,,1.497B,1.077B,4.157M,15.12M,-10.96M,,-10.96M,1.066B,399.34M,666.47M,,,,,1.244B,162.99M,1.081B,,2016-01,,,0.5022,0.5022,,,,,,2016-01,1.331B,1.350B,0.105,,2016-01,AOR,Restated
2015-10,7.753B,7.753B,5.507B,2.247B,1.292B,0.00,,15.92M,2.911M,-13.00M,,1.292B,954.20M,2.911M,15.92M,-13.00M,,-13.00M,941.19M,353.93M,587.26M,,,,,1.112B,155.25M,957.11M,,2015-10,,,0.44,0.44,,,,,,2015-10,1.342B,1.362B,0.105,,2015-10,AOR,Restated
2015-07,7.364B,7.364B,5.219B,2.145B,1.248B,,,14.26M,3.457M,-10.81M,,1.248B,897.00M,3.457M,14.26M,-10.81M,,-10.81M,886.19M,336.86M,549.34M,,,,,1.050B,149.92M,900.46M,,2015-07,,,0.405,0.405,,,,,,2015-07,1.352B,1.371B,0.105,,2015-07,AOR,Restated
2015-04,6.866B,6.866B,4.920B,1.945B,1.169B,,,14.97M,3.344M,-11.62M,,1.169B,776.74M,3.344M,14.97M,-11.62M,,-11.62M,765.12M,290.51M,474.60M,,,,,928.62M,148.54M,780.08M,,2015-04,,,0.35,0.35,,,,,,2015-04,1.363B,1.382B,0.0875,,2015-04,AOR,Restated
2015-01,8.304B,8.304B,5.959B,2.345B,1.306B,0.00,,13.66M,4.657M,-9.002M,,1.306B,1.039B,4.657M,13.66M,-9.002M,0.00,-9.002M,1.030B,381.40M,648.23M,,,,,1.194B,150.81M,1.043B,,2015-01,,,0.4733,0.4733,,,,,,2015-01,1.371B,1.392B,0.0875,,2015-01,AOR,Restated
2014-10,7.366B,7.366B,5.204B,2.162B,1.193B,,,13.67M,3.632M,-10.04M,,1.193B,969.14M,3.632M,13.67M,-10.04M,,-10.04M,959.10M,364.14M,594.96M,,,,,1.119B,146.51M,972.77M,,2014-10,,,0.43,0.43,,,,,,2014-10,1.380B,1.402B,0.0875,,2014-10,AOR,Restated
2014-07,6.917B,6.917B,4.936B,1.981B,1.123B,-16.83M,,14.87M,3.716M,-11.15M,,1.123B,858.60M,3.716M,14.87M,-11.15M,-16.83M,-11.15M,830.62M,312.99M,517.62M,,,,,992.98M,147.50M,845.48M,,2014-07,,,0.3826,0.375,,,,,,2014-07,1.388B,1.410B,0.0875,,2014-07,AOR,Restated
2014-04,6.491B,6.491B,4.678B,1.813B,1.073B,,,13.18M,3.588M,-9.595M,,1.073B,740.13M,3.588M,13.18M,-9.595M,,-9.595M,730.53M,276.21M,454.32M,,,,,887.87M,144.16M,743.71M,,2014-04,,,0.325,0.325,,,,,,2014-04,1.402B,1.426B,0.0725,,2014-04,AOR,Restated
2014-01,7.809B,7.809B,5.650B,2.158B,1.215B,,,13.30M,5.787M,-7.509M,,1.215B,943.30M,5.787M,13.30M,-7.509M,,-7.509M,935.79M,353.49M,582.29M,,,,,1.091B,141.54M,949.08M,,2014-01,,,0.4094,0.4094,,,,,,2014-01,1.414B,1.441B,0.0725,,2014-01,AOR,Restated
2013-10,6.982B,6.982B,4.934B,2.047B,1.159B,0.00,,12.61M,3.236M,-9.371M,,1.159B,888.74M,3.236M,12.61M,-9.371M,,-9.371M,879.37M,256.72M,622.66M,,,,,1.033B,141.31M,891.98M,,2013-10,,,0.44,0.44,,,,,,2013-10,1.423B,1.448B,0.0725,,2013-10,AOR,Restated
2013-07,6.442B,6.442B,4.587B,1.856B,1.074B,0.00,,11.84M,2.92M,-8.919M,,1.074B,781.36M,2.92M,11.84M,-8.919M,,-8.919M,772.45M,292.89M,479.56M,,,,,919.71M,135.43M,784.28M,,2013-07,,,0.335,0.335,,,,,,2013-07,1.431B,1.457B,0.0725,,2013-07,AOR,Restated
