,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2005-07,3.648B,3.648B,2.808B,840.00M,652.14M,,,,,,,652.14M,187.86M,,,,,,179.94M,69.13M,110.81M,,,,,288.32M,100.46M,187.86M,,2005-07,,,0.06,0.06,,0.00,,,,2005-07,1.869B,1.971B,0.015,,2005-07,,
2005-04,3.652B,3.652B,2.789B,863.06M,637.24M,,,,,,,637.24M,225.82M,,,,,,219.78M,84.20M,135.58M,,,,,328.74M,102.92M,225.82M,,2005-04,,,0.07,0.07,,0.00,,,,2005-04,1.908B,1.988B,0.0112,,2005-04,,
2005-01,4.276B,4.276B,3.353B,923.64M,723.59M,,,,,,,723.59M,200.05M,,,,,,195.00M,71.99M,123.01M,,,,,367.27M,167.22M,200.05M,,2005-01,,,0.065,0.065,,0.00,,,,2005-01,1.927B,1.975B,0.0112,,2005-01,,
2004-10,3.817B,3.817B,2.857B,960.24M,625.99M,,,,,,,625.99M,334.26M,,,,,,327.12M,126.27M,200.86M,,,,,405.76M,71.50M,334.26M,,2004-10,,,0.1025,0.1025,,0.00,,,,2004-10,1.938B,2.028B,0.0112,,2004-10,,
2004-07,3.414B,3.414B,2.629B,785.08M,584.75M,,,,,,,584.75M,200.33M,,,,,,193.34M,75.09M,118.24M,,,,,270.28M,69.95M,200.33M,,2004-07,,,0.06,0.06,,0.00,,,,2004-07,1.968B,2.064B,0.0112,,2004-07,,
2004-04,3.353B,3.353B,2.518B,834.39M,553.47M,,,,,,,553.47M,280.92M,,,,,,274.33M,106.22M,168.11M,,,,,351.43M,70.52M,280.92M,,2004-04,,,0.085,0.085,,0.00,,,,2004-04,1.988B,2.086B,0.0088,,2004-04,,
2004-01,4.106B,4.106B,3.133B,973.06M,666.82M,,,,,,,666.82M,306.24M,,,,,,300.42M,110.64M,189.79M,,,,,458.14M,151.91M,306.24M,,2004-01,,,0.095,0.095,,0.00,,,,2004-01,2.004B,2.319B,0.00,,2004-01,,
2003-10,3.387B,3.387B,2.528B,859.40M,552.14M,,,,,,,552.14M,307.26M,,,,,,300.03M,117.20M,182.83M,,,,,373.39M,66.12M,307.26M,,2003-10,,,0.09,0.09,,0.00,,,,2003-10,2.024B,2.044B,0.0088,,2003-10,,
2003-07,3.046B,3.046B,2.327B,719.13M,510.82M,,,,,,,510.82M,208.31M,,,,,,201.08M,77.82M,123.26M,,,,,262.26M,53.95M,208.31M,,2003-07,,,0.06,0.06,,0.00,,,,2003-07,2.054B,2.054B,0.0088,,2003-07,,
2003-04,2.789B,2.789B,2.114B,675.08M,482.89M,,,,,,,482.89M,192.18M,,,,,,185.21M,71.68M,113.53M,,,,,250.38M,58.20M,192.18M,,2003-04,,,0.055,0.055,,0.00,,,,2003-04,2.067B,2.082B,0.0088,,2003-04,,
2003-01,3.505B,3.505B,2.722B,783.60M,527.65M,,,,,,,527.65M,255.96M,,,,,,250.06M,95.75M,154.30M,,,,,310.10M,54.14M,255.96M,,2003-01,,,0.0803,0.0803,,,,,,2003-01,2.140B,2.391B,0.0075,,2003-01,,
2002-10,3.045B,3.045B,2.290B,754.81M,508.34M,,,,,,,508.34M,246.47M,,,,,,239.16M,91.80M,147.36M,,,,,298.71M,52.23M,246.47M,,2002-10,,,0.07,0.07,,0.00,,,,2002-10,2.109B,2.129B,0.0075,,2002-10,,
2002-07,2.765B,2.765B,2.079B,686.35M,469.53M,,,,,,,469.53M,216.82M,,,,,,210.86M,81.24M,129.63M,,,,,268.88M,52.05M,216.82M,,2002-07,,,0.06,0.06,,0.00,,,,2002-07,2.160B,2.160B,0.0075,,2002-07,,
2002-04,2.666B,2.666B,1.989B,676.86M,433.02M,,,,,,,433.02M,243.84M,,,,,,237.65M,90.54M,147.10M,,,,,293.30M,49.46M,243.84M,,2002-04,,,0.0675,0.0675,,0.00,,,,2002-04,2.179B,2.179B,0.0075,,2002-04,,
2002-01,3.209B,3.209B,2.482B,727.11M,467.96M,,,,,,,467.96M,259.15M,,,,,,251.95M,96.63M,155.32M,0.00,,,,310.85M,51.70M,259.15M,,2002-01,,,0.0738,0.0754,,0.0016,,,,2002-01,2.210B,2.494B,0.0056,,2002-01,,
2001-10,2.742B,2.742B,2.060B,681.77M,431.72M,,,,,,,431.72M,250.05M,,,,,,241.52M,92.02M,149.50M,-40.00M,,,,302.56M,52.51M,250.05M,,2001-10,,,0.0688,0.05,,-0.0188,,,,2001-10,2.187B,2.209B,0.0056,,2001-10,,
2001-07,2.488B,2.488B,1.895B,592.92M,406.44M,,,,,,,406.44M,186.48M,,,,,,180.79M,68.88M,111.91M,,,,,237.64M,51.16M,186.48M,,2001-07,,,0.0512,0.0512,,0.00,,,,2001-07,2.210B,2.233B,0.0056,,2001-07,,
2001-04,2.271B,2.271B,1.687B,584.28M,380.27M,,,,,,,380.27M,204.01M,,,,,,199.79M,76.12M,123.67M,,,,,252.72M,48.72M,204.01M,,2001-04,,,0.055,0.055,,0.00,,,,2001-04,2.249B,2.249B,0.0056,,2001-04,,
2001-01,2.751B,2.751B,2.079B,671.97M,414.94M,,,,,,,459.65M,212.33M,,,,,,206.63M,71.45M,135.18M,,,,,257.12M,44.80M,212.33M,,2001-01,,,0.06,0.06,,0.00,,,,2001-01,2.237B,2.248B,0.005,,2001-01,,
2000-10,2.461B,2.461B,1.759B,701.91M,385.67M,,,,,,,433.92M,268.00M,,,,,,258.62M,100.34M,158.27M,,,,,316.25M,48.16M,268.00M,,2000-10,,,0.07,0.07,,0.00,,,,2000-10,2.248B,2.263B,0.01,,2000-10,,
2000-07,2.258B,2.258B,1.660B,598.10M,364.47M,,,,,,,406.70M,191.40M,,,,,,186.33M,72.30M,114.03M,,,,,233.62M,42.22M,191.40M,,2000-07,,,0.0488,0.0488,,0.00,,,,2000-07,2.339B,2.339B,0.005,,2000-07,,
2000-04,2.108B,2.108B,1.513B,594.68M,337.96M,,,,,,,378.56M,216.12M,,,,,,213.37M,82.79M,130.58M,,,,,256.72M,40.60M,216.12M,,2000-04,,,0.055,0.055,,0.00,,,,2000-04,2.374B,2.374B,0.0044,,2000-04,,
2000-01,2.527B,2.527B,1.885B,642.43M,375.19M,,,,,,,419.77M,222.66M,,,,,,220.82M,83.87M,136.95M,,,,,267.24M,44.58M,222.66M,,2000-01,,,0.055,0.0562,,0.0012,,,,2000-01,2.449B,2.469B,0.0044,,2000-01,,
1999-10,2.235B,2.235B,1.606B,628.60M,338.32M,,,,,,,378.13M,250.46M,,,,,,246.19M,94.47M,151.72M,,,,,290.28M,39.81M,250.46M,,1999-10,,,0.06,0.06,,0.00,,,,1999-10,2.506B,2.531B,0.0044,,1999-10,,
1999-07,2.103B,2.103B,1.546B,556.40M,330.48M,,,,,,,369.28M,187.12M,,,,,,185.16M,69.28M,115.88M,,,,,225.92M,38.76M,187.12M,,1999-07,,,0.0462,0.0462,,0.00,,,,1999-07,2.506B,2.575B,0.0044,,1999-07,,
1999-04,1.931B,1.931B,1.382B,548.95M,310.68M,,,,,,,347.91M,201.04M,,,,,,201.77M,79.50M,122.27M,,-5.154M,,,238.27M,37.24M,201.04M,,1999-04,0.00,,0.0475,0.05,,0.0025,-0.0022,,,1999-04,2.342B,2.342B,0.0038,,1999-04,,
1999-01,2.282B,2.282B,1.692B,590.40M,360.30M,,,,,,,396.50M,193.90M,,,,,,195.20M,68.30M,126.90M,0.00,,,0.00,230.10M,36.20M,193.90M,,1999-01,,,0.0488,0.0488,,0.00,,,,1999-01,2.596B,2.696B,0.0038,,1999-01,,
1998-10,2.027B,2.027B,1.446B,580.80M,322.50M,,,,,,,357.20M,223.60M,,,,,,222.10M,88.40M,133.70M,-9.00M,,,1.00M,258.30M,34.70M,223.60M,,1998-10,,,0.0525,0.0488,,-0.0038,,,,1998-10,2.537B,2.604B,0.0038,,1998-10,,
1998-07,1.864B,1.864B,1.386B,478.70M,303.30M,,,,,,,336.30M,142.40M,,,,,,141.00M,56.10M,84.90M,,,,1.20M,175.40M,33.00M,142.40M,,1998-07,,,0.0325,0.0325,,0.00,,,,1998-07,2.575B,2.678B,0.0038,,1998-07,,
