,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,11.38B,9.743B,21.13B,3.827B,3.827B,2.069B,802.00M,393.00M,3.264B,2.191B,,30.41B,,,,,,,19.54B,-8.877B,10.67B,16.89B,11.03B,27.92B,19.59B,2.439B,6.161B,66.77B,97.18B,12.75B,776.00M,,13.53B,,13.53B,,,13.36B,,13.36B,,,,26.89B,39.50B,,39.50B,1.945B,1.945B,1.709B,8.53B,49.98B,76.87B,1.76B,66.86B,17.46B,52.03B,,,,-15.45B,18.61B
2020-06,10.04B,9.779B,19.82B,3.849B,3.849B,2.265B,794.00M,442.00M,3.501B,2.205B,,29.37B,,,,,,,19.23B,-8.539B,10.70B,16.62B,10.83B,27.45B,18.94B,2.366B,5.875B,65.32B,94.69B,11.67B,576.00M,,12.24B,,12.24B,,,14.60B,,14.60B,,,,26.85B,37.73B,,37.73B,1.969B,1.969B,1.705B,8.954B,48.65B,75.50B,1.76B,66.89B,17.37B,52.07B,,,,-16.46B,17.48B
2020-03,13.56B,4.105B,17.67B,4.43B,4.43B,2.282B,901.00M,375.00M,3.558B,2.58B,,28.23B,,,,,,,19.28B,-8.285B,10.99B,16.67B,11.16B,27.84B,18.67B,2.275B,6.001B,65.78B,94.01B,12.64B,458.00M,,13.10B,,13.10B,,,19.30B,,19.30B,,,,32.40B,31.09B,,31.09B,1.856B,1.856B,1.676B,8.832B,41.78B,74.18B,1.76B,66.87B,17.31B,52.09B,,,,-15.70B,18.16B
2019-12,6.48B,4.695B,11.18B,3.971B,3.971B,2.18B,851.00M,348.00M,3.379B,1.886B,,20.41B,0.0,659.00M,4.576B,13.69B,,,18.92B,-8.083B,10.84B,16.76B,10.00B,26.77B,19.88B,2.412B,6.075B,65.97B,86.38B,3.804B,856.00M,,4.66B,6.045B,10.70B,,,15.25B,,15.25B,,,,26.97B,27.52B,,27.52B,2.284B,2.284B,2.117B,8.51B,38.31B,65.28B,1.76B,65.86B,17.15B,52.24B,,,,-13.54B,18.98B
2019-09,7.531B,5.457B,12.99B,4.353B,4.353B,2.044B,881.00M,341.00M,3.266B,2.51B,,23.12B,,,,,19.79B,,19.79B,-8.267B,11.53B,16.46B,9.865B,26.33B,19.57B,2.452B,4.44B,64.32B,87.43B,12.47B,909.00M,,13.38B,,13.38B,,11.46B,11.46B,253.00M,11.72B,,,,25.10B,31.01B,1.076B,32.09B,2.581B,2.581B,1.97B,6.981B,41.65B,66.75B,1.76B,65.48B,17.04B,51.86B,,,,-13.71B,18.71B
2019-06,6.731B,6.63B,13.36B,4.888B,4.888B,2.201B,906.00M,346.00M,3.453B,2.658B,,24.36B,,,,,19.81B,,19.81B,-8.222B,11.58B,16.84B,10.08B,26.92B,20.31B,2.559B,4.266B,65.64B,90.00B,12.54B,784.00M,,13.32B,,13.32B,,15.78B,15.78B,282.00M,16.06B,,,,29.38B,29.30B,1.071B,30.37B,2.687B,2.687B,2.114B,7.265B,40.32B,69.70B,1.76B,64.60B,16.83B,52.03B,,,,-12.98B,18.18B
2019-03,5.645B,6.303B,11.95B,3.852B,3.852B,2.05B,852.00M,276.00M,3.178B,2.935B,,28.54B,,,,,18.14B,,18.14B,-8.032B,10.11B,12.96B,9.78B,22.74B,20.20B,2.617B,4.14B,59.81B,88.35B,10.74B,255.00M,,10.99B,,10.99B,,14.87B,14.87B,251.00M,15.12B,,,1.835B,27.94B,29.40B,1.017B,30.42B,2.602B,2.602B,2.069B,7.581B,40.60B,68.54B,1.76B,63.70B,16.58B,51.98B,,,,-12.32B,17.74B
2018-12,9.077B,7.038B,16.12B,3.685B,3.685B,2.025B,773.00M,273.00M,3.071B,2.059B,,24.93B,0.0,485.00M,4.322B,12.80B,,,17.61B,-8.013B,9.598B,14.11B,7.478B,21.59B,20.28B,2.674B,4.148B,58.29B,83.22B,2.719B,773.00M,,3.492B,5.534B,9.026B,,,18.84B,,18.84B,,,,28.78B,25.38B,,25.38B,2.354B,2.354B,2.077B,7.646B,35.38B,64.16B,1.76B,63.23B,16.52B,51.72B,,,,-12.81B,16.98B
2018-09,9.065B,9.782B,18.85B,3.702B,3.702B,1.743B,675.00M,209.00M,2.627B,2.066B,,33.41B,,,,,,,15.42B,-8.011B,7.404B,9.856B,6.999B,16.86B,21.95B,2.72B,4.535B,53.46B,86.88B,10.32B,313.00M,,10.63B,,10.63B,,,19.31B,,19.31B,,,1.486B,31.43B,25.52B,,25.52B,2.50B,2.50B,1.914B,7.246B,35.27B,66.70B,1.76B,64.03B,16.27B,51.72B,,,,-12.07B,18.26B
2018-06,7.975B,11.38B,19.35B,4.565B,4.565B,1.915B,751.00M,215.00M,2.881B,2.543B,,36.02B,,,,,,,15.97B,-8.284B,7.688B,9.863B,6.999B,16.86B,21.62B,2.999B,4.401B,53.57B,89.59B,10.84B,362.00M,,11.20B,,11.20B,,,18.74B,,18.74B,,,1.456B,31.40B,28.06B,,28.06B,2.589B,2.589B,1.853B,7.367B,38.02B,69.42B,1.76B,63.81B,16.12B,51.59B,,,,-11.77B,18.32B
