,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,7.626B,7.626B,2.738B,4.888B,1.413B,1.128B,2.541B,,230.00M,165.00M,-65.00M,,2.541B,2.347B,165.00M,230.00M,-65.00M,-449.00M,-65.00M,1.833B,506.00M,1.327B,73.00M,,-32.00M,,1.368B,1.295B,2.333B,270.00M,2.063B,0.31,0.01,,0.31,0.32,0.31,0.01,,0.31,0.32,4.265B,4.306B,0.39
2017-12,8.314B,8.314B,3.155B,5.159B,1.736B,1.321B,3.057B,,222.00M,184.00M,-38.00M,,3.288B,1.871B,184.00M,222.00M,-38.00M,-748.00M,-38.00M,1.085B,3.802B,-2.717B,,,-35.00M,,-2.752B,-2.752B,1.641B,334.00M,1.307B,-0.66,0.02,,-0.66,-0.65,-0.66,0.02,,-0.66,-0.65,4.263B,4.315B,0.37
2017-09,9.078B,9.078B,3.394B,5.684B,1.815B,1.43B,3.245B,,208.00M,175.00M,-33.00M,,3.245B,2.439B,175.00M,208.00M,-33.00M,-732.00M,-33.00M,1.674B,230.00M,1.444B,0.00,,3.00M,,1.447B,1.447B,2.179B,297.00M,1.882B,0.34,0.0,,0.34,0.34,0.33,0.0,,0.33,0.33,4.266B,4.32B,0.37
2017-06,9.702B,9.702B,3.659B,6.043B,1.826B,1.354B,3.18B,,231.00M,165.00M,-66.00M,,3.18B,2.863B,165.00M,231.00M,-66.00M,-173.00M,-66.00M,2.624B,1.252B,1.372B,0.00,,-1.00M,,1.371B,1.371B,3.156B,301.00M,2.855B,0.32,0.0,,0.32,0.32,0.32,0.0,,0.32,0.32,4.273B,4.327B,0.37
2017-03,9.118B,9.118B,3.513B,5.605B,1.983B,1.369B,3.352B,,192.00M,155.00M,-37.00M,,3.352B,2.253B,155.00M,192.00M,-37.00M,-709.00M,-37.00M,1.507B,323.00M,1.184B,0.00,,-2.00M,,1.182B,1.182B,2.027B,328.00M,1.699B,0.28,0.0,,0.28,0.28,0.27,0.0,,0.27,0.27,4.287B,4.334B,0.37
2016-12,9.409B,9.409B,3.794B,5.615B,2.127B,1.561B,3.688B,,248.00M,170.00M,-78.00M,,3.921B,1.694B,170.00M,248.00M,-78.00M,-1.101B,-78.00M,515.00M,-32.00M,547.00M,,,3.00M,,550.00M,550.00M,1.227B,464.00M,763.00M,0.13,,,0.13,0.13,0.13,,,0.13,0.13,4.302B,4.346B,0.35
2016-09,10.63B,10.63B,4.131B,6.502B,2.41B,1.599B,4.009B,,182.00M,164.00M,-18.00M,,4.009B,2.493B,164.00M,182.00M,-18.00M,-1.047B,-18.00M,1.428B,378.00M,1.05B,,,-4.00M,,1.046B,1.046B,2.03B,420.00M,1.61B,0.24,,,0.24,0.24,0.24,,,0.24,0.24,4.315B,4.364B,0.35
2016-06,11.54B,11.54B,4.471B,7.068B,2.357B,1.555B,3.912B,,162.00M,164.00M,2.00M,,3.912B,3.156B,164.00M,162.00M,2.00M,1.141B,2.00M,4.299B,839.00M,3.46B,,,-12.00M,,3.448B,3.448B,4.906B,445.00M,4.461B,0.8,,,0.8,0.8,0.79,,,0.79,0.79,4.323B,4.377B,0.35
2016-03,10.28B,10.28B,4.069B,6.213B,2.299B,1.462B,3.761B,,141.00M,144.00M,3.00M,,3.761B,2.452B,144.00M,141.00M,3.00M,-561.00M,3.00M,1.894B,401.00M,1.493B,,,-10.00M,,1.483B,1.483B,2.493B,458.00M,2.035B,0.34,,,0.34,0.34,0.34,,,0.34,0.34,4.328B,4.382B,0.35
2015-12,10.00B,10.00B,4.054B,5.946B,2.307B,1.63B,3.937B,,143.00M,154.00M,11.00M,,4.082B,1.864B,154.00M,143.00M,11.00M,-337.00M,11.00M,1.538B,302.00M,1.236B,,,1.00M,,1.237B,1.237B,2.208B,527.00M,1.681B,0.29,,,0.29,0.29,0.28,,,0.28,0.28,4.337B,4.39B,0.33
