,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2004-09,5.596B,5.596B,2.061B,3.535B,,,2.438B,-34.00M,,,,,2.438B,1.097B,,,,146.00M,,1.235B,300.00M,935.00M,,,,,935.00M,960.74M,1.307B,210.00M,1.097B,0.195,0.0,,0.2003,0.195,0.195,0.0,,0.2003,0.195,4.842B,4.848B,0.125
2004-06,5.914B,5.914B,2.039B,3.875B,,,2.072B,44.00M,,,,,2.072B,1.803B,,,,265.00M,,2.053B,469.00M,1.584B,,,,,1.584B,1.550B,2.01B,207.00M,1.803B,0.325,0.0,,0.318,0.325,0.325,0.0,,0.318,0.325,4.86B,4.868B,0.125
2004-03,5.078B,5.078B,1.753B,3.325B,,,1.874B,-25.00M,,,,,1.874B,1.451B,,,,70.00M,,1.512B,385.00M,1.127B,,,,,1.127B,1.146B,1.664B,213.00M,1.451B,0.23,0.0,,0.2338,0.23,0.23,0.0,,0.2338,0.23,4.88B,4.888B,0.125
2003-12,5.176B,5.176B,1.85B,3.326B,,,2.234B,-39.00M,,,,,2.234B,1.092B,,,,42.00M,,1.124B,197.00M,927.00M,,,,,927.00M,959.16M,1.32B,228.00M,1.092B,0.19,0.0,,0.1966,0.19,0.19,0.0,,0.1966,0.19,4.90B,4.906B,0.11
2003-09,5.671B,5.671B,2.168B,3.503B,,,2.052B,-34.00M,,,,,2.052B,1.451B,,,,52.00M,,1.498B,275.00M,1.223B,,,,,1.223B,1.251B,1.662B,211.00M,1.451B,0.25,0.0,,0.2557,0.25,0.25,0.0,,0.2556,0.25,4.91B,4.916B,0.11
2003-06,5.695B,5.695B,2.127B,3.568B,,,1.966B,-44.00M,,,,,1.966B,1.602B,,,,146.00M,,1.75B,388.00M,1.362B,,,,,1.362B,1.396B,1.815B,213.00M,1.602B,0.275,0.0,,0.282,0.275,0.275,0.0,,0.2819,0.275,4.926B,4.932B,0.11
2003-03,4.502B,4.502B,1.617B,2.885B,,,1.809B,-13.00M,,,,,1.809B,1.076B,,,,36.00M,,1.123B,288.00M,835.00M,,,,,835.00M,844.67M,1.274B,198.00M,1.076B,0.17,0.0,,0.172,0.17,0.17,0.0,,0.172,0.17,4.938B,4.944B,0.11
2002-12,4.795B,4.795B,1.701B,3.094B,,,1.804B,-61.00M,,,,,1.804B,1.29B,,,,-27.00M,,1.273B,343.00M,930.00M,,0.00,,,930.00M,974.56M,1.497B,207.00M,1.29B,0.185,0.0,0.0,0.194,0.185,0.185,0.0,-0.0001,0.194,0.185,4.95B,4.954B,0.1
2002-09,5.322B,5.322B,2.083B,3.239B,,,1.789B,-62.00M,,,,,1.789B,1.45B,,,,51.00M,,1.495B,404.00M,1.091B,,,,,1.091B,1.136B,1.651B,201.00M,1.45B,0.22,0.0,,0.2291,0.22,0.22,0.0,,0.2291,0.22,4.956B,4.966B,0.1
2002-06,5.368B,5.368B,1.927B,3.441B,,,1.789B,-55.00M,,,,,1.789B,1.652B,,,,121.00M,,1.767B,477.00M,1.29B,,,,,1.29B,1.330B,1.855B,203.00M,1.652B,0.26,0.0,,0.2681,0.26,0.26,0.0,,0.2681,0.26,4.962B,4.976B,0.1
2002-03,4.079B,4.079B,1.394B,2.685B,,,1.432B,-175.00M,,,,,1.432B,1.253B,,,,-114.00M,,1.151B,350.00M,801.00M,,-926.00M,,,-125.00M,922.79M,1.448B,195.00M,1.253B,0.16,-0.185,0.0,0.1845,-0.025,0.16,-0.185,-0.1863,0.1845,-0.025,4.97B,4.97B,0.1
2001-12,4.238B,4.238B,1.428B,2.81B,,,1.562B,16.00M,,,,,1.562B,1.248B,,,,1.00M,,1.292B,378.00M,914.00M,,0.00,,,914.00M,902.68M,1.48B,232.00M,1.248B,0.185,0.0,0.0,0.1827,0.185,0.185,0.0,0.0,0.1827,0.185,4.974B,4.974B,0.09
2001-09,4.695B,4.695B,1.692B,3.003B,,,1.692B,117.00M,,,,,1.692B,1.311B,,,,221.00M,,1.534B,460.00M,1.074B,,,,,1.074B,992.08M,1.497B,186.00M,1.311B,0.215,0.0,,0.1985,0.215,0.215,0.0,,0.1985,0.215,4.976B,4.976B,0.09
2001-06,5.293B,5.293B,1.579B,3.714B,,,2.201B,-18.00M,,,,,2.201B,1.513B,,,,83.00M,,1.597B,479.00M,1.118B,,,,,1.118B,1.131B,1.712B,199.00M,1.513B,0.225,0.0,,0.2275,0.225,0.225,0.0,,0.2275,0.225,4.976B,4.976B,0.09
2001-03,4.479B,4.479B,1.345B,3.134B,,,1.854B,15.00M,,,,,1.854B,1.28B,,,,-23.00M,,1.247B,374.00M,873.00M,,-10.00M,,,863.00M,862.50M,1.466B,186.00M,1.28B,0.175,0.0,0.0,0.1729,0.175,0.175,0.0,-0.002,0.1729,0.175,4.972B,4.98B,0.09
2000-12,4.733B,4.733B,1.393B,3.34B,,,2.501B,-52.00M,,,,,2.501B,839.00M,,,,-341.00M,,477.00M,235.00M,242.00M,,,,,242.00M,273.20M,1.04B,201.00M,839.00M,0.05,0.0,,0.0563,0.05,0.05,0.0,,0.0562,0.05,4.966B,4.992B,0.085
2000-09,5.413B,5.413B,1.736B,3.677B,,,2.35B,184.00M,,,,,2.35B,1.327B,,,,184.00M,,1.483B,416.00M,1.067B,,,,,1.067B,934.61M,1.456B,129.00M,1.327B,0.215,0.0,,0.1883,0.215,0.215,0.0,,0.1884,0.215,4.956B,4.978B,0.085
2000-06,5.487B,5.487B,1.868B,3.619B,,,2.334B,7.00M,,,,,2.334B,1.285B,,,,78.00M,,1.342B,416.00M,926.00M,,,,,926.00M,921.17M,1.511B,226.00M,1.285B,0.185,0.0,,0.184,0.185,0.185,0.0,,0.184,0.185,4.95B,4.96B,0.085
2000-03,4.256B,4.256B,1.398B,2.858B,,,2.618B,-111.00M,,,,,2.618B,240.00M,,,,-111.00M,,97.00M,155.00M,-58.00M,,,,,-58.00M,8.60M,457.00M,217.00M,240.00M,-0.01,0.0,,0.0035,-0.01,-0.01,0.0,,0.0035,-0.01,4.944B,4.944B,0.085
1999-12,4.41B,4.41B,2.073B,2.337B,,,2.597B,88.00M,,,,,1.988B,349.00M,,,,-96.00M,,230.00M,275.00M,-45.00M,,,,,-45.00M,-97.80M,532.00M,183.00M,349.00M,-0.01,0.0,,-0.0208,-0.01,-0.01,0.0,,-0.0205,-0.01,4.896B,5.04B,0.08
1999-09,5.139B,5.139B,1.441B,3.698B,,,2.39B,69.00M,,,,,2.599B,1.099B,,,,69.00M,,1.141B,354.00M,787.00M,,,,,787.00M,739.41M,1.308B,209.00M,1.099B,0.16,0.0,,0.1503,0.16,0.16,0.0,,0.1503,0.16,4.919B,4.919B,0.08
1999-06,5.335B,5.335B,1.592B,3.743B,,,2.353B,-10.00M,,,,,2.353B,1.39B,,,,-10.00M,,1.366B,424.00M,942.00M,,,,,942.00M,948.90M,1.605B,215.00M,1.39B,0.19,0.0,,0.1914,0.19,0.19,0.0,,0.1914,0.19,4.958B,4.958B,0.08
1999-03,4.428B,4.428B,1.146B,3.282B,,,1.953B,-49.00M,,,,,2.138B,1.144B,,,,-49.00M,,1.082B,335.00M,747.00M,,,,,747.00M,780.83M,1.329B,185.00M,1.144B,0.15,0.0,,0.1569,0.15,0.15,0.0,,0.1568,0.15,4.932B,4.974B,0.08
1998-12,4.458B,4.458B,1.198B,3.26B,,,2.149B,-52.00M,,,,,2.323B,937.00M,,,,-52.00M,,865.00M,268.00M,597.00M,,,,,597.00M,632.89M,1.111B,174.00M,937.00M,0.12,0.0,,0.1273,0.12,0.12,0.0,,0.1272,0.12,4.928B,4.98B,0.075
1998-09,4.747B,4.747B,1.295B,3.452B,,,2.064B,66.00M,,,,,2.215B,1.237B,,,,66.00M,,1.287B,399.00M,888.00M,,,,,888.00M,842.46M,1.388B,151.00M,1.237B,0.18,0.0,,0.1708,0.18,0.18,0.0,,0.1709,0.18,4.928B,4.984B,0.075
1998-06,5.151B,5.151B,1.331B,3.82B,,,2.141B,304.00M,,,,,2.309B,1.511B,,,,304.00M,,1.803B,612.00M,1.191B,,,,,1.191B,990.19M,1.679B,168.00M,1.511B,0.24,0.0,,0.1993,0.24,0.24,0.0,,0.1999,0.24,4.938B,5.002B,0.075
