,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,10.46B,10.46B,9.283B,1.177B,472.00M,,110.00M,2.00M,-108.00M,,472.00M,705.00M,2.00M,110.00M,-108.00M,19.00M,-108.00M,616.00M,144.00M,472.00M,,-5.00M,467.00M,467.00M,1.024B,298.00M,726.00M,,1.31,,1.31,1.31,,1.28,,1.28,1.28,,363.00M,365.00M,0.445,,AOR,
2020-09,11.46B,11.46B,9.85B,1.61B,704.00M,,124.00M,1.00M,-123.00M,,704.00M,906.00M,1.00M,124.00M,-123.00M,-2.00M,-123.00M,781.00M,165.00M,616.00M,,-3.00M,613.00M,613.00M,1.221B,316.00M,905.00M,,1.95,,1.95,1.95,,1.90,,1.90,1.90,,363.00M,363.00M,0.42,,AOR,Restated
2020-06,10.02B,10.02B,8.709B,1.313B,538.00M,,122.00M,3.00M,-119.00M,,538.00M,775.00M,3.00M,122.00M,-119.00M,11.00M,-119.00M,667.00M,140.00M,527.00M,,0.00,527.00M,527.00M,1.084B,295.00M,789.00M,,1.48,,1.48,1.48,,1.44,,1.44,1.44,,362.00M,364.00M,0.42,,AOR,
2020-03,10.89B,10.89B,9.867B,1.021B,520.00M,,119.00M,3.00M,-116.00M,,520.00M,501.00M,3.00M,119.00M,-116.00M,106.00M,-116.00M,491.00M,124.00M,367.00M,,-3.00M,364.00M,364.00M,903.00M,293.00M,610.00M,,1.03,,1.03,1.03,,1.00,,1.00,1.00,,363.00M,365.00M,0.42,,AOR,
2019-12,10.82B,10.82B,9.375B,1.44B,682.00M,,120.00M,3.00M,-117.00M,,682.00M,758.00M,3.00M,120.00M,-117.00M,16.00M,-117.00M,657.00M,148.00M,509.00M,,-4.00M,505.00M,505.00M,1.065B,288.00M,777.00M,,1.42,,1.42,1.42,,1.38,,1.38,1.38,,363.00M,367.00M,0.42,,AOR,Restated
2019-09,10.88B,10.88B,9.745B,1.139B,592.00M,,123.00M,2.00M,-121.00M,,592.00M,547.00M,2.00M,123.00M,-121.00M,-17.00M,-121.00M,409.00M,79.00M,330.00M,,-3.00M,327.00M,327.00M,821.00M,289.00M,532.00M,,1.03,,1.03,1.03,,1.01,,1.01,1.01,,363.00M,366.00M,0.375,,AOR,Restated
2019-06,10.88B,10.88B,9.549B,1.336B,555.00M,,121.00M,2.00M,-119.00M,,555.00M,781.00M,2.00M,121.00M,-119.00M,62.00M,-119.00M,724.00M,43.00M,681.00M,,-5.00M,676.00M,676.00M,1.131B,286.00M,845.00M,,1.90,,1.90,1.90,,1.84,,1.84,1.84,,363.00M,367.00M,0.375,,AOR,Restated
2019-03,10.44B,10.44B,9.251B,1.192B,557.00M,,119.00M,5.00M,-114.00M,,557.00M,635.00M,5.00M,119.00M,-114.00M,7.00M,-114.00M,528.00M,98.00M,430.00M,,-4.00M,426.00M,426.00M,920.00M,273.00M,647.00M,,1.20,,1.20,1.20,,1.17,,1.17,1.17,,364.00M,366.00M,0.375,,AOR,Restated
2018-12,10.19B,10.19B,8.838B,1.355B,548.00M,,99.00M,2.00M,-97.00M,,548.00M,807.00M,2.00M,99.00M,-97.00M,3.00M,-97.00M,713.00M,161.00M,552.00M,,-1.00M,551.00M,551.00M,1.062B,250.00M,812.00M,,1.54,,1.54,1.54,,1.50,,1.50,1.50,,364.00M,366.00M,0.375,,AOR,Restated
2018-09,9.999B,9.999B,8.66B,1.339B,583.00M,,87.00M,1.00M,-86.00M,,583.00M,756.00M,1.00M,87.00M,-86.00M,24.00M,-86.00M,694.00M,211.00M,483.00M,,0.00,483.00M,483.00M,1.027B,246.00M,781.00M,,1.50,,1.50,1.50,,1.47,,1.47,1.47,,362.00M,366.00M,0.30,,AOR,Restated
