,NetIncome,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2005-06,131.00M,8.00M,,,126.00M,126.00M,16.00M,,,,,,,183.00M,183.00M,464.00M,,-163.00M,7.00M,-156.00M,,-8.00M,14.00M,-150.00M,,,,-307.00M,11.00M,-9.00M,2.00M,,-14.00M,,,-319.00M,,35.00M,-5.00M,2.00M,32.00M,,11.00M,,,-9.00M,,,
2005-03,76.00M,1.00M,,,125.00M,125.00M,26.00M,,,,,,,-193.00M,-193.00M,35.00M,,-122.00M,-1.00M,-123.00M,,-31.00M,-3.00M,-157.00M,,,,132.00M,5.00M,-11.00M,-6.00M,,-13.00M,,1.00M,114.00M,,41.00M,-8.00M,2.00M,35.00M,,5.00M,,,-11.00M,,,
2004-12,48.00M,3.00M,,,126.00M,126.00M,-54.00M,,,,,,,299.00M,299.00M,422.00M,,-110.00M,9.00M,-101.00M,,5.00M,5.00M,-91.00M,,,,-292.00M,,-16.00M,-16.00M,,-14.00M,,-1.00M,-323.00M,,33.00M,8.00M,,41.00M,,,,,-16.00M,,,
2004-09,66.00M,4.00M,,,131.00M,131.00M,19.00M,,,,,,,-235.00M,-124.00M,142.00M,,-140.00M,7.00M,-133.00M,,-10.00M,-26.00M,-169.00M,,,,39.00M,6.00M,-23.00M,-17.00M,,-14.00M,,,8.00M,,51.00M,-19.00M,1.00M,33.00M,,6.00M,,,-23.00M,,,
2004-06,161.00M,-1.00M,,,121.00M,121.00M,25.00M,,,,,,,-61.00M,-61.00M,245.00M,,-115.00M,7.00M,-108.00M,,-89.00M,5.00M,-192.00M,,,,-62.00M,15.00M,-11.00M,4.00M,,-14.00M,,,-72.00M,,70.00M,-19.00M,0.00,51.00M,,15.00M,,,-11.00M,,,
2004-03,119.00M,7.00M,,,119.00M,119.00M,29.00M,,,,,,,10.00M,10.00M,284.00M,,-107.00M,10.00M,-97.00M,,,-23.00M,-120.00M,,,,-105.00M,22.00M,-29.00M,-7.00M,,-20.00M,,,-132.00M,,40.00M,32.00M,-2.00M,70.00M,,22.00M,,,-29.00M,,,
2003-12,57.00M,22.00M,,,119.00M,119.00M,-65.00M,,,,,,,128.00M,128.00M,261.00M,,-124.00M,3.00M,-121.00M,,,2.00M,-119.00M,,,,-114.00M,,-9.00M,-9.00M,,-7.00M,,,-130.00M,,25.00M,12.00M,3.00M,40.00M,,,,,-9.00M,,,
2003-09,147.00M,24.00M,,,120.00M,120.00M,65.00M,,,,,,,242.00M,45.00M,401.00M,,-73.00M,7.00M,-66.00M,,,0.00,-62.00M,,,,-390.00M,,-9.00M,-9.00M,,-11.00M,,,-410.00M,,100.00M,-71.00M,-4.00M,25.00M,,,,,-9.00M,,,
2003-06,79.00M,12.00M,,,110.00M,110.00M,48.00M,,,,,,,-120.00M,-120.00M,129.00M,,-147.00M,12.00M,-135.00M,,,-30.00M,-165.00M,,,,84.00M,,-3.00M,-3.00M,,-14.00M,,,67.00M,,71.00M,31.00M,-2.00M,100.00M,,,,,-3.00M,,,
2003-03,72.00M,-23.00M,,,112.00M,112.00M,31.00M,,,,,,,53.00M,53.00M,245.00M,,-82.00M,4.00M,-78.00M,,,26.00M,-52.00M,,,,-167.00M,,-14.00M,-14.00M,,-14.00M,,,-195.00M,,76.00M,-2.00M,-3.00M,71.00M,,,,,-14.00M,,,
2002-12,39.00M,45.00M,,,116.00M,116.00M,-31.00M,,,,,,,-124.00M,-124.00M,45.00M,,-100.00M,7.00M,-93.00M,,,11.00M,-82.00M,,,,86.00M,,-15.00M,-15.00M,,-15.00M,,,56.00M,,51.00M,19.00M,6.00M,76.00M,,,,,-15.00M,,,
2002-09,84.00M,5.00M,,,111.00M,111.00M,-33.00M,7.00M,,,,,,47.00M,61.00M,235.00M,,-67.00M,137.00M,70.00M,0.00,0.00,-7.00M,63.00M,,,,-268.00M,,-4.00M,-4.00M,,-15.00M,,,-287.00M,,48.00M,11.00M,-8.00M,51.00M,,,,,-4.00M,,,
2002-06,107.00M,-2.00M,,,124.00M,124.00M,-1.00M,9.00M,,,,,,13.00M,13.00M,250.00M,,-126.00M,6.00M,-120.00M,-73.00M,94.00M,-95.00M,-194.00M,,,,-46.00M,,-5.00M,-5.00M,,-14.00M,,,-65.00M,,50.00M,-9.00M,7.00M,48.00M,,,,,-5.00M,,,
2002-03,65.00M,2.00M,,,115.00M,115.00M,-4.00M,,,,,,,4.00M,4.00M,182.00M,,-132.00M,2.00M,-130.00M,,,-30.00M,-160.00M,,,,-47.00M,,-4.00M,-4.00M,,-16.00M,,,-67.00M,,92.00M,-45.00M,3.00M,50.00M,,,,,-4.00M,,,
2001-12,127.00M,,,,117.00M,117.00M,60.00M,,,,,,,203.00M,203.00M,507.00M,,-108.00M,,-108.00M,,,71.00M,-37.00M,,,,-428.00M,,-6.00M,-6.00M,,-13.00M,,,-447.00M,,70.00M,23.00M,-1.00M,92.00M,,,,,-6.00M,,,
2001-09,48.00M,,97.00M,16.00M,113.00M,113.00M,-22.00M,13.00M,-43.00M,-15.00M,89.00M,,,53.00M,84.00M,236.00M,,-70.00M,5.00M,-65.00M,,9.00M,1.00M,-1.725B,,,,1.465B,,-2.00M,32.00M,,26.00M,,-36.00M,1.487B,,71.00M,-2.00M,1.00M,70.00M,,,,,-2.00M,,,
2001-06,19.00M,-5.00M,66.00M,6.00M,72.00M,72.00M,-9.00M,6.00M,-6.00M,-1.00M,6.00M,,-18.00M,39.00M,20.00M,103.00M,,-84.00M,4.00M,-80.00M,,-9.00M,-59.00M,-148.00M,,,,59.00M,,-16.00M,-16.00M,,-9.00M,,1.00M,35.00M,,84.00M,-10.00M,-3.00M,71.00M,,,,,-16.00M,,,
2001-03,-6.00M,4.00M,131.00M,19.00M,75.00M,75.00M,-14.00M,,-8.00M,20.00M,14.00M,,-16.00M,-20.00M,-10.00M,49.00M,,-60.00M,3.00M,-57.00M,,,-57.00M,-114.00M,,,,137.00M,,-11.00M,-11.00M,,-9.00M,,1.00M,118.00M,,33.00M,53.00M,-2.00M,84.00M,,,,,-11.00M,,,
2000-12,27.00M,1.00M,,,75.00M,75.00M,-2.00M,,14.00M,-19.00M,-20.00M,,34.00M,13.00M,22.00M,123.00M,,-47.00M,21.00M,-26.00M,,,-5.00M,-31.00M,,,,-77.00M,,-19.00M,-19.00M,,-8.00M,,-1.00M,-105.00M,,43.00M,-13.00M,3.00M,33.00M,,,,,-19.00M,,,
2000-09,17.80M,-24.40M,64.90M,11.50M,76.40M,76.40M,14.40M,24.00M,57.00M,84.00M,-46.00M,,,-54.40M,40.60M,148.80M,,-41.80M,1.00M,-40.80M,,0.90M,-6.60M,-46.50M,,,,-66.00M,,-7.60M,-7.60M,,25.90M,,-34.00M,-81.70M,,22.90M,20.60M,-0.20M,43.00M,,,,,-7.60M,,,
2000-06,40.50M,15.70M,192.10M,25.50M,73.80M,73.80M,51.00M,5.00M,-96.30M,-1.20M,42.40M,,,8.40M,-46.70M,139.30M,,-60.90M,1.30M,-59.60M,,-0.90M,-2.30M,-62.80M,,,,-63.80M,,-11.90M,-11.90M,,-25.90M,,17.40M,-84.20M,,31.30M,-7.70M,-0.70M,22.90M,,,,,-11.90M,,,
2000-03,35.70M,3.80M,,,72.30M,72.30M,-15.30M,,73.60M,-17.90M,-38.10M,,,-20.50M,-2.90M,93.60M,,-45.30M,0.80M,-44.50M,,,1.60M,-42.90M,,,,-52.30M,,-17.30M,-17.30M,,,,-8.90M,-78.50M,,59.00M,-27.80M,0.10M,31.30M,,,,,-17.30M,,,
1999-12,57.00M,4.90M,,,71.50M,71.50M,-3.10M,,22.70M,19.10M,-4.30M,,,37.50M,75.00M,205.30M,,-49.00M,0.90M,-48.10M,,,-5.70M,-53.80M,,,,-80.90M,,-33.20M,-33.20M,,,,-7.50M,-121.60M,,30.30M,29.90M,-1.20M,59.00M,,,,,-33.20M,,,
1999-09,41.10M,73.40M,,,72.70M,72.70M,62.70M,0.20M,26.60M,-24.40M,-22.80M,-169.00M,,,-182.20M,67.90M,,-83.50M,173.80M,90.30M,,,-10.60M,79.70M,,,,-145.30M,,-17.30M,-17.30M,,,,-6.00M,-168.60M,,55.00M,-21.00M,-3.70M,30.30M,,,,,-17.30M,,,
1999-06,68.60M,15.80M,,,74.90M,74.90M,-4.30M,-0.20M,-12.50M,-3.00M,-3.50M,169.00M,-116.60M,,33.40M,188.20M,,-100.60M,5.40M,-95.20M,,,-2.50M,-97.70M,,,,-66.40M,,-20.70M,-20.70M,,,,-5.30M,-92.40M,,0.00,-1.90M,8.80M,55.00M,,,,,-20.70M,,,
1999-03,64.60M,-1.40M,,,70.00M,70.00M,-48.60M,-44.10M,-33.20M,-46.60M,-7.70M,,116.60M,,29.10M,69.60M,,-71.40M,35.50M,-35.90M,,,-19.70M,-55.60M,,,,-1.70M,,-8.00M,-8.00M,,,,-4.10M,-13.80M,,0.00,0.20M,-5.70M,0.00,,,,,-8.00M,,,
1998-12,55.80M,-2.60M,,,73.50M,73.50M,-23.30M,44.10M,43.90M,-24.80M,54.40M,,,,73.50M,221.00M,,-107.80M,19.10M,-88.70M,,,-3.60M,-92.30M,,,,-111.70M,,-6.10M,-6.10M,,,,-2.20M,-120.00M,,46.50M,8.70M,-1.60M,0.00,,,,,-6.10M,,,
1998-09,-89.80M,215.20M,,,78.20M,78.20M,-83.60M,0.90M,12.70M,64.70M,-14.90M,-61.20M,21.00M,,22.30M,143.20M,,-108.50M,5.40M,-103.10M,,,-0.10M,-103.20M,,,,-28.80M,,-5.60M,-5.60M,,,,11.30M,-23.10M,,29.60M,16.90M,0.10M,47.00M,,,,,-5.60M,,,
1998-06,46.60M,-3.20M,,,69.60M,69.60M,-37.50M,0.10M,68.60M,71.50M,6.30M,65.20M,-88.90M,,122.70M,198.30M,,-52.60M,118.50M,65.90M,,,10.20M,76.10M,,,,-267.80M,,-6.60M,-6.60M,,,,-4.90M,-279.30M,,0.00,-4.90M,0.10M,29.60M,,,,,-6.60M,,,
1998-03,23.30M,-0.60M,,,70.60M,70.60M,-20.50M,9.90M,-76.40M,-27.80M,22.90M,-4.00M,88.90M,,3.60M,86.30M,,-357.60M,9.70M,-347.90M,,,-12.50M,-360.40M,,,,293.90M,,-4.30M,-4.30M,,,,-5.20M,284.40M,,0.00,10.30M,-0.10M,0.00,,,,,-4.30M,,,
1997-12,44.90M,0.60M,,,57.60M,57.60M,-3.40M,-9.90M,28.10M,-28.40M,-21.30M,,,,-21.60M,68.20M,,-50.30M,2.40M,-47.90M,,,-10.60M,-58.50M,,,,0.70M,,-5.50M,-5.50M,,,,-4.20M,-9.00M,,23.60M,0.70M,-0.10M,0.00,,,,,-5.50M,,,
1997-09,47.80M,7.20M,,,58.10M,58.10M,21.40M,,-76.10M,116.00M,8.90M,-68.20M,,,-19.40M,169.80M,,-71.80M,16.80M,-55.00M,,,-23.20M,-78.20M,,,,-33.50M,,-68.00M,-68.00M,,,,-4.50M,-106.00M,,0.00,-14.40M,0.20M,0.00,,,,,-68.00M,,,
1997-06,45.20M,-3.00M,,,57.10M,57.10M,-7.20M,,-31.90M,35.50M,2.10M,20.30M,,,26.00M,118.10M,,-97.50M,17.50M,-80.00M,,,-8.00M,-88.00M,,,,-72.60M,,-15.80M,-15.80M,,,,-4.20M,-92.60M,,0.00,-62.50M,-0.10M,0.00,,,,,-15.80M,,,
1997-03,48.20M,2.40M,,,57.30M,57.30M,-3.60M,,-12.40M,-46.80M,41.30M,-15.90M,,,-33.80M,70.50M,,-77.30M,2.60M,-74.70M,,,-31.40M,-106.10M,,,,50.50M,,-25.80M,-25.80M,,,,-5.60M,19.10M,,0.00,-16.50M,0.50M,0.00,,,,,-25.80M,,,
1996-12,44.60M,-41.40M,,,57.90M,57.90M,-0.10M,,52.00M,38.90M,-33.10M,63.80M,,,121.60M,182.60M,,-44.60M,186.50M,141.90M,,,-5.50M,136.40M,,,,-236.00M,,,,,,,-2.90M,-238.90M,,36.60M,80.10M,-0.30M,0.00,,,,,,,,
1996-09,14.60M,-1.00M,,,59.50M,59.50M,18.40M,0.00,35.20M,1.60M,-10.60M,12.70M,,,38.90M,130.40M,,-47.00M,12.20M,-34.80M,,,-2.50M,-37.30M,,,,-71.10M,,0.00,0.00,,,,-3.00M,-74.10M,,17.60M,19.00M,0.00,0.00,,,,,0.00,,,
1996-06,14.60M,1.80M,,,60.00M,60.00M,3.70M,0.00,-39.50M,14.10M,7.70M,2.70M,,,-15.00M,65.10M,,-47.90M,3.40M,-44.50M,,,-30.50M,-75.00M,,,,-0.10M,,0.00,0.00,,,,-5.60M,-5.70M,,33.20M,-15.60M,0.00,17.60M,,,,,0.00,,,
1996-03,14.40M,-1.30M,,,61.50M,61.50M,-6.00M,0.40M,-65.50M,-71.50M,2.70M,3.90M,,,-130.40M,-61.40M,,-49.20M,4.40M,-44.80M,,,1.50M,-43.30M,,,,115.90M,,-0.10M,-0.10M,,,,-4.20M,111.60M,,24.20M,6.90M,2.10M,33.20M,,,,,-0.10M,,,
1995-12,43.30M,11.70M,,,58.30M,58.30M,-0.20M,-3.70M,2.90M,-70.90M,-4.50M,2.30M,,,-70.20M,39.20M,,-69.90M,1.10M,-68.80M,,,2.00M,-66.80M,,,,23.70M,,-1.20M,-1.20M,,,,-2.20M,20.30M,,33.10M,-7.30M,-1.60M,24.20M,,,,,-1.20M,,,
1995-09,58.80M,-1.70M,,,54.80M,54.80M,6.20M,-1.30M,-39.90M,-47.00M,32.70M,-36.30M,,,-90.50M,26.30M,,-76.60M,5.30M,-71.30M,,,-323.90M,-395.20M,,,,373.10M,,-0.90M,-0.90M,,8.10M,,-9.70M,370.60M,,32.80M,1.70M,-1.30M,0.00,,,,,-0.90M,,,
1995-06,57.70M,-2.40M,,,50.90M,50.90M,1.00M,1.60M,8.40M,-19.50M,9.30M,36.00M,,,34.20M,143.00M,,-89.10M,8.70M,-80.40M,,,-64.50M,-144.90M,,,,-4.60M,,-4.20M,-4.20M,,-2.70M,,5.70M,-5.80M,,39.70M,-7.70M,0.70M,32.80M,,,,,-4.20M,,,
1995-03,50.50M,22.20M,,,50.10M,50.10M,7.00M,-7.00M,-47.40M,-65.00M,-18.10M,-16.00M,,,-146.50M,-23.70M,,-103.30M,4.10M,-99.20M,,,9.10M,-90.10M,,,,113.60M,,-2.10M,-2.10M,,-2.70M,,-8.10M,100.70M,,0.00,-13.10M,-5.00M,39.70M,,,,,-2.10M,,,
1994-12,52.20M,1.10M,,,49.10M,49.10M,-3.30M,0.10M,49.30M,-9.00M,-11.10M,17.30M,,,46.50M,145.70M,,-78.20M,2.00M,-76.20M,,,-24.60M,-100.80M,,,,2.40M,,-24.80M,-24.80M,,-2.70M,,11.00M,-14.10M,,27.00M,30.80M,,0.00,,,,,-24.80M,,,
1994-09,58.80M,0.20M,,,47.10M,47.10M,1.30M,0.20M,-20.60M,30.30M,21.70M,-44.50M,-0.50M,,-13.60M,94.00M,,-57.50M,4.90M,-52.60M,,,-32.50M,-85.10M,,,,34.80M,,,,,3.90M,,0.00,-28.20M,,46.50M,-19.30M,,0.00,,,,,,,,
1994-06,-148.40M,0.60M,,,49.00M,49.00M,-10.30M,214.00M,2.30M,8.40M,18.40M,35.70M,0.50M,,65.30M,170.20M,,-72.20M,0.30M,-71.90M,,,1.80M,-70.10M,,,,-81.70M,,,,,-4.60M,,0.10M,-86.20M,,32.50M,13.90M,,46.50M,,,,,,,,
1994-03,43.10M,-0.40M,,,46.60M,46.60M,6.60M,-0.10M,-46.70M,-38.90M,-8.50M,-35.70M,34.00M,,-95.80M,0.00,,-58.00M,2.20M,-55.80M,,,-54.10M,-109.90M,,,,126.10M,,,,,-1.60M,,,124.50M,,0.00,14.60M,,32.50M,,,,,,,,
1993-12,44.40M,2.40M,,,45.60M,45.60M,,-0.10M,-242.40M,-33.80M,4.00M,,-34.00M,,-306.20M,-213.90M,,-44.40M,1.10M,-43.30M,,,-1.80M,-45.10M,,,,255.40M,,,,,,,,255.40M,,21.50M,-3.60M,,0.00,,,,,,,,
1993-09,41.10M,-1.20M,,,44.80M,44.80M,-2.10M,0.10M,-3.60M,24.00M,-6.70M,-19.80M,18.10M,,12.00M,94.70M,,-45.50M,1.50M,-44.00M,,,-26.30M,-70.30M,,,,-20.00M,,,,,-2.10M,,0.00,-22.10M,,0.00,2.30M,,0.00,,,,,,,,
1993-06,53.70M,0.30M,,,46.60M,46.60M,0.10M,0.10M,-2.60M,13.20M,9.60M,19.80M,-14.50M,,25.50M,126.30M,,-64.10M,1.00M,-63.10M,,,-0.10M,-63.20M,,,,-64.30M,,,,,-1.70M,,0.10M,-65.90M,,0.00,-2.80M,,0.00,,,,,,,,
1993-03,46.10M,0.70M,,,51.90M,51.90M,3.90M,-7.80M,-17.10M,-64.80M,-9.40M,,14.70M,,-76.60M,18.20M,,-61.60M,4.00M,-57.60M,,,-0.50M,-58.10M,,,,27.00M,,,,,-0.90M,,,26.10M,,0.00,-13.80M,,0.00,,,,,,,,
1992-12,39.40M,0.90M,,,33.20M,33.20M,3.50M,7.60M,58.60M,-39.30M,-34.50M,,-0.20M,,-15.40M,69.20M,,-54.10M,0.90M,-53.20M,,,-57.90M,-111.10M,,,,51.00M,,,,,-0.30M,,,50.70M,,27.10M,8.80M,,0.00,,,,,,,,
1992-09,47.50M,-0.60M,,,61.80M,61.80M,13.90M,-21.90M,-22.80M,2.40M,13.90M,,-15.00M,,-21.50M,79.20M,,-28.00M,2.10M,-25.90M,,,1.00M,-24.90M,,,,-48.80M,,,,,-1.20M,,,-50.00M,,0.00,4.30M,,0.00,,,,,,,,
1992-06,44.40M,1.20M,,,15.00M,15.00M,-1.90M,22.00M,-2.20M,-19.10M,1.10M,54.50M,-39.40M,,-5.10M,75.60M,,-26.10M,0.90M,-25.20M,,,-7.30M,-32.50M,,,,-34.80M,,,,,-0.50M,,,-35.30M,,0.00,7.80M,,0.00,,,,,,,,
1992-03,36.70M,-0.40M,,,36.30M,36.30M,4.00M,,-30.50M,32.40M,7.40M,15.50M,,,24.80M,101.40M,,-28.30M,3.20M,-25.10M,,,1.00M,-24.10M,,,,-77.10M,,,,,-0.60M,,0.10M,-77.60M,,0.00,-0.30M,,0.00,,,,,,,,
1991-12,31.90M,,,,35.80M,35.80M,1.90M,,30.20M,-5.10M,-15.00M,-70.00M,,,-59.90M,9.70M,,-25.60M,0.40M,-25.20M,,,2.00M,-23.20M,,,,3.90M,,,,,-0.50M,,-0.10M,3.30M,,25.50M,-10.20M,,0.00,,,,,,,,
1991-09,43.00M,23.90M,,,23.20M,23.20M,-2.10M,-0.10M,-30.90M,81.60M,15.60M,,,,101.90M,189.80M,,-33.30M,5.40M,-27.90M,,,-20.90M,-48.80M,,,,-125.00M,-13.50M,,-13.50M,,-3.10M,,0.00,-141.60M,,0.00,-0.60M,,0.00,,-13.50M,,,,,,
1991-06,40.60M,18.40M,,,40.80M,40.80M,-1.50M,-0.10M,3.60M,-41.00M,9.70M,,,,-27.70M,70.50M,,-48.00M,0.40M,-47.60M,,,16.90M,-30.70M,,,,-46.40M,13.50M,,13.50M,,1.50M,,-0.10M,-31.50M,,0.00,8.30M,,0.00,,13.50M,,,,,,
1991-03,33.00M,6.80M,,,38.40M,38.40M,6.00M,0.10M,-10.40M,-16.30M,-8.70M,,,,-35.40M,48.90M,,-59.40M,0.50M,-58.90M,,,-0.70M,-59.60M,,,,3.20M,,,,,0.40M,,,3.60M,,0.00,-7.10M,,0.00,,,,,,,,
1990-12,28.90M,-48.30M,,,33.40M,33.40M,1.40M,0.10M,33.90M,-38.50M,-23.00M,,,,-27.60M,-12.10M,,-72.90M,9.00M,-63.90M,,,-2.70M,-66.60M,,,,87.10M,,,,,-0.50M,,,86.60M,,17.00M,7.90M,,0.00,,,,,,,,
1990-09,37.20M,-66.60M,,,38.30M,38.30M,16.90M,0.10M,11.30M,23.20M,-5.00M,,12.40M,,41.90M,67.80M,,-45.20M,-1.40M,-46.60M,,,35.20M,-11.40M,,,,-150.60M,,,,,-2.90M,,0.60M,-59.90M,,0.00,-3.50M,,0.00,,,,,,,,
1990-06,33.50M,67.10M,,,28.60M,28.60M,-5.50M,0.10M,159.20M,2.50M,15.10M,,-22.70M,,154.10M,277.90M,,-35.50M,3.80M,-31.70M,,,-12.00M,-43.70M,,,,-234.40M,,,,,0.20M,,,-234.20M,,0.00,0.00,,0.00,,,,,,,,
1990-03,26.30M,44.00M,,,51.80M,51.80M,3.40M,-0.10M,-13.40M,-89.30M,-18.20M,,22.70M,,-98.20M,27.20M,,-43.90M,0.60M,-43.30M,,-20.50M,1.40M,-62.40M,,,,19.80M,,,,,-0.30M,,0.10M,19.60M,,0.00,-15.60M,,0.00,,,,,,,,
1989-12,23.00M,-43.50M,,,4.70M,4.70M,,,,,,,,,,-15.80M,,-39.20M,,-39.20M,,20.50M,,-18.70M,,,,11.20M,,,,,3.00M,,-0.10M,14.10M,,56.50M,-20.40M,,0.00,,,,,,,,
