,NetIncome,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2017-09,395.00M,,,,218.00M,218.00M,-14.00M,-163.00M,,,,,,,408.00M,1.15B,,-287.00M,,-287.00M,0.00,-16.00M,6.00M,-297.00M,,-703.00M,88.00M,-615.00M,,-92.00M,-92.00M,-81.00M,-81.00M,26.00M,-7.00M,-769.00M,,231.00M,84.00M,3.00M,318.00M,,,5.054B,-5.669B,-92.00M,,AOR,Restated
2017-06,448.00M,,,,187.00M,187.00M,3.00M,18.00M,,,,,,,-189.00M,467.00M,,-315.00M,,-315.00M,-3.081B,-1.00M,8.00M,-3.389B,,3.03B,190.00M,3.22B,,-35.00M,-35.00M,-80.00M,-80.00M,45.00M,-242.00M,2.908B,,243.00M,-14.00M,2.00M,231.00M,,,7.933B,-4.713B,-35.00M,,AOR,Restated
2017-03,341.00M,,,,179.00M,179.00M,-24.00M,81.00M,,,,,,,-729.00M,-152.00M,,-267.00M,,-267.00M,0.00,1.00M,2.00M,-264.00M,,-22.00M,500.00M,478.00M,,-157.00M,-157.00M,-79.00M,-79.00M,77.00M,29.00M,348.00M,,307.00M,-68.00M,4.00M,243.00M,,,1.97B,-1.492B,-157.00M,,AOR,Restated
2016-12,594.00M,,,,177.00M,177.00M,-4.00M,7.00M,,,,,,,360.00M,1.134B,,-200.00M,,-200.00M,,-2.00M,-12.00M,-214.00M,,-320.00M,,-320.00M,,-576.00M,-576.00M,-79.00M,-79.00M,6.00M,12.00M,-957.00M,,349.00M,-37.00M,-5.00M,307.00M,,,435.00M,-755.00M,-576.00M,,AOR,Restated
2016-09,392.00M,,,,179.00M,179.00M,23.00M,-79.00M,,,,,,,202.00M,843.00M,,-180.00M,,-180.00M,0.00,-7.00M,5.00M,-182.00M,,130.00M,0.00,130.00M,,-651.00M,-651.00M,-54.00M,-54.00M,39.00M,26.00M,-510.00M,,197.00M,151.00M,1.00M,349.00M,,,390.00M,-260.00M,-651.00M,,AOR,Restated
2016-06,485.00M,,,,178.00M,178.00M,-24.00M,27.00M,,,,,,,102.00M,768.00M,,-160.00M,,-160.00M,0.00,-3.00M,13.00M,-150.00M,,-170.00M,0.00,-170.00M,,-467.00M,-467.00M,-54.00M,-54.00M,11.00M,2.00M,-678.00M,,254.00M,-60.00M,3.00M,197.00M,,,376.00M,-546.00M,-467.00M,,AOR,Restated
2016-03,434.00M,,,,176.00M,176.00M,16.00M,19.00M,,,,,,,-635.00M,10.00M,,-167.00M,,-167.00M,,3.00M,3.00M,-161.00M,,-353.00M,0.00,-353.00M,,-439.00M,-439.00M,-54.00M,-54.00M,44.00M,17.00M,-785.00M,,1.187B,-936.00M,3.00M,254.00M,,,300.00M,-653.00M,-439.00M,,AOR,Restated
2015-12,461.00M,,,,172.00M,172.00M,69.00M,-1.00M,,,,,,,394.00M,1.095B,,-188.00M,,-188.00M,,-2.00M,-1.00M,-191.00M,,-20.00M,,-20.00M,,-387.00M,-387.00M,-54.00M,-54.00M,34.00M,23.00M,-404.00M,,688.00M,500.00M,-1.00M,1.187B,,,0.00,-20.00M,-387.00M,,AOR,Restated
2015-09,259.00M,,,,187.00M,187.00M,22.00M,14.00M,,,,,,,239.00M,898.00M,,-218.00M,,-218.00M,374.00M,-5.00M,5.00M,156.00M,,-510.00M,,-510.00M,,-298.00M,-298.00M,-37.00M,-37.00M,13.00M,0.00,-832.00M,,471.00M,222.00M,-5.00M,688.00M,,,0.00,-510.00M,-298.00M,,AOR,Restated
2015-06,344.00M,,,,177.00M,177.00M,4.00M,21.00M,,,,,,,318.00M,864.00M,,-201.00M,,-201.00M,23.00M,21.00M,22.00M,-135.00M,,-444.00M,,-444.00M,,-47.00M,-47.00M,-35.00M,-35.00M,37.00M,7.00M,-482.00M,,223.00M,247.00M,1.00M,471.00M,,,766.00M,-1.21B,-47.00M,,AOR,Restated
2015-03,311.00M,,,,172.00M,172.00M,1.00M,30.00M,,,,,,,-518.00M,-4.00M,,-204.00M,,-204.00M,0.00,1.00M,1.00M,-202.00M,,128.00M,,128.00M,,-59.00M,-59.00M,-38.00M,-38.00M,18.00M,5.00M,54.00M,,381.00M,-152.00M,-6.00M,223.00M,,,1.08B,-952.00M,-59.00M,,AOR,Restated
2014-12,310.00M,,,,175.00M,175.00M,11.00M,6.00M,,,,,,,310.00M,812.00M,,-231.00M,,-231.00M,142.00M,-3.00M,3.00M,-89.00M,,-668.00M,,-668.00M,,-91.00M,-91.00M,-37.00M,-37.00M,16.00M,5.00M,-775.00M,,438.00M,-52.00M,-5.00M,381.00M,,,,-668.00M,-91.00M,,AOR,Restated
2014-09,136.00M,,,,148.00M,148.00M,-41.00M,-96.00M,,,,,,,330.00M,635.00M,,-195.00M,,-195.00M,-8.137B,16.00M,-34.00M,-8.35B,,5.521B,,5.521B,,-9.00M,2.119B,-28.00M,-28.00M,6.00M,-49.00M,7.569B,,587.00M,-146.00M,-3.00M,438.00M,,,5.753B,-232.00M,-9.00M,,AOR,Restated
2014-06,258.00M,,,,128.00M,128.00M,-40.00M,44.00M,,,,,,,-112.00M,278.00M,,-144.00M,,-144.00M,0.00,2.00M,36.00M,-106.00M,,-3.00M,,-3.00M,,-11.00M,-11.00M,-26.00M,-26.00M,12.00M,7.00M,-21.00M,,438.00M,151.00M,-2.00M,587.00M,,,14.00M,-17.00M,-11.00M,,AOR,Restated
2014-03,210.00M,,,,127.00M,127.00M,-9.00M,10.00M,,,,,,,-434.00M,-96.00M,,-153.00M,,-153.00M,-56.00M,-2.00M,11.00M,-200.00M,,-3.00M,,-3.00M,,-116.00M,-116.00M,-25.00M,-25.00M,37.00M,14.00M,-93.00M,,825.00M,-389.00M,2.00M,438.00M,,,8.00M,-11.00M,-116.00M,,AOR,Restated
2013-12,252.00M,,,,127.00M,127.00M,-15.00M,-70.00M,,,,,,,67.00M,361.00M,,-140.00M,,-140.00M,0.00,-1.00M,-3.00M,-144.00M,,-373.00M,,-373.00M,,-159.00M,-159.00M,-25.00M,-25.00M,12.00M,5.00M,-540.00M,,1.145B,-323.00M,3.00M,825.00M,,,6.00M,-379.00M,-159.00M,,AOR,Restated
2013-09,259.00M,,,,132.00M,132.00M,9.00M,-90.00M,,,,,,,122.00M,542.00M,,-133.00M,,-133.00M,0.00,83.00M,3.00M,-47.00M,,-2.00M,,-2.00M,,-316.00M,-316.00M,-17.00M,-17.00M,30.00M,5.00M,-300.00M,,943.00M,195.00M,7.00M,1.145B,,,20.00M,-22.00M,-316.00M,,AOR,Restated
2013-06,245.00M,,,,128.00M,128.00M,3.00M,23.00M,,,,,,,143.00M,542.00M,,-135.00M,,-135.00M,-96.00M,-38.00M,6.00M,-263.00M,,-3.00M,,-3.00M,,-110.00M,-110.00M,-17.00M,-17.00M,24.00M,11.00M,-95.00M,,762.00M,184.00M,-3.00M,943.00M,,,11.00M,-14.00M,-110.00M,,AOR,Restated
2013-03,106.00M,,,,129.00M,129.00M,-15.00M,34.00M,,,,,,,-214.00M,40.00M,,-133.00M,,-133.00M,-10.00M,-64.00M,26.00M,-181.00M,,-7.00M,,-7.00M,,-73.00M,-73.00M,-17.00M,-17.00M,50.00M,0.00,-47.00M,,951.00M,-188.00M,-1.00M,762.00M,,,13.00M,-20.00M,-73.00M,,AOR,Restated
2012-12,168.00M,,,,130.00M,130.00M,-9.00M,23.00M,,,,,,,-122.00M,190.00M,,-157.00M,,-157.00M,,1.00M,4.00M,-152.00M,,-11.00M,,-11.00M,,-115.00M,-115.00M,-53.00M,-53.00M,19.00M,2.00M,-158.00M,,1.071B,-120.00M,0.00,951.00M,,,24.00M,-35.00M,-115.00M,,AOR,Restated
2012-09,181.00M,0.00,,,130.00M,130.00M,65.00M,19.00M,,,,,,,39.00M,468.00M,,-160.00M,,-160.00M,0.00,-2.00M,22.00M,-140.00M,,-40.00M,,-40.00M,,-55.00M,-55.00M,-13.00M,-13.00M,2.00M,19.00M,-87.00M,,828.00M,241.00M,2.00M,1.071B,,,34.00M,-74.00M,-55.00M,,AOR,Restated
