,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2020-09,945.00M,,945.00M,1.419B,140.00M,1.559B,815.00M,,17.00M,,420.00M,3.821B,37.41B,,37.41B,-10.10B,27.32B,2.465B,2.358B,4.823B,3.715B,255.00M,29.00M,,168.00M,40.62B,44.44B,964.00M,196.00M,1.16B,167.00M,1.327B,1.455B,1.455B,32.00M,1.487B,0.00,603.00M,3.417B,3.045B,18.20B,137.00M,18.34B,2.736B,2.736B,,682.00M,44.00M,165.00M,,563.00M,28.53B,31.95B,5.369B,7.092B,,,-138.00M,12.32B
2020-06,579.00M,,579.00M,1.375B,371.00M,1.746B,785.00M,,42.00M,,240.00M,3.497B,36.84B,,36.84B,-9.96B,26.88B,2.465B,2.38B,4.845B,3.714B,228.00M,43.00M,,175.00M,40.24B,43.74B,1.025B,390.00M,1.415B,159.00M,1.574B,1.584B,1.584B,32.00M,1.616B,384.00M,622.00M,4.196B,2.995B,17.33B,130.00M,17.46B,2.65B,2.65B,,779.00M,33.00M,168.00M,,529.00M,27.65B,31.85B,5.247B,6.618B,,,-141.00M,11.72B
2020-03,552.00M,,552.00M,1.482B,260.00M,1.742B,707.00M,,124.00M,,289.00M,3.526B,36.31B,,36.31B,-9.91B,26.40B,2.466B,2.402B,4.868B,3.534B,217.00M,58.00M,,190.00M,39.71B,43.23B,1.028B,195.00M,1.223B,169.00M,1.392B,1.518B,1.518B,32.00M,1.55B,382.00M,648.00M,3.972B,2.936B,17.02B,134.00M,17.15B,2.553B,2.553B,,795.00M,47.00M,166.00M,,547.00M,27.27B,31.24B,5.235B,6.732B,,,-145.00M,11.82B
2019-12,93.00M,,93.00M,1.642B,245.00M,1.887B,759.00M,,0.00,,214.00M,3.086B,4.984B,,35.24B,-9.755B,25.49B,2.464B,2.393B,4.857B,3.788B,202.00M,41.00M,,182.00M,38.80B,41.88B,1.076B,195.00M,1.271B,147.00M,1.418B,1.515B,1.515B,33.00M,1.548B,379.00M,652.00M,3.997B,2.921B,15.92B,138.00M,16.06B,2.315B,2.315B,,808.00M,86.00M,164.00M,,593.00M,26.05B,30.05B,5.233B,6.587B,,,-148.00M,11.67B
2019-09,76.00M,,76.00M,1.453B,264.00M,1.717B,806.00M,153.00M,0.00,,158.00M,2.985B,33.62B,,33.62B,-9.715B,23.90B,2.293B,940.00M,3.233B,3.669B,193.00M,36.00M,,195.00M,35.36B,38.34B,1.033B,173.00M,1.206B,153.00M,1.359B,1.93B,1.93B,34.00M,1.964B,,542.00M,3.865B,2.811B,13.85B,109.00M,13.96B,2.257B,2.257B,,658.00M,74.00M,164.00M,,500.00M,23.58B,27.44B,4.37B,6.516B,,,-146.00M,10.74B
2019-06,62.00M,,62.00M,1.436B,93.00M,1.529B,765.00M,,0.00,,257.00M,2.726B,32.98B,,32.98B,-10.54B,22.44B,2.293B,837.00M,3.13B,3.566B,168.00M,46.00M,,185.00M,34.12B,36.85B,1.051B,346.00M,1.397B,141.00M,1.538B,1.501B,1.501B,34.00M,1.535B,,581.00M,3.654B,2.762B,13.56B,107.00M,13.67B,2.063B,2.063B,,715.00M,68.00M,173.00M,,469.00M,22.63B,26.28B,4.344B,6.198B,,,-146.00M,10.40B
2019-03,56.00M,,56.00M,1.683B,72.00M,1.755B,604.00M,,5.00M,,348.00M,2.84B,32.35B,,32.35B,-10.35B,22.00B,2.293B,846.00M,3.139B,3.519B,158.00M,22.00M,,158.00M,33.59B,36.43B,981.00M,173.00M,1.154B,149.00M,1.303B,1.655B,1.655B,33.00M,1.688B,,656.00M,3.647B,2.724B,12.77B,104.00M,12.87B,2.029B,2.029B,,722.00M,52.00M,475.00M,,471.00M,21.77B,25.41B,4.324B,6.364B,,,-143.00M,10.54B
2018-12,71.00M,,71.00M,1.789B,108.00M,1.897B,811.00M,,5.00M,,374.00M,3.26B,3.488B,,31.81B,-10.16B,21.65B,2.293B,849.00M,3.142B,3.368B,64.00M,31.00M,,160.00M,33.03B,36.29B,1.329B,172.00M,1.501B,127.00M,1.628B,2.108B,2.108B,0.00,2.108B,0.00,702.00M,4.438B,2.674B,12.13B,7.00M,12.13B,1.975B,1.975B,,837.00M,89.00M,480.00M,,502.00M,21.13B,25.57B,4.245B,6.112B,,,-120.00M,10.24B
2018-09,84.00M,,84.00M,1.69B,83.00M,1.773B,767.00M,,20.00M,,362.00M,3.103B,,,32.60B,-10.99B,21.61B,2.293B,864.00M,3.157B,3.436B,67.00M,31.00M,,152.00M,32.19B,35.29B,1.16B,161.00M,1.321B,143.00M,1.464B,78.00M,78.00M,,78.00M,,575.00M,2.117B,2.652B,13.62B,0.00,13.62B,1.974B,1.974B,,719.00M,66.00M,483.00M,,425.00M,22.48B,24.60B,4.232B,6.093B,,,-118.00M,10.21B
2018-06,63.00M,,63.00M,1.69B,147.00M,1.837B,675.00M,,23.00M,,219.00M,2.895B,,,32.12B,-10.88B,21.24B,2.293B,862.00M,3.155B,3.041B,69.00M,45.00M,,148.00M,31.44B,34.33B,1.059B,321.00M,1.38B,113.00M,1.493B,479.00M,479.00M,,479.00M,,527.00M,2.499B,2.613B,12.70B,0.00,12.70B,1.936B,1.936B,,727.00M,64.00M,474.00M,,430.00M,21.51B,24.01B,4.205B,5.76B,,,-121.00M,9.844B
