,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2015-06,105.00M,,,-16.00M,2.00M,220.00M,220.00M,64.00M,,10.00M,242.00M,-99.00M,,4.00M,,-74.00M,-55.00M,18.00M,433.00M,-490.00M,,-490.00M,-11.00M,-2.00M,17.00M,-480.00M,297.00M,0.00,297.00M,0.00,0.00,0.00,-124.00M,-124.00M,5.00M,178.00M,99.00M,131.00M,230.00M,0.00,298.00M,-1.00M,0.00,,
2015-03,274.00M,,,-16.00M,-26.00M,209.00M,209.00M,84.00M,,8.00M,-8.00M,172.00M,,-123.00M,,130.00M,11.00M,182.00M,747.00M,-405.00M,,-405.00M,-262.00M,-4.00M,112.00M,-556.00M,378.00M,-398.00M,-20.00M,9.00M,0.00,9.00M,-122.00M,-122.00M,-7.00M,-140.00M,48.00M,51.00M,99.00M,9.00M,495.00M,-117.00M,0.00,,
2014-12,301.00M,,,,-42.00M,290.00M,290.00M,112.00M,,10.00M,-225.00M,-12.00M,,80.00M,,,-22.00M,-179.00M,547.00M,-547.00M,,-547.00M,-42.00M,3.00M,-30.00M,-603.00M,432.00M,-255.00M,177.00M,0.00,0.00,0.00,-122.00M,-122.00M,-11.00M,44.00M,60.00M,-12.00M,48.00M,0.00,447.00M,-15.00M,0.00,,
2014-09,157.00M,,,,-3.00M,293.00M,293.00M,48.00M,,9.00M,128.00M,-174.00M,,-56.00M,,-38.00M,-142.00M,-282.00M,222.00M,-422.00M,,-422.00M,0.00,-5.00M,37.00M,-390.00M,136.00M,142.00M,278.00M,0.00,0.00,0.00,-116.00M,-116.00M,-9.00M,153.00M,75.00M,-15.00M,60.00M,0.00,694.00M,-558.00M,0.00,,
2014-06,126.00M,,,,-6.00M,282.00M,282.00M,119.00M,,8.00M,415.00M,-138.00M,,4.00M,-50.00M,-102.00M,-114.00M,15.00M,544.00M,-583.00M,,-583.00M,0.00,-4.00M,-38.00M,-625.00M,46.00M,136.00M,182.00M,0.00,-2.00M,-2.00M,-116.00M,-116.00M,-6.00M,58.00M,98.00M,-23.00M,75.00M,0.00,595.00M,-549.00M,-2.00M,,
2014-03,327.00M,,,,-1.00M,280.00M,280.00M,77.00M,,,-270.00M,147.00M,,100.00M,50.00M,140.00M,-318.00M,-151.00M,532.00M,-497.00M,,-497.00M,0.00,-4.00M,59.00M,-442.00M,-115.00M,244.00M,129.00M,0.00,-50.00M,-50.00M,-116.00M,-116.00M,-7.00M,-44.00M,52.00M,46.00M,98.00M,0.00,0.00,-115.00M,-50.00M,,
2013-12,126.00M,,,,-62.00M,283.00M,283.00M,2.00M,,8.00M,-331.00M,88.00M,,30.00M,62.00M,35.00M,137.00M,21.00M,439.00M,-505.00M,,-505.00M,,-4.00M,-47.00M,-569.00M,360.00M,-140.00M,220.00M,10.00M,0.00,10.00M,-116.00M,-116.00M,-3.00M,111.00M,71.00M,-19.00M,52.00M,10.00M,466.00M,-106.00M,0.00,,
2013-09,200.00M,,,,-5.00M,811.00M,284.00M,39.00M,,4.00M,107.00M,-98.00M,,13.00M,-133.00M,-37.00M,74.00M,-74.00M,448.00M,-466.00M,,-466.00M,,-4.00M,44.00M,-426.00M,57.00M,55.00M,112.00M,10.00M,0.00,10.00M,-114.00M,-114.00M,-5.00M,3.00M,46.00M,25.00M,71.00M,10.00M,397.00M,-340.00M,0.00,,
2013-06,107.00M,,,,6.00M,,268.00M,58.00M,,5.00M,148.00M,-88.00M,,97.00M,37.00M,7.00M,25.00M,226.00M,670.00M,-523.00M,,-523.00M,,-4.00M,-52.00M,-579.00M,-375.00M,216.00M,-159.00M,9.00M,0.00,9.00M,-108.00M,-108.00M,-5.00M,-263.00M,218.00M,-172.00M,46.00M,9.00M,-1.00M,-374.00M,0.00,,
2013-03,235.00M,,,,-6.00M,,259.00M,65.00M,,6.00M,-78.00M,221.00M,,-126.00M,34.00M,17.00M,-30.00M,38.00M,597.00M,-382.00M,,-382.00M,,-4.00M,54.00M,-332.00M,231.00M,-240.00M,-9.00M,10.00M,0.00,10.00M,-107.00M,-107.00M,-6.00M,-112.00M,65.00M,153.00M,218.00M,10.00M,372.00M,-141.00M,0.00,,
