,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2005-03,122.00M,,,,-102.00M,,208.00M,51.00M,,,-183.00M,154.00M,,-29.00M,-2.00M,272.00M,-78.00M,134.00M,413.00M,-198.00M,2.00M,-196.00M,,,84.00M,-112.00M,,,-197.00M,,-9.00M,-9.00M,,-90.00M,-1.00M,-297.00M,56.00M,4.00M,60.00M,,,,-9.00M,1.00M,123.00M
2004-12,113.00M,,,,-38.00M,,208.00M,25.00M,,,-170.00M,58.00M,,242.00M,45.00M,-159.00M,81.00M,97.00M,405.00M,-297.00M,263.00M,-34.00M,,21.00M,-234.00M,-247.00M,,,-93.00M,10.00M,,10.00M,,-89.00M,-4.00M,-176.00M,74.00M,-18.00M,56.00M,10.00M,,,,1.00M,127.00M
2004-09,93.00M,,,,-99.00M,,190.00M,-8.00M,,91.00M,24.00M,-176.00M,,-52.00M,38.00M,8.00M,-38.00M,-196.00M,71.00M,-211.00M,-85.00M,-296.00M,,-59.00M,234.00M,-121.00M,,,130.00M,10.00M,,10.00M,,-89.00M,-2.00M,49.00M,75.00M,-1.00M,74.00M,10.00M,,,,11.00M,126.00M
2004-06,35.00M,,,,-110.00M,,179.00M,-1.00M,,-91.00M,264.00M,-182.00M,,49.00M,-14.00M,-61.00M,171.00M,227.00M,239.00M,-217.00M,116.00M,-101.00M,,-36.00M,-82.00M,-219.00M,,,71.00M,10.00M,,10.00M,,-89.00M,-1.00M,-9.00M,64.00M,11.00M,75.00M,10.00M,,,,18.00M,136.00M
2004-03,190.00M,,,,-71.00M,,167.00M,113.00M,,,-107.00M,260.00M,,27.00M,-16.00M,115.00M,-398.00M,-119.00M,280.00M,-179.00M,31.00M,-148.00M,,,54.00M,-94.00M,,,-98.00M,11.00M,,11.00M,,-87.00M,-2.00M,-176.00M,54.00M,10.00M,64.00M,11.00M,,,,173.00M,128.00M
2003-12,229.00M,,,,59.00M,,140.00M,-165.00M,,147.00M,-240.00M,137.00M,,-24.00M,178.00M,74.00M,129.00M,254.00M,664.00M,-189.00M,48.00M,-141.00M,,66.00M,-134.00M,-209.00M,,,-421.00M,11.00M,,8.00M,,-87.00M,9.00M,-491.00M,90.00M,-36.00M,54.00M,11.00M,,,,4.00M,161.00M
2003-09,176.00M,,,,-41.00M,,170.00M,-116.00M,,66.00M,129.00M,-241.00M,,-203.00M,31.00M,-71.00M,58.00M,-297.00M,-42.00M,-162.00M,63.00M,-99.00M,,-13.00M,27.00M,-85.00M,,,191.00M,12.00M,,12.00M,,-86.00M,-3.00M,114.00M,103.00M,-13.00M,90.00M,12.00M,,,,0.00,124.00M
2003-06,-39.00M,,,,-40.00M,,180.00M,43.00M,,-213.00M,239.00M,-150.00M,,14.00M,-158.00M,133.00M,178.00M,256.00M,187.00M,-189.00M,19.00M,-170.00M,,-53.00M,-16.00M,-239.00M,,,98.00M,11.00M,,11.00M,,-87.00M,-3.00M,19.00M,136.00M,-33.00M,103.00M,11.00M,,,,2.00M,139.00M
2003-03,155.00M,,,,-93.00M,,201.00M,18.00M,,,-261.00M,193.00M,,192.00M,-22.00M,,-242.00M,-140.00M,141.00M,-211.00M,628.00M,417.00M,,,126.00M,543.00M,,,-602.00M,10.00M,,10.00M,,-86.00M,-3.00M,-681.00M,133.00M,3.00M,136.00M,10.00M,,,,25.00M,128.00M
2002-12,203.00M,,,,,,169.00M,-65.00M,,68.00M,-182.00M,121.00M,,74.00M,-5.00M,48.00M,67.00M,123.00M,480.00M,-334.00M,33.00M,-301.00M,,,-158.00M,-459.00M,,,91.00M,180.00M,-185.00M,-5.00M,,-86.00M,,0.00,112.00M,21.00M,133.00M,180.00M,,,-185.00M,33.00M,133.00M
2002-09,161.00M,,,,,,210.00M,-143.00M,,-4.00M,57.00M,-162.00M,,64.00M,24.00M,48.00M,-111.00M,-80.00M,144.00M,-195.00M,-1.00M,-196.00M,,,71.00M,-125.00M,,,98.00M,0.00,-3.00M,-3.00M,,-84.00M,,11.00M,82.00M,30.00M,112.00M,0.00,,,-3.00M,79.00M,153.00M
2002-06,68.00M,,,,,,186.00M,-42.00M,,-64.00M,-22.00M,-31.00M,,8.00M,31.00M,,230.00M,216.00M,364.00M,-225.00M,2.00M,-223.00M,,,-112.00M,-335.00M,,,-383.00M,85.00M,1.00M,86.00M,,-84.00M,361.00M,-20.00M,73.00M,9.00M,82.00M,85.00M,,,1.00M,0.00,132.00M
2002-03,200.00M,,,,,,194.00M,42.00M,,,-64.00M,1.00M,,-80.00M,-55.00M,,-230.00M,-428.00M,8.00M,-230.00M,7.00M,-223.00M,,,27.00M,-196.00M,,,260.00M,180.00M,-2.00M,178.00M,,-84.00M,-361.00M,-7.00M,268.00M,-195.00M,73.00M,180.00M,,,-2.00M,55.00M,133.00M
2001-12,218.00M,,,,-8.00M,,196.00M,205.00M,,-192.00M,-156.00M,13.00M,,62.00M,-14.00M,12.00M,47.00M,-36.00M,383.00M,-271.00M,-187.00M,-458.00M,0.00,,230.00M,-206.00M,,,159.00M,,-80.00M,-80.00M,,-93.00M,,-14.00M,105.00M,163.00M,268.00M,,,,-80.00M,0.00,136.00M
2001-09,63.00M,,,,142.00M,,227.00M,-212.00M,,245.00M,92.00M,-84.00M,,-243.00M,-28.00M,-92.00M,-47.00M,-402.00M,63.00M,-262.00M,134.00M,-128.00M,-11.00M,,-230.00M,-369.00M,,,212.00M,,-88.00M,-88.00M,,-85.00M,30.00M,69.00M,342.00M,-237.00M,105.00M,,,,-88.00M,0.00,124.00M
2001-06,-87.00M,,,,121.00M,,188.00M,,,-61.00M,15.00M,-34.00M,,-23.00M,9.00M,,,-33.00M,128.00M,-391.00M,53.00M,-338.00M,-1.201B,,,-1.539B,,,957.00M,,-102.00M,-102.00M,,-74.00M,-15.00M,766.00M,987.00M,-645.00M,342.00M,,,,-102.00M,23.00M,71.00M
2001-03,138.00M,,,,-40.00M,,184.00M,,,-120.00M,47.00M,29.00M,,-20.00M,19.00M,,,75.00M,237.00M,-172.00M,,-172.00M,,,,-172.00M,,,1.114B,,-168.00M,-168.00M,,-73.00M,-15.00M,858.00M,64.00M,923.00M,987.00M,,,,-168.00M,22.00M,78.00M
2000-12,139.00M,,,,-111.00M,,139.00M,,,,118.00M,-7.00M,,77.00M,-53.00M,,-20.00M,127.00M,294.00M,-41.00M,,-41.00M,,,,-41.00M,,,-219.00M,,70.00M,70.00M,,-97.00M,,-246.00M,46.00M,7.00M,24.00M,,,,70.00M,176.00M,37.00M
2000-09,104.00M,,,,-40.00M,,202.00M,,,,-82.00M,8.00M,,-32.00M,54.00M,,102.00M,50.00M,316.00M,-150.00M,,-150.00M,,,,-150.00M,,,-87.00M,,0.00,0.00,,-73.00M,,-160.00M,40.00M,6.00M,46.00M,,,,0.00,25.00M,79.00M
2000-06,108.00M,,,,-79.00M,,186.00M,,,,-103.00M,-6.00M,,55.00M,-3.00M,,66.00M,9.00M,224.00M,-220.00M,,-220.00M,,,,-220.00M,,,93.00M,,-8.00M,-8.00M,,-74.00M,,11.00M,25.00M,15.00M,40.00M,,,,-8.00M,20.00M,68.00M
2000-03,117.00M,,,,22.00M,,192.00M,,,,44.00M,18.00M,,-63.00M,2.00M,,-148.00M,-147.00M,184.00M,-176.00M,,-176.00M,,,,-176.00M,,,121.00M,,-62.00M,-62.00M,,-75.00M,,-16.00M,33.00M,-8.00M,25.00M,,,,-62.00M,14.00M,91.00M
1999-12,97.00M,,,,-18.00M,,188.00M,,,,-10.00M,-35.00M,,73.00M,1.00M,,64.00M,93.00M,360.00M,-209.00M,,-209.00M,,,-29.00M,-238.00M,,,-253.00M,,,,,-75.00M,185.00M,-143.00M,54.00M,-21.00M,33.00M,,,,,50.00M,77.00M
1999-09,161.00M,,,,-92.00M,,183.00M,,,,-32.00M,13.00M,,-41.00M,-9.00M,,103.00M,34.00M,286.00M,-174.00M,,-174.00M,,,60.00M,-114.00M,,,107.00M,,,,,-75.00M,-185.00M,-153.00M,35.00M,19.00M,54.00M,,,,,66.00M,98.00M
1999-06,110.00M,,,,-28.00M,,182.00M,,,,-74.00M,-8.00M,,48.00M,9.00M,,56.00M,31.00M,295.00M,-194.00M,,-194.00M,,,-40.00M,-234.00M,,,7.00M,,,,,-74.00M,,-67.00M,41.00M,-6.00M,35.00M,,,,,7.00M,81.00M
1999-03,115.00M,,,,48.00M,,182.00M,,,,22.00M,25.00M,,-50.00M,-11.00M,,-175.00M,-189.00M,156.00M,-162.00M,,-162.00M,,,-20.00M,-182.00M,,,12.00M,,,,,-75.00M,,-63.00M,130.00M,-89.00M,41.00M,,,,,29.00M,84.00M
1998-12,106.00M,,,,-64.00M,,,,,165.00M,5.00M,-4.00M,,-36.00M,,,21.00M,-81.00M,126.00M,77.00M,,77.00M,,,-243.00M,-166.00M,,,165.00M,,-50.00M,-50.00M,,-75.00M,3.00M,43.00M,181.00M,3.00M,130.00M,,,,-50.00M,,
1998-09,132.00M,,,,-58.00M,,,,,169.00M,-41.00M,-6.00M,,-9.00M,,,95.00M,39.00M,282.00M,-391.00M,,-391.00M,,,13.00M,-378.00M,,,257.00M,,0.00,0.00,,-75.00M,1.00M,183.00M,94.00M,87.00M,181.00M,,,,0.00,,
1998-06,101.00M,,,,-6.00M,,,,,162.00M,-95.00M,-42.00M,,55.00M,,,46.00M,-36.00M,221.00M,-116.00M,,-116.00M,,,-29.00M,-145.00M,,,67.00M,,-100.00M,-100.00M,,-74.00M,2.00M,-105.00M,123.00M,-29.00M,94.00M,,,,-100.00M,,
