,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,SECFilingLinks,Restated
2020-09,320.00M,,-4.00M,14.00M,14.00M,94.00M,91.00M,185.00M,185.00M,-1.00M,,72.00M,17.00M,466.00M,,-69.00M,67.00M,-90.00M,440.00M,814.00M,,,2020-09,-78.00M,2.00M,2.00M,3.00M,-1.00M,-8.00M,-82.00M,2020-09,-504.00M,0.00,-504.00M,32.00M,0.00,32.00M,-236.00M,-236.00M,-76.00M,-784.00M,,1.711B,555.00M,122.00M,2.388B,2020-09,32.00M,0.00,-504.00M,0.00,,2020-09,
2020-06,580.00M,,6.00M,31.00M,45.00M,91.00M,88.00M,179.00M,179.00M,-2.00M,,75.00M,-15.00M,-76.00M,,124.00M,-47.00M,-78.00M,431.00M,354.00M,,,2020-06,-82.00M,1.00M,1.00M,-276.00M,46.00M,-8.00M,-319.00M,2020-06,-267.00M,-193.00M,-460.00M,22.00M,0.00,22.00M,-234.00M,-234.00M,-47.00M,-719.00M,,1.48B,178.00M,53.00M,1.711B,2020-06,22.00M,-456.00M,-4.00M,0.00,,2020-06,
2020-03,767.00M,,-12.00M,2.00M,-13.00M,97.00M,86.00M,183.00M,183.00M,9.00M,,72.00M,-15.00M,-313.00M,,-49.00M,-34.00M,-86.00M,-1.159B,-1.641B,,,2020-03,-118.00M,0.00,0.00,-193.00M,57.00M,9.00M,-245.00M,2020-03,1.497B,193.00M,1.69B,44.00M,,44.00M,-232.00M,-232.00M,-162.00M,1.34B,,1.155B,457.00M,-132.00M,1.48B,2020-03,44.00M,2.193B,-503.00M,,,2020-03,
2019-12,396.00M,,-45.00M,-2.00M,-27.00M,88.00M,79.00M,167.00M,167.00M,-11.00M,,68.00M,15.00M,-46.00M,,168.00M,-43.00M,-87.00M,470.00M,462.00M,,,2019-12,-137.00M,6.00M,6.00M,-1.00M,-10.00M,-25.00M,-167.00M,2019-12,-604.00M,-25.00M,-629.00M,26.00M,-185.00M,-159.00M,-235.00M,-235.00M,-8.00M,-1.031B,,1.213B,-128.00M,70.00M,1.155B,2019-12,26.00M,-325.00M,-304.00M,-185.00M,,2019-12,
2019-09,306.00M,,59.00M,-7.00M,67.00M,86.00M,84.00M,170.00M,170.00M,13.00M,,67.00M,-12.00M,353.00M,,-41.00M,34.00M,-85.00M,178.00M,439.00M,,,2019-09,-123.00M,2.00M,2.00M,60.00M,-9.00M,-4.00M,-74.00M,2019-09,-303.00M,-224.00M,-527.00M,24.00M,-200.00M,-176.00M,-233.00M,-233.00M,-51.00M,-987.00M,,1.294B,-11.00M,-70.00M,1.213B,2019-09,24.00M,-224.00M,-303.00M,-200.00M,,2019-09,Restated
2019-06,344.00M,,-106.00M,29.00M,-24.00M,85.00M,100.00M,185.00M,185.00M,91.00M,,60.00M,0.00,-128.00M,,-140.00M,33.00M,-82.00M,178.00M,-139.00M,,,2019-06,-88.00M,1.00M,1.00M,-5.198B,87.00M,-45.00M,-5.243B,2019-06,-157.00M,-199.00M,-356.00M,31.00M,-100.00M,-69.00M,-212.00M,-212.00M,-865.00M,-1.502B,,7.476B,-6.228B,46.00M,1.294B,2019-06,31.00M,98.00M,-454.00M,-100.00M,,2019-06,Restated
2019-03,727.00M,,-23.00M,-34.00M,-57.00M,74.00M,51.00M,125.00M,125.00M,-9.00M,,57.00M,-30.00M,-309.00M,,175.00M,-37.00M,-73.00M,-845.00M,-1.089B,,,2019-03,-73.00M,1.00M,1.00M,-228.00M,115.00M,-2.00M,-187.00M,2019-03,6.459B,748.00M,7.207B,77.00M,,77.00M,-210.00M,-210.00M,-248.00M,6.826B,,1.066B,6.363B,47.00M,7.476B,2019-03,77.00M,7.21B,-3.00M,,,2019-03,Restated
2018-12,159.00M,,45.00M,329.00M,390.00M,75.00M,48.00M,123.00M,123.00M,-105.00M,,47.00M,-35.00M,132.00M,,-1.00M,7.00M,0.00,392.00M,530.00M,,,2018-12,-92.00M,0.00,0.00,-243.00M,5.00M,-7.00M,-337.00M,2018-12,-254.00M,-75.00M,-329.00M,21.00M,0.00,21.00M,-213.00M,-213.00M,-42.00M,-563.00M,,951.00M,209.00M,-94.00M,1.066B,2018-12,21.00M,-76.00M,-253.00M,0.00,,2018-12,Restated
2018-09,279.00M,,-3.00M,152.00M,97.00M,77.00M,47.00M,124.00M,124.00M,32.00M,,47.00M,-84.00M,178.00M,,-64.00M,15.00M,0.00,282.00M,411.00M,,,2018-09,-87.00M,2.00M,2.00M,-391.00M,2.00M,1.00M,-473.00M,2018-09,-4.00M,-100.00M,-104.00M,24.00M,-175.00M,-151.00M,-211.00M,-211.00M,-49.00M,-515.00M,,1.036B,-82.00M,-3.00M,951.00M,2018-09,24.00M,-100.00M,-4.00M,-175.00M,,2018-09,Restated
2018-06,536.00M,,41.00M,-28.00M,13.00M,79.00M,43.00M,122.00M,122.00M,23.00M,,49.00M,-75.00M,-31.00M,,-148.00M,2.00M,0.00,286.00M,109.00M,,,2018-06,-77.00M,0.00,0.00,-119.00M,-12.00M,-1.00M,-209.00M,2018-06,-3.00M,-74.00M,-77.00M,16.00M,-250.00M,-234.00M,-194.00M,-194.00M,-21.00M,-526.00M,,1.168B,42.00M,-174.00M,1.036B,2018-06,16.00M,-74.00M,-3.00M,-250.00M,,2018-06,Restated
2018-03,696.00M,,-65.00M,,-66.00M,80.00M,45.00M,125.00M,125.00M,11.00M,,50.00M,-101.00M,-357.00M,,196.00M,2.00M,0.00,-920.00M,-1.079B,,,2018-03,-58.00M,1.00M,1.00M,-21.00M,9.00M,-1.00M,-70.00M,2018-03,589.00M,249.00M,838.00M,32.00M,-250.00M,-218.00M,-189.00M,-189.00M,-137.00M,294.00M,,1.205B,-140.00M,103.00M,1.168B,2018-03,32.00M,841.00M,-3.00M,-250.00M,,2018-03,Restated
2017-12,30.00M,,20.00M,-12.00M,9.00M,78.00M,47.00M,125.00M,125.00M,344.00M,,38.00M,-114.00M,-206.00M,,36.00M,11.00M,,483.00M,324.00M,,,2017-12,-85.00M,4.00M,4.00M,-26.00M,8.00M,2.00M,-97.00M,2017-12,-2.00M,0.00,-2.00M,32.00M,-300.00M,-268.00M,-195.00M,-195.00M,-17.00M,-482.00M,,1.078B,177.00M,-50.00M,1.205B,2017-12,32.00M,0.00,-2.00M,-300.00M,,2017-12,Restated
2017-09,397.00M,,-87.00M,2.00M,-85.00M,78.00M,42.00M,120.00M,120.00M,10.00M,,36.00M,-140.00M,70.00M,,-9.00M,4.00M,,391.00M,456.00M,,,2017-09,-73.00M,0.00,0.00,-217.00M,-33.00M,2.00M,-321.00M,2017-09,-57.00M,-100.00M,-157.00M,40.00M,-200.00M,-160.00M,-194.00M,-194.00M,-32.00M,-543.00M,,966.00M,-70.00M,182.00M,1.078B,2017-09,40.00M,-100.00M,-57.00M,-200.00M,,2017-09,Restated
2017-06,507.00M,,-17.00M,-5.00M,-19.00M,76.00M,40.00M,116.00M,116.00M,17.00M,,33.00M,-101.00M,-172.00M,,-19.00M,25.00M,,355.00M,189.00M,,,2017-06,-82.00M,3.00M,3.00M,-1.00M,1.00M,2.00M,-77.00M,2017-06,-251.00M,0.00,-251.00M,21.00M,-200.00M,-179.00M,-176.00M,-176.00M,-75.00M,-681.00M,,930.00M,-16.00M,52.00M,966.00M,2017-06,21.00M,0.00,-251.00M,-200.00M,,2017-06,Restated
2017-03,578.00M,,-12.00M,,-6.00M,80.00M,40.00M,120.00M,120.00M,25.00M,,42.00M,-126.00M,-146.00M,,116.00M,-43.00M,,-959.00M,-1.032B,,,2017-03,-62.00M,1.00M,1.00M,-411.00M,11.00M,,-461.00M,2017-03,982.00M,100.00M,1.082B,73.00M,-200.00M,-127.00M,-175.00M,-175.00M,-83.00M,697.00M,,1.026B,-163.00M,67.00M,930.00M,2017-03,73.00M,1.087B,-5.00M,-200.00M,,2017-03,Restated
2016-12,441.00M,1.00M,45.00M,-2.00M,47.00M,77.00M,31.00M,108.00M,108.00M,25.00M,,25.00M,-61.00M,8.00M,,-2.00M,11.00M,,293.00M,310.00M,,,2016-12,-79.00M,-1.00M,-1.00M,-725.00M,6.00M,1.00M,-798.00M,2016-12,-3.00M,50.00M,47.00M,34.00M,-175.00M,-141.00M,-178.00M,-178.00M,-12.00M,-284.00M,,1.388B,-187.00M,-175.00M,1.026B,2016-12,34.00M,50.00M,-3.00M,-175.00M,,2016-12,Restated
2016-09,384.00M,0.00,11.00M,0.00,11.00M,77.00M,32.00M,109.00M,109.00M,-5.00M,,26.00M,-104.00M,118.00M,,25.00M,17.00M,,302.00M,462.00M,,,2016-09,-60.00M,4.00M,4.00M,-11.00M,0.00,-1.00M,-68.00M,2016-09,-3.00M,,-3.00M,23.00M,-215.00M,-192.00M,-178.00M,-178.00M,-34.00M,-407.00M,,974.00M,408.00M,6.00M,1.388B,2016-09,23.00M,0.00,-3.00M,-215.00M,,2016-09,Restated
2016-06,480.00M,-12.00M,23.00M,-1.00M,11.00M,76.00M,34.00M,110.00M,110.00M,26.00M,,27.00M,-81.00M,-105.00M,,1.00M,-3.00M,,344.00M,237.00M,,,2016-06,-63.00M,0.00,0.00,-2.00M,-2.00M,3.00M,-64.00M,2016-06,-3.00M,-252.00M,-255.00M,39.00M,-210.00M,-171.00M,-165.00M,-165.00M,-30.00M,-621.00M,,918.00M,125.00M,-69.00M,974.00M,2016-06,39.00M,-252.00M,-3.00M,-210.00M,,2016-06,Restated
2016-03,490.00M,,25.00M,3.00M,30.00M,78.00M,33.00M,111.00M,111.00M,22.00M,,31.00M,-66.00M,-175.00M,,10.00M,-34.00M,,-1.00B,-1.199B,,,2016-03,-51.00M,1.00M,1.00M,-75.00M,-2.00M,1.00M,-126.00M,2016-03,344.00M,252.00M,596.00M,92.00M,-200.00M,-108.00M,-161.00M,-161.00M,-82.00M,245.00M,,1.374B,-462.00M,6.00M,918.00M,2016-03,92.00M,599.00M,-3.00M,-200.00M,,2016-03,Restated
2015-12,381.00M,0.00,17.00M,1.00M,2.00M,81.00M,30.00M,111.00M,111.00M,-36.00M,,21.00M,-57.00M,66.00M,,17.00M,13.00M,,381.00M,477.00M,,,2015-12,-76.00M,0.00,0.00,-450.00M,-2.00M,6.00M,-522.00M,2015-12,-52.00M,0.00,-52.00M,45.00M,-75.00M,-30.00M,-164.00M,-164.00M,-21.00M,-267.00M,,1.33B,110.00M,-66.00M,1.374B,2015-12,45.00M,1.00M,-53.00M,-75.00M,,2015-12,Restated
2015-09,331.00M,0.00,4.00M,-37.00M,-31.00M,77.00M,31.00M,108.00M,108.00M,124.00M,,21.00M,-14.00M,156.00M,,-119.00M,-4.00M,,305.00M,338.00M,,,2015-09,-73.00M,1.00M,1.00M,-171.00M,27.00M,1.00M,-215.00M,2015-09,593.00M,-50.00M,543.00M,32.00M,-550.00M,-518.00M,-166.00M,-166.00M,-4.00M,-145.00M,,930.00M,517.00M,-117.00M,1.33B,2015-09,32.00M,546.00M,-3.00M,-550.00M,,2015-09,Restated
2015-06,429.00M,0.00,-41.00M,0.00,-41.00M,79.00M,24.00M,103.00M,103.00M,3.00M,,22.00M,-13.00M,-273.00M,,120.00M,20.00M,,265.00M,132.00M,,,2015-06,-85.00M,0.00,0.00,-244.00M,-3.00M,-2.00M,-334.00M,2015-06,-2.00M,50.00M,48.00M,43.00M,-475.00M,-432.00M,-151.00M,-151.00M,-23.00M,-558.00M,,1.104B,-257.00M,83.00M,930.00M,2015-06,43.00M,51.00M,-3.00M,-475.00M,,2015-06,Restated
2015-03,495.00M,,90.00M,-2.00M,89.00M,77.00M,24.00M,101.00M,101.00M,87.00M,,24.00M,-136.00M,-1.00M,,-158.00M,-26.00M,,-998.00M,-1.183B,,,2015-03,-91.00M,1.00M,1.00M,-16.00M,-87.00M,-1.00M,-194.00M,2015-03,491.00M,0.00,491.00M,104.00M,-300.00M,-196.00M,-151.00M,-151.00M,-80.00M,64.00M,,1.958B,-653.00M,-201.00M,1.104B,2015-03,104.00M,493.00M,-2.00M,-300.00M,,2015-03,Restated
2014-12,299.00M,,45.00M,0.00,140.00M,77.00M,22.00M,99.00M,99.00M,24.00M,,19.00M,3.00M,124.00M,,72.00M,27.00M,,171.00M,394.00M,,,2014-12,-83.00M,1.00M,1.00M,-442.00M,123.00M,-5.00M,-406.00M,2014-12,-11.00M,0.00,-11.00M,73.00M,-200.00M,-127.00M,-153.00M,-153.00M,-807.00M,-1.098B,,2.649B,-526.00M,-165.00M,1.958B,2014-12,73.00M,-7.00M,-4.00M,-200.00M,,2014-12,Restated
2014-09,304.00M,,2.00M,-27.00M,-23.00M,76.00M,22.00M,98.00M,98.00M,20.00M,,23.00M,-15.00M,210.00M,,-48.00M,-3.00M,,317.00M,476.00M,,,2014-09,-83.00M,1.00M,1.00M,-33.00M,-119.00M,-1.00M,-235.00M,2014-09,476.00M,,476.00M,54.00M,-250.00M,-196.00M,-154.00M,-154.00M,-5.00M,121.00M,,2.005B,769.00M,-125.00M,2.649B,2014-09,54.00M,798.00M,-322.00M,-250.00M,,2014-09,Restated
2014-06,438.00M,,14.00M,3.00M,19.00M,74.00M,20.00M,94.00M,94.00M,24.00M,,18.00M,-22.00M,-242.00M,,-21.00M,19.00M,,312.00M,68.00M,,,2014-06,-103.00M,0.00,0.00,-64.00M,2.00M,0.00,-165.00M,2014-06,593.00M,-100.00M,493.00M,44.00M,-250.00M,-206.00M,-138.00M,-138.00M,-22.00M,127.00M,,1.38B,600.00M,25.00M,2.005B,2014-06,44.00M,495.00M,-2.00M,-250.00M,,2014-06,Restated
2014-03,456.00M,,12.00M,-13.00M,-1.00M,75.00M,22.00M,97.00M,97.00M,59.00M,,33.00M,-99.00M,-150.00M,,75.00M,-35.00M,,-816.00M,-926.00M,,,2014-03,-99.00M,1.00M,1.00M,-319.00M,0.00,1.00M,-416.00M,2014-03,-3.00M,100.00M,97.00M,92.00M,-100.00M,-8.00M,-137.00M,-137.00M,-70.00M,-118.00M,,2.303B,-914.00M,-9.00M,1.38B,2014-03,92.00M,100.00M,-3.00M,-100.00M,,2014-03,Restated
2013-12,307.00M,,-30.00M,-11.00M,-17.00M,73.00M,19.00M,92.00M,92.00M,47.00M,0.00,29.00M,-24.00M,-16.00M,,63.00M,72.00M,,213.00M,332.00M,,,2013-12,-113.00M,3.00M,3.00M,-32.00M,3.00M,-8.00M,-147.00M,2013-12,-2.00M,,-2.00M,98.00M,-150.00M,-52.00M,-139.00M,-139.00M,-291.00M,-484.00M,,2.174B,135.00M,-6.00M,2.303B,2013-12,98.00M,1.00M,-3.00M,-150.00M,,2013-12,Restated
2013-09,259.00M,,-15.00M,-14.00M,-33.00M,71.00M,18.00M,89.00M,89.00M,66.00M,5.00M,34.00M,-24.00M,54.00M,,6.00M,-37.00M,,319.00M,342.00M,,,2013-09,-96.00M,0.00,0.00,-17.00M,8.00M,0.00,-105.00M,2013-09,494.00M,,494.00M,48.00M,-150.00M,-102.00M,-139.00M,-139.00M,-11.00M,242.00M,,1.23B,875.00M,69.00M,2.174B,2013-09,48.00M,496.00M,-2.00M,-150.00M,,2013-09,Restated
2013-06,395.00M,,-23.00M,-23.00M,-43.00M,73.00M,17.00M,90.00M,90.00M,20.00M,,24.00M,-11.00M,-163.00M,,-12.00M,20.00M,,110.00M,-45.00M,,,2013-06,-104.00M,1.00M,1.00M,-90.00M,-10.00M,1.00M,-202.00M,2013-06,-3.00M,,-3.00M,71.00M,-150.00M,-79.00M,-128.00M,-128.00M,-18.00M,-228.00M,,1.263B,0.00,-33.00M,1.23B,2013-06,71.00M,0.00,-3.00M,-150.00M,,2013-06,Restated
2013-03,424.00M,,36.00M,-21.00M,17.00M,69.00M,18.00M,87.00M,87.00M,51.00M,,42.00M,-349.00M,-120.00M,,92.00M,-54.00M,,-783.00M,-865.00M,,,2013-03,-88.00M,1.00M,1.00M,2.00M,92.00M,1.00M,8.00M,2013-03,-202.00M,0.00,-202.00M,135.00M,-100.00M,35.00M,-127.00M,-127.00M,-70.00M,-364.00M,,2.301B,-949.00M,-89.00M,1.263B,2013-03,135.00M,50.00M,-252.00M,-100.00M,,2013-03,Restated
2012-12,263.00M,,-10.00M,-5.00M,-5.00M,76.00M,19.00M,95.00M,95.00M,78.00M,0.00,154.00M,-129.00M,4.00M,,-46.00M,-56.00M,,214.00M,116.00M,,,2012-12,-71.00M,2.00M,2.00M,-141.00M,-6.00M,2.00M,-214.00M,2012-12,-2.00M,,-2.00M,97.00M,-50.00M,47.00M,-128.00M,-128.00M,-26.00M,-109.00M,,2.044B,249.00M,8.00M,2.301B,2012-12,97.00M,0.00,-2.00M,-50.00M,,2012-12,Restated
