,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,NormalizedDilutedEPS,EPSDiluted,,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,3.968B,3.968B,2.495B,1.473B,,,0.00,128.00M,1.00M,-127.00M,933.00M,933.00M,540.00M,1.00M,128.00M,-127.00M,46.00M,-127.00M,459.00M,139.00M,320.00M,,,-4.00M,316.00M,185.00M,587.00M,,2020-09,0.62,0.6392,0.62,,2020-09,0.62,0.6391,0.62,,512.00M,0.465,,2020-09,AOR,
2020-06,4.189B,4.189B,2.429B,1.76B,,,0.00,132.00M,2.00M,-130.00M,875.00M,875.00M,885.00M,2.00M,132.00M,-130.00M,32.00M,-130.00M,787.00M,207.00M,580.00M,,,-8.00M,572.00M,179.00M,919.00M,,2020-06,1.13,1.175,1.13,,2020-06,1.12,1.165,1.12,,511.00M,0.455,,2020-06,AOR,
2020-03,4.651B,4.651B,2.555B,2.096B,,,,127.00M,2.00M,-125.00M,1.026B,1.026B,1.07B,2.00M,127.00M,-125.00M,62.00M,-125.00M,1.007B,240.00M,767.00M,,,-13.00M,754.00M,183.00M,1.134B,,2020-03,1.49,1.493,1.49,,2020-03,1.48,1.483,1.48,,510.00M,0.455,,2020-03,AOR,
2019-12,4.354B,4.264B,2.478B,1.786B,,,0.00,130.00M,5.00M,-125.00M,1.194B,1.194B,592.00M,5.00M,130.00M,-125.00M,64.00M,-125.00M,531.00M,135.00M,396.00M,,,-5.00M,391.00M,167.00M,661.00M,,2019-12,0.7758,0.7728,0.77,,2019-12,0.7667,0.7637,0.76,,511.00M,0.455,,2019-12,AOR,
2019-09,3.968B,3.968B,2.437B,1.531B,,,0.00,133.00M,4.00M,-129.00M,1.064B,1.064B,467.00M,4.00M,133.00M,-129.00M,76.00M,-129.00M,414.00M,108.00M,306.00M,,,-3.00M,303.00M,170.00M,547.00M,,2019-09,0.60,0.5898,0.60,,2019-09,0.59,0.5799,0.59,,511.00M,0.455,,2019-09,AOR,Restated
2019-06,4.349B,4.349B,2.537B,1.812B,,,-69.00M,141.00M,2.00M,-139.00M,1.132B,1.132B,680.00M,2.00M,141.00M,-139.00M,9.00M,-139.00M,550.00M,206.00M,344.00M,,,-12.00M,332.00M,185.00M,691.00M,,2019-06,0.66,0.7353,0.66,,2019-06,0.65,0.7246,0.65,,512.00M,0.415,,2019-06,AOR,Restated
2019-03,4.071B,4.071B,2.282B,1.789B,,,29.00M,120.00M,28.00M,-92.00M,851.00M,851.00M,938.00M,28.00M,120.00M,-92.00M,98.00M,-92.00M,944.00M,217.00M,727.00M,,,-11.00M,716.00M,125.00M,1.064B,,2019-03,1.42,1.368,1.42,,2019-03,1.40,1.349,1.40,,511.00M,0.415,,2019-03,AOR,Restated
2018-12,3.769B,3.712B,2.163B,1.549B,,,-341.00M,92.00M,3.00M,-89.00M,928.00M,928.00M,621.00M,3.00M,92.00M,-89.00M,-308.00M,-89.00M,224.00M,65.00M,159.00M,,,-6.00M,153.00M,123.00M,316.00M,,2018-12,0.30,0.7615,0.30,,2018-12,0.30,0.7597,0.30,,508.00M,0.415,,2018-12,AOR,Restated
2018-09,3.504B,3.504B,2.083B,1.421B,,,-100.00M,69.00M,2.00M,-67.00M,880.00M,880.00M,541.00M,2.00M,69.00M,-67.00M,-89.00M,-67.00M,385.00M,106.00M,279.00M,,,-3.00M,276.00M,124.00M,454.00M,,2018-09,0.55,0.7687,0.55,,2018-09,0.54,0.7561,0.54,,510.00M,0.415,,2018-09,AOR,Restated
2018-06,3.734B,3.734B,2.135B,1.599B,,,0.00,68.00M,3.00M,-65.00M,908.00M,908.00M,691.00M,3.00M,68.00M,-65.00M,93.00M,-65.00M,719.00M,183.00M,536.00M,,,-5.00M,531.00M,122.00M,787.00M,,2018-06,1.05,1.009,1.05,,2018-06,1.04,0.9993,1.04,,512.00M,0.375,,2018-06,AOR,Restated
