,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-10,,3.529B,117.00M,3.646B,796.00M,796.00M,20.00M,,96.00M,116.00M,,,,263.00M,4.821B,0.0,103.00M,602.00M,1.318B,129.00M,37.00M,91.00M,2.28B,-1.414B,866.00M,2.039B,125.00M,2.164B,,,225.00M,344.00M,3.599B,8.42B,367.00M,,367.00M,23.00M,390.00M,,0.00,,0.00,52.00M,52.00M,1.815B,1.815B,287.00M,2.92B,2.631B,84.00M,2.715B,,1.836B,1.836B,228.00M,5.13B,8.05B,372.00M,30.00M,,,,,-32.00M,370.00M
2020-07,,3.633B,140.00M,3.773B,604.00M,604.00M,25.00M,,111.00M,136.00M,,,,304.00M,4.817B,0.0,103.00M,598.00M,1.30B,135.00M,38.00M,91.00M,2.265B,-1.393B,872.00M,2.038B,140.00M,2.178B,,,208.00M,341.00M,3.599B,8.416B,396.00M,,396.00M,24.00M,420.00M,,150.00M,,150.00M,52.00M,202.00M,1.814B,1.814B,286.00M,2.976B,2.63B,90.00M,2.72B,,1.806B,1.806B,231.00M,5.156B,8.132B,323.00M,0.00,,,,,-39.00M,284.00M
2020-04,,2.658B,224.00M,2.882B,973.00M,973.00M,28.00M,,117.00M,145.00M,,,,274.00M,4.274B,0.0,103.00M,597.00M,1.267B,137.00M,32.00M,89.00M,2.225B,-1.361B,864.00M,1.778B,44.00M,1.822B,,,220.00M,342.00M,3.248B,7.522B,426.00M,,426.00M,26.00M,452.00M,,522.00M,,522.00M,51.00M,573.00M,1.894B,1.894B,375.00M,3.616B,1.146B,93.00M,1.239B,,1.804B,1.804B,222.00M,3.664B,7.28B,284.00M,0.00,,,,,-42.00M,242.00M
2020-01,,2.705B,303.00M,3.008B,821.00M,821.00M,18.00M,,95.00M,113.00M,,,,276.00M,4.218B,0.0,104.00M,610.00M,1.31B,142.00M,26.00M,87.00M,2.279B,-1.397B,882.00M,1.77B,43.00M,1.813B,,,222.00M,348.00M,3.265B,7.483B,381.00M,,381.00M,26.00M,407.00M,,693.00M,,693.00M,50.00M,743.00M,1.795B,1.795B,299.00M,3.529B,1.146B,99.00M,1.245B,,1.778B,1.778B,250.00M,3.672B,7.201B,321.00M,0.00,,,,,-39.00M,282.00M
2019-10,,2.545B,442.00M,2.987B,780.00M,780.00M,14.00M,,97.00M,111.00M,,,,313.00M,4.191B,0.0,104.00M,609.00M,1.305B,143.00M,21.00M,86.00M,2.268B,-1.379B,889.00M,1.77B,51.00M,1.821B,,,223.00M,348.00M,3.281B,7.472B,382.00M,,382.00M,26.00M,408.00M,,498.00M,,498.00M,49.00M,547.00M,1.718B,1.718B,252.00M,3.204B,1.145B,102.00M,1.247B,,1.75B,1.75B,336.00M,3.732B,6.936B,572.00M,0.00,,,,,-36.00M,536.00M
2019-07,2.858B,2.967B,565.00M,3.532B,542.00M,542.00M,21.00M,,95.00M,116.00M,,,,326.00M,4.516B,0.0,106.00M,607.00M,1.296B,142.00M,12.00M,85.00M,2.248B,-1.352B,896.00M,1.77B,62.00M,1.832B,,,207.00M,360.00M,3.295B,7.811B,348.00M,,348.00M,25.00M,373.00M,,30.00M,400.00M,430.00M,51.00M,481.00M,1.764B,1.764B,300.00M,3.175B,1.145B,100.00M,1.245B,,1.746B,1.746B,335.00M,3.773B,6.948B,902.00M,0.00,,,,,-39.00M,863.00M
2019-04,,2.325B,1.574B,3.899B,1.216B,1.216B,8.00M,,123.00M,131.00M,,,,364.00M,5.61B,0.0,106.00M,605.00M,1.279B,,10.00M,86.00M,2.086B,-1.327B,759.00M,1.735B,47.00M,1.782B,,,201.00M,389.00M,3.131B,8.741B,542.00M,,542.00M,25.00M,567.00M,,249.00M,400.00M,649.00M,0.00,649.00M,1.825B,1.825B,393.00M,3.867B,1.144B,0.00,1.144B,,1.843B,1.843B,350.00M,3.784B,7.651B,1.133B,0.00,,,,,-43.00M,1.09B
2019-01,2.162B,2.271B,1.778B,4.049B,872.00M,872.00M,11.00M,,89.00M,100.00M,,,,340.00M,5.361B,0.0,106.00M,605.00M,1.267B,,6.00M,87.00M,2.071B,-1.308B,763.00M,1.742B,56.00M,1.798B,,,219.00M,277.00M,3.057B,8.418B,497.00M,,497.00M,25.00M,522.00M,,163.00M,399.00M,562.00M,,562.00M,1.641B,1.641B,371.00M,3.43B,1.144B,,1.144B,,1.716B,1.716B,422.00M,3.758B,7.188B,1.298B,0.00,,,,,-68.00M,1.23B
2018-10,2.251B,2.359B,1.94B,4.299B,765.00M,765.00M,12.00M,,74.00M,86.00M,,,,321.00M,5.471B,0.0,106.00M,604.00M,1.247B,,8.00M,87.00M,2.052B,-1.282B,770.00M,1.742B,69.00M,1.811B,,,223.00M,276.00M,3.08B,8.551B,472.00M,,472.00M,26.00M,498.00M,,249.00M,399.00M,648.00M,,648.00M,1.538B,1.538B,312.00M,3.31B,1.144B,,1.144B,,1.668B,1.668B,423.00M,3.711B,7.021B,1.605B,0.00,,,,,-75.00M,1.53B
2018-07,2.519B,2.627B,2.184B,4.811B,616.00M,616.00M,17.00M,,80.00M,97.00M,,,,329.00M,5.853B,0.0,106.00M,605.00M,1.227B,,4.00M,87.00M,2.029B,-1.261B,768.00M,1.739B,81.00M,1.82B,,,225.00M,239.00M,3.052B,8.905B,425.00M,,425.00M,25.00M,450.00M,,200.00M,,200.00M,,200.00M,1.623B,1.623B,299.00M,2.84B,1.542B,,1.542B,,1.637B,1.637B,415.00M,4.143B,6.983B,1.992B,,,,,,-70.00M,1.922B
2018-04,2.727B,2.941B,2.45B,5.391B,1.047B,1.047B,12.00M,,110.00M,122.00M,,,,392.00M,6.952B,0.0,106.00M,594.00M,1.189B,,27.00M,88.00M,2.004B,-1.248B,756.00M,1.739B,94.00M,1.833B,,,229.00M,221.00M,3.039B,9.991B,609.00M,,609.00M,25.00M,634.00M,,385.00M,,385.00M,,385.00M,1.712B,1.712B,359.00M,3.531B,1.541B,,1.541B,,1.651B,1.651B,443.00M,4.184B,7.715B,2.355B,-9.00M,,,,,-70.00M,2.276B
2018-01,2.563B,2.974B,2.645B,5.619B,754.00M,754.00M,22.00M,,76.00M,98.00M,,,,295.00M,6.766B,0.0,106.00M,576.00M,1.183B,,26.00M,94.00M,1.985B,-1.244B,741.00M,1.739B,106.00M,1.845B,,,289.00M,146.00M,3.021B,9.787B,458.00M,,458.00M,26.00M,484.00M,,632.00M,,632.00M,0.00,632.00M,1.719B,1.719B,366.00M,3.548B,1.54B,,1.54B,,1.55B,1.55B,404.00M,4.063B,7.611B,2.707B,-489.00M,,,,,-42.00M,2.176B
2017-10,3.111B,3.535B,2.43B,5.965B,584.00M,584.00M,32.00M,,76.00M,108.00M,,,,363.00M,7.02B,0.0,132.00M,633.00M,1.197B,,13.00M,100.00M,2.075B,-1.28B,795.00M,1.739B,120.00M,1.859B,,,483.00M,151.00M,3.288B,10.31B,379.00M,,379.00M,29.00M,408.00M,,718.00M,750.00M,1.468B,130.00M,1.598B,1.645B,1.645B,272.00M,4.214B,1.54B,,1.54B,,1.522B,1.522B,255.00M,3.317B,7.531B,2.779B,17.00M,,,,,-19.00M,2.777B
2017-07,2.63B,2.951B,2.37B,5.321B,518.00M,518.00M,59.00M,,84.00M,143.00M,,,,316.00M,6.298B,0.0,132.00M,643.00M,1.197B,,2.00M,95.00M,2.069B,-1.27B,799.00M,1.701B,124.00M,1.825B,,,523.00M,154.00M,3.301B,9.599B,289.00M,,289.00M,29.00M,318.00M,,894.00M,749.00M,1.643B,130.00M,1.773B,1.702B,1.702B,254.00M,4.287B,745.00M,,745.00M,,1.549B,1.549B,250.00M,2.544B,6.831B,2.771B,10.00M,,,,,-13.00M,2.768B
2017-04,2.275B,2.444B,2.477B,4.921B,731.00M,731.00M,28.00M,,135.00M,163.00M,,,,383.00M,6.198B,0.0,132.00M,612.00M,1.184B,,26.00M,93.00M,2.047B,-1.248B,799.00M,1.684B,131.00M,1.815B,,,525.00M,156.00M,3.295B,9.493B,347.00M,,347.00M,33.00M,380.00M,,500.00M,749.00M,1.249B,130.00M,1.379B,1.744B,1.744B,279.00M,4.122B,744.00M,,744.00M,,1.598B,1.598B,249.00M,2.591B,6.713B,2.769B,40.00M,,,,,-29.00M,2.78B
2017-01,1.989B,2.213B,2.426B,4.639B,605.00M,605.00M,19.00M,,106.00M,125.00M,,,,277.00M,5.646B,0.0,183.00M,695.00M,1.206B,,11.00M,101.00M,2.196B,-1.304B,892.00M,1.676B,145.00M,1.821B,,,533.00M,163.00M,3.409B,9.055B,258.00M,,258.00M,34.00M,292.00M,,392.00M,748.00M,1.14B,130.00M,1.27B,1.699B,1.699B,276.00M,3.844B,744.00M,,744.00M,,1.535B,1.535B,238.00M,2.517B,6.361B,2.731B,0.00,,,,,-37.00M,2.694B
2016-10,1.876B,2.113B,2.244B,4.357B,547.00M,547.00M,10.00M,,87.00M,97.00M,,,,219.00M,5.22B,0.0,215.00M,605.00M,1.189B,,135.00M,107.00M,2.251B,-1.302B,949.00M,1.676B,158.00M,1.834B,,,590.00M,169.00M,3.542B,8.762B,253.00M,,253.00M,36.00M,289.00M,,,,,,,1.655B,1.655B,296.00M,2.528B,1.492B,,1.492B,,1.546B,1.546B,407.00M,3.445B,5.973B,2.83B,0.00,,,,,-41.00M,2.789B
2016-07,2.121B,2.294B,2.127B,4.421B,501.00M,501.00M,11.00M,,70.00M,81.00M,,,,220.00M,5.223B,0.0,215.00M,605.00M,1.184B,,108.00M,106.00M,2.218B,-1.276B,942.00M,1.676B,169.00M,1.845B,,,599.00M,178.00M,3.564B,8.787B,239.00M,,239.00M,40.00M,279.00M,,,,,,,1.724B,1.724B,282.00M,2.524B,1.491B,,1.491B,,1.576B,1.576B,404.00M,3.471B,5.995B,2.823B,0.00,,,,,-31.00M,2.792B
2016-04,2.714B,2.868B,2.435B,5.303B,813.00M,813.00M,10.00M,,88.00M,98.00M,,,,234.00M,6.448B,0.0,215.00M,605.00M,1.191B,,74.00M,106.00M,2.191B,-1.254B,937.00M,1.676B,180.00M,1.856B,,,621.00M,175.00M,3.589B,10.04B,254.00M,,254.00M,48.00M,302.00M,,0.00,849.00M,849.00M,19.00M,868.00M,1.794B,1.794B,327.00M,3.662B,1.49B,,1.49B,,1.591B,1.591B,413.00M,3.494B,7.156B,2.912B,0.00,,,,,-31.00M,2.881B
2016-01,2.347B,2.495B,2.528B,5.023B,585.00M,585.00M,25.00M,,77.00M,102.00M,354.00M,,0.00,,6.064B,0.0,181.00M,543.00M,1.185B,,63.00M,103.00M,2.075B,-1.202B,873.00M,1.027B,37.00M,1.064B,,,605.00M,179.00M,2.721B,8.785B,175.00M,,175.00M,49.00M,224.00M,,,,,,,1.684B,1.684B,294.00M,2.476B,1.49B,,1.49B,,1.441B,1.441B,269.00M,3.20B,5.676B,3.099B,51.00M,,,,,-41.00M,3.109B
2015-10,2.075B,2.198B,2.616B,4.814B,587.00M,587.00M,35.00M,,90.00M,125.00M,250.00M,,305.00M,,6.081B,0.0,265.00M,606.00M,1.22B,,51.00M,107.00M,2.249B,-1.245B,1.004B,1.027B,51.00M,1.078B,,,281.00M,191.00M,2.554B,8.635B,226.00M,,226.00M,53.00M,279.00M,,,,,,,1.609B,1.609B,284.00M,2.453B,1.489B,,1.489B,,1.437B,1.437B,269.00M,3.195B,5.648B,3.022B,0.00,,,,,-35.00M,2.987B
2015-07,2.12B,2.324B,2.626B,4.95B,415.00M,415.00M,63.00M,,130.00M,193.00M,271.00M,,290.00M,,6.119B,0.0,265.00M,606.00M,1.213B,,38.00M,109.00M,2.231B,-1.22B,1.011B,1.027B,64.00M,1.091B,,,273.00M,203.00M,2.578B,8.697B,249.00M,,249.00M,54.00M,303.00M,,,,,,,1.639B,1.639B,280.00M,2.48B,1.488B,,1.488B,,1.427B,1.427B,302.00M,3.217B,5.697B,3.065B,-31.00M,,,,,-34.00M,3.00B
2015-04,1.666B,1.922B,3.404B,5.326B,779.00M,779.00M,36.00M,,110.00M,146.00M,268.00M,,254.00M,,6.773B,0.0,265.00M,607.00M,1.211B,,33.00M,107.00M,2.223B,-1.193B,1.03B,1.027B,90.00M,1.117B,,,256.00M,225.00M,2.628B,9.401B,284.00M,,284.00M,58.00M,342.00M,,,,,,,1.724B,1.724B,284.00M,2.709B,1.487B,,1.487B,,1.473B,1.473B,318.00M,3.278B,5.987B,3.385B,53.00M,,,,,-24.00M,3.414B
2015-01,2.267B,2.540B,2.713B,5.252B,666.30M,666.30M,25.90M,,91.90M,117.80M,266.00M,,252.00M,,6.555B,0.0,265.50M,605.50M,1.216B,,27.70M,104.80M,2.220B,-1.169B,1.051B,1.031B,105.00M,1.136B,0.00,,250.60M,242.50M,2.680B,9.235B,194.20M,,194.20M,,194.20M,,,,,,,1.679B,1.679B,335.10M,2.491B,1.495B,,1.495B,,1.430B,1.430B,310.40M,3.235B,5.727B,0.30M,69.80M,3.452B,,,,-14.30M,3.508B
2014-10,2.680B,2.905B,2.364B,5.269B,632.70M,632.70M,23.30M,,84.30M,107.60M,225.20M,,254.20M,,6.489B,0.0,265.70M,605.50M,1.240B,,20.70M,106.50M,2.238B,-1.157B,1.082B,988.10M,92.50M,1.081B,23.00M,,247.30M,255.80M,2.688B,9.178B,210.30M,,210.30M,,210.30M,,,,,,,1.632B,1.632B,333.30M,2.491B,1.494B,,1.494B,,1.415B,1.415B,315.90M,3.225B,5.716B,0.30M,0.00,3.460B,,,,0.60M,3.461B
