,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,TotalReceivables,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,TotalPayables,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2008-12,136.18M,258.17M,394.35M,,,93.73M,122.48M,217.63M,828.20M,0.0,1.396B,5.454B,968.98M,,7.819B,-1.160B,6.659B,1.728B,181.99M,,,8.569B,9.397B,151.24M,131.10M,282.34M,282.34M,,,237.58M,519.92M,4.557B,,4.557B,221.04M,,115.85M,4.672B,5.192B,3.595M,-58.16M,4.218B,0.884M,-179.54M,3.984B
2008-09,124.09M,348.75M,472.84M,,,109.71M,,,582.55M,,,,,,,,6.771B,1.848B,211.00M,,,8.830B,9.757B,1.148B,128.96M,1.277B,1.277B,,,,1.277B,,,,532.69M,,,,4.969B,3.546M,124.46M,4.140B,0.884M,-12.49M,4.255B
2008-06,123.18M,385.83M,509.02M,,,104.16M,,,613.18M,,,,,,,,6.635B,1.809B,197.01M,,,8.642B,9.594B,1.115B,113.42M,1.228B,1.228B,,,,1.228B,,,,483.66M,,,,5.249B,3.424M,144.84M,3.709B,0.884M,4.637M,3.862B
2008-03,150.96M,397.50M,548.46M,,,99.33M,,335.69M,983.47M,,,,,,7.482B,-1.015B,6.467B,1.832B,149.10M,,,8.448B,9.432B,,113.18M,113.18M,113.18M,,,435.09M,548.27M,4.539B,,4.539B,463.74M,,,4.539B,5.087B,3.418M,163.90M,3.692B,0.884M,20.69M,3.881B
2007-12,87.50M,212.99M,300.49M,,,88.02M,121.69M,224.25M,734.44M,0.0,1.263B,4.918B,1.144B,,7.325B,-977.44M,6.348B,1.862B,153.85M,,,8.363B,9.098B,161.53M,112.05M,273.58M,273.58M,,,265.09M,538.67M,4.216B,,4.216B,448.16M,,,4.216B,4.755B,3.412M,180.00M,3.678B,0.884M,33.65M,3.895B
2007-09,45.44M,213.38M,258.82M,,,256.09M,,,514.91M,,,,,,,,6.155B,1.907B,171.81M,,,8.233B,8.898B,798.28M,103.98M,902.26M,902.26M,,,,902.26M,3.618B,,3.618B,437.06M,,,3.618B,4.976B,3.227M,209.02M,3.228B,0.70M,45.45M,3.485B
2007-06,109.53M,228.58M,338.11M,,,266.43M,,,604.54M,,,,,,,,5.948B,1.735B,176.07M,,,7.859B,8.625B,777.17M,93.70M,870.86M,870.86M,,,,870.86M,3.414B,,3.414B,421.19M,,,3.414B,4.704B,3.222M,234.99M,3.211B,0.70M,50.39M,3.500B
2007-03,120.04M,219.84M,339.88M,,,290.09M,,,629.97M,,,,,,,,5.397B,1.573B,,,,6.970B,7.985B,880.26M,93.61M,973.87M,973.87M,,,,973.87M,2.749B,,2.749B,427.28M,,,2.749B,4.112B,3.219M,200.67M,3.204B,0.70M,37.75M,3.446B
2006-12,345.06M,202.66M,547.72M,,,246.09M,,,793.81M,,,,,,6.001B,-806.67M,5.195B,1.520B,,,,6.714B,7.869B,1.003B,93.22M,1.096B,1.096B,,,,1.096B,2.748B,,2.748B,425.24M,,,2.748B,4.077B,3.209M,140.51M,3.178B,0.70M,45.22M,3.367B
2006-09,102.80M,191.84M,294.64M,,,232.98M,,,527.62M,,,,,,,,4.875B,1.325B,,,,6.199B,7.124B,678.91M,89.80M,768.71M,768.71M,,,,768.71M,2.584B,,2.584B,367.70M,,,2.584B,3.839B,3.114M,101.83M,2.761B,0.70M,50.93M,2.917B
