,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,259.79M,259.79M,86.01M,173.78M,28.80M,28.80M,-7.935M,,,46.94M,,-46.94M,,100.50M,73.28M,,46.94M,-46.94M,-85.77M,-46.94M,-59.43M,0.388M,-37.43M,,,-0.965M,6.354M,-38.39M,23.56M,59.22M,71.70M,-12.49M,-0.1,,,,0.0441,-0.1,-0.1,,,,0.0441,-0.1,429.99M,429.99M,0.1
2020-06,238.92M,238.92M,80.44M,158.47M,22.50M,22.50M,-0.138M,,,48.02M,,-48.02M,,96.06M,62.41M,,48.02M,-48.02M,718.84M,-48.02M,733.23M,0.051M,748.12M,,,-0.225M,6.354M,747.89M,29.16M,854.80M,73.56M,781.24M,1.71,,,,0.0384,1.71,1.71,,,,0.0431,1.71,429.97M,431.17M,0.0
2020-03,289.74M,289.74M,84.90M,204.85M,21.02M,21.02M,-2.974M,,,46.06M,,-46.06M,,90.41M,114.44M,,46.06M,-46.06M,-2.549M,-46.06M,65.83M,0.043M,90.39M,,,-0.289M,6.354M,90.10M,89.23M,181.28M,69.40M,111.89M,0.19,,,,0.188,0.19,0.19,,,,0.188,0.19,429.74M,430.50M,0.28
2019-12,296.13M,296.13M,90.76M,205.37M,24.65M,24.65M,-7.508M,,,45.76M,,-45.76M,,93.08M,112.29M,,45.76M,-45.76M,27.26M,-45.76M,93.79M,0.263M,110.04M,,,-0.624M,9.448M,109.42M,86.53M,207.98M,68.44M,139.54M,0.22,,,,0.1658,0.22,0.22,,,,0.166,0.22,422.49M,424.24M,0.28
2019-09,282.87M,282.87M,80.11M,202.76M,23.83M,23.83M,-19.61M,,,43.15M,,-43.15M,,92.71M,110.05M,,43.15M,-43.15M,-6.257M,-43.15M,60.65M,-3.866M,85.45M,,,-1.463M,13.57M,83.99M,91.86M,172.67M,68.87M,103.80M,0.14,,,,0.1588,0.14,0.14,,,,0.1587,0.14,419.82M,421.00M,0.28
2019-06,284.87M,284.87M,83.15M,201.73M,22.63M,22.63M,-17.45M,,,44.10M,,-44.10M,,91.64M,110.09M,,44.10M,-44.10M,-0.751M,-44.10M,65.24M,-0.344M,101.39M,,,-0.36M,14.53M,101.03M,102.94M,178.34M,69.00M,109.34M,0.2,,,,0.2046,0.2,0.2,,,,0.2045,0.2,419.70M,420.65M,0.28
2019-03,295.01M,295.01M,82.94M,212.08M,25.83M,25.83M,-4.175M,,,44.40M,,-44.40M,,97.39M,114.68M,,44.40M,-44.40M,22.04M,-44.40M,92.33M,0.63M,116.68M,,,-0.509M,14.53M,116.17M,96.88M,208.29M,71.56M,136.72M,0.24,,,,0.194,0.24,0.24,,,,0.1942,0.24,419.46M,420.76M,0.28
2018-12,284.20M,284.20M,80.81M,203.40M,20.02M,20.02M,-45.35M,1.682M,,42.88M,,-42.88M,,95.97M,107.42M,,42.88M,-42.88M,2.393M,-42.88M,66.94M,2.583M,87.95M,,,0.214M,14.53M,88.16M,84.29M,184.08M,74.27M,109.82M,0.17,,,,0.1608,0.17,0.17,,,,0.1608,0.17,419.25M,419.25M,0.28
2018-09,283.08M,283.08M,79.83M,203.25M,21.35M,21.35M,-16.10M,1.389M,,44.08M,,-44.08M,,97.71M,105.54M,,44.08M,-44.08M,17.37M,-44.08M,78.83M,-0.315M,100.72M,,,-0.567M,14.53M,100.16M,91.29M,197.88M,74.97M,122.91M,0.19,,,,0.1688,0.19,0.19,,,,0.1689,0.19,419.23M,419.76M,0.28
2018-06,293.40M,293.40M,81.34M,212.06M,24.03M,24.03M,-22.87M,1.051M,,46.43M,,-46.43M,,104.84M,107.22M,,46.43M,-46.43M,75.64M,-46.43M,136.43M,-0.72M,165.81M,,,-0.423M,14.53M,165.39M,112.56M,262.63M,79.76M,182.87M,0.36,,,,0.2344,0.36,0.36,,,,0.2348,0.36,420.73M,421.93M,0.28
