,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-11,849.00M,4.478B,1.514B,5.992B,1.398B,,1.398B,,756.00M,,,8.146B,0.00,145.00M,901.00M,1.446B,487.00M,199.00M,284.00M,3.462B,-1.458B,2.004B,10.74B,1.359B,12.10B,,1.37B,663.00M,16.14B,24.28B,,306.00M,158.00M,34.00M,498.00M,914.00M,1.412B,,,,92.00M,92.00M,3.629B,3.629B,,4.00M,5.512B,4.117B,499.00M,4.616B,10.00M,130.00M,140.00M,,223.00M,5.508B,11.02B,,0.00,19.61B,7.357B,13.55B,,,-158.00M,13.26B,,AOR,
2020-08,740.00M,3.767B,1.497B,5.264B,1.318B,,1.318B,,805.00M,,,7.387B,,,,,1.974B,,,1.974B,,1.974B,10.74B,1.445B,12.18B,,219.00M,650.00M,15.03B,22.41B,,229.00M,260.00M,33.00M,522.00M,813.00M,1.335B,,,,90.00M,90.00M,3.317B,3.317B,,5.00M,5.13B,4.116B,520.00M,4.636B,76.00M,131.00M,207.00M,,221.00M,5.571B,10.70B,,0.00,17.38B,7.195B,12.71B,,,-153.00M,11.71B,,AOR,
2020-05,786.00M,3.044B,1.307B,4.351B,1.366B,,1.366B,,932.00M,,,6.649B,,,,,1.876B,,,1.876B,,1.876B,10.70B,1.535B,12.23B,,231.00M,617.00M,14.95B,21.60B,,289.00M,240.00M,30.00M,559.00M,765.00M,1.324B,,,,85.00M,85.00M,3.321B,3.321B,,5.00M,5.164B,4.114B,498.00M,4.612B,107.00M,140.00M,247.00M,,196.00M,5.558B,10.72B,,0.00,16.43B,6.892B,12.24B,,,-195.00M,10.88B,,AOR,
2020-02,473.00M,2.688B,1.483B,4.171B,1.389B,,1.389B,,895.00M,,,6.455B,,,,,1.844B,,,1.844B,,1.844B,10.69B,1.626B,12.32B,,,598.00M,14.76B,21.21B,,265.00M,223.00M,72.00M,560.00M,698.00M,1.258B,,,,84.00M,84.00M,3.489B,3.489B,,8.00M,5.228B,4.113B,514.00M,4.627B,48.00M,125.00M,173.00M,,191.00M,5.521B,10.75B,,0.00,15.39B,6.665B,11.40B,,,-189.00M,10.46B,,AOR,
2019-11,467.00M,2.65B,1.527B,4.177B,1.535B,,1.535B,,783.00M,,,6.495B,0.00,145.00M,791.00M,1.568B,,112.00M,246.00M,2.862B,-1.569B,1.293B,10.69B,1.721B,12.41B,,0.00,562.00M,14.27B,20.76B,,209.00M,139.00M,62.00M,410.00M,903.00M,1.313B,900.00M,2.249B,3.149B,0.00,3.149B,3.378B,3.378B,,33.00M,8.191B,989.00M,0.00,989.00M,140.00M,123.00M,263.00M,,173.00M,2.041B,10.23B,,0.00,14.83B,6.504B,10.62B,,,-188.00M,10.53B,,AOR,Restated
2019-08,437.25M,2.209B,1.442B,3.651B,1.372B,,1.372B,,727.61M,,,5.750B,,,,,,,,,,1.244B,10.69B,1.816B,12.50B,,,557.08M,14.30B,20.05B,,187.00M,115.92M,59.56M,362.48M,785.44M,1.148B,,3.149B,3.149B,,3.149B,3.120B,3.120B,,60.79M,7.803B,988.43M,,988.43M,129.40M,135.75M,265.15M,,169.79M,2.009B,9.812B,,0.061M,13.98B,6.335B,9.875B,,,-193.95M,10.24B,,AOR,Restated
2019-05,400.02M,2.083B,1.396B,3.479B,1.273B,,1.273B,,591.00M,,,5.343B,,,,,,,,,,1.205B,10.70B,1.917B,12.62B,,,503.22M,14.32B,19.67B,,169.10M,108.88M,50.82M,328.80M,798.92M,1.128B,,,3.146B,,3.146B,3.012B,3.012B,,,7.687B,987.94M,,987.94M,133.89M,122.52M,256.41M,,165.04M,2.047B,9.734B,,0.061M,13.18B,6.051B,9.159B,,,-144.36M,9.932B,,AOR,Restated
2019-02,341.36M,1.739B,1.487B,3.226B,1.342B,,1.342B,,565.12M,,,5.134B,,,,,,,,,,1.104B,10.71B,2.017B,12.72B,,,542.94M,14.37B,19.51B,,145.29M,81.60M,51.92M,278.81M,695.99M,974.80M,,,892.75M,,892.75M,3.084B,3.084B,,,5.314B,3.237B,,3.237B,125.66M,134.35M,260.01M,,168.43M,4.320B,9.634B,,0.061M,12.58B,5.857B,8.415B,,,-150.43M,9.871B,,AOR,Restated
2018-11,368.56M,1.643B,1.586B,3.229B,1.316B,,1.316B,,312.50M,,,4.857B,0.00,145.06M,770.59M,1.360B,,23.03M,181.99M,2.481B,-1.406B,1.075B,10.58B,2.069B,12.65B,,,186.52M,13.91B,18.77B,,186.26M,93.23M,51.53M,331.02M,739.44M,1.070B,,,,,,2.916B,2.916B,,0.816M,4.301B,4.125B,,4.125B,46.70M,137.63M,184.33M,,152.21M,5.105B,9.407B,,0.061M,11.82B,5.685B,7.991B,,,-148.13M,9.362B,,AOR,Restated
2018-08,386.93M,1.747B,3.197B,4.944B,1.045B,,1.045B,,311.94M,,,6.301B,,,,,,,,,,1.019B,7.137B,669.48M,7.806B,,85.30M,183.82M,9.095B,15.40B,,145.57M,61.37M,42.74M,249.68M,498.58M,748.26M,,,,,,2.615B,2.615B,,,3.792B,1.875B,,1.875B,0.00,92.18M,92.18M,,152.42M,2.742B,6.534B,,0.061M,11.14B,5.549B,7.697B,,,-128.05M,8.862B,,AOR,Restated
