,NetIncome,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-11,2.25B,,190.00M,190.00M,-1.217B,,-7.00M,233.00M,,25.00M,-81.00M,,-7.00M,86.00M,,,310.00M,308.00M,1.782B,,-103.00M,,-103.00M,0.00,-28.00M,,-131.00M,,0.00,0.00,0.00,-850.00M,-850.00M,,-90.00M,-940.00M,,3.767B,711.00M,0.00,4.478B,,0.00,0.00,0.00,-850.00M,269.00M,0.00,,AOR,
2020-08,955.00M,,191.00M,191.00M,-19.00M,,-9.00M,232.00M,,44.00M,32.00M,,22.00M,0.00,,,-12.00M,42.00M,1.436B,,-126.00M,,-126.00M,0.00,-189.00M,,-315.00M,,0.00,0.00,181.00M,-500.00M,-319.00M,,-95.00M,-414.00M,,3.044B,707.00M,16.00M,3.767B,,181.00M,0.00,0.00,-500.00M,84.00M,50.00M,,AOR,
2020-05,1.10B,,188.00M,188.00M,-172.00M,,-1.00M,227.00M,,35.00M,10.00M,,-106.00M,57.00M,,,-154.00M,-193.00M,1.184B,,-96.00M,,-96.00M,0.00,176.00M,,80.00M,,0.00,0.00,1.00M,-850.00M,-849.00M,,-52.00M,-901.00M,,2.688B,363.00M,-7.00M,3.044B,,1.00M,0.00,0.00,-850.00M,71.00M,0.00,,AOR,
2020-02,955.00M,,188.00M,188.00M,-93.00M,,6.00M,217.00M,,23.00M,145.00M,,-197.00M,-33.00M,,,114.00M,29.00M,1.325B,,-94.00M,,-94.00M,0.00,46.00M,,-48.00M,,-6.00M,-6.00M,88.00M,-850.00M,-762.00M,,-465.00M,-1.233B,,2.65B,44.00M,-6.00M,2.688B,,88.00M,3.144B,-3.15B,-850.00M,45.00M,38.00M,,AOR,
2019-11,851.00M,,191.00M,191.00M,5.00M,,-5.00M,203.00M,,11.00M,-174.00M,,-134.00M,184.00M,,,245.00M,121.00M,1.377B,,-95.00M,,-95.00M,-1.00M,-73.00M,,-169.00M,,0.00,0.00,1.00M,-750.00M,-749.00M,,-17.00M,-766.00M,,2.209B,442.00M,-1.00M,2.65B,,1.00M,0.00,0.00,-750.00M,120.00M,27.00M,,AOR,Restated
2019-08,793.00M,,193.00M,193.00M,9.00M,,-3.00M,196.00M,,1.00M,-100.00M,,-192.00M,-97.00M,,,122.00M,-267.00M,922.00M,,-89.00M,,-89.00M,0.00,-76.00M,,-165.00M,,0.00,0.00,158.00M,-750.00M,-592.00M,,-32.00M,-624.00M,,2.083B,133.00M,-7.00M,2.209B,,158.00M,0.00,0.00,-750.00M,124.00M,47.00M,,AOR,Restated
2019-05,633.00M,,187.00M,187.00M,8.00M,,2.00M,204.00M,,1.00M,21.00M,,-77.00M,167.00M,,,-36.00M,75.00M,1.11B,,-146.00M,,-146.00M,0.00,156.00M,,10.00M,,0.00,0.00,2.00M,-750.00M,-748.00M,,-24.00M,-772.00M,,1.739B,348.00M,-4.00M,2.083B,,2.00M,0.00,0.00,-750.00M,56.00M,27.00M,,AOR,Restated
2019-02,674.00M,,186.00M,186.00M,-19.00M,,-42.00M,185.00M,,1.00M,65.00M,,-148.00M,-55.00M,,,166.00M,28.00M,1.013B,,-65.00M,,-65.00M,-100.00M,33.00M,,-132.00M,,0.00,0.00,72.00M,-500.00M,-428.00M,,-356.00M,-784.00M,,1.643B,97.00M,-1.00M,1.739B,,72.00M,0.00,0.00,-500.00M,52.00M,51.00M,,AOR,Restated
2018-11,678.47M,,106.23M,106.23M,-50.89M,,4.115M,170.06M,,2.156M,-201.00M,,12.82M,114.98M,,,270.75M,197.55M,1.108B,,-62.98M,,-62.98M,-4.681B,1.605B,,-3.139B,,2.248B,2.248B,1.257M,-300.00M,-298.74M,,-23.96M,1.925B,,1.747B,-105.60M,1.523M,1.643B,,1.257M,,0.00,-300.00M,68.33M,19.25M,,AOR,Restated
2018-08,666.29M,,86.89M,86.89M,-18.04M,,-1.613M,159.04M,,1.221M,58.32M,,16.79M,-47.11M,,,33.52M,61.52M,955.30M,,-63.56M,,-63.56M,-1.618B,161.65M,,-1.520B,,0.815M,0.815M,125.06M,-750.00M,-624.94M,,-47.54M,-671.66M,,2.988B,-1.237B,-4.151M,1.747B,,125.06M,,0.815M,-750.00M,68.17M,24.25M,,AOR,Restated
2018-05,663.17M,,76.36M,76.36M,31.42M,,-0.573M,145.38M,,2.166M,-13.72M,,-41.66M,51.80M,,,62.06M,58.48M,976.41M,,-45.32M,,-45.32M,-14.61M,127.61M,,67.68M,,-0.511M,-0.511M,0.298M,-700.00M,-699.70M,,-17.15M,-717.36M,,2.667B,326.72M,-5.715M,2.988B,,0.298M,,-0.511M,-700.00M,42.40M,11.09M,,AOR,Restated
2018-02,583.08M,,76.52M,76.52M,-431.49M,,-0.929M,135.53M,,1.457M,154.40M,,-64.95M,458.34M,,,77.66M,625.44M,989.60M,,-95.14M,,-95.14M,0.00,1.38M,,-93.76M,,-0.304M,-0.304M,64.38M,-300.00M,-235.62M,,-305.35M,-541.27M,,2.306B,354.57M,6.343M,2.667B,,64.38M,,-0.304M,-300.00M,31.11M,26.41M,,AOR,Restated
2017-11,501.55M,,81.23M,81.23M,3.746M,,-2.251M,119.74M,,2.019M,-213.63M,,-3.784M,54.64M,,,289.95M,127.18M,833.22M,,-37.68M,,-37.68M,0.00,58.05M,,20.37M,,1.328M,1.328M,0.669M,-300.00M,-299.33M,,-21.51M,-319.51M,,1.775B,534.08M,-2.555M,2.306B,,0.669M,,1.328M,-300.00M,185.32M,9.661M,,AOR,Restated
2017-08,419.57M,,82.32M,82.32M,-4.416M,,-0.643M,120.37M,,1.125M,-105.81M,,17.06M,45.00M,,,129.87M,86.11M,704.44M,,-54.24M,,-54.24M,0.00,17.42M,,-36.81M,,-0.416M,-0.416M,104.85M,-300.00M,-195.15M,,-22.74M,-218.30M,,1.317B,449.32M,8.277M,1.775B,,104.85M,,-0.416M,-300.00M,162.67M,25.81M,,AOR,Restated
2017-05,374.39M,,81.64M,81.64M,-8.04M,,-1.579M,116.05M,,1.366M,-51.98M,,25.52M,92.71M,,,14.75M,81.01M,644.83M,,-55.30M,,-55.30M,0.00,-32.25M,,-87.55M,,-0.644M,-0.644M,1.043M,-300.00M,-298.96M,,-14.83M,-314.43M,,1.069B,242.85M,5.206M,1.317B,,1.043M,,-0.644M,-300.00M,21.42M,9.07M,,AOR,Restated
2017-02,398.45M,,80.81M,80.81M,60.32M,,-1.021M,98.31M,,0.115M,184.25M,,-10.76M,-120.93M,,,40.83M,93.40M,730.37M,,-30.90M,,-30.90M,-459.63M,151.65M,,-338.88M,,-0.268M,-0.268M,51.79M,-200.00M,-148.21M,,-183.01M,-331.50M,,1.011B,59.99M,-2.412M,1.069B,,51.79M,,-0.268M,-200.00M,27.25M,24.89M,,AOR,Restated
2016-11,399.61M,,81.86M,81.86M,-19.94M,,-0.771M,86.92M,-5.836M,2.146M,-103.38M,,15.33M,22.90M,,,216.76M,151.62M,695.60M,,-48.63M,,-48.63M,0.00,-94.46M,,-143.10M,,-0.022M,-0.022M,5.874M,-300.00M,-294.13M,,-6.321M,-300.47M,,767.67M,252.03M,-8.391M,1.011B,,5.874M,,-0.022M,-300.00M,141.38M,8.011M,,AOR,Restated
2016-08,270.79M,,84.01M,84.01M,-6.689M,,-1.471M,84.50M,-3.98M,0.751M,-65.66M,,16.69M,22.58M,,,116.35M,89.97M,517.88M,,-55.21M,,-55.21M,0.00,-251.38M,,-306.59M,,-0.065M,-0.065M,87.54M,-400.00M,-312.46M,,-12.43M,-324.96M,,886.38M,-113.66M,-5.047M,767.67M,,87.54M,,-0.065M,-400.00M,74.56M,24.24M,,AOR,Restated
