,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,AsOriginallyReported,Restated
2017-03,1.542B,1.613B,607.00M,1.006B,415.00M,,-78.00M,91.00M,,-91.00M,,495.00M,511.00M,,91.00M,-91.00M,-144.00M,-91.00M,276.00M,55.00M,221.00M,,-6.00M,26.00M,215.00M,287.00M,447.00M,80.00M,367.00M,,0.37,,0.5551,0.37,,0.37,,0.4924,0.37,,389.00M,588.00M,,AOR,Restated
2016-12,1.593B,1.672B,645.00M,1.027B,463.00M,0.00,44.00M,86.00M,,-86.00M,,546.00M,481.00M,,86.00M,-86.00M,65.00M,-86.00M,460.00M,151.00M,309.00M,,-5.00M,302.00M,304.00M,256.31M,1.109B,563.00M,546.00M,,0.52,,0.3983,0.52,,0.52,,0.4398,0.52,,392.00M,595.00M,,AOR,Restated
2016-09,1.476B,1.556B,592.00M,964.00M,419.00M,62.00M,-69.00M,91.00M,,-91.00M,,499.00M,465.00M,,91.00M,-91.00M,-53.00M,-91.00M,321.00M,96.00M,225.00M,,-6.00M,26.00M,219.00M,257.50M,921.00M,509.00M,412.00M,,0.37,,0.4675,0.37,,0.36,,0.4240,0.36,,395.00M,602.00M,,AOR,Restated
2016-06,1.626B,1.708B,603.00M,1.105B,400.00M,,-39.00M,91.00M,,-91.00M,,480.00M,625.00M,,91.00M,-91.00M,-24.00M,-91.00M,510.00M,95.00M,415.00M,,-7.00M,94.00M,408.00M,411.24M,1.104B,503.00M,601.00M,,0.66,,0.6680,0.66,,0.66,,0.6653,0.66,,404.00M,616.00M,,AOR,Restated
2016-03,1.488B,1.561B,592.00M,969.00M,408.00M,,7.00M,85.00M,,-85.00M,,487.00M,482.00M,,85.00M,-85.00M,-17.00M,-85.00M,380.00M,111.00M,269.00M,,-6.00M,59.00M,263.00M,267.26M,985.00M,520.00M,465.00M,,0.42,,0.4303,0.42,,0.42,,0.4268,0.42,,413.00M,630.00M,,AOR,Restated
2015-12,1.563B,1.646B,640.00M,1.006B,445.00M,,-33.00M,82.00M,,-82.00M,,532.00M,474.00M,,82.00M,-82.00M,-49.00M,-82.00M,343.00M,117.00M,226.00M,,-7.00M,,219.00M,255.24M,978.00M,553.00M,425.00M,,0.34,,0.4251,0.34,,0.34,,0.3958,0.34,,426.00M,650.00M,,AOR,Restated
2015-09,1.475B,1.557B,574.00M,983.00M,394.00M,,-4.00M,82.00M,,-82.00M,,474.00M,509.00M,,82.00M,-82.00M,-14.00M,-82.00M,413.00M,130.00M,283.00M,,-4.00M,61.00M,279.00M,280.38M,992.00M,497.00M,495.00M,,0.43,,0.4332,0.43,,0.43,,0.4321,0.43,,432.00M,653.00M,,AOR,Restated
2015-06,1.589B,1.654B,564.00M,1.09B,430.00M,,-21.00M,77.00M,,-77.00M,,512.00M,578.00M,,77.00M,-77.00M,-73.00M,-77.00M,428.00M,139.00M,289.00M,,-3.00M,,286.00M,337.68M,1.006B,501.00M,505.00M,,0.44,,0.5596,0.44,,0.44,,0.5189,0.44,,432.00M,655.00M,,AOR,Restated
2015-03,1.445B,1.537B,565.00M,972.00M,400.00M,,-9.00M,89.00M,,-89.00M,,481.00M,491.00M,,89.00M,-89.00M,-27.00M,-89.00M,375.00M,125.00M,250.00M,,0.00,53.00M,250.00M,271.44M,952.00M,488.00M,464.00M,,0.38,,0.4288,0.38,,0.37,,0.4021,0.37,,439.00M,667.00M,,AOR,Restated
2014-12,1.576B,1.676B,598.00M,1.078B,445.00M,,-71.00M,81.00M,,-81.00M,,531.00M,547.00M,,81.00M,-81.00M,-102.00M,-81.00M,364.00M,129.00M,235.00M,,15.00M,,250.00M,306.81M,1.005B,560.00M,445.00M,,0.38,,0.5085,0.38,,0.38,,0.4649,0.38,,442.00M,669.00M,,AOR,Restated
