,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-09,1.893B,1.893B,2.444B,2.444B,752.00M,,389.00M,5.478B,,,,,,,,,1.125B,13.05B,11.14B,24.19B,536.00M,2.105B,27.96B,33.44B,,403.00M,,,403.00M,1.582B,1.985B,336.00M,336.00M,435.00M,435.00M,,2.756B,14.98B,14.98B,1.503B,1.503B,1.51B,443.00M,2.158B,19.08B,21.84B,,7.00M,8.278B,10.82B,8.125B,,,,-898.00M,10.09B,,AOR,
2020-06,1.683B,1.683B,2.473B,2.473B,448.00M,,113.00M,4.717B,,,,,,,,,1.088B,12.99B,11.63B,24.62B,530.00M,2.136B,28.37B,33.09B,,367.00M,,,367.00M,1.607B,1.974B,339.00M,339.00M,263.00M,263.00M,,2.576B,14.94B,14.94B,1.463B,1.463B,1.491B,442.00M,2.306B,19.16B,21.73B,,7.00M,7.98B,10.80B,7.897B,,,,-1.021B,9.867B,,AOR,
2020-03,1.453B,1.453B,2.564B,2.564B,520.00M,,89.00M,4.626B,,,,,,,,,1.04B,12.97B,12.09B,25.05B,542.00M,2.128B,28.76B,33.39B,,421.00M,,,421.00M,1.471B,1.892B,607.00M,607.00M,376.00M,376.00M,,2.875B,15.27B,15.27B,1.55B,1.55B,1.492B,442.00M,2.294B,19.55B,22.43B,,7.00M,7.712B,10.77B,7.897B,,,,-1.122B,9.47B,,AOR,
2019-12,1.552B,1.552B,2.633B,2.633B,453.00M,,579.00M,5.217B,298.00M,,,1.801B,,,2.099B,-1.148B,951.00M,13.05B,11.80B,24.85B,568.00M,2.153B,28.52B,33.74B,,463.00M,,456.00M,919.00M,1.222B,2.141B,609.00M,609.00M,489.00M,489.00M,,3.239B,14.81B,14.81B,1.691B,1.691B,1.633B,442.00M,2.029B,18.97B,22.21B,,7.00M,7.333B,10.75B,7.374B,,,,-822.00M,9.891B,,AOR,
2019-09,813.00M,813.00M,2.695B,2.695B,363.00M,,442.00M,4.313B,,,,,,,,,856.00M,12.98B,11.98B,24.95B,529.00M,2.175B,28.51B,32.82B,,380.00M,,,380.00M,1.462B,1.842B,611.00M,611.00M,384.00M,384.00M,,2.837B,14.76B,14.76B,1.624B,1.624B,1.615B,446.00M,2.028B,18.86B,21.69B,,7.00M,6.859B,10.72B,7.037B,,,,-1.029B,9.518B,,AOR,Restated
2019-06,1.321B,1.321B,2.854B,2.854B,427.00M,,330.00M,4.932B,,,,,,,,,828.00M,13.22B,12.43B,25.65B,542.00M,1.891B,28.91B,33.84B,,325.00M,,,325.00M,1.57B,1.895B,1.686B,1.686B,293.00M,293.00M,,3.874B,14.82B,14.82B,1.656B,1.656B,1.60B,444.00M,1.827B,18.75B,22.62B,,7.00M,6.616B,10.65B,6.737B,,,,-913.00M,9.621B,,AOR,Restated
2019-03,745.00M,745.00M,2.625B,2.625B,291.00M,,364.00M,4.025B,,,,,,,,,802.00M,13.04B,12.46B,25.50B,955.00M,1.161B,28.42B,32.44B,,314.00M,,,314.00M,1.538B,1.852B,1.387B,1.387B,236.00M,236.00M,,3.475B,14.96B,14.96B,1.70B,1.70B,1.592B,440.00M,1.573B,18.67B,22.14B,,7.00M,5.663B,10.67B,6.737B,,,,-895.00M,8.708B,,AOR,Restated
2018-12,986.00M,986.00M,2.62B,2.62B,312.00M,,313.00M,4.231B,365.00M,,,1.628B,,,1.993B,-1.193B,800.00M,13.01B,12.74B,25.75B,935.00M,835.00M,28.32B,32.55B,,325.00M,,384.00M,709.00M,1.22B,1.929B,1.819B,1.819B,249.00M,249.00M,,3.997B,14.97B,14.97B,1.811B,1.811B,1.716B,415.00M,1.251B,18.45B,22.45B,,7.00M,5.254B,10.65B,6.737B,,,,-785.00M,8.386B,,AOR,Restated
2018-09,531.00M,531.00M,2.578B,2.791B,,,592.00M,3.914B,,,,,,,,,810.00M,13.14B,13.16B,26.29B,1.015B,879.00M,29.00B,32.91B,,280.00M,108.00M,363.00M,751.00M,1.113B,1.864B,1.653B,1.653B,304.00M,304.00M,39.00M,3.86B,15.83B,15.83B,1.901B,1.901B,1.703B,414.00M,1.089B,19.23B,23.09B,,6.00M,4.984B,10.63B,6.737B,,,,-764.00M,8.116B,,AOR,Restated
2018-06,392.00M,392.00M,2.747B,2.747B,409.00M,,358.00M,3.906B,,,,,,,,,784.00M,13.12B,13.63B,26.74B,1.023B,1.034B,29.59B,33.49B,,300.00M,38.00M,304.00M,642.00M,1.103B,1.745B,646.00M,646.00M,277.00M,277.00M,28.00M,2.696B,17.68B,17.68B,1.968B,1.968B,1.69B,410.00M,1.109B,21.17B,23.87B,,6.00M,4.867B,10.59B,6.737B,,,,-790.00M,7.936B,,AOR,Restated
2018-03,812.00M,812.00M,2.654B,2.654B,636.00M,,419.00M,4.521B,,,,,,,,,928.00M,13.10B,14.15B,27.25B,1.231B,728.00M,30.14B,34.66B,,283.00M,39.00M,370.00M,692.00M,1.303B,1.995B,153.00M,153.00M,299.00M,299.00M,18.00M,2.465B,19.21B,19.21B,1.994B,1.994B,1.705B,419.00M,972.00M,22.60B,25.06B,,6.00M,4.657B,10.58B,6.737B,,,,-613.00M,7.889B,,AOR,Restated
2017-12,7.309B,7.309B,1.838B,1.838B,434.00M,,410.00M,9.991B,363.00M,,,1.538B,,,1.901B,-1.304B,597.00M,7.073B,3.983B,11.06B,335.00M,576.00M,12.56B,22.56B,,277.00M,,219.00M,496.00M,1.09B,1.586B,30.00M,30.00M,255.00M,255.00M,,1.871B,14.76B,14.76B,319.00M,319.00M,0.00,413.00M,587.00M,16.07B,17.94B,,5.00M,4.632B,7.295B,6.737B,,,,-585.00M,4.61B,,AOR,Restated
2017-09,6.994B,6.994B,1.652B,1.652B,449.00M,,382.00M,9.477B,,,,,,,,,523.00M,8.242B,3.634B,11.88B,754.00M,513.00M,13.67B,23.14B,,253.00M,35.00M,223.00M,511.00M,822.00M,1.333B,32.00M,32.00M,238.00M,238.00M,12.00M,1.615B,14.68B,14.68B,306.00M,306.00M,,360.00M,446.00M,15.79B,17.40B,,5.00M,5.785B,7.273B,6.737B,,,,-586.00M,5.74B,,AOR,Restated
2017-06,206.00M,206.00M,1.758B,1.758B,416.00M,,390.00M,2.77B,,,,,,,,,514.00M,8.123B,3.551B,11.67B,700.00M,491.00M,13.38B,16.15B,,222.00M,35.00M,184.00M,441.00M,711.00M,1.152B,105.00M,105.00M,193.00M,193.00M,16.00M,1.466B,8.158B,8.158B,370.00M,370.00M,,237.00M,392.00M,9.157B,10.62B,,7.00M,5.696B,7.177B,6.737B,2.00M,,,-617.00M,5.526B,,AOR,Restated
2017-03,267.00M,267.00M,1.56B,1.56B,369.00M,,395.00M,2.591B,,,,,,,,,504.00M,8.077B,3.527B,11.60B,690.00M,473.00M,13.27B,15.86B,,200.00M,34.00M,181.00M,415.00M,773.00M,1.188B,132.00M,132.00M,194.00M,194.00M,20.00M,1.534B,7.97B,7.97B,429.00M,429.00M,,249.00M,345.00M,8.993B,10.53B,,7.00M,5.382B,7.146B,6.496B,2.00M,,,-704.00M,5.335B,,AOR,Restated
2016-12,300.00M,300.00M,1.495B,1.495B,397.00M,,310.00M,2.502B,327.00M,,,1.287B,,,1.614B,-1.132B,482.00M,8.04B,3.601B,11.64B,557.00M,490.00M,13.17B,15.67B,,241.00M,34.00M,173.00M,448.00M,837.00M,1.285B,82.00M,82.00M,163.00M,163.00M,31.00M,1.561B,7.841B,7.841B,467.00M,467.00M,,243.00M,393.00M,8.944B,10.50B,,7.00M,5.232B,7.046B,6.356B,2.00M,,,-762.00M,5.167B,,AOR,Restated
2016-09,224.00M,224.00M,1.545B,1.545B,454.00M,110.00M,350.00M,2.683B,,,,,,,,,464.00M,8.179B,3.738B,11.92B,515.00M,271.00M,13.17B,15.85B,,202.00M,36.00M,176.00M,414.00M,806.00M,1.22B,95.00M,95.00M,180.00M,180.00M,27.00M,1.522B,7.901B,7.901B,536.00M,536.00M,,247.00M,440.00M,9.124B,10.65B,,7.00M,5.038B,7.016B,6.214B,2.00M,,,-643.00M,5.204B,,AOR,Restated
2016-06,185.00M,185.00M,1.574B,1.574B,370.00M,96.00M,323.00M,2.548B,,,,,,,,,455.00M,8.174B,3.703B,11.88B,535.00M,275.00M,13.14B,15.69B,,185.00M,39.00M,175.00M,399.00M,724.00M,1.123B,130.00M,130.00M,167.00M,167.00M,22.00M,1.442B,7.809B,7.809B,468.00M,468.00M,,241.00M,385.00M,8.903B,10.34B,,7.00M,4.94B,7.039B,5.961B,2.00M,,,-680.00M,5.345B,,AOR,Restated
2016-03,333.00M,333.00M,1.52B,1.52B,371.00M,91.00M,352.00M,2.667B,,,,,,,,,466.00M,8.207B,3.747B,11.95B,529.00M,262.00M,13.21B,15.88B,,171.00M,21.00M,209.00M,401.00M,720.00M,1.121B,25.00M,25.00M,205.00M,205.00M,24.00M,1.375B,7.965B,7.965B,510.00M,510.00M,,248.00M,414.00M,9.137B,10.51B,,7.00M,4.621B,7.027B,5.675B,2.00M,,,-614.00M,5.366B,,AOR,Restated
2015-12,390.00M,390.00M,1.479B,1.479B,346.00M,68.00M,313.00M,2.596B,338.00M,,,1.223B,,,1.561B,-1.073B,488.00M,8.164B,3.76B,11.92B,567.00M,289.00M,13.27B,15.86B,,282.00M,30.00M,217.00M,529.00M,736.00M,1.265B,119.00M,119.00M,190.00M,190.00M,5.00M,1.579B,7.616B,7.616B,556.00M,556.00M,,241.00M,421.00M,8.834B,10.41B,,7.00M,4.517B,7.021B,5.461B,2.00M,,,-633.00M,5.451B,,AOR,Restated
2015-09,262.00M,262.00M,1.556B,1.709B,327.00M,80.00M,341.00M,2.719B,,,,,,,,,500.00M,8.18B,3.839B,12.02B,562.00M,119.00M,13.20B,15.92B,,249.00M,38.00M,209.00M,496.00M,703.00M,1.199B,116.00M,116.00M,237.00M,237.00M,556.00M,2.108B,6.941B,6.941B,589.00M,589.00M,1.00M,240.00M,395.00M,8.165B,10.27B,,7.00M,4.297B,6.935B,5.086B,2.00M,,,-508.00M,5.645B,,AOR,Restated
2015-06,232.00M,232.00M,1.505B,1.505B,334.00M,84.00M,313.00M,2.468B,,,,,,,,,509.00M,8.189B,3.843B,12.03B,600.00M,120.00M,13.26B,15.73B,,277.00M,56.00M,209.00M,542.00M,627.00M,1.169B,349.00M,349.00M,181.00M,181.00M,13.00M,1.712B,6.856B,6.856B,494.00M,494.00M,1.00M,754.00M,427.00M,8.531B,10.24B,,7.00M,4.098B,6.926B,5.086B,2.00M,,,-460.00M,5.485B,,AOR,Restated
2015-03,321.00M,321.00M,1.431B,1.431B,321.00M,86.00M,310.00M,2.469B,,,,,,,,,534.00M,8.152B,3.846B,12.00B,618.00M,163.00M,13.31B,15.78B,,205.00M,57.00M,211.00M,473.00M,654.00M,1.127B,453.00M,453.00M,175.00M,175.00M,10.00M,1.765B,7.036B,7.036B,532.00M,532.00M,2.00M,752.00M,406.00M,8.726B,10.49B,,7.00M,3.903B,6.911B,4.963B,2.00M,,,-569.00M,5.289B,,AOR,Restated
2014-12,367.00M,367.00M,1.433B,1.433B,275.00M,87.00M,329.00M,2.491B,340.00M,,,1.202B,,,1.542B,-988.00M,554.00M,8.236B,3.944B,12.18B,644.00M,101.00M,13.48B,15.97B,,225.00M,120.00M,198.00M,543.00M,744.00M,1.287B,1.107B,1.107B,178.00M,178.00M,32.00M,2.604B,6.002B,6.002B,588.00M,588.00M,2.00M,747.00M,425.00M,7.762B,10.37B,,7.00M,3.809B,6.917B,4.763B,2.00M,,,-368.00M,5.602B,,AOR,Restated
2014-09,376.00M,376.00M,1.464B,1.464B,278.00M,87.00M,379.00M,2.584B,,,,,,,,,525.00M,8.32B,4.119B,12.44B,667.00M,158.00M,13.79B,16.37B,,209.00M,97.00M,218.00M,524.00M,687.00M,1.211B,995.00M,995.00M,304.00M,304.00M,38.00M,2.548B,6.153B,6.153B,692.00M,692.00M,2.00M,785.00M,310.00M,7.94B,10.49B,,7.00M,3.654B,6.905B,4.488B,2.00M,,,-195.00M,5.883B,,AOR,Restated
2014-06,372.00M,372.00M,1.525B,1.525B,275.00M,81.00M,318.00M,2.571B,,,,,,,,,538.00M,8.126B,3.859B,11.98B,828.00M,183.00M,13.53B,16.10B,,226.00M,150.00M,171.00M,547.00M,593.00M,1.14B,1.029B,1.029B,160.00M,160.00M,31.00M,2.36B,6.045B,6.045B,769.00M,769.00M,3.00M,598.00M,299.00M,7.711B,10.07B,,5.00M,3.499B,6.865B,4.30B,2.00M,,,-38.00M,6.031B,,AOR,Restated
2014-03,757.00M,757.00M,1.341B,1.341B,259.00M,76.00M,307.00M,2.74B,,,,,,,,,522.00M,7.37B,3.418B,10.79B,1.08B,181.00M,12.57B,15.31B,,151.00M,121.00M,184.00M,456.00M,607.00M,1.063B,18.00M,18.00M,137.00M,137.00M,35.00M,1.253B,6.90B,6.90B,614.00M,614.00M,1.00M,37.00M,326.00M,7.877B,9.13B,,5.00M,3.123B,6.845B,3.797B,2.00M,,,4.00M,6.18B,,AOR,Restated
2013-12,408.00M,408.00M,1.371B,1.371B,281.00M,73.00M,277.00M,2.41B,318.00M,,,1.079B,,,1.397B,-883.00M,514.00M,7.341B,3.448B,10.79B,1.087B,179.00M,12.57B,14.98B,,141.00M,71.00M,212.00M,424.00M,624.00M,1.048B,17.00M,17.00M,144.00M,144.00M,85.00M,1.294B,6.482B,6.482B,637.00M,637.00M,1.00M,36.00M,333.00M,7.488B,8.782B,,5.00M,2.892B,6.826B,3.531B,2.00M,,,4.00M,6.196B,,AOR,Restated
