,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,RentandLandingExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,4.369B,4.369B,2.124B,2.245B,48.00M,412.00M,460.00M,27.00M,81.00M,0.00,,54.00M,9.00M,-45.00M,,487.00M,1.758B,9.00M,54.00M,-45.00M,268.00M,-45.00M,1.981B,464.00M,1.517B,-153.00M,1.364B,1.164B,2.152B,117.00M,2.035B,8.94,,7.629,8.94,8.87,,7.57,8.87,152.49M,153.74M,3.63
2020-06,3.609B,3.648B,1.827B,1.821B,39.00M,350.00M,389.00M,27.00M,80.00M,2.00M,,51.00M,10.00M,-41.00M,,416.00M,1.405B,10.00M,51.00M,-41.00M,399.00M,-41.00M,1.763B,361.00M,1.402B,-188.00M,1.214B,906.37M,1.928B,114.00M,1.814B,7.9,,5.899,7.9,7.85,,5.862,7.85,153.73M,154.71M,3.63
2020-03,3.646B,3.71B,1.859B,1.851B,69.00M,454.00M,523.00M,25.00M,78.00M,-614.00M,,46.00M,15.00M,-31.00M,,548.00M,1.303B,15.00M,46.00M,-31.00M,-659.00M,-31.00M,613.00M,-14.00M,627.00M,179.00M,806.00M,1.287B,770.00M,111.00M,659.00M,5.19,,8.289,5.19,5.15,,8.226,5.15,155.24M,156.42M,3.63
2019-12,3.708B,3.977B,1.895B,2.082B,109.00M,358.00M,467.00M,29.00M,83.00M,-35.00M,,51.00M,29.00M,-22.00M,,496.00M,1.586B,29.00M,51.00M,-22.00M,70.00M,-22.00M,1.634B,300.00M,1.334B,-33.00M,1.301B,1.244B,1.796B,111.00M,1.685B,8.38,,8.012,8.38,8.29,,7.928,8.29,155.19M,157.68M,3.3
2019-09,3.692B,3.692B,1.777B,1.915B,79.00M,309.00M,388.00M,28.00M,75.00M,1.00M,,54.00M,19.00M,-35.00M,,416.00M,1.499B,19.00M,54.00M,-35.00M,-4.00M,-35.00M,1.46B,341.00M,1.119B,0.00,1.119B,1.122B,1.619B,105.00M,1.514B,7.21,,7.23,7.21,7.15,,7.17,7.15,155.28M,156.45M,3.3
2019-06,3.471B,3.524B,1.751B,1.773B,81.00M,364.00M,445.00M,25.00M,75.00M,-13.00M,,52.00M,20.00M,-32.00M,,470.00M,1.303B,20.00M,52.00M,-32.00M,64.00M,-32.00M,1.335B,322.00M,1.013B,-10.00M,1.003B,954.55M,1.487B,100.00M,1.387B,6.46,,6.148,6.46,6.41,,6.1,6.41,155.35M,156.36M,3.3
2019-03,3.297B,3.346B,1.71B,1.636B,81.00M,293.00M,374.00M,15.00M,74.00M,-6.00M,,46.00M,29.00M,-17.00M,,389.00M,1.247B,29.00M,46.00M,-17.00M,128.00M,-17.00M,1.358B,298.00M,1.06B,-7.00M,1.053B,953.29M,1.493B,89.00M,1.404B,6.65,,6.02,6.65,6.61,,5.984,6.61,158.27M,159.35M,3.3
2018-12,3.353B,3.434B,1.664B,1.77B,108.00M,306.00M,414.00M,15.00M,73.00M,-91.00M,,46.00M,41.00M,-5.00M,,429.00M,1.341B,41.00M,46.00M,-5.00M,-162.00M,-5.00M,1.174B,247.00M,927.00M,0.00,927.00M,1.055B,1.276B,56.00M,1.22B,5.84,,6.645,5.84,5.78,,6.5729999999999995,5.78,158.84M,161.37M,3.13
2018-09,3.513B,3.576B,1.754B,1.822B,77.00M,300.00M,377.00M,13.00M,73.00M,-29.00M,,46.00M,29.00M,-17.00M,,390.00M,1.432B,29.00M,46.00M,-17.00M,14.00M,-17.00M,1.429B,226.00M,1.203B,13.00M,1.216B,1.204B,1.532B,57.00M,1.475B,7.59,,7.516,7.59,7.54,,7.4670000000000005,7.54,160.14M,161.38M,3.13
2018-06,3.527B,3.605B,1.761B,1.844B,91.00M,299.00M,390.00M,11.00M,73.00M,1.00M,,46.00M,19.00M,-27.00M,,401.00M,1.443B,19.00M,46.00M,-27.00M,-1.00M,-27.00M,1.416B,338.00M,1.078B,-5.00M,1.073B,1.073B,1.516B,54.00M,1.462B,6.67,,6.67,6.67,6.62,,6.62,6.62,160.98M,162.16M,2.88
2018-03,3.512B,3.583B,1.814B,1.769B,85.00M,291.00M,376.00M,11.00M,74.00M,-6.00M,,46.00M,15.00M,-31.00M,,387.00M,1.382B,15.00M,46.00M,-31.00M,8.00M,-31.00M,1.359B,265.00M,1.094B,-5.00M,1.089B,1.083B,1.458B,53.00M,1.405B,6.75,,6.71,6.75,6.68,,6.641,6.68,161.25M,162.92M,2.88
2017-12,3.664B,3.764B,1.817B,1.947B,102.00M,331.00M,433.00M,12.00M,73.00M,-9.00M,,46.00M,14.00M,-32.00M,,445.00M,1.502B,14.00M,46.00M,-32.00M,16.00M,-32.00M,1.486B,-815.00M,2.301B,-6.00M,2.295B,2.285B,1.582B,50.00M,1.532B,14.23,,14.17,14.23,14.01,,13.95,14.01,161.26M,164.79M,2.5
2017-09,3.439B,3.508B,1.737B,1.771B,76.00M,269.00M,345.00M,27.00M,68.00M,-7.00M,,46.00M,15.00M,-31.00M,,372.00M,1.399B,15.00M,46.00M,-31.00M,31.00M,-31.00M,1.399B,443.00M,956.00M,-12.00M,944.00M,922.89M,1.51B,65.00M,1.445B,5.83,,5.7,5.83,5.76,,5.631,5.76,161.87M,163.77M,2.5
2017-06,3.165B,3.236B,1.629B,1.607B,86.00M,258.00M,344.00M,25.00M,69.00M,4.00M,,48.00M,13.00M,-35.00M,,369.00M,1.238B,13.00M,48.00M,-35.00M,35.00M,-35.00M,1.238B,374.00M,864.00M,-10.00M,854.00M,829.68M,1.348B,62.00M,1.286B,5.26,,5.11,5.26,5.2,,5.052,5.2,162.50M,164.15M,2.5
2017-03,3.034B,3.092B,1.628B,1.464B,69.00M,242.00M,311.00M,25.00M,65.00M,4.00M,,65.00M,7.00M,-58.00M,,336.00M,1.128B,7.00M,65.00M,-58.00M,66.00M,-58.00M,1.136B,268.00M,868.00M,-9.00M,859.00M,808.71M,1.264B,63.00M,1.201B,5.27,,4.961,5.27,5.21,,4.905,5.21,163.02M,164.86M,2.5
2016-12,3.898B,3.996B,2.42B,1.576B,93.00M,247.00M,340.00M,24.00M,64.00M,2.00M,,51.00M,7.00M,-44.00M,,364.00M,1.212B,7.00M,51.00M,-44.00M,14.00M,-44.00M,1.182B,335.00M,847.00M,0.00,847.00M,836.97M,1.298B,65.00M,1.233B,5.21,,5.149,5.21,5.13,,5.07,5.13,163.43M,166.04M,2.29
2016-09,2.766B,2.837B,1.291B,1.546B,72.00M,240.00M,312.00M,25.00M,65.00M,0.00,,52.00M,22.00M,-30.00M,,337.00M,1.209B,22.00M,52.00M,-30.00M,31.00M,-30.00M,1.21B,333.00M,877.00M,-2.00M,875.00M,852.56M,1.327B,65.00M,1.262B,5.33,,5.193,5.33,5.26,,5.125,5.26,164.13M,166.26M,2.29
2016-06,2.72B,2.804B,1.29B,1.514B,75.00M,241.00M,316.00M,25.00M,72.00M,0.00,,51.00M,6.00M,-45.00M,,341.00M,1.173B,6.00M,51.00M,-45.00M,20.00M,-45.00M,1.148B,353.00M,795.00M,-6.00M,789.00M,775.18M,1.276B,77.00M,1.199B,4.79,,4.706,4.79,4.73,,4.647,4.73,164.76M,166.64M,2.29
2016-03,2.545B,2.624B,1.242B,1.382B,86.00M,232.00M,318.00M,25.00M,72.00M,-76.00M,,51.00M,5.00M,-46.00M,,343.00M,1.039B,5.00M,51.00M,-46.00M,-78.00M,-46.00M,915.00M,268.00M,647.00M,10.00M,657.00M,712.38M,1.022B,56.00M,966.00M,3.97,,4.305,3.97,3.92,,4.251,3.92,165.39M,167.40M,2.29
2015-12,2.693B,2.863B,1.292B,1.571B,114.00M,296.00M,410.00M,24.00M,75.00M,,,51.00M,5.00M,-46.00M,,434.00M,1.137B,5.00M,51.00M,-46.00M,57.00M,-46.00M,1.148B,279.00M,869.00M,-8.00M,861.00M,817.85M,1.298B,99.00M,1.199B,5.19,,4.93,5.19,5.11,,4.854,5.11,165.82M,168.68M,2.18
2015-09,2.845B,2.91B,1.335B,1.575B,76.00M,243.00M,319.00M,34.00M,69.00M,,,50.00M,12.00M,-38.00M,,353.00M,1.222B,12.00M,50.00M,-38.00M,-10.00M,-38.00M,1.174B,342.00M,832.00M,11.00M,843.00M,850.12M,1.292B,68.00M,1.224B,5.08,,5.122999999999999,5.08,5.0,,5.042,5.0,166.05M,168.67M,2.18
2015-06,2.844B,2.905B,1.32B,1.585B,80.00M,232.00M,312.00M,35.00M,69.00M,0.00,,52.00M,5.00M,-47.00M,,347.00M,1.238B,5.00M,52.00M,-47.00M,6.00M,-47.00M,1.197B,371.00M,826.00M,-7.00M,819.00M,814.87M,1.314B,65.00M,1.249B,4.92,,4.895,4.92,4.84,,4.816,4.84,166.62M,169.11M,2.18
2015-03,2.662B,2.723B,1.282B,1.441B,95.00M,244.00M,339.00M,35.00M,67.00M,0.00,,51.00M,4.00M,-47.00M,,374.00M,1.067B,4.00M,51.00M,-47.00M,63.00M,-47.00M,1.083B,258.00M,825.00M,-3.00M,822.00M,774.06M,1.197B,63.00M,1.134B,4.92,,4.633,4.92,4.84,,4.558,4.84,167.09M,169.72M,2.18
2014-12,2.726B,2.784B,1.218B,1.566B,114.00M,223.00M,337.00M,35.00M,64.00M,,,58.00M,6.00M,-52.00M,,372.00M,1.194B,6.00M,58.00M,-52.00M,-58.00M,-52.00M,1.084B,278.00M,806.00M,7.00M,813.00M,844.97M,1.205B,63.00M,1.142B,4.86,,5.051,4.86,4.77,,4.958,4.77,167.19M,170.40M,1.93
2014-09,2.783B,2.849B,1.276B,1.573B,101.00M,275.00M,376.00M,40.00M,69.00M,,,61.00M,10.00M,-51.00M,,416.00M,1.157B,10.00M,61.00M,-51.00M,-1.00M,-51.00M,1.105B,232.00M,873.00M,44.00M,917.00M,880.29M,1.236B,70.00M,1.166B,5.46,,5.2410000000000005,5.46,5.37,,5.155,5.37,167.93M,170.78M,1.93
2014-06,2.713B,2.778B,1.238B,1.54B,109.00M,268.00M,377.00M,41.00M,72.00M,,,60.00M,3.00M,-57.00M,,418.00M,1.122B,3.00M,60.00M,-57.00M,73.00M,-57.00M,1.138B,297.00M,841.00M,-33.00M,808.00M,775.06M,1.27B,72.00M,1.198B,4.79,,4.595,4.79,4.72,,4.5280000000000005,4.72,168.71M,171.15M,1.93
2014-03,2.622B,2.67B,1.265B,1.405B,,313.00M,313.00M,41.00M,,,,53.00M,10.00M,-43.00M,,354.00M,1.051B,10.00M,53.00M,-43.00M,60.00M,-43.00M,1.068B,324.00M,744.00M,12.00M,756.00M,702.80M,1.194B,73.00M,1.121B,4.47,,4.155,4.47,4.4,,4.091,4.4,169.08M,171.93M,1.93
