,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,1.517B,-230.00M,-51.00M,-281.00M,,,117.00M,117.00M,87.00M,,160.00M,-775.00M,-664.00M,90.00M,,,742.00M,168.00M,995.00M,-40.00M,,-40.00M,0.00,-10.00M,,-19.00M,8.00M,,8.00M,,-10.00M,-10.00M,-556.00M,-556.00M,,558.00M,0.00,5.483B,976.00M,65.00M,6.524B,,8.00M,,-10.00M,-583.00M,-90.00M
2020-06,1.402B,-322.00M,-64.00M,-386.00M,,,114.00M,114.00M,66.00M,,149.00M,32.00M,125.00M,-59.00M,,,254.00M,320.00M,1.707B,-48.00M,,-48.00M,0.00,-108.00M,,-124.00M,1.254B,,1.254B,,-1.125B,-1.125B,-554.00M,-554.00M,,-97.00M,-522.00M,4.423B,1.061B,-1.00M,5.483B,,1.254B,,-1.125B,107.00M,61.00M
2020-03,627.00M,391.00M,40.00M,431.00M,,,111.00M,111.00M,-133.00M,,149.00M,-637.00M,-5.00M,-214.00M,,,-1.28B,-1.499B,-938.00M,-52.00M,,-52.00M,,-43.00M,,-34.00M,1.021B,,1.021B,,-657.00M,-657.00M,-596.00M,-596.00M,,860.00M,628.00M,4.846B,-344.00M,-79.00M,4.423B,,1.021B,,-657.00M,476.00M,29.00M
2019-12,1.334B,-94.00M,-27.00M,-121.00M,,,111.00M,111.00M,-28.00M,,140.00M,-587.00M,-103.00M,-50.00M,,,519.00M,366.00M,1.256B,-94.00M,,-94.00M,0.00,131.00M,,93.00M,-991.00M,,-991.00M,,-7.00M,-7.00M,-512.00M,-512.00M,,296.00M,-1.214B,4.624B,135.00M,87.00M,4.846B,,9.00M,,-7.00M,1.168B,193.00M
2019-09,1.119B,6.00M,-33.00M,-27.00M,,,105.00M,105.00M,-15.00M,,133.00M,-547.00M,-199.00M,-45.00M,,,399.00M,155.00M,931.00M,-55.00M,,-55.00M,-4.00M,-418.00M,,-444.00M,44.00M,,44.00M,,-109.00M,-109.00M,-513.00M,-513.00M,,717.00M,139.00M,4.04B,626.00M,-42.00M,4.624B,,44.00M,,-109.00M,-604.00M,-93.00M
2019-06,1.013B,-44.00M,-32.00M,-76.00M,,,100.00M,100.00M,-28.00M,,140.00M,-369.00M,-32.00M,40.00M,,,127.00M,135.00M,922.00M,-47.00M,,-47.00M,-1.506B,-32.00M,,-1.545B,1.00B,,1.00B,,-7.00M,-7.00M,-515.00M,-515.00M,,126.00M,604.00M,4.078B,-19.00M,-19.00M,4.04B,,1.00B,,-7.00M,425.00M,64.00M
2019-03,1.06B,-122.00M,-24.00M,-146.00M,,,89.00M,89.00M,88.00M,,154.00M,-220.00M,-99.00M,-56.00M,,,-1.109B,-1.264B,-225.00M,-58.00M,,-58.00M,,-67.00M,,-118.00M,50.00M,,50.00M,,-1.788B,-1.788B,-556.00M,-556.00M,,182.00M,-2.112B,6.505B,-2.455B,28.00M,4.078B,,50.00M,,-1.788B,179.00M,29.00M
2018-12,927.00M,,-2.00M,147.00M,,,56.00M,56.00M,-39.00M,,133.00M,-787.00M,9.00M,-121.00M,,,191.00M,79.00M,523.00M,-96.00M,,-96.00M,0.00,-18.00M,,-108.00M,40.00M,,40.00M,,-532.00M,-532.00M,-497.00M,-497.00M,,517.00M,-472.00M,6.597B,-57.00M,-35.00M,6.505B,,40.00M,0.00,-532.00M,394.00M,54.00M
2018-09,1.203B,,-27.00M,-27.00M,,,57.00M,57.00M,-189.00M,,121.00M,-617.00M,-83.00M,137.00M,,,657.00M,711.00M,1.265B,-45.00M,,-45.00M,-699.00M,180.00M,,-558.00M,0.00,,0.00,,-515.00M,-515.00M,-502.00M,-502.00M,,197.00M,-820.00M,6.741B,-113.00M,-31.00M,6.597B,,0.00,,-515.00M,176.00M,29.00M
2018-06,1.078B,,-32.00M,-32.00M,,,54.00M,54.00M,-8.00M,,135.00M,-175.00M,43.00M,-241.00M,,,567.00M,369.00M,1.428B,-30.00M,,-30.00M,0.00,-66.00M,,-89.00M,0.00,,0.00,,-321.00M,-321.00M,-464.00M,-464.00M,,186.00M,-599.00M,6.143B,740.00M,-142.00M,6.741B,,0.00,,-321.00M,515.00M,65.00M
2018-03,1.094B,,-33.00M,-33.00M,,,53.00M,53.00M,10.00M,,175.00M,-344.00M,35.00M,268.00M,,,-1.409B,-1.106B,-141.00M,-33.00M,,-33.00M,,-25.00M,,-53.00M,0.00,,0.00,,-719.00M,-719.00M,-505.00M,-505.00M,,350.00M,-874.00M,7.096B,-1.068B,115.00M,6.143B,,,0.00,-719.00M,74.00M,29.00M
2017-12,2.301B,,-30.00M,-248.00M,,,50.00M,50.00M,-1.391B,,125.00M,-319.00M,-160.00M,91.00M,,,950.00M,881.00M,1.41B,-55.00M,,-55.00M,0.00,-48.00M,,-97.00M,0.00,,0.00,,-288.00M,-288.00M,-403.00M,-403.00M,,144.00M,-547.00M,6.299B,766.00M,31.00M,7.096B,,0.00,0.00,-288.00M,208.00M,55.00M
2017-09,956.00M,,-32.00M,-32.00M,,,65.00M,65.00M,-1.00M,,127.00M,-55.00M,-205.00M,133.00M,,,361.00M,289.00M,1.36B,-45.00M,,-45.00M,-29.00M,-63.00M,,-129.00M,0.00,,0.00,,-287.00M,-287.00M,-405.00M,-405.00M,,72.00M,-620.00M,5.629B,611.00M,59.00M,6.299B,,0.00,0.00,-287.00M,290.00M,28.00M
2017-06,864.00M,,-28.00M,-28.00M,,,62.00M,62.00M,-27.00M,,128.00M,-59.00M,-161.00M,25.00M,,,532.00M,396.00M,1.344B,-36.00M,,-36.00M,-73.00M,-232.00M,,-333.00M,-700.00M,,-700.00M,,-284.00M,-284.00M,-407.00M,-407.00M,,108.00M,-1.283B,5.831B,-272.00M,70.00M,5.629B,,0.00,-700.00M,-284.00M,544.00M,82.00M
2017-03,868.00M,,-32.00M,-32.00M,,,63.00M,63.00M,198.00M,,162.00M,-129.00M,5.00M,59.00M,,,-1.363B,-1.299B,-164.00M,-19.00M,,-19.00M,,-40.00M,,-49.00M,697.00M,,697.00M,,-562.00M,-562.00M,-447.00M,-447.00M,,132.00M,-180.00M,6.192B,-393.00M,32.00M,5.831B,,697.00M,,-562.00M,82.00M,40.00M
2016-12,847.00M,,-42.00M,-42.00M,,,65.00M,65.00M,-9.00M,,113.00M,182.00M,271.00M,-283.00M,,,152.00M,140.00M,1.311B,-31.00M,,-31.00M,0.00,-105.00M,,-128.00M,0.00,,0.00,,-281.00M,-281.00M,-374.00M,-374.00M,0.00,150.00M,-505.00M,5.454B,678.00M,-105.00M,6.192B,,0.00,0.00,-281.00M,455.00M,54.00M
2016-09,877.00M,-1.00M,-35.00M,-36.00M,,,65.00M,65.00M,-61.00M,,119.00M,-342.00M,288.00M,-256.00M,,,402.00M,434.00M,1.06B,-21.00M,,-21.00M,0.00,-259.00M,,-269.00M,0.00,,0.00,,-277.00M,-277.00M,-376.00M,-376.00M,26.00M,257.00M,-370.00M,5.065B,421.00M,-32.00M,5.454B,,0.00,0.00,-277.00M,271.00M,40.00M
