,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RestrictedCash,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2020-09,6.507B,,6.507B,3.706B,,3.706B,,10.21B,,,,,,,,1.733B,-1.04B,693.00M,14.55B,18.29B,32.84B,6.307B,,,115.06B,154.90B,165.12B,988.00M,988.00M,,988.00M,,,,988.00M,7.227B,7.227B,3.742B,3.742B,1.847B,59.00M,2.084B,115.30B,130.20B,131.19B,2.00M,23.34B,19.15B,8.018B,,-601.00M,33.87B
2020-06,5.466B,,5.466B,2.99B,,2.99B,,8.456B,,,,,,,,1.676B,-979.00M,697.00M,14.56B,18.32B,32.87B,5.171B,,,110.14B,148.89B,157.34B,914.00M,914.00M,,914.00M,,,,914.00M,7.19B,7.19B,3.664B,3.664B,1.189B,56.00M,1.248B,110.35B,123.64B,124.56B,2.00M,22.53B,19.01B,8.03B,,-781.00M,32.73B
2020-03,4.406B,,4.406B,3.095B,,3.095B,,7.501B,,,,,,,,1.637B,-923.00M,714.00M,14.56B,18.34B,32.90B,5.24B,,,102.66B,141.52B,149.02B,982.00M,982.00M,,982.00M,,,,982.00M,5.933B,5.933B,3.61B,3.61B,858.00M,57.00M,1.44B,103.13B,114.97B,115.95B,2.00M,21.87B,18.88B,6.936B,,-810.00M,33.01B
2019-12,4.829B,,4.829B,3.179B,,3.179B,,8.008B,0.0,6.00M,63.00M,878.00M,,83.00M,565.00M,1.595B,-880.00M,715.00M,14.56B,18.37B,32.93B,5.489B,,,121.48B,160.61B,168.62B,1.167B,1.167B,,1.167B,,,,1.167B,4.955B,4.955B,3.734B,3.734B,2.057B,66.00M,1.316B,121.78B,133.84B,135.01B,2.00M,21.66B,19.19B,6.732B,,-571.00M,33.55B
2019-09,4.607B,,4.607B,3.026B,,3.026B,,7.633B,,,,,,,,1.545B,-876.00M,669.00M,14.55B,18.41B,32.96B,5.015B,,,117.60B,156.24B,163.87B,1.252B,1.252B,,1.252B,,,,1.252B,6.118B,6.118B,3.792B,3.792B,1.50B,60.00M,1.137B,117.61B,130.15B,131.40B,2.00M,20.87B,19.06B,6.742B,,-784.00M,32.41B
2019-06,4.023B,,4.023B,2.863B,,2.863B,,6.886B,,,,,,,,1.495B,-836.00M,659.00M,14.51B,18.48B,32.99B,4.42B,,,118.39B,156.46B,163.35B,1.277B,1.277B,,1.277B,,,,1.277B,6.106B,6.106B,3.825B,3.825B,1.078B,57.00M,710.00M,118.40B,130.12B,131.40B,2.00M,20.27B,18.95B,6.659B,,-664.00M,31.89B
2019-03,4.061B,,4.061B,2.771B,,2.771B,,6.832B,,,,,,,,1.45B,-794.00M,656.00M,13.52B,17.82B,31.35B,4.509B,,,121.66B,158.18B,165.01B,1.225B,1.225B,,1.225B,4.966B,4.966B,,6.191B,134.00M,134.00M,3.654B,3.654B,730.00M,53.00M,1.009B,121.93B,127.46B,133.65B,2.00M,19.78B,18.83B,6.676B,,-623.00M,31.31B
2018-12,6.488B,,6.488B,2.657B,,2.657B,,9.145B,0.0,6.00M,63.00M,742.00M,,48.00M,534.00M,1.393B,-750.00M,643.00M,13.53B,17.84B,31.36B,4.476B,,,113.94B,150.43B,159.57B,1.292B,1.292B,,1.292B,,,,1.292B,4.979B,4.979B,3.571B,3.571B,1.988B,59.00M,1.107B,114.20B,125.85B,127.14B,2.00M,19.28B,19.17B,5.387B,,-691.00M,32.37B
2018-09,6.58B,,6.58B,2.682B,,2.682B,,9.262B,,,,,,,,1.353B,-765.00M,588.00M,13.53B,17.85B,31.38B,3.977B,,,129.66B,165.60B,174.86B,1.403B,1.403B,,1.403B,4.991B,4.991B,,6.394B,44.00M,44.00M,3.555B,3.555B,1.611B,55.00M,603.00M,130.18B,136.00B,142.39B,2.00M,18.85B,19.05B,4.871B,,-616.00M,32.42B
2018-06,6.724B,,6.724B,2.567B,,2.567B,,9.291B,,,,,,,,1.309B,-728.00M,581.00M,13.22B,17.37B,30.58B,3.696B,,,151.40B,186.26B,195.55B,1.216B,1.216B,,1.216B,,,,1.216B,4.994B,4.994B,3.511B,3.511B,1.185B,54.00M,686.00M,151.77B,162.15B,163.36B,2.00M,18.14B,18.95B,4.388B,,-575.00M,32.13B
