,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,3.018B,3.018B,1.944B,1.074B,694.00M,,23.00M,,-23.00M,694.00M,380.00M,,23.00M,-23.00M,5.00M,-23.00M,362.00M,106.00M,256.00M,,,-16.00M,240.00M,240.00M,427.00M,42.00M,385.00M,4.43,,,4.43,4.43,4.41,,,4.41,4.41,53.60M,53.90M,1.53
2020-06,2.837B,2.837B,1.821B,1.016B,811.00M,,28.00M,,-28.00M,811.00M,205.00M,,28.00M,-28.00M,7.00M,-28.00M,184.00M,55.00M,129.00M,,,-15.00M,114.00M,114.00M,262.00M,50.00M,212.00M,2.11,,,2.11,2.11,2.1,,,2.1,2.1,53.50M,53.70M,1.44
2020-03,3.001B,3.001B,1.88B,1.121B,962.00M,,21.00M,,-21.00M,962.00M,159.00M,,21.00M,-21.00M,4.00M,-21.00M,142.00M,-43.00M,185.00M,,,-12.00M,173.00M,173.00M,208.00M,45.00M,163.00M,3.2,,,3.2,3.2,3.19,,,3.19,3.19,53.60M,53.80M,1.44
2019-12,2.847B,2.847B,1.765B,1.082B,901.00M,,19.00M,,-19.00M,901.00M,181.00M,,19.00M,-19.00M,8.00M,-19.00M,170.00M,53.00M,117.00M,,,-14.00M,103.00M,103.00M,247.00M,58.00M,189.00M,1.89,,,1.89,1.89,1.88,,,1.88,1.88,53.80M,54.00M,1.44
2019-09,2.947B,2.947B,1.848B,1.099B,761.00M,,20.00M,,-20.00M,761.00M,338.00M,,20.00M,-20.00M,4.00M,-20.00M,322.00M,78.00M,244.00M,,,-11.00M,233.00M,233.00M,400.00M,58.00M,342.00M,4.27,,,4.27,4.27,4.25,,,4.25,4.25,54.10M,54.40M,1.44
2019-06,2.893B,2.893B,1.772B,1.121B,741.00M,,21.00M,,-21.00M,741.00M,380.00M,,21.00M,-21.00M,7.00M,-21.00M,366.00M,94.00M,272.00M,,,-12.00M,260.00M,260.00M,443.00M,56.00M,387.00M,4.69,,,4.69,4.69,4.67,,,4.67,4.67,55.10M,55.40M,1.44
2019-03,2.799B,2.799B,1.704B,1.095B,732.00M,,19.00M,,-19.00M,732.00M,363.00M,,19.00M,-19.00M,7.00M,-19.00M,351.00M,89.00M,262.00M,,,-9.00M,253.00M,253.00M,427.00M,57.00M,370.00M,4.5,,,4.5,4.5,4.48,,,4.48,4.48,55.60M,55.90M,1.36
2018-12,2.763B,2.763B,1.697B,1.066B,776.00M,,12.00M,,-16.00M,776.00M,290.00M,,12.00M,-16.00M,,-16.00M,279.00M,60.00M,219.00M,,,-10.00M,209.00M,209.00M,356.00M,65.00M,291.00M,3.71,,,3.71,3.71,3.68,,,3.68,3.68,55.88M,56.23M,1.36
2018-09,2.831B,2.831B,1.752B,1.079B,890.00M,,22.00M,2.00M,-20.00M,890.00M,189.00M,2.00M,22.00M,-20.00M,2.00M,-20.00M,171.00M,56.00M,115.00M,,,-11.00M,104.00M,104.00M,257.00M,64.00M,193.00M,1.84,,,1.84,1.84,1.82,,,1.82,1.82,56.34M,56.80M,1.36
2018-06,2.861B,2.861B,1.75B,1.111B,767.00M,,23.00M,2.00M,-21.00M,767.00M,344.00M,2.00M,23.00M,-21.00M,1.00M,-21.00M,324.00M,76.00M,248.00M,,,-11.00M,237.00M,237.00M,411.00M,64.00M,347.00M,4.19,,,4.19,4.19,4.16,,,4.16,4.16,56.11M,56.55M,1.36
