,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity
2020-09,3.356B,14.90B,18.25B,7.14B,7.14B,975.00M,6.313B,1.985B,9.273B,,2.119B,36.78B,,,,,139.29B,-80.08B,59.20B,26.96B,9.881B,36.84B,6.399B,,,,6.036B,108.48B,145.26B,5.159B,,5.159B,13.25B,18.41B,,,,,504.00M,504.00M,,,,22.11B,36.06B,36.06B,2.995B,1.381B,4.376B,,3.349B,48.60B,70.71B,23.34B,52.16B,,-940.00M,74.55B
2020-06,8.736B,17.08B,25.82B,7.441B,7.441B,903.00M,6.093B,1.973B,8.969B,,2.165B,44.39B,,,,,136.02B,-77.99B,58.04B,26.94B,10.30B,37.25B,6.785B,,,,6.082B,108.15B,152.54B,5.045B,,5.045B,12.35B,17.39B,,,,,2.254B,2.254B,,,,22.48B,36.09B,36.09B,2.723B,1.329B,4.052B,,3.108B,48.05B,70.53B,25.52B,57.65B,,-1.152B,82.01B
2020-03,11.38B,9.423B,20.80B,8.455B,8.455B,877.00M,6.654B,1.715B,9.246B,,2.997B,41.50B,,,,,132.46B,-75.69B,56.77B,26.28B,10.43B,36.70B,6.823B,,,,5.911B,106.21B,147.71B,4.638B,,4.638B,13.44B,18.07B,,,,,3.464B,3.464B,,,,23.90B,36.46B,36.46B,2.027B,1.353B,3.38B,,2.975B,47.46B,71.36B,25.25B,52.64B,,-1.541B,76.35B
2019-12,4.194B,8.929B,13.12B,7.659B,7.659B,840.00M,6.225B,1.679B,8.744B,,1.713B,31.24B,37.74B,,74.90B,16.06B,128.71B,-73.32B,55.39B,26.28B,10.83B,37.10B,7.243B,,554.00M,1.209B,2.149B,105.28B,136.52B,4.128B,,4.128B,10.64B,14.76B,,,,,3.693B,3.693B,,,,22.31B,25.31B,25.31B,2.044B,1.368B,3.412B,,2.916B,36.56B,58.86B,25.26B,53.52B,,-1.28B,77.66B
2019-09,3.935B,8.09B,12.02B,6.88B,6.88B,803.00M,5.945B,1.89B,8.638B,,2.414B,29.96B,,,,,124.75B,-71.18B,53.56B,24.73B,11.02B,35.75B,8.247B,,,,6.255B,103.81B,133.77B,4.809B,,4.809B,11.84B,16.64B,,,,,5.20B,5.20B,,,,25.06B,23.71B,23.71B,1.696B,1.413B,3.109B,,2.506B,34.30B,59.36B,25.29B,49.67B,,-722.00M,74.41B
2019-06,2.867B,9.077B,11.94B,6.233B,6.233B,808.00M,5.612B,2.276B,8.696B,,2.366B,29.24B,,,,,120.60B,-69.23B,51.38B,24.58B,11.25B,35.83B,8.206B,,,,6.105B,101.52B,130.76B,4.682B,,4.682B,8.743B,13.42B,,,,,3.726B,3.726B,,,,19.70B,25.09B,25.09B,1.783B,1.558B,3.341B,,2.583B,35.86B,55.56B,25.14B,50.43B,,-622.00M,75.19B
2019-03,3.154B,8.879B,12.03B,6.957B,6.957B,789.00M,4.758B,2.218B,7.765B,,2.305B,29.06B,,,,,117.48B,-67.44B,50.04B,24.52B,11.46B,35.98B,8.719B,,,,5.661B,100.40B,129.46B,4.059B,,4.059B,10.12B,14.18B,,,,,2.75B,2.75B,,,,18.91B,25.74B,25.74B,1.521B,1.775B,3.296B,,2.797B,36.61B,55.52B,25.35B,49.13B,,-813.00M,73.94B
2018-12,3.019B,8.631B,11.65B,6.722B,6.722B,813.00M,4.511B,1.929B,7.253B,,3.162B,28.79B,30.95B,,66.72B,16.64B,114.32B,-65.34B,48.98B,24.51B,11.84B,36.35B,9.43B,,479.00M,1.122B,1.313B,99.18B,127.96B,3.824B,,3.824B,7.919B,11.74B,,500.00M,,761.00M,1.261B,1.261B,,,,16.63B,25.10B,25.10B,1.665B,2.049B,3.714B,,2.646B,36.36B,52.98B,25.36B,50.17B,,-974.00M,74.98B
2018-09,3.407B,9.779B,13.19B,5.457B,5.457B,932.00M,4.507B,1.962B,7.401B,,3.546B,29.59B,,,,,110.76B,-63.68B,47.07B,24.51B,12.01B,36.51B,11.11B,,544.00M,1.011B,1.017B,98.65B,128.24B,3.593B,,3.593B,9.835B,13.43B,,,,,3.051B,3.051B,0.00,0.00,,19.57B,24.82B,24.82B,1.485B,2.22B,3.705B,,3.263B,36.67B,56.24B,25.49B,47.09B,,-1.103B,72.00B
2018-06,2.614B,9.611B,12.22B,4.636B,4.636B,1.236B,4.081B,2.027B,7.344B,,3.398B,27.60B,,,,,107.98B,-62.07B,45.91B,24.35B,12.10B,36.45B,12.32B,,541.00M,1.026B,1.006B,98.37B,125.97B,4.143B,,4.143B,7.317B,11.46B,,,,,3.51B,3.51B,,,,17.57B,24.63B,24.63B,1.666B,2.393B,4.059B,,3.391B,37.70B,55.27B,25.47B,45.67B,,-1.089B,70.70B
