,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-12,333.80M,,,265.40M,265.40M,,0.00,17.70M,,17.70M,-83.60M,67.80M,-242.80M,,,66.80M,-191.80M,425.10M,,-28.10M,,-27.70M,-0.40M,,-58.40M,6.10M,-315.90M,,-250.00M,-250.00M,,,,-49.80M,-49.80M,32.10M,-18.60M,-286.30M,,967.30M,-177.10M,11.90M,802.10M,,,0.00,-250.00M,,,AOR,
2020-09,246.10M,,,258.60M,258.60M,,0.00,23.70M,,23.70M,-259.10M,14.00M,148.60M,,,-50.60M,-147.10M,381.30M,,-30.60M,,-30.60M,0.00,,-47.30M,-13.50M,-91.40M,,0.00,0.00,,,,-49.60M,-49.60M,36.00M,-29.00M,-42.60M,,713.40M,247.30M,6.60M,967.30M,,,0.00,0.00,,,AOR,
2020-06,-208.20M,,,255.70M,255.70M,,33.00M,21.80M,,54.80M,-17.00M,-26.60M,-138.80M,,,27.30M,-155.10M,-52.80M,,-19.00M,,-19.00M,0.00,,-63.10M,-3.20M,-85.30M,,-1.50B,-1.50B,,,,-49.60M,-49.60M,7.20M,-43.30M,-1.586B,,2.434B,-1.724B,3.60M,713.40M,,,0.00,-1.50B,,,AOR,
2020-03,-509.10M,,,253.00M,253.00M,,612.00M,16.50M,,628.50M,289.70M,-96.00M,-141.20M,,,26.00M,78.50M,450.90M,,-40.20M,,-40.20M,,,-69.40M,-11.60M,-121.20M,,1.497B,1.497B,,,,-49.50M,-49.50M,54.50M,-9.30M,1.493B,,617.90M,1.822B,-6.80M,2.434B,,,1.497B,0.00,,,AOR,
2019-12,321.40M,,,253.90M,253.90M,,0.00,22.70M,,22.70M,-203.30M,-19.20M,232.10M,,,354.40M,364.00M,423.30M,,-51.80M,,-51.80M,0.00,,-65.80M,16.70M,-138.00M,,-161.10M,-161.10M,,,,-49.40M,-49.40M,32.30M,-4.50M,-182.70M,,512.50M,102.60M,2.80M,617.90M,,,549.20M,-710.30M,,,AOR,
2019-09,432.00M,,,251.50M,251.50M,,0.00,21.60M,,21.60M,80.20M,-23.00M,151.30M,,,-335.70M,-127.20M,577.90M,,-58.60M,,-58.60M,0.00,,-78.50M,-26.50M,-163.60M,,-330.00M,-330.00M,,,,-49.20M,-49.20M,71.10M,9.70M,-298.40M,,403.10M,115.90M,-6.50M,512.50M,,,0.00,-330.00M,,,AOR,Restated
2019-06,131.90M,,,253.00M,253.00M,,70.10M,19.70M,,89.80M,-21.40M,-32.30M,-107.10M,,,-12.90M,-173.70M,301.00M,,-256.50M,,-58.90M,-197.60M,,-70.30M,4.60M,-322.20M,,-115.00M,-115.00M,,,,-49.10M,-49.10M,10.40M,-9.90M,-163.60M,,586.80M,-184.80M,1.10M,403.10M,,,0.00,-115.00M,,,AOR,Restated
2019-03,246.20M,,,247.70M,247.70M,,0.00,20.30M,,20.30M,50.70M,-50.70M,-206.90M,,,-23.70M,-230.60M,283.60M,,-37.80M,,-37.80M,,,-53.20M,-14.50M,-105.50M,,-110.00M,-110.00M,,,,-49.00M,-49.00M,44.40M,-20.60M,-135.20M,,542.80M,42.90M,1.10M,586.80M,,,200.00M,-310.00M,,,AOR,Restated
2018-12,-902.50M,,,254.80M,254.80M,,975.90M,20.20M,,996.10M,-23.80M,-34.30M,39.80M,,,36.00M,17.70M,379.50M,,-47.50M,,-47.50M,0.00,,-3.40M,-16.20M,-82.40M,,-250.00M,-250.00M,,,,-49.00M,-49.00M,4.50M,19.00M,-275.50M,,524.60M,21.60M,-3.40M,542.80M,,,675.00M,-925.00M,,,AOR,Restated
2018-09,162.10M,,,260.60M,260.60M,,3.80M,19.30M,,23.10M,59.70M,-65.90M,34.80M,,,9.70M,38.30M,484.10M,,-61.50M,,-61.50M,0.00,,-77.60M,0.20M,-138.90M,,-303.70M,-303.70M,,,,-48.80M,-48.80M,47.00M,7.80M,-297.70M,,481.20M,47.50M,-4.10M,524.60M,,,0.00,-303.70M,,,AOR,Restated
