,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,802.10M,,802.10M,1.453B,1.453B,,,,,2.451B,,,,377.80M,5.083B,,,,,,,,,2.048B,9.262B,7.056B,16.32B,,969.40M,19.33B,24.42B,,,,,,,,,,500.00M,500.00M,2.057B,2.557B,7.626B,7.626B,,,,,,2.035B,9.661B,12.22B,,,,,,,,,12.20B,,AOR,
2020-09,967.30M,,967.30M,1.341B,1.341B,275.50M,226.30M,1.990B,,2.492B,352.40M,,,,5.153B,0.00,26.60M,2.155B,3.901B,,134.40M,6.218B,-4.175B,2.042B,9.039B,6.851B,15.89B,,941.00M,18.87B,24.03B,,334.80M,120.70M,,455.50M,,455.50M,,450.00M,450.00M,450.00M,1.361B,2.266B,7.836B,7.836B,747.80M,747.80M,,3.90M,6.00M,593.40M,9.881B,12.15B,,3.10M,9.803B,9.073B,6.720B,,,-287.00M,11.87B,,AOR,
2020-06,713.40M,,713.40M,1.064B,1.064B,280.00M,219.70M,1.997B,,2.496B,432.40M,,,,4.707B,0.00,27.50M,2.098B,3.863B,,141.20M,6.13B,-4.074B,2.056B,8.982B,6.937B,15.92B,,964.50M,18.94B,23.65B,,363.40M,121.90M,,485.30M,214.70M,700.00M,,450.00M,450.00M,450.00M,1.011B,2.161B,7.755B,7.755B,804.90M,804.90M,,4.70M,2.50M,588.90M,9.842B,12.00B,,3.10M,9.61B,9.014B,6.720B,,,-265.80M,11.64B,,AOR,
2020-03,2.434B,,2.434B,1.039B,1.039B,280.30M,239.80M,1.943B,,2.463B,435.00M,,,,6.371B,0.00,27.50M,2.045B,3.798B,,141.60M,6.012B,-3.947B,2.066B,8.951B,7.078B,16.03B,,1.048B,19.14B,25.51B,,404.90M,92.90M,,497.80M,181.90M,679.70M,,1.95B,1.95B,1.95B,1.150B,3.780B,7.719B,7.719B,857.60M,857.60M,,5.50M,4.10M,580.10M,9.851B,13.63B,,3.10M,9.866B,8.984B,6.720B,,,-255.10M,11.88B,,AOR,
2019-12,617.90M,,617.90M,1.364B,1.364B,278.60M,231.00M,1.875B,,2.385B,357.10M,,,,4.724B,0.00,27.60M,2.007B,3.733B,,149.30M,5.917B,-3.839B,2.077B,9.600B,7.258B,16.86B,,980.10M,19.91B,24.64B,,400.90M,126.70M,,527.60M,778.10M,1.306B,,1.50B,1.50B,1.50B,321.70M,3.442B,6.715B,6.715B,840.10M,840.10M,,6.40M,4.70M,557.80M,8.804B,12.25B,,3.10M,10.43B,8.920B,6.720B,,,-241.90M,12.39B,,AOR,
2019-09,512.50M,,512.50M,1.151B,1.151B,236.30M,257.60M,1.868B,,2.362B,375.90M,,,,4.402B,0.00,27.50M,1.960B,3.682B,,148.00M,5.817B,-3.762B,2.055B,9.545B,7.340B,16.88B,,973.60M,19.91B,24.32B,,355.20M,100.10M,,455.30M,,455.30M,,2.00B,2.00B,2.00B,1.319B,3.774B,6.338B,6.338B,912.20M,912.20M,,8.40M,4.00M,516.80M,8.456B,12.23B,,3.10M,10.16B,8.867B,6.721B,,,-223.20M,12.08B,,AOR,Restated
2019-06,403.10M,,403.10M,1.247B,1.247B,254.50M,252.90M,1.837B,,2.344B,396.50M,,,,4.391B,0.00,27.90M,1.954B,3.595B,,140.90M,5.718B,-3.682B,2.036B,9.594B,7.524B,17.12B,,660.80M,19.81B,24.21B,,347.50M,144.70M,,492.20M,,492.20M,,2.00B,2.00B,2.00B,1.186B,3.678B,6.709B,6.709B,949.90M,949.90M,,10.40M,3.10M,518.60M,8.866B,12.54B,,3.10M,9.773B,8.776B,6.721B,,,-171.80M,11.66B,,AOR,Restated
2019-03,586.80M,,586.80M,1.225B,1.225B,237.20M,249.80M,1.823B,,2.310B,376.90M,,,,4.499B,0.00,28.00M,1.919B,3.474B,,138.10M,5.559B,-3.545B,2.014B,9.57B,7.522B,17.09B,,683.30M,19.79B,24.29B,,361.10M,178.20M,,539.30M,193.10M,732.40M,,500.00M,500.00M,500.00M,1.023B,2.255B,8.298B,8.298B,990.20M,990.20M,,12.50M,4.90M,531.30M,10.49B,12.75B,,3.10M,9.688B,8.748B,6.721B,,,-183.50M,11.53B,,AOR,Restated
2018-12,542.80M,,542.80M,1.276B,1.276B,228.40M,230.40M,1.798B,,2.256B,352.30M,,,,4.427B,0.00,28.00M,1.886B,3.376B,,147.20M,5.437B,-3.422B,2.015B,9.594B,7.685B,17.28B,,405.00M,19.70B,24.13B,,362.60M,142.40M,,505.00M,670.60M,1.176B,,525.00M,525.00M,525.00M,460.40M,2.421B,8.399B,8.399B,999.50M,999.50M,,14.60M,4.80M,350.00M,10.43B,12.85B,,3.10M,9.491B,8.686B,6.722B,,,-187.40M,11.27B,,AOR,Restated
2018-09,524.60M,,524.60M,1.263B,1.263B,203.10M,231.70M,1.785B,,2.220B,506.50M,,,,4.513B,0.00,28.60M,1.906B,3.316B,,126.60M,5.377B,-3.375B,2.002B,10.58B,7.837B,18.42B,,445.30M,20.87B,25.38B,,345.80M,196.20M,,542.00M,,542.00M,,600.00M,600.00M,600.00M,1.249B,2.391B,8.581B,8.581B,1.054B,1.054B,,16.70M,6.20M,334.40M,10.77B,13.16B,,3.10M,10.44B,8.662B,6.722B,,,-168.10M,12.22B,,AOR,Restated
