,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,2.085B,2.085B,647.30M,1.438B,,893.90M,893.90M,100.00M,152.60M,,-35.80M,53.10M,,-53.10M,15.00M,1.162B,276.50M,,53.10M,-53.10M,-27.80M,-53.10M,195.60M,-138.20M,333.80M,,-0.10M,333.70M,359.83M,514.10M,265.40M,248.70M,,1.61,,,1.736,1.61,,1.59,,,1.715,1.59,,207.40M,209.30M,0.24,,AOR,
2020-09,1.929B,1.929B,569.40M,1.360B,,790.00M,790.00M,85.90M,149.70M,,-25.30M,54.00M,,-54.00M,9.80M,1.035B,324.50M,,54.00M,-54.00M,-14.70M,-54.00M,255.80M,9.70M,246.10M,,-3.60M,242.50M,266.84M,568.40M,258.60M,309.80M,,1.17,,,1.288,1.17,,1.16,,,1.277,1.16,,207.10M,208.50M,0.24,,AOR,
2020-06,1.226B,1.226B,424.50M,801.60M,,,665.00M,87.70M,147.70M,,-63.20M,54.00M,,-54.00M,9.70M,910.10M,-108.50M,,54.00M,-54.00M,-59.40M,-54.00M,-221.90M,-13.70M,-208.20M,,1.60M,-206.60M,-147.32M,87.80M,255.70M,-167.90M,,-1.00,,,-0.7133,-1.00,,-1.00,,,-0.7133,-1.00,,206.80M,206.80M,0.24,,AOR,
2020-03,1.784B,1.784B,487.10M,1.297B,,,828.90M,98.40M,147.60M,,-661.40M,50.90M,,-50.90M,16.40M,1.091B,205.40M,,50.90M,-50.90M,-658.40M,-50.90M,-503.90M,5.20M,-509.10M,,0.60M,-508.50M,-25.68M,-200.00M,253.00M,-453.00M,,-2.46,,,-0.1219,-2.46,,-2.46,,,-0.1219,-2.46,,206.50M,206.50M,0.24,,AOR,
2019-12,2.126B,2.126B,582.20M,1.544B,,,882.20M,121.10M,147.40M,,-36.70M,52.40M,,-52.40M,19.30M,1.17B,373.50M,,52.40M,-52.40M,-31.90M,-52.40M,289.20M,-32.20M,321.40M,,-0.70M,320.70M,347.49M,595.50M,253.90M,341.60M,,1.56,,,1.690,1.56,,1.54,,,1.669,1.54,,206.00M,207.90M,0.24,,AOR,
2019-09,1.892B,1.892B,535.70M,1.357B,,826.40M,826.40M,114.40M,146.60M,,-2.80M,56.80M,,-56.80M,20.70M,1.108B,248.60M,,56.80M,-56.80M,-7.20M,-56.80M,184.60M,-247.40M,432.00M,,-0.90M,431.10M,433.14M,492.90M,251.50M,241.40M,,2.10,,,2.110,2.10,,2.08,,,2.090,2.08,,205.30M,207.00M,0.24,,AOR,Restated
2019-06,1.989B,1.989B,581.30M,1.407B,,,838.80M,112.10M,146.90M,,-82.10M,59.70M,,-59.70M,22.70M,1.120B,286.80M,,59.70M,-59.70M,-86.80M,-59.70M,140.30M,8.40M,131.90M,,1.80M,133.70M,210.87M,453.00M,253.00M,200.00M,,0.65,,,1.027,0.65,,0.65,,,1.024,0.65,,204.80M,206.20M,0.24,,AOR,Restated
2019-03,1.976B,1.976B,553.40M,1.422B,,,796.40M,101.70M,143.40M,,-10.70M,58.00M,,-58.00M,19.70M,1.061B,360.90M,,58.00M,-58.00M,-11.20M,-58.00M,291.70M,45.50M,246.20M,,-0.10M,246.10M,255.13M,597.40M,247.70M,349.70M,,1.20,,,1.244,1.20,,1.20,,,1.244,1.20,,204.40M,205.80M,0.24,,AOR,Restated
2018-12,2.071B,2.071B,583.40M,1.488B,,,998.60M,101.20M,148.00M,,-995.70M,68.50M,,-68.50M,34.60M,1.282B,205.20M,,68.50M,-68.50M,-1.003B,-68.50M,-865.90M,36.60M,-902.50M,,1.40M,-901.10M,-174.24M,-542.60M,254.80M,-797.40M,,-4.43,,,-0.8687,-4.43,,-4.43,,,-0.8687,-4.43,,204.10M,204.10M,0.24,,AOR,Restated
2018-09,1.837B,1.837B,529.00M,1.308B,,,787.70M,95.70M,147.60M,,-21.20M,67.50M,,-67.50M,32.20M,1.063B,244.50M,,67.50M,-67.50M,-23.40M,-67.50M,153.60M,-8.50M,162.10M,,0.10M,162.20M,177.68M,481.70M,260.60M,221.10M,,0.80,,,0.8760,0.80,,0.79,,,0.8653,0.79,,203.70M,205.40M,0.24,,AOR,Restated
