,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,6.034B,6.034B,,,,,,,,,,,,1.217B,265.00M,952.00M,,952.00M,952.00M,,1.217B,,1.36,,,1.36,1.36,,1.36,,,1.36,1.36,,700.92M,703.77M,0.28,,AOR,
2020-09,5.627B,5.627B,,,,63.00M,-63.00M,-38.00M,-38.00M,63.00M,-63.00M,,-63.00M,1.153B,-1.303B,2.456B,,2.456B,2.456B,,1.216B,,3.45,,,3.45,3.45,,3.44,,,3.44,3.44,,711.70M,713.79M,0.28,,AOR,
2020-06,5.364B,5.364B,,,,63.00M,-63.00M,-43.00M,-43.00M,63.00M,-63.00M,,-63.00M,1.07B,265.00M,805.00M,,805.00M,805.00M,,1.133B,,1.12,,,1.12,1.12,,1.12,,,1.12,1.12,,717.89M,719.76M,0.28,,AOR,
2020-03,5.122B,5.122B,,,,55.00M,-55.00M,-40.00M,-40.00M,55.00M,-55.00M,,-55.00M,720.00M,154.00M,566.00M,,566.00M,566.00M,,775.00M,,0.78,,,0.78,0.78,,0.78,,,0.78,0.78,,724.37M,727.51M,0.28,,AOR,
2019-12,5.569B,5.569B,,,,57.00M,-57.00M,-34.00M,-34.00M,57.00M,-57.00M,,-57.00M,1.057B,276.00M,781.00M,,781.00M,781.00M,,1.114B,,1.07,,,1.07,1.07,,1.06,,,1.06,1.06,,733.26M,737.36M,0.27,,AOR,
2019-09,5.519B,5.519B,,,,57.00M,-57.00M,-17.00M,-17.00M,57.00M,-57.00M,,-57.00M,1.036B,259.00M,777.00M,,777.00M,777.00M,,1.093B,,1.05,,,1.05,1.05,,1.04,,,1.04,1.04,,739.95M,743.84M,0.27,,AOR,Restated
2019-06,5.493B,5.493B,,,,57.00M,-57.00M,-18.00M,-18.00M,57.00M,-57.00M,,-57.00M,1.109B,292.00M,817.00M,,817.00M,817.00M,,1.166B,,1.10,,,1.10,1.10,,1.09,,,1.09,1.09,,745.15M,748.85M,0.27,,AOR,Restated
2019-03,5.64B,5.64B,,,,58.00M,-58.00M,-17.00M,-17.00M,58.00M,-58.00M,,-58.00M,1.242B,314.00M,928.00M,,928.00M,928.00M,,1.30B,,1.23,,,1.23,1.23,,1.23,,,1.23,1.23,,751.42M,755.79M,0.27,,AOR,Restated
2018-12,5.11B,5.11B,,,,58.00M,-58.00M,-16.00M,-16.00M,58.00M,-58.00M,,-58.00M,722.00M,197.00M,525.00M,,525.00M,525.00M,,780.00M,,0.69,,,0.69,0.69,,0.69,,,0.69,0.69,,759.93M,765.00M,0.26,,AOR,Restated
2018-09,5.562B,5.562B,,,,53.00M,-53.00M,-15.00M,-15.00M,53.00M,-53.00M,,-53.00M,1.146B,301.00M,845.00M,,845.00M,845.00M,,1.199B,,1.10,,,1.10,1.10,,1.09,,,1.09,1.09,,767.05M,772.07M,0.26,,AOR,Restated
2018-06,5.571B,5.571B,,,,54.00M,-54.00M,-18.00M,-18.00M,54.00M,-54.00M,,-54.00M,1.131B,299.00M,832.00M,,832.00M,832.00M,,1.185B,,1.08,,,1.08,1.08,,1.07,,,1.07,1.07,,772.95M,777.81M,0.26,,AOR,Restated
2018-03,5.448B,5.448B,,,,56.00M,-56.00M,-16.00M,-16.00M,56.00M,-56.00M,,-56.00M,982.00M,265.00M,717.00M,,717.00M,717.00M,,1.038B,,0.92,,,0.92,0.92,,0.91,,,0.91,0.91,,778.55M,783.85M,0.26,,AOR,Restated
2017-12,5.407B,5.407B,,,,59.00M,-59.00M,-17.00M,-17.00M,59.00M,-59.00M,,-59.00M,999.00M,-1.584B,2.583B,,2.583B,2.583B,,1.058B,,2.995,,,2.995,2.995,,2.975,,,2.975,2.975,,784.23M,790.00M,0.225,,AOR,Restated
2017-09,5.489B,5.489B,,,,59.00M,-59.00M,-17.00M,-17.00M,59.00M,-59.00M,,-59.00M,1.075B,359.00M,716.00M,,716.00M,716.00M,,1.134B,,0.91,,,0.91,0.91,,0.90,,,0.90,0.90,,788.96M,794.76M,0.215,,AOR,Restated
2017-06,5.411B,5.411B,,,,61.00M,-61.00M,-17.00M,-17.00M,61.00M,-61.00M,,-61.00M,1.045B,332.00M,713.00M,,713.00M,713.00M,,1.106B,,0.90,,,0.90,0.90,,0.89,,,0.89,0.89,,792.86M,798.70M,0.215,,AOR,Restated
2017-03,5.292B,5.292B,,,,62.00M,-62.00M,-17.00M,-17.00M,62.00M,-62.00M,,-62.00M,898.00M,306.00M,592.00M,,592.00M,592.00M,,960.00M,,0.74,,,0.74,0.74,,0.73,,,0.73,0.73,,802.26M,808.14M,0.215,,AOR,Restated
2016-12,5.935B,5.935B,,,,72.00M,-72.00M,-20.00M,-20.00M,72.00M,-72.00M,,-72.00M,1.153B,402.00M,751.00M,,751.00M,751.00M,,1.225B,,0.92,,,0.92,0.92,,0.915,,,0.915,0.915,,813.63M,818.69M,0.215,,AOR,Restated
2016-09,5.70B,5.70B,,,,65.00M,-65.00M,-16.00M,-16.00M,65.00M,-65.00M,,-65.00M,963.00M,334.00M,629.00M,,629.00M,629.00M,,1.028B,,0.77,,,0.77,0.77,,0.765,,,0.765,0.765,,817.04M,822.28M,0.205,,AOR,Restated
2016-06,5.422B,5.422B,,,,66.00M,-66.00M,-15.00M,-15.00M,66.00M,-66.00M,,-66.00M,834.00M,286.00M,548.00M,,548.00M,548.00M,,900.00M,,0.665,,,0.665,0.665,,0.66,,,0.66,0.66,,823.71M,828.65M,0.205,,AOR,Restated
2016-03,5.433B,5.433B,,,,65.00M,-65.00M,38.00M,38.00M,65.00M,-65.00M,,-65.00M,1.117B,386.00M,731.00M,,731.00M,731.00M,,1.182B,,0.875,,,0.875,0.875,,0.87,,,0.87,0.87,,837.50M,841.84M,0.205,,AOR,Restated
2015-12,5.266B,5.266B,,,,65.00M,-65.00M,-409.00M,-409.00M,65.00M,-65.00M,,-65.00M,1.11B,380.00M,730.00M,,730.00M,730.00M,,1.175B,,0.855,,,0.855,0.855,,0.855,,,0.855,0.855,,849.99M,854.99M,0.205,,AOR,Restated
2015-09,5.05B,5.05B,,,,67.00M,-67.00M,54.00M,54.00M,67.00M,-67.00M,,-67.00M,864.00M,297.00M,567.00M,,567.00M,567.00M,,931.00M,,0.66,,,0.66,0.66,,0.66,,,0.66,0.66,,857.47M,862.20M,0.195,,AOR,Restated
2015-06,5.268B,5.268B,,,,74.00M,-74.00M,253.00M,253.00M,74.00M,-74.00M,,-74.00M,874.00M,301.00M,573.00M,,573.00M,573.00M,,948.00M,,0.665,,,0.665,0.665,,0.66,,,0.66,0.66,,863.34M,868.51M,0.195,,AOR,Restated
2015-03,5.227B,5.227B,,,,83.00M,-83.00M,42.00M,42.00M,83.00M,-83.00M,,-83.00M,1.013B,350.00M,663.00M,,663.00M,663.00M,,1.096B,,0.76,,,0.76,0.76,,0.755,,,0.755,0.755,,874.61M,879.85M,0.195,,AOR,Restated
2014-12,5.44B,5.44B,,,,79.00M,-79.00M,-14.00M,-14.00M,79.00M,-79.00M,,-79.00M,1.075B,372.00M,703.00M,,703.00M,703.00M,,1.154B,,0.785,,,0.785,0.785,,0.785,,,0.785,0.785,,892.63M,897.96M,0.195,,AOR,Restated
2014-09,5.698B,5.698B,,,,77.00M,-77.00M,-6.00M,-6.00M,77.00M,-77.00M,,-77.00M,1.074B,368.00M,706.00M,,706.00M,706.00M,,1.151B,,0.78,,,0.78,0.78,,0.78,,,0.78,0.78,,902.49M,907.96M,0.185,,AOR,Restated
2014-06,5.833B,5.833B,,,,81.00M,-81.00M,39.00M,39.00M,81.00M,-81.00M,,-81.00M,1.238B,428.00M,810.00M,,810.00M,810.00M,,1.319B,,0.895,,,0.895,0.895,,0.89,,,0.89,0.89,,905.12M,910.76M,0.185,,AOR,Restated
2014-03,5.635B,5.635B,,,,80.00M,-80.00M,37.00M,37.00M,80.00M,-80.00M,,-80.00M,1.104B,372.00M,732.00M,,732.00M,732.00M,,1.184B,,0.805,,,0.805,0.805,,0.80,,,0.80,0.80,,909.46M,915.40M,0.185,,AOR,Restated
2013-12,5.756B,5.756B,,,,82.00M,-82.00M,5.00M,5.00M,82.00M,-82.00M,,-82.00M,1.028B,353.00M,675.00M,,675.00M,675.00M,,1.11B,,0.73,,,0.73,0.73,,0.725,,,0.725,0.725,,924.07M,930.95M,0.185,,AOR,Restated
2013-09,5.871B,5.871B,,,,71.00M,-71.00M,34.00M,34.00M,71.00M,-71.00M,,-71.00M,1.069B,367.00M,702.00M,,702.00M,702.00M,,1.14B,,0.755,,,0.755,0.755,,0.75,,,0.75,0.75,,928.65M,934.78M,0.175,,AOR,Restated
2013-06,6.027B,6.027B,,,,69.00M,-69.00M,31.00M,31.00M,69.00M,-69.00M,,-69.00M,1.358B,469.00M,889.00M,,889.00M,889.00M,,1.427B,,0.955,,,0.955,0.955,,0.95,,,0.95,0.95,,930.43M,935.95M,0.175,,AOR,Restated
2013-03,6.173B,6.173B,,,,71.00M,-71.00M,11.00M,11.00M,71.00M,-71.00M,,-71.00M,1.361B,469.00M,892.00M,,892.00M,892.00M,,1.432B,,0.955,,,0.955,0.955,,0.95,,,0.95,0.95,,932.92M,938.25M,0.175,,AOR,Restated
2012-12,6.347B,6.347B,,,,75.00M,-75.00M,20.00M,20.00M,75.00M,-75.00M,,-75.00M,879.00M,298.00M,581.00M,,581.00M,581.00M,,954.00M,,0.62,,,0.62,0.62,,0.62,,,0.62,0.62,,934.73M,940.59M,0.175,,AOR,Restated
2012-09,6.815B,6.815B,,,,67.00M,-67.00M,18.00M,18.00M,67.00M,-67.00M,,-67.00M,1.48B,463.00M,1.017B,,1.017B,1.017B,,1.547B,,1.085,,,1.085,1.085,,1.08,,,1.08,1.08,,934.84M,939.44M,0.165,,AOR,Restated
2012-06,5.894B,5.894B,,,,62.00M,-62.00M,40.00M,40.00M,62.00M,-62.00M,,-62.00M,741.00M,258.00M,483.00M,,483.00M,483.00M,,803.00M,,0.52,,,0.52,0.52,,0.515,,,0.515,0.515,,933.58M,937.18M,0.165,,AOR,Restated
2012-03,6.215B,6.215B,,,,57.00M,-57.00M,24.00M,24.00M,57.00M,-57.00M,,-57.00M,1.202B,417.00M,785.00M,,785.00M,785.00M,,1.259B,,0.84,,,0.84,0.84,,0.84,,,0.84,0.84,,931.77M,937.07M,0.165,,AOR,Restated
2011-12,5.898B,5.898B,,,,53.00M,-53.00M,-30.00M,-30.00M,53.00M,-53.00M,,-53.00M,821.00M,283.00M,538.00M,,538.00M,538.00M,,874.00M,,0.58,,,0.58,0.58,,0.57,,,0.57,0.57,,931.09M,935.45M,0.165,,AOR,Restated
