,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,NetPP&E,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,,,,,,,,,,,,,,4.892B,165.09B,,,,,,,,,,,,,,7.899B,,,7.899B,131.53B,,,,,,,,,,,33.56B,,AOR,
2020-09,5.563B,103.13B,108.69B,824.00M,3.446B,,824.00M,109.52B,584.00M,,,10.82B,127.84B,141.61B,160.96B,,,4.278B,1.495B,5.773B,5.773B,,,,,5.773B,7.675B,150.00M,7.825B,4.976B,3.729B,16.53B,128.48B,,135.00M,37.46B,2.383B,15.42B,9.485B,-278.00M,-1.29B,,7.917B,32.48B,,AOR,
2020-06,5.528B,99.96B,105.49B,894.00M,3.284B,,894.00M,106.38B,584.00M,,,10.72B,124.22B,137.89B,157.09B,,,5.228B,2.275B,7.503B,7.503B,,,,,7.503B,7.618B,153.00M,7.771B,4.773B,3.854B,16.40B,127.67B,,135.00M,35.20B,2.358B,15.03B,8.496B,-277.00M,-1.469B,,6.75B,29.42B,,AOR,
2020-03,4.148B,96.29B,100.44B,813.00M,3.367B,,813.00M,101.25B,586.00M,,,10.75B,120.23B,133.91B,151.62B,,,4.61B,2.969B,7.579B,7.579B,,,,,7.579B,6.597B,161.00M,6.758B,4.693B,4.044B,15.50B,125.21B,,135.00M,34.60B,2.334B,14.85B,6.008B,-277.00M,-1.543B,,4.188B,26.40B,,AOR,
2019-12,4.896B,91.26B,96.16B,828.00M,,,828.00M,96.99B,581.00M,,,9.569B,122.15B,134.67B,152.77B,,,5.37B,1.876B,7.246B,7.246B,,,,,7.246B,6.408B,161.00M,6.569B,4.659B,4.243B,15.47B,123.81B,,135.00M,34.29B,2.313B,14.40B,8.515B,-277.00M,-1.623B,,6.615B,28.96B,,AOR,
2019-09,4.216B,93.94B,98.16B,908.00M,,,908.00M,99.06B,562.00M,,,8.284B,125.50B,136.62B,154.14B,,,5.737B,2.189B,7.926B,7.926B,,,,,7.926B,6.095B,138.00M,6.233B,4.741B,4.544B,15.52B,124.70B,,135.00M,33.71B,2.277B,13.94B,8.937B,-207.00M,-1.479B,,7.251B,29.44B,,AOR,Restated
2019-06,3.019B,92.44B,95.45B,883.00M,,,883.00M,96.34B,562.00M,,,7.622B,124.53B,135.16B,151.40B,,,5.243B,1.557B,6.80B,6.80B,,,,,6.80B,6.098B,133.00M,6.231B,4.706B,4.763B,15.70B,123.16B,,135.00M,33.13B,2.247B,13.64B,8.028B,-209.00M,-1.455B,,6.364B,28.24B,,AOR,Restated
2019-03,3.892B,87.92B,91.82B,858.00M,,,858.00M,92.67B,559.00M,,,7.18B,119.13B,129.07B,145.68B,,,5.182B,1.969B,7.151B,7.151B,,,,,7.151B,5.766B,134.00M,5.90B,4.625B,4.859B,15.38B,119.63B,,135.00M,32.51B,2.208B,13.29B,6.535B,-206.00M,-1.848B,,4.481B,26.05B,,AOR,Restated
2018-12,4.337B,82.90B,87.23B,851.00M,,,851.00M,88.08B,443.00M,,,6.919B,114.20B,123.78B,140.41B,,,4.02B,1.052B,5.072B,5.072B,,,,,5.072B,5.765B,13.00M,5.778B,4.584B,5.09B,15.45B,116.94B,,135.00M,31.79B,2.177B,12.79B,4.21B,-212.00M,-1.847B,,2.151B,23.46B,,AOR,Restated
2018-09,3.429B,83.36B,86.78B,784.00M,,,784.00M,87.57B,435.00M,,,,113.78B,116.36B,137.94B,,,3.887B,1.97B,5.857B,5.857B,,,,,5.857B,5.264B,15.00M,5.279B,4.53B,5.224B,15.03B,114.71B,,135.00M,31.46B,2.151B,12.42B,4.216B,-194.00M,-2.113B,,1.909B,23.23B,,AOR,Restated
