,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,SECFilingLinks,AsOriginallyReported,Restated
2020-09,176.74M,0.401M,,0.401M,,,62.47M,62.47M,,,7.116M,,7.887M,-72.01M,5.773M,23.05M,,,,-43.18M,0.00,,2020-09,-20.25M,,,0.00,-0.104M,-2.166M,0.00,,2020-09,-156.21M,-2.088M,-158.30M,,-0.16M,-0.16M,-7.809M,-7.809M,17.45M,-7.126M,,2020-09,219.94M,32.97M,258.40M,,2020-09,,69.00M,-227.30M,-0.16M,2020-09,AOR,
2020-06,137.21M,0.485M,,0.485M,,,59.29M,59.29M,,,9.604M,,3.369M,-76.29M,-71.95M,76.87M,,,,-71.36M,0.00,,2020-06,-16.65M,,,0.00,-1.235M,-5.755M,0.079M,,2020-06,-86.00M,-1.753M,-87.75M,,-0.327M,-0.327M,-7.791M,-7.791M,8.968M,-8.871M,,2020-06,195.17M,19.26M,219.94M,,2020-06,,63.00M,-150.75M,-0.327M,2020-06,AOR,
2020-03,33.72M,0.00,,0.00,,,60.76M,60.76M,,,3.05M,,-4.672M,80.60M,-54.76M,-58.64M,,,,-32.80M,0.00,,2020-03,-20.49M,,,0.00,0.06M,-1.638M,0.052M,,2020-03,-16.00M,-4.283M,-20.28M,,-6.342M,-6.342M,-7.781M,-7.781M,1.106M,8.708M,,2020-03,191.89M,13.44M,195.17M,,2020-03,,125.00M,-145.28M,-6.342M,2020-03,AOR,
2019-12,64.55M,0.00,,58.18M,,,56.91M,56.91M,,,6.409M,,10.44M,-78.50M,38.76M,123.49M,,,,83.75M,0.00,,2019-12,-23.25M,,,0.00,-147.78M,-1.00M,,,2019-12,-238.28M,-3.809M,-242.08M,,-0.112M,-0.112M,-7.777M,-7.777M,2.169M,-3.392M,,2019-12,395.98M,-208.02M,191.89M,,2019-12,,565.00M,-807.08M,-0.112M,2019-12,AOR,
2019-09,58.61M,0.00,,0.471M,,,53.32M,53.32M,,,12.30M,,23.99M,-12.53M,2.083M,-31.54M,,,,-41.98M,0.00,,2019-09,-16.62M,,,0.00,-7.882M,-4.519M,,,2019-09,190.57M,-1.36M,189.21M,,-0.144M,-0.144M,-7.775M,-7.775M,1.009M,-12.17M,,2019-09,153.22M,247.83M,395.98M,,2019-09,,1.032B,-842.85M,-0.144M,2019-09,AOR,Restated
2019-06,69.14M,0.336M,,0.336M,,,53.32M,53.32M,,,6.704M,,12.43M,-17.47M,-12.01M,-65.60M,,,,-95.08M,0.00,,2019-06,-16.59M,,,0.00,-240.35M,-0.349M,,,2019-06,244.55M,-6.33M,238.22M,,-0.764M,-0.764M,-7.764M,-7.764M,7.944M,-11.68M,,2019-06,137.46M,15.53M,153.22M,,2019-06,,670.55M,-432.33M,-0.764M,2019-06,AOR,Restated
2019-03,35.45M,2.133M,,2.133M,,,50.47M,50.47M,,,6.097M,,11.88M,7.864M,-38.44M,-80.78M,,,,-111.35M,0.00,,2019-03,-24.88M,,,-5.00M,-3.834M,-0.519M,,,2019-03,27.00M,-3.476M,23.52M,,-5.293M,-5.293M,-7.743M,-7.743M,8.61M,-13.86M,,2019-03,166.32M,-29.31M,137.46M,,2019-03,,179.00M,-155.48M,-5.293M,2019-03,AOR,Restated
2018-12,71.32M,0.187M,0.00,12.10M,,,47.20M,47.20M,,,5.492M,,3.892M,-81.84M,11.13M,141.90M,,,,71.18M,0.00,,2018-12,-32.81M,,,0.00,-53.63M,-1.519M,0.00,,2018-12,29.87M,-28.38M,1.488M,,-52.47M,-52.47M,-7.787M,-7.787M,5.349M,-3.847M,,2018-12,152.72M,14.19M,166.32M,,2018-12,,252.00M,-250.51M,-52.47M,2018-12,AOR,Restated
2018-09,75.44M,-13.03M,-0.557M,-13.59M,,,45.16M,45.16M,,,11.13M,,11.18M,6.098M,1.68M,-43.71M,,,,-35.94M,-0.20M,,2018-09,-20.84M,,,0.00,34.35M,-5.50M,0.00,,2018-09,-111.87M,10.15M,-101.72M,,-0.325M,-0.325M,-7.751M,-7.751M,11.14M,-10.37M,,2018-09,163.60M,-7.82M,152.72M,,2018-09,,263.00M,-364.72M,-0.325M,2018-09,AOR,Restated
2018-06,64.67M,0.00,,0.00,,,43.77M,43.77M,,,6.816M,,16.80M,-8.488M,-17.96M,-32.63M,,,,-59.08M,0.00,,2018-06,-16.96M,,,0.00,-39.30M,0.00,0.00,,2018-06,-12.66M,-7.146M,-19.81M,,-0.094M,-0.094M,-7.744M,-7.744M,0.88M,0.824M,,2018-06,181.00M,-9.208M,163.60M,,2018-06,,507.34M,-527.15M,-0.094M,2018-06,AOR,Restated
2018-03,26.04M,0.00,,0.00,,,44.45M,44.45M,,,5.332M,,16.52M,-10.28M,-25.03M,-71.59M,,,,-106.90M,,,2018-03,-22.65M,,,0.00,-1.087M,0.00,0.072M,,2018-03,57.00M,-3.008M,53.99M,,-4.555M,-4.555M,-7.727M,-7.727M,7.468M,-36.17M,,2018-03,202.37M,-25.22M,181.00M,,2018-03,,204.00M,-150.01M,-4.555M,2018-03,AOR,Restated
2017-12,-38.44M,0.008M,,-10.43M,,,29.49M,29.49M,,,9.242M,,2.943M,-47.60M,7.285M,145.47M,,,,105.15M,1.104M,,2017-12,-16.73M,,,,-1.403B,-34.66M,0.00,,2017-12,825.87M,-2.831M,823.04M,,-0.354M,-0.354M,-7.716M,-7.716M,4.00M,-2.285M,,2017-12,709.72M,-509.11M,202.37M,,2017-12,,914.00M,-90.96M,-0.354M,2017-12,AOR,Restated
2017-09,96.55M,0.301M,,0.301M,,,26.00M,26.00M,,,4.412M,,4.324M,5.756M,-15.30M,-52.53M,,,,-62.07M,-11.01M,,2017-09,-10.89M,,,,0.00,60.42M,0.00,,2017-09,-1.887M,0.577M,-1.31M,,-0.215M,-0.215M,-7.714M,-7.714M,0.781M,-7.225M,,2017-09,616.56M,88.15M,709.72M,,2017-09,,0.00,-1.31M,-0.215M,2017-09,AOR,Restated
2017-06,62.73M,,,,,,24.76M,24.76M,,,6.841M,,3.109M,-19.88M,-3.076M,-20.04M,,,,-42.99M,-6.327M,,2017-06,-5.492M,,,,0.00,,0.045M,,2017-06,0.00,-0.29M,-0.29M,,-0.138M,-0.138M,-7.69M,-7.69M,8.596M,-2.745M,,2017-06,290.63M,317.35M,616.56M,,2017-06,,0.00,-0.29M,-0.138M,2017-06,AOR,Restated
2017-03,36.06M,,,,,,24.75M,24.75M,,,4.926M,,13.22M,25.09M,-6.837M,-56.01M,,,,-37.76M,12.53M,,2017-03,-5.981M,,,,-123.58M,,,,2017-03,1.002M,-0.287M,0.715M,,-3.127M,-3.127M,-7.673M,-7.673M,4.627M,-10.51M,,2017-03,376.57M,-92.28M,290.63M,,2017-03,,146.95M,-146.24M,-3.127M,2017-03,AOR,Restated
2016-12,62.29M,,,,,,25.46M,25.46M,,,3.709M,,12.70M,-24.04M,20.77M,39.56M,,,,36.29M,6.137M,,2016-12,-7.291M,,,,0.00,0.00,2.00M,,2016-12,-53.00M,-0.261M,-53.26M,,-0.354M,-0.354M,-7.668M,-7.668M,2.337M,-3.616M,,2016-12,311.66M,80.66M,376.57M,,2016-12,,45.00M,-98.26M,-0.354M,2016-12,AOR,Restated
2016-09,53.92M,,,,,,24.27M,24.27M,,,3.774M,,5.463M,-2.283M,-3.414M,-7.968M,,,,-13.66M,-0.141M,,2016-09,-8.541M,,,,-61.44M,0.00,0.00,,2016-09,72.19M,-0.282M,71.91M,,-0.096M,-0.096M,-7.657M,-7.657M,3.128M,-7.486M,,2016-09,248.08M,62.98M,311.66M,,2016-09,,681.70M,-609.79M,-0.096M,2016-09,AOR,Restated
2016-06,57.76M,,,,,,24.85M,24.85M,,,5.829M,,3.871M,-9.383M,6.351M,-8.122M,,,,-11.15M,15.09M,,2016-06,-8.211M,,,,20.00M,,-1.956M,,2016-06,-63.00M,-0.278M,-63.28M,,-0.192M,-0.192M,-7.631M,-7.631M,7.715M,-1.358M,,2016-06,210.73M,41.03M,248.08M,,2016-06,,57.00M,-120.28M,-0.192M,2016-06,AOR,Restated
2016-03,41.74M,,,,,,25.40M,25.40M,,,3.846M,,1.809M,16.75M,-16.96M,-46.30M,,,,-46.51M,5.753M,,2016-03,-7.659M,,,,-9.484M,,,,2016-03,108.00M,-0.275M,107.72M,,-151.16M,-151.16M,-7.843M,-7.843M,1.238M,2.537M,,2016-03,237.93M,-32.95M,210.73M,,2016-03,,183.00M,-75.28M,-151.16M,2016-03,AOR,Restated
2015-12,44.58M,,,,,,21.61M,21.61M,,,4.795M,,9.093M,-32.30M,22.89M,36.20M,,,,26.80M,23.33M,,2015-12,-10.40M,,,,-53.30M,,0.00,,2015-12,,23.73M,-10.27M,,-0.281M,-0.281M,-7.834M,-7.834M,1.824M,1.854M,,2015-12,195.07M,45.41M,237.93M,,2015-12,,104.00M,-114.27M,-0.281M,2015-12,AOR,Restated
2015-09,54.90M,,,,,,27.16M,27.16M,,,4.29M,,1.125M,5.518M,-17.50M,-14.73M,,,,-26.71M,-0.043M,,2015-09,-7.715M,,,,0.00,,0.757M,,2015-09,,39.86M,39.86M,,-72.06M,-72.06M,-7.938M,-7.938M,0.412M,-4.284M,,2015-09,192.17M,9.75M,195.07M,,2015-09,,162.66M,-122.80M,-72.06M,2015-09,AOR,Restated
2015-06,49.00M,,,,,,28.26M,28.26M,,,4.206M,,6.938M,-6.739M,-10.83M,-7.318M,,,,-24.89M,-0.042M,,2015-06,-5.62M,,,,-14.12M,,0.00,,2015-06,,-27.39M,-27.39M,,-0.141M,-0.141M,-7.923M,-7.923M,3.829M,7.905M,,2015-06,168.92M,20.01M,192.17M,,2015-06,,123.34M,-150.74M,-0.141M,2015-06,AOR,Restated
2015-03,40.31M,,,,,,28.33M,28.33M,,,3.987M,,5.162M,37.58M,-22.50M,-55.23M,,,,-40.15M,0.015M,,2015-03,-4.479M,,,,-4.619M,,0.059M,,2015-03,,-37.26M,-37.26M,,-3.954M,-3.954M,-7.876M,-7.876M,8.84M,15.56M,,2015-03,174.82M,3.934M,168.92M,,2015-03,,61.00M,-98.26M,-3.954M,2015-03,AOR,Restated
2014-12,0.287M,,,,,,23.63M,23.63M,,,2.288M,,2.252M,-38.90M,9.093M,27.37M,,,,-2.44M,34.32M,,2014-12,-4.938M,,,,-269.60M,,0.00,,2014-12,,185.55M,185.55M,,-26.52M,-26.52M,-7.907M,-7.907M,3.508M,0.00,,2014-12,203.68M,-20.89M,174.82M,,2014-12,,248.00M,-62.45M,-26.52M,2014-12,AOR,Restated
2014-09,42.90M,,,,,,28.93M,28.93M,,,2.45M,,11.50M,3.407M,-12.80M,-13.30M,,,,-22.69M,-0.16M,,2014-09,-7.767M,,,,-1.529M,,0.065M,,2014-09,,-39.72M,-39.72M,,-0.028M,-0.028M,-7.904M,-7.904M,1.493M,-0.855M,,2014-09,205.26M,6.684M,203.68M,,2014-09,,34.51M,-74.22M,-0.028M,2014-09,AOR,Restated
2014-06,52.00M,,,,,,28.58M,28.58M,,,4.803M,,1.10M,-3.298M,1.982M,-30.71M,,,,-32.03M,-0.062M,,2014-06,-8.427M,,,,-0.35M,,0.425M,,2014-06,,-34.26M,-34.26M,,-35.06M,-35.06M,-7.922M,-7.922M,12.22M,-0.121M,,2014-06,224.11M,-19.30M,205.26M,,2014-06,,102.49M,-136.75M,-35.06M,2014-06,AOR,Restated
2014-03,34.95M,,,,,,29.33M,29.33M,,,4.516M,,2.439M,26.73M,-17.72M,-12.13M,,,,-3.121M,-0.402M,,2014-03,-6.02M,,,,0.00,,,,2014-03,,-5.252M,-5.252M,,-3.916M,-3.916M,-7.887M,-7.887M,7.231M,-1.724M,,2014-03,173.24M,50.14M,224.11M,,2014-03,,90.00M,-95.25M,-3.916M,2014-03,AOR,Restated
2013-12,73.46M,,,,,,31.64M,31.64M,,,2.63M,,14.12M,-41.64M,17.85M,53.31M,,,,29.52M,2.723M,,2013-12,-7.427M,0.00,0.00,,-8.65M,,0.00,,2013-12,,148.75M,-12.37M,,-0.212M,-0.212M,-7.867M,-7.867M,5.021M,0.00,,2013-12,132.30M,40.20M,173.24M,,2013-12,,257.75M,-270.12M,-0.212M,2013-12,AOR,Restated
2013-09,40.76M,,,,,,33.26M,33.26M,,,3.781M,,0.476M,12.08M,-14.31M,-27.71M,,,,-29.94M,-0.248M,,2013-09,-8.702M,52.20M,52.20M,,-7.00M,,0.563M,,2013-09,,-67.73M,-67.73M,,-0.193M,-0.193M,-7.841M,-7.841M,8.003M,0.00,,2013-09,112.47M,17.38M,132.30M,,2013-09,,79.27M,-147.00M,-0.193M,2013-09,AOR,Restated
2013-06,27.83M,,,,,,31.41M,31.41M,,,3.226M,,20.12M,-24.74M,-1.523M,-27.52M,,,,-53.78M,-0.945M,,2013-06,-11.02M,,,,-1.449M,,0.22M,,2013-06,,-22.76M,-22.76M,,-0.135M,-0.135M,-7.832M,-7.832M,1.827M,0.523M,,2013-06,125.87M,-12.39M,112.47M,,2013-06,,124.24M,-147.00M,-0.135M,2013-06,AOR,Restated
2013-03,32.22M,,,,,,30.57M,30.57M,,,4.416M,,4.325M,40.23M,-16.19M,-84.45M,,,,-60.41M,-0.187M,,2013-03,-11.83M,,,,1.40M,,,,2013-03,,86.02M,86.02M,,-126.86M,-126.86M,-8.06M,-8.06M,5.462M,0.84M,,2013-03,171.44M,-41.97M,125.87M,,2013-03,,221.02M,-135.00M,-126.86M,2013-03,AOR,Restated
2012-12,-13.34M,,,,,,30.34M,30.34M,,,5.273M,3.534M,5.319M,-59.97M,16.59M,7.151M,,,,-36.23M,-0.685M,,2012-12,-18.05M,0.00,0.00,,-34.11M,,-0.183M,,2012-12,,6.567M,6.567M,,-0.012M,-0.012M,-8.028M,-8.028M,9.534M,4.05M,,2012-12,170.83M,-0.22M,171.44M,,2012-12,,109.27M,-102.71M,-0.012M,2012-12,AOR,Restated
2012-09,28.99M,,,,,,30.63M,30.63M,,,5.10M,-0.628M,10.58M,1.615M,-11.80M,-43.39M,,,,-53.57M,-0.387M,,2012-09,-12.90M,0.00,0.00,,-6.75M,,0.47M,,2012-09,,-8.143M,-8.143M,,-0.029M,-0.029M,-7.984M,-7.984M,11.20M,-2.488M,,2012-09,171.40M,-4.922M,170.83M,,2012-09,,81.00M,-89.14M,-0.029M,2012-09,AOR,Restated
2012-06,33.57M,,,,,,32.16M,32.16M,,,4.776M,0.00,6.36M,7.623M,0.318M,-7.388M,,,,0.553M,-1.023M,,2012-06,-6.221M,,,,0.00,,0.20M,,2012-06,,-23.00M,-23.00M,,-0.431M,-0.431M,-7.969M,-7.969M,2.247M,-9.48M,,2012-06,144.76M,32.72M,171.40M,,2012-06,,99.00M,-122.00M,-0.431M,2012-06,AOR,Restated
2012-03,22.08M,,,,,,32.01M,32.01M,,,5.476M,-1.139M,11.52M,5.85M,-12.97M,-47.56M,,,,-54.68M,0.279M,,2012-03,-5.228M,,,,0.00,,,,2012-03,,-11.00M,-11.00M,,-1.632M,-1.632M,-7.922M,-7.922M,9.499M,0.86M,,2012-03,142.34M,0.116M,144.76M,,2012-03,,111.00M,-122.00M,-1.632M,2012-03,AOR,Restated
2011-12,-83.22M,,,74.77M,,,32.20M,32.20M,,-2.546M,6.055M,,19.97M,-37.97M,15.64M,49.46M,,,9.303M,36.44M,-0.021M,,2011-12,-5.613M,0.00,0.00,,-602.77M,,0.941M,,2011-12,413.00M,24.00M,437.00M,,-0.001M,-0.001M,,-7.916M,0.066M,-9.65M,,2011-12,248.10M,-105.42M,142.34M,,2011-12,,703.86M,-266.86M,-0.001M,2011-12,AOR,Restated
2011-09,28.00M,,,0.20M,,,28.12M,28.12M,,0.898M,1.467M,,0.00,13.47M,-14.28M,-7.89M,,,-0.712M,-9.411M,-1.477M,,2011-09,-9.009M,0.456M,0.456M,,-0.918M,,0.703M,,2011-09,-163.00M,0.00,-163.00M,,-0.007M,-0.007M,,-7.916M,0.118M,-0.288M,,2011-09,395.21M,-128.06M,248.10M,,2011-09,,86.00M,-249.00M,-0.007M,2011-09,AOR,Restated
2011-06,29.10M,,,,,,26.65M,26.65M,,0.903M,4.906M,,-0.459M,-20.70M,6.177M,5.351M,,,-0.819M,-9.996M,-3.002M,,2011-06,-8.289M,,,,-253.75M,,0.42M,,2011-06,157.20M,-2.265M,154.94M,,-0.773M,-0.773M,,-7.891M,5.522M,0.819M,,2011-06,415.85M,-28.85M,395.21M,,2011-06,,286.00M,-131.06M,-0.773M,2011-06,AOR,Restated
2011-03,27.29M,,,,,,23.95M,23.95M,,0.745M,3.054M,,3.799M,24.61M,-9.743M,-14.86M,,,-7.772M,-7.763M,-4.629M,,2011-03,-7.681M,,,,-56.60M,,,,2011-03,89.66M,-0.038M,89.62M,,-109.22M,-109.22M,,-8.106M,18.03M,7.772M,,2011-03,420.09M,-25.44M,415.85M,,2011-03,,208.00M,-118.38M,-109.22M,2011-03,AOR,Restated
2010-12,45.55M,,,32.77M,,,23.29M,23.29M,,-1.906M,2.064M,,-17.20M,-37.20M,0.636M,27.93M,,,0.082M,-8.549M,-17.34M,,2010-12,-10.76M,0.00,0.00,,-1.386M,,0.08M,,2010-12,-103.02M,-140.88M,-243.90M,,-71.77M,-71.77M,,-8.263M,13.86M,2.187M,,2010-12,250.99M,173.67M,420.09M,,2010-12,,107.00M,-350.90M,-71.77M,2010-12,AOR,Restated
2010-09,26.54M,,,0.00,,,22.79M,22.79M,,0.636M,2.753M,,0.00,5.902M,-8.555M,-43.12M,,,-0.058M,-45.83M,8.371M,,2010-09,-9.05M,0.00,0.00,,-22.26M,,0.00,,2010-09,43.65M,-0.037M,43.62M,-13.05M,0.00,-13.05M,,-8.255M,15.17M,0.058M,,2010-09,215.66M,19.10M,250.99M,,2010-09,-13.05M,90.00M,-46.38M,0.00,2010-09,AOR,Restated
