,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks
2020-09,258.29M,258.29M,797.91M,797.91M,205.34M,36.50M,244.72M,486.56M,,133.06M,1.676B,,,,,956.56M,956.56M,-426.22M,530.34M,3.162B,1.182B,4.344B,,,315.65M,5.190B,6.866B,,2020-09,258.04M,624.44M,882.48M,,360.22M,360.22M,,,2.097M,1.245B,1.493B,175.65M,1.668B,,,720.80M,2.389B,3.634B,,2020-09,111.88M,3.135B,128.82M,,-143.77M,3.232B,,2020-09
2020-06,218.54M,218.54M,708.80M,708.80M,191.78M,32.24M,253.70M,477.71M,,126.37M,1.531B,,,,,924.82M,924.82M,-406.81M,518.01M,3.107B,1.188B,4.296B,,,291.56M,5.105B,6.637B,,2020-06,255.14M,559.68M,814.82M,,346.34M,346.34M,,,2.097M,1.163B,1.625B,177.89M,1.803B,,,703.21M,2.506B,3.669B,,2020-06,111.50M,2.966B,106.74M,,-216.67M,2.967B,,2020-06
2020-03,195.15M,195.15M,626.15M,626.15M,140.48M,26.71M,225.97M,393.16M,,127.37M,1.342B,,,,,899.58M,899.58M,-389.41M,510.18M,3.052B,1.200B,4.252B,,,280.41M,5.043B,6.384B,,2020-03,233.23M,485.15M,718.38M,,9.654M,9.654M,,,2.112M,730.14M,2.011B,179.83M,2.190B,,,704.15M,2.895B,3.625B,,2020-03,111.31M,2.837B,90.24M,,-278.33M,2.760B,,2020-03
2019-12,191.88M,191.88M,725.18M,725.18M,130.67M,26.41M,199.86M,356.94M,,100.38M,1.374B,0.00,5.272M,250.64M,445.67M,167.28M,868.86M,-383.36M,485.50M,3.111B,1.283B,4.395B,,19.68M,264.50M,5.164B,6.539B,,2019-12,235.86M,278.35M,544.08M,9.974M,9.974M,9.974M,164.26M,164.26M,2.112M,762.83M,2.064B,146.40M,2.210B,,,751.47M,2.962B,3.725B,,2019-12,111.14M,2.812B,90.36M,,-199.65M,2.814B,,2019-12
2019-09,392.97M,392.97M,646.29M,646.29M,136.10M,31.19M,224.53M,391.82M,,117.33M,1.548B,,,,,843.52M,843.52M,-370.60M,472.93M,2.988B,1.199B,4.187B,,,280.74M,4.941B,6.489B,,2019-09,190.26M,489.08M,679.34M,,506.65M,506.65M,,,2.112M,1.188B,1.751B,153.22M,1.904B,,,690.04M,2.594B,3.782B,,2019-09,111.09M,2.755B,84.00M,,-243.46M,2.707B,,2019-09
2019-06,150.02M,150.02M,654.45M,654.45M,144.48M,30.31M,239.53M,414.33M,,118.96M,1.338B,,,,,858.76M,858.76M,-368.10M,490.65M,3.042B,1.282B,4.324B,,,246.17M,5.061B,6.399B,,2019-06,188.05M,508.41M,696.46M,,8.205M,8.205M,,,2.13M,706.80M,2.104B,164.01M,2.268B,,,716.93M,2.985B,3.692B,,2019-06,111.07M,2.704B,72.18M,,-180.75M,2.707B,,2019-06
2019-03,134.25M,134.25M,623.93M,623.93M,137.35M,23.91M,215.25M,376.51M,,112.96M,1.248B,,,,,839.77M,839.77M,-355.38M,484.39M,2.939B,1.168B,4.107B,,,247.80M,4.839B,6.086B,,2019-03,219.34M,507.46M,726.80M,,13.33M,13.33M,,,2.134M,742.27M,1.849B,167.75M,2.017B,,,689.07M,2.706B,3.448B,,2019-03,110.89M,2.643B,58.09M,,-173.54M,2.638B,,2019-03
2018-12,163.11M,163.11M,632.67M,632.67M,119.12M,18.11M,201.12M,338.35M,,100.51M,1.235B,0.00,5.482M,272.28M,402.42M,,680.18M,-361.59M,318.59M,2.953B,1.200B,4.152B,,,270.02M,4.741B,5.976B,,2018-12,220.95M,303.85M,555.49M,,14.86M,14.86M,155.06M,155.06M,2.165M,771.63M,1.877B,0.00,1.877B,,,742.31M,2.619B,3.391B,,2018-12,110.60M,2.602B,48.77M,,-176.48M,2.585B,,2018-12
2018-09,149.51M,149.51M,551.38M,551.38M,117.27M,21.39M,215.59M,354.24M,,110.35M,1.165B,,,,,724.05M,724.05M,-407.00M,317.05M,2.921B,1.224B,4.144B,,,235.35M,4.697B,5.862B,,2018-09,180.69M,483.82M,664.52M,,20.07M,20.07M,,,2.165M,686.75M,1.883B,,1.883B,,,720.63M,2.603B,3.290B,,2018-09,111.09M,2.532B,89.97M,,-160.65M,2.572B,,2018-09
2018-06,163.39M,163.39M,564.04M,564.04M,128.93M,21.38M,216.66M,366.96M,,108.02M,1.202B,,,,,706.57M,706.57M,-402.03M,304.54M,2.941B,1.271B,4.212B,,,239.14M,4.755B,5.958B,,2018-06,197.13M,496.08M,693.21M,,17.32M,17.32M,,,2.165M,712.69M,1.984B,,1.984B,,,743.96M,2.728B,3.441B,,2018-06,110.72M,2.463B,73.74M,,-130.57M,2.517B,,2018-06
2018-03,180.80M,180.80M,575.74M,575.74M,132.64M,20.47M,221.70M,374.81M,,102.66M,1.234B,,,,,654.94M,654.94M,-347.71M,307.23M,2.998B,1.335B,4.332B,,,252.53M,4.892B,6.126B,,2018-03,215.40M,490.68M,706.08M,,217.75M,217.75M,,,2.154M,925.98M,1.860B,,1.860B,,,785.25M,2.645B,3.571B,,2018-03,110.62M,2.407B,65.66M,,-27.98M,2.555B,,2018-03
2017-12,202.13M,202.13M,552.30M,552.30M,122.10M,18.45M,211.12M,351.68M,,93.84M,1.200B,0.00,5.624M,262.66M,362.64M,,630.92M,-332.85M,298.07M,3.002B,1.347B,4.349B,,,244.30M,4.892B,6.091B,,2017-12,222.09M,301.32M,534.22M,,217.31M,217.31M,159.92M,159.92M,2.102M,950.90M,1.789B,,1.789B,,,848.57M,2.637B,3.588B,,2017-12,110.36M,2.381B,58.83M,,-46.52M,2.503B,,2017-12
2017-09,709.49M,709.49M,440.65M,440.65M,105.25M,9.935M,179.99M,295.18M,,100.35M,1.546B,,,,,475.11M,475.11M,-317.44M,157.66M,2.373B,441.42M,2.814B,,,221.20M,3.193B,4.739B,,2017-09,163.74M,430.33M,594.06M,,1.294M,1.294M,,,2.154M,597.51M,1.109B,,1.109B,,,496.14M,1.605B,2.203B,,2017-09,110.21M,2.429B,50.04M,,-53.58M,2.536B,,2017-09
2017-06,616.31M,616.31M,440.41M,440.41M,94.21M,8.155M,172.72M,275.08M,,102.02M,1.434B,,,,,460.75M,460.75M,-306.59M,154.16M,2.357B,453.06M,2.810B,,,207.37M,3.171B,4.605B,,2017-06,153.75M,427.04M,580.79M,,2.225M,2.225M,,,6.373M,589.39M,1.089B,,1.089B,,,487.68M,1.577B,2.166B,,2017-06,110.20M,2.346B,45.88M,,-63.43M,2.439B,,2017-06
2017-03,288.33M,288.33M,411.08M,411.08M,87.67M,8.273M,168.69M,264.63M,,96.80M,1.117B,,,,,449.31M,449.31M,-295.37M,153.94M,2.333B,455.13M,2.788B,,,282.32M,3.224B,4.341B,,2017-03,158.12M,409.34M,567.46M,,2.187M,2.187M,,,30.96M,600.61M,1.053B,,1.053B,,,462.96M,1.531B,2.132B,,2017-03,109.86M,2.150B,31.15M,,-81.63M,2.209B,,2017-03
