,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2011-03,447.18M,447.18M,246.87M,200.31M,132.70M,26.18M,,-2.162M,3.916M,0.322M,-3.594M,,158.88M,41.43M,0.322M,3.916M,-3.594M,-2.162M,-3.594M,35.68M,8.384M,27.29M,-2.378M,,24.91M,23.95M,39.59M,,2011-03,0.24,,0.2545,0.22,,2011-03,,,0.2544,2011-03,114.00M,115.14M,0.07,,2011-03,AOR,Restated
2010-12,467.39M,467.39M,259.04M,208.35M,121.92M,25.01M,,-6.79M,3.954M,0.29M,-3.664M,,146.94M,61.42M,0.29M,3.954M,-3.664M,-8.934M,-3.664M,48.82M,3.272M,45.55M,250.01M,,295.56M,23.29M,52.77M,,2010-12,0.39,,0.4444,2.53,,2010-12,,,0.4439,2010-12,116.41M,117.49M,0.07,,2010-12,AOR,Restated
2010-09,419.14M,419.14M,233.36M,185.78M,120.55M,23.81M,,-2.687M,4.185M,0.192M,-3.993M,,144.37M,41.42M,0.192M,4.185M,-3.993M,-2.687M,-3.993M,34.74M,8.192M,26.54M,-13.15M,,13.39M,22.79M,38.92M,,2010-09,0.23,,0.2475,0.11,,2010-09,,,0.2374,2010-09,117.48M,118.21M,0.07,,2010-09,AOR,Restated
2010-06,421.61M,421.61M,232.36M,189.25M,123.25M,22.92M,,-6.053M,3.949M,0.169M,-3.78M,,146.18M,43.08M,0.169M,3.949M,-3.78M,-6.053M,-3.78M,-54.90M,-7.718M,-47.18M,10.46M,,57.64M,23.08M,-50.95M,,2010-06,0.40,,0.4443,0.49,,2010-06,,,0.4440,2010-06,117.36M,118.30M,0.07,,2010-06,AOR,Restated
2010-03,393.62M,393.62M,218.35M,175.27M,121.59M,23.06M,,0.50M,3.803M,0.181M,-3.622M,,144.65M,30.62M,0.181M,3.803M,-3.622M,0.50M,-3.622M,27.50M,7.861M,19.64M,4.755M,,24.39M,20.00M,31.30M,,2010-03,0.17,,0.1670,0.21,,2010-03,,,0.1670,2010-03,117.19M,117.93M,0.07,,2010-03,AOR,Restated
2009-12,428.48M,428.48M,234.63M,193.84M,120.60M,23.65M,,0.837M,3.924M,0.258M,-3.666M,,144.26M,49.59M,0.258M,3.924M,-3.666M,0.837M,-3.666M,46.76M,13.84M,32.92M,7.026M,,39.95M,22.82M,50.68M,,2009-12,0.28,,0.2749,0.35,,2009-12,,,0.2750,2009-12,116.32M,116.90M,0.07,,2009-12,AOR,Restated
2009-09,377.04M,377.04M,208.28M,168.76M,112.76M,23.30M,,-11.59M,3.876M,0.124M,-3.752M,,136.06M,32.70M,0.124M,3.876M,-3.752M,-11.59M,-3.752M,17.35M,4.025M,13.33M,0.261M,,13.59M,13.85M,21.23M,,2009-09,0.11,,0.1866,0.12,,2009-09,,,0.1863,2009-09,116.21M,116.64M,0.07,,2009-09,AOR,Restated
2009-06,438.27M,438.27M,250.20M,188.07M,124.04M,25.81M,,-0.128M,4.229M,0.176M,-4.053M,,149.85M,38.22M,0.176M,4.229M,-4.053M,-0.128M,-4.053M,34.04M,10.80M,23.24M,-1.735M,,21.50M,22.42M,38.27M,,2009-06,0.20,,0.2008,0.19,,2009-06,,,0.2008,2009-06,116.06M,116.27M,0.07,,2009-06,AOR,Restated
2009-03,435.16M,435.16M,246.62M,188.54M,129.14M,26.23M,,-8.574M,4.588M,0.477M,-4.111M,,155.37M,33.17M,0.477M,4.588M,-4.111M,-8.574M,-4.111M,20.48M,5.802M,14.68M,-4.123M,,10.56M,21.68M,25.07M,,2009-03,0.13,,0.1828,0.09,,2009-03,,,0.1827,2009-03,116.41M,116.55M,0.07,,2009-03,AOR,Restated
2008-12,443.90M,443.90M,237.20M,206.69M,118.60M,22.41M,,-23.27M,,,,,141.01M,65.68M,,,,-23.27M,,36.40M,7.558M,28.85M,1.817M,,30.66M,19.54M,38.41M,,2008-12,0.25,,0.4074,0.26,,2008-12,,,0.4067,2008-12,117.17M,117.66M,0.07,,2008-12,,Restated
2008-09,505.12M,505.12M,293.96M,211.16M,131.12M,27.53M,,-7.957M,,,,,158.64M,52.52M,,,,-7.957M,,39.25M,-4.506M,43.76M,8.144M,,51.90M,25.16M,52.52M,,2008-09,0.37,,0.4137,0.44,,2008-09,,,0.4132,2008-09,118.35M,119.61M,0.07,,2008-09,,
2008-06,504.96M,504.96M,289.94M,215.03M,141.75M,28.92M,,0.275M,5.746M,0.827M,-4.919M,,170.67M,44.36M,0.827M,5.746M,-4.919M,0.275M,-4.919M,39.71M,10.12M,29.59M,-5.886M,,23.71M,21.54M,45.46M,,2008-06,0.25,,0.2483,0.20,,2008-06,,,0.2483,2008-06,117.81M,119.26M,0.07,,2008-06,,Restated
2008-03,482.34M,482.34M,284.77M,197.58M,132.08M,29.12M,,-0.35M,,,,,161.20M,36.38M,,,,-0.35M,,31.07M,7.649M,23.42M,-3.285M,,20.14M,22.37M,36.38M,,2008-03,0.20,,0.2022,0.00,,2008-03,,,0.2022,2008-03,117.30M,118.46M,0.07,,2008-03,,
2007-12,511.47M,511.47M,297.90M,213.57M,126.88M,28.77M,,-8.103M,,,,0.00,155.66M,57.92M,,,,-8.103M,,45.68M,-8.929M,54.61M,-2.048M,,52.56M,20.98M,57.92M,,2007-12,0.47,,0.5153,0.45,,2007-12,,,0.5039,2007-12,116.37M,119.85M,0.07,,2007-12,,
2007-09,435.67M,435.67M,257.17M,178.50M,106.41M,27.69M,,-0.803M,,,,,134.10M,44.40M,,,,-0.803M,,40.56M,9.454M,31.10M,-0.357M,,30.74M,19.50M,44.40M,,2007-09,0.26,,0.2652,0.26,,2007-09,,,0.2652,2007-09,117.58M,119.45M,0.07,,2007-09,,
2007-06,437.29M,437.29M,263.31M,173.98M,109.36M,27.32M,,9.785M,,,,-15.35M,121.33M,52.65M,,,,9.785M,,44.67M,11.37M,33.30M,0.384M,,33.69M,19.82M,52.65M,,2007-06,0.28,,0.2187,0.28,,2007-06,,,0.2196,2007-06,118.91M,120.69M,0.07,,2007-06,,
2007-03,402.90M,402.90M,244.21M,158.69M,101.76M,27.84M,,-7.662M,,,,,129.61M,29.08M,,,,-7.662M,,20.38M,5.559M,14.82M,-0.127M,,14.69M,20.54M,29.08M,,2007-03,0.12,,0.1658,0.12,,2007-03,,,0.1652,2007-03,121.68M,123.26M,0.07,,2007-03,,
2006-12,426.99M,426.99M,248.13M,178.85M,99.68M,27.08M,,-0.412M,,,,3.246M,130.00M,48.85M,,,,-0.412M,,50.95M,9.885M,41.07M,0.659M,,41.73M,18.32M,48.85M,,2006-12,0.34,,0.3428,0.34,,2006-12,,,0.3327,2006-12,119.95M,121.22M,0.07,,2006-12,,
2006-09,386.92M,386.92M,230.98M,155.94M,94.66M,24.76M,,0.456M,,,,,119.43M,36.52M,,,,0.456M,,36.74M,7.823M,28.92M,0.838M,,29.75M,17.61M,36.52M,,2006-09,0.23,,0.2271,0.24,,2006-09,,,0.2271,2006-09,124.28M,125.17M,0.07,,2006-09,,
2006-06,377.00M,377.00M,225.41M,151.59M,92.66M,25.04M,,1.795M,,,,-1.505M,116.19M,35.40M,,,,1.795M,,33.88M,7.559M,26.32M,-1.835M,,24.48M,17.00M,35.40M,,2006-06,0.21,,0.1989,0.19,,2006-06,,,0.1991,2006-06,126.12M,127.40M,0.07,,2006-06,,
2006-03,355.45M,355.45M,213.77M,141.69M,89.85M,22.84M,,-0.894M,,,,,112.70M,28.99M,,,,-0.894M,,29.16M,7.145M,22.02M,1.597M,,23.62M,16.55M,28.99M,,2006-03,0.17,,0.1753,0.19,,2006-03,,,0.1752,2006-03,127.92M,129.72M,0.07,,2006-03,,
2005-12,387.66M,387.66M,222.82M,164.84M,88.02M,21.02M,,-55.84M,,,,-1.438M,107.60M,57.24M,,,,-55.84M,,-3.321M,2.78M,-6.101M,193.65M,,187.55M,64.76M,57.24M,,2005-12,-0.05,,0.2064,1.45,,2005-12,,,0.2026,2005-12,130.68M,132.64M,0.07,,2005-12,,
2005-09,359.98M,359.98M,209.70M,150.28M,87.90M,21.68M,,0.81M,,,,-0.461M,109.12M,41.17M,,,,0.81M,,35.12M,8.65M,26.47M,5.364M,,31.83M,21.62M,41.17M,,2005-09,0.20,,0.1953,0.25,,2005-09,,,0.1954,2005-09,129.54M,131.29M,0.07,,2005-09,,
2005-06,368.02M,368.02M,216.89M,151.12M,92.71M,22.08M,,-15.21M,,,,0.397M,115.19M,35.93M,,,,-15.21M,,14.24M,-16.32M,30.56M,-1.664M,,28.90M,19.87M,35.93M,,2005-06,0.24,,0.3107,0.22,,2005-06,,,0.2998,2005-06,129.03M,130.72M,0.07,,2005-06,,
2005-03,358.17M,358.17M,209.88M,148.29M,96.83M,22.59M,,-0.846M,,,,,119.42M,28.87M,,,,-0.846M,,20.62M,5.017M,15.60M,4.227M,,19.83M,18.13M,28.87M,,2005-03,0.12,,0.1250,0.15,,2005-03,,,0.1249,2005-03,128.83M,131.06M,0.07,,2005-03,,
2004-12,400.69M,400.69M,249.22M,151.47M,97.50M,21.61M,,-3.994M,,,,-2.591M,95.86M,55.61M,,,,-3.994M,,41.02M,9.621M,31.39M,6.529M,,37.92M,20.09M,55.61M,,2004-12,0.25,,0.2734,0.29,,2004-12,,,0.2733,2004-12,130.86M,131.46M,0.07,,2004-12,,
2004-09,341.60M,341.60M,198.57M,143.03M,83.43M,20.44M,6.92M,0.398M,,,,,110.78M,32.25M,,,,0.398M,,24.22M,5.825M,18.39M,5.62M,,24.01M,13.96M,32.25M,,2004-09,0.14,,0.1376,0.19,,2004-09,,,0.1377,2004-09,127.56M,129.40M,0.07,,2004-09,,
2004-06,412.08M,412.08M,245.51M,166.57M,97.21M,21.54M,7.077M,-0.944M,,,,,125.83M,40.74M,,,,-0.944M,,30.88M,8.704M,22.18M,-1.344M,,20.84M,19.96M,40.74M,,2004-06,0.17,,0.1753,0.16,,2004-06,,,0.1752,2004-06,127.12M,129.36M,0.07,,2004-06,,
2004-03,392.61M,392.61M,239.98M,152.63M,95.76M,20.20M,7.101M,0.363M,,,,-0.363M,122.70M,29.93M,,,,0.363M,,20.38M,6.128M,14.26M,-0.986M,,13.27M,21.69M,29.93M,,2004-03,0.10,,0.0980,0.10,,2004-03,,,0.0980,2004-03,126.68M,128.93M,0.07,,2004-03,,
2003-12,435.04M,435.04M,251.91M,183.14M,104.68M,21.68M,7.106M,-52.01M,,,,-0.617M,132.85M,50.28M,,,,-52.01M,,39.47M,11.46M,24.77M,3.163M,,27.93M,23.52M,50.28M,,2003-12,0.16,,0.4544,0.22,,2003-12,,,0.4354,2003-12,125.33M,133.97M,0.07,,2003-12,,
