,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,3.002B,3.002B,1.733B,1.269B,447.00M,26.00M,,39.00M,,-39.00M,1.00M,474.00M,795.00M,,39.00M,-39.00M,2.00M,-39.00M,758.00M,191.00M,609.00M,0.00,,-30.00M,579.00M,579.00M,895.00M,98.00M,797.00M,,4.28,0.00,,,4.28,4.28,,4.21,0.00,,,4.21,4.21,,135.00M,137.00M,0.00,,AOR,
2020-09,2.786B,2.786B,1.58B,1.206B,396.00M,27.00M,,42.00M,0.00,-42.00M,65.00M,488.00M,718.00M,0.00,42.00M,-42.00M,77.00M,-42.00M,753.00M,177.00M,591.00M,0.00,,-23.00M,568.00M,568.00M,884.00M,89.00M,795.00M,,4.20,0.00,,,4.20,4.20,,4.14,0.00,,,4.14,4.14,,135.00M,137.00M,0.56,,AOR,
2020-06,1.827B,1.827B,1.221B,606.00M,360.00M,25.00M,,42.00M,1.00M,-41.00M,-62.00M,323.00M,283.00M,1.00M,42.00M,-41.00M,13.00M,-41.00M,255.00M,66.00M,193.00M,0.00,,-8.00M,185.00M,185.00M,386.00M,89.00M,297.00M,,1.38,0.00,,,1.38,1.38,,1.36,0.00,,,1.36,1.36,,134.00M,136.00M,0.56,,AOR,
2020-03,1.822B,1.822B,1.27B,552.00M,347.00M,25.00M,,41.00M,,-41.00M,5.00M,377.00M,175.00M,,41.00M,-41.00M,-16.00M,-41.00M,118.00M,26.00M,106.00M,,,-7.00M,99.00M,99.00M,244.00M,85.00M,159.00M,,0.74,,,,0.74,0.74,,0.73,,,,0.73,0.73,,134.00M,135.00M,0.56,,AOR,
2019-12,1.926B,1.926B,1.264B,662.00M,349.00M,24.00M,,44.00M,2.00M,-42.00M,-74.00M,299.00M,363.00M,2.00M,44.00M,-42.00M,7.00M,-42.00M,328.00M,72.00M,265.00M,0.00,,-12.00M,253.00M,253.00M,454.00M,82.00M,372.00M,,1.88,0.00,,,1.88,1.88,,1.86,0.00,,,1.86,1.86,,131.00M,136.00M,0.53,,AOR,
2019-09,1.956B,1.956B,1.264B,692.00M,362.00M,23.00M,,45.00M,1.00M,-44.00M,-6.00M,379.00M,313.00M,1.00M,45.00M,-44.00M,1.00M,-44.00M,270.00M,62.00M,226.00M,0.00,,-11.00M,215.00M,215.00M,397.00M,82.00M,315.00M,,1.59,0.00,,,1.59,1.59,,1.56,0.00,,,1.56,1.56,,135.00M,137.00M,0.53,,AOR,Restated
2019-06,1.953B,1.953B,1.265B,688.00M,362.00M,25.00M,,46.00M,1.00M,-45.00M,-6.00M,381.00M,307.00M,1.00M,46.00M,-45.00M,3.00M,-45.00M,265.00M,63.00M,219.00M,20.00M,,-13.00M,226.00M,206.00M,392.00M,81.00M,311.00M,,1.52,0.15,,,1.52,1.67,,1.51,0.15,,,1.51,1.66,,135.00M,136.00M,0.53,,AOR,Restated
2019-03,1.891B,1.891B,1.244B,647.00M,384.00M,24.00M,,44.00M,,-44.00M,-9.00M,399.00M,248.00M,,44.00M,-44.00M,9.00M,-44.00M,213.00M,50.00M,176.00M,,,-12.00M,164.00M,164.00M,341.00M,84.00M,257.00M,,1.22,,,,1.22,1.22,,1.20,,,,1.20,1.20,,134.00M,136.00M,0.53,,AOR,Restated
2018-12,1.839B,1.839B,1.235B,604.00M,356.00M,24.00M,,43.00M,0.00,-43.00M,4.00M,384.00M,220.00M,0.00,43.00M,-43.00M,-10.00M,-43.00M,167.00M,40.00M,139.00M,0.00,,-12.00M,127.00M,127.00M,291.00M,81.00M,210.00M,,0.93,0.00,,,0.93,0.93,,0.92,0.00,,,0.92,0.92,,136.00M,139.00M,0.53,,AOR,Restated
2018-09,1.889B,1.889B,1.222B,667.00M,354.00M,22.00M,,42.00M,1.00M,-41.00M,-13.00M,363.00M,304.00M,1.00M,42.00M,-41.00M,3.00M,-41.00M,266.00M,48.00M,227.00M,0.00,,-14.00M,213.00M,213.00M,385.00M,77.00M,308.00M,,1.56,0.00,,,1.56,1.56,,1.53,0.00,,,1.53,1.53,,136.00M,139.00M,0.50,,AOR,Restated
