,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,1.158B,1.158B,1.52B,1.52B,,223.00M,157.00M,,,3.058B,,,,,2.231B,,,2.231B,,2.231B,6.873B,1.167B,8.04B,521.00M,,176.00M,10.97B,14.03B,,,,,,,,1.633B,,2.00M,2.00M,141.00M,143.00M,,1.776B,4.013B,499.00M,4.512B,,,50.00M,82.00M,847.00M,5.441B,7.217B,,2.00M,9.303B,2.841B,5.366B,,,,-21.00M,6.759B,,AOR,
2020-09,1.605B,1.605B,1.421B,1.421B,,205.00M,117.00M,,,3.348B,,,,,2.079B,,,2.079B,,2.079B,6.88B,1.192B,8.072B,480.00M,,164.00M,10.80B,14.14B,,,,,,,,1.686B,,555.00M,555.00M,148.00M,703.00M,,2.389B,4.018B,428.00M,4.446B,,,46.00M,80.00M,782.00M,5.308B,7.697B,,2.00M,8.80B,2.801B,5.161B,,,,-42.00M,6.40B,,AOR,
2020-06,988.00M,988.00M,1.126B,1.126B,,154.00M,112.00M,,,2.38B,,,,,2.027B,,,2.027B,,2.027B,6.789B,1.141B,7.93B,495.00M,,158.00M,10.61B,12.99B,,,,,,,,1.142B,,555.00M,555.00M,146.00M,701.00M,,1.843B,4.02B,416.00M,4.436B,,,50.00M,77.00M,753.00M,5.266B,7.109B,,2.00M,8.307B,2.764B,5.187B,,,,-55.00M,5.831B,,AOR,
2020-03,342.00M,342.00M,972.00M,972.00M,,126.00M,120.00M,,,1.56B,,,,,1.973B,,,1.973B,,1.973B,6.694B,1.138B,7.832B,496.00M,,188.00M,10.49B,12.05B,,,,,,,,981.00M,,3.00M,3.00M,145.00M,148.00M,,1.129B,4.033B,409.00M,4.442B,,,46.00M,76.00M,699.00M,5.217B,6.346B,,2.00M,8.197B,2.738B,5.222B,,,,-58.00M,5.657B,,AOR,
2019-12,1.192B,1.192B,1.063B,1.063B,,123.00M,112.00M,,,2.49B,0.00,25.00M,341.00M,2.894B,518.00M,330.00M,639.00M,4.747B,-2.776B,1.971B,6.619B,1.121B,7.74B,482.00M,,160.00M,10.35B,12.84B,,263.00M,71.00M,27.00M,7.00M,368.00M,585.00M,953.00M,88.00M,804.00M,892.00M,145.00M,1.037B,,1.99B,3.966B,413.00M,4.379B,,,46.00M,76.00M,711.00M,5.166B,7.156B,,2.00M,8.174B,2.722B,5.218B,,,,-39.00M,5.641B,,AOR,
2019-09,434.00M,434.00M,1.117B,1.117B,,112.00M,116.00M,,,1.779B,,,,,1.859B,,,1.859B,,1.859B,6.617B,1.138B,7.755B,474.00M,,152.00M,10.24B,12.02B,,,,,,,,1.059B,,805.00M,805.00M,147.00M,952.00M,,2.011B,3.188B,405.00M,3.593B,,,49.00M,76.00M,685.00M,4.354B,6.365B,,2.00M,7.992B,2.705B,5.039B,,,,-55.00M,5.605B,,AOR,Restated
2019-06,273.00M,273.00M,1.088B,1.088B,,105.00M,100.00M,,,1.566B,,,,,1.818B,,,1.818B,,1.818B,6.605B,1.172B,7.777B,458.00M,,141.00M,10.19B,11.76B,,,,,,,,951.00M,,807.00M,807.00M,146.00M,953.00M,,1.904B,3.169B,413.00M,3.582B,,,50.00M,76.00M,689.00M,4.347B,6.251B,,2.00M,7.849B,2.686B,5.02B,,,,-58.00M,5.459B,,AOR,Restated
2019-03,464.00M,464.00M,1.079B,1.079B,,98.00M,137.00M,,,1.778B,,,,,1.774B,,,1.774B,,1.774B,6.605B,1.20B,7.805B,454.00M,,126.00M,10.16B,11.94B,,,,,,,,1.029B,,1.108B,1.108B,145.00M,1.253B,,2.282B,3.131B,393.00M,3.524B,,,51.00M,77.00M,713.00M,4.314B,6.596B,,2.00M,7.694B,2.671B,5.022B,,,,-55.00M,5.29B,,AOR,Restated
2018-12,135.00M,135.00M,1.012B,1.012B,,99.00M,144.00M,,,1.39B,0.00,29.00M,429.00M,2.704B,,202.00M,606.00M,3.97B,-2.682B,1.288B,6.563B,1.207B,7.77B,436.00M,,119.00M,9.613B,11.00B,,222.00M,71.00M,17.00M,14.00M,324.00M,599.00M,923.00M,98.00M,464.00M,562.00M,0.00,562.00M,,1.485B,3.429B,0.00,3.429B,,,51.00M,77.00M,745.00M,4.251B,5.736B,,2.00M,7.602B,2.667B,4.996B,,,,-59.00M,5.216B,,AOR,Restated
2018-09,263.00M,263.00M,1.097B,1.097B,,95.00M,148.00M,,,1.603B,,,,,,,,,,1.194B,6.447B,1.168B,7.615B,456.00M,,118.00M,9.383B,10.99B,,,,,,,,1.085B,,,304.00M,,304.00M,,1.389B,3.394B,,3.394B,,,48.00M,77.00M,761.00M,4.232B,5.621B,,2.00M,7.546B,2.656B,4.829B,,,,-58.00M,5.317B,,AOR,Restated
2018-06,132.00M,132.00M,1.055B,1.055B,,91.00M,137.00M,,,1.415B,,,,,,,,,,1.168B,6.414B,1.166B,7.58B,456.00M,,128.00M,9.332B,10.75B,,,,,,,,957.00M,,,305.00M,,305.00M,,1.262B,3.408B,,3.408B,,,40.00M,76.00M,738.00M,4.222B,5.484B,,2.00M,7.401B,2.633B,4.756B,,,,-57.00M,5.223B,,AOR,Restated
2018-03,124.00M,124.00M,1.026B,1.026B,,94.00M,127.00M,,,1.371B,,,,,,,,,,1.156B,6.392B,1.174B,7.566B,474.00M,,128.00M,9.324B,10.70B,,,,,,,,976.00M,,,141.00M,,141.00M,,1.117B,3.718B,,3.718B,,,36.00M,77.00M,717.00M,4.512B,5.629B,,2.00M,7.249B,2.616B,4.796B,,,,-41.00M,5.03B,,AOR,Restated
2017-12,137.00M,137.00M,924.00M,924.00M,,95.00M,150.00M,,,1.306B,0.00,29.00M,430.00M,2.528B,,140.00M,544.00M,3.671B,-2.526B,1.145B,6.335B,1.119B,7.454B,462.00M,,136.00M,9.197B,10.50B,,224.00M,61.00M,9.00M,7.00M,301.00M,649.00M,950.00M,71.00M,36.00M,107.00M,,107.00M,,1.057B,3.748B,,3.748B,,,34.00M,80.00M,663.00M,4.491B,5.548B,,2.00M,7.138B,2.612B,4.783B,,,,-48.00M,4.921B,,AOR,Restated
2017-09,350.00M,350.00M,960.00M,960.00M,,100.00M,134.00M,,,1.544B,,,,,,,,,,1.097B,6.164B,1.029B,7.193B,459.00M,,146.00M,8.895B,10.44B,,,,,,,,1.047B,,,5.00M,,5.00M,,1.052B,3.759B,,3.759B,,,34.00M,78.00M,722.00M,4.559B,5.611B,,2.00M,6.946B,2.585B,4.691B,,,,-48.00M,4.794B,,AOR,Restated
