,NetIncome,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,187.80M,3.50M,-2.90M,,0.60M,,,133.90M,133.90M,,,3.40M,34.20M,271.20M,-100.10M,-127.60M,,182.00M,225.50M,,585.40M,2020-09,-20.70M,,,-1.90M,-0.40M,,-23.00M,,-50.20M,-20.40M,-70.60M,25.40M,,25.40M,-86.60M,-86.60M,3.10M,-128.70M,,2020-09,433.70M,38.40M,3.475B,,25.40M,109.40M,-180.00M,,,,,AOR,
2020-06,161.80M,5.90M,-1.30M,,4.60M,,,122.60M,122.60M,,,3.40M,18.00M,486.70M,-107.80M,-103.30M,,107.60M,383.20M,,693.60M,2020-06,-29.30M,,,-5.30M,-0.20M,,-34.80M,,-50.20M,-216.20M,-266.40M,34.30M,,34.30M,-86.10M,-86.10M,-82.20M,-400.40M,,2020-06,258.40M,111.10M,3.003B,,34.30M,733.60M,-1.00B,,,,,AOR,
2020-03,355.40M,-12.40M,0.10M,,-12.30M,,,172.40M,172.40M,,,3.30M,-74.80M,-2.056B,1.866B,206.40M,,-351.70M,-335.40M,,108.60M,2020-03,-29.50M,,,-75.10M,-0.40M,,-105.00M,,575.00M,-266.50M,308.50M,23.90M,,23.90M,-87.40M,-87.40M,-97.10M,147.90M,,2020-03,151.50M,-142.20M,2.633B,,23.90M,2.278B,-1.97B,,,,,AOR,
2019-12,105.60M,3.90M,-13.00M,,-9.10M,,,129.60M,129.60M,,,3.50M,13.80M,397.40M,-351.40M,-53.70M,,114.40M,106.70M,,350.10M,2019-12,-31.10M,,,-314.10M,-51.00M,,-396.20M,,0.00,126.00M,126.00M,18.10M,,18.10M,-81.30M,-81.30M,-53.10M,9.70M,,2019-12,-36.40M,53.00M,2.624B,,18.10M,1.576B,-1.45B,,,,,AOR,
2019-09,137.10M,-1.30M,-0.30M,,-1.60M,,,119.30M,119.30M,,,3.40M,12.90M,276.90M,-236.30M,-57.20M,,95.00M,78.40M,,349.50M,2019-09,-32.40M,,,-214.90M,-0.30M,,-247.60M,,0.00,103.60M,103.60M,18.00M,,18.00M,-80.10M,-80.10M,-32.90M,8.60M,,2019-09,110.50M,-49.80M,2.607B,,18.00M,773.60M,-670.00M,,,,,AOR,Restated
2019-06,121.40M,1.50M,-1.50M,,0.00,,,115.00M,115.00M,,,3.50M,13.40M,176.60M,172.40M,-83.00M,,-3.50M,262.50M,,515.80M,2019-06,-36.00M,,,-555.20M,-0.30M,,-591.50M,,125.00M,70.10M,195.10M,32.30M,,32.30M,-80.10M,-80.10M,-34.60M,112.70M,,2019-06,37.00M,-31.20M,2.547B,,32.30M,1.105B,-910.00M,,,,,AOR,Restated
2019-03,351.70M,2.60M,-57.20M,,-54.60M,,,110.50M,110.50M,,,3.60M,5.80M,-1.286B,912.40M,133.40M,,-273.40M,-513.20M,,-96.20M,2019-03,-39.30M,,,-101.60M,-0.40M,,-141.30M,,600.00M,-25.50M,574.50M,32.80M,,32.80M,-79.60M,-79.60M,-20.30M,507.40M,,2019-03,269.90M,34.10M,2.541B,,32.80M,1.604B,-1.03B,,,,,AOR,Restated
2018-12,127.80M,-0.90M,-0.20M,,-1.10M,,,109.80M,109.80M,,,3.60M,10.50M,-0.80M,38.90M,-57.90M,,29.70M,9.90M,,260.50M,2018-12,-33.60M,,,-207.40M,-15.50M,,-256.50M,,-50.00M,148.90M,98.90M,12.00M,0.00,12.00M,-75.60M,-75.60M,-30.10M,5.20M,,2018-12,9.20M,-32.90M,2.237B,,12.00M,743.90M,-645.00M,0.00,,,,AOR,Restated
2018-09,138.40M,-0.60M,-0.60M,,-1.20M,,,106.20M,106.20M,,,3.70M,-27.20M,315.00M,-376.80M,-77.80M,,111.00M,-28.60M,,191.30M,2018-09,-28.10M,,,-179.60M,-0.40M,,-208.10M,,0.00,48.50M,48.50M,22.20M,0.00,22.20M,-75.30M,-75.30M,-40.20M,-44.80M,,2018-09,-61.60M,-22.60M,2.260B,,22.20M,543.50M,-495.00M,0.00,,,,AOR,Restated
2018-06,123.70M,-2.70M,-5.60M,,-8.30M,,,104.20M,104.20M,,,1.60M,-5.00M,408.10M,116.00M,-118.10M,,-91.30M,314.70M,,530.90M,2018-06,-31.60M,,,-328.20M,1.00M,,-358.80M,,450.00M,-229.20M,220.80M,15.40M,0.00,15.40M,-74.80M,-74.80M,-29.30M,132.10M,,2018-06,304.20M,-68.20M,2.345B,,15.40M,1.436B,-1.215B,0.00,,,,AOR,Restated
2018-03,286.00M,1.30M,-2.00M,,-0.70M,,,98.80M,98.80M,,,4.80M,8.30M,-1.505B,995.60M,119.10M,,-224.10M,-614.80M,,-217.60M,2018-03,-31.10M,,,-55.10M,-0.70M,,-86.90M,,0.00,139.70M,139.70M,32.30M,-11.30M,21.00M,-76.10M,-76.10M,-15.10M,69.50M,,2018-03,-235.00M,38.70M,2.109B,,32.30M,784.70M,-645.00M,-11.30M,,,,AOR,Restated
2017-12,78.50M,-1.50M,1.70M,,0.20M,,,96.60M,96.60M,,,4.40M,-23.30M,752.40M,-585.90M,-49.20M,,-12.70M,104.60M,,261.00M,2017-12,-35.40M,,,-73.10M,-0.30M,,-108.80M,,0.00,97.60M,97.60M,10.20M,-17.70M,-7.50M,-71.10M,-71.10M,-20.20M,-1.20M,,2017-12,151.00M,-26.50M,2.305B,,10.20M,402.60M,-305.00M,-17.70M,-49.00M,-90.30M,,AOR,Restated
2017-09,118.10M,4.50M,0.90M,,5.40M,,,100.10M,100.10M,,,4.40M,12.90M,734.30M,-613.00M,-19.40M,,-10.50M,91.40M,,332.30M,2017-09,-28.20M,,,-88.30M,-2.30M,,-118.80M,,98.00M,-193.70M,-95.70M,15.30M,0.00,15.30M,-70.00M,-70.00M,-15.20M,-165.60M,,2017-09,47.90M,63.70M,2.180B,,15.30M,1.229B,-1.325B,0.00,10.20M,28.40M,,AOR,Restated
