,OperatingRevenue,Revenue,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2020-09,94.61B,94.61B,,5.181B,,-25.00M,1.00B,-1.00B,34.55B,39.71B,1.00B,-1.00B,45.39B,-1.00B,37.93B,7.517B,30.41B,,-276.00M,30.14B,30.16B,2.583B,38.93B,12.66,,,,12.67,12.66,12.66,,,,12.67,12.66,2.380B,2.380B
2020-06,96.92B,96.92B,,4.652B,,-10.63B,1.002B,-1.002B,30.43B,24.45B,1.002B,-1.002B,39.10B,-1.002B,35.41B,9.002B,26.41B,,-112.00M,26.30B,34.23B,2.524B,36.41B,10.88,,,,14.16,10.88,10.88,,,,14.16,10.88,2.418B,2.418B
2020-03,-9.01B,-9.01B,,4.471B,,,1.024B,-1.024B,33.56B,38.03B,1.024B,-1.024B,43.24B,-1.024B,-63.05B,-13.35B,-49.70B,,-49.00M,-49.75B,-49.75B,2.585B,-62.02B,-20.44,,,,-20.44,-20.44,-20.44,,,,-20.44,-20.44,2.434B,2.434B
2019-12,96.68B,96.68B,,5.677B,,,993.00M,-993.00M,35.78B,41.46B,993.00M,-993.00M,46.45B,-993.00M,36.80B,7.571B,29.23B,,-71.00M,29.16B,29.16B,2.657B,37.79B,11.92,,,,11.92,11.92,11.92,,,,11.92,11.92,2.442B,2.442B
2019-09,75.90B,75.90B,,4.384B,,0.00,985.00M,-985.00M,35.94B,40.33B,985.00M,-985.00M,47.17B,-985.00M,20.49B,3.832B,16.66B,,-133.00M,16.52B,16.52B,2.534B,21.47B,6.746,,,,6.746,6.746,6.746,,,,6.746,6.746,2.450B,2.450B
2019-06,73.65B,73.65B,,4.829B,,0.00,992.00M,-992.00M,35.79B,40.62B,992.00M,-992.00M,46.44B,-992.00M,17.76B,3.586B,14.17B,,-100.00M,14.07B,14.07B,2.456B,18.75B,5.739,,,,5.739,5.739,5.739,,,,5.739,5.739,2.452B,2.452B
2019-03,81.00B,81.00B,,4.432B,,,991.00M,-991.00M,34.26B,38.70B,991.00M,-991.00M,44.24B,-991.00M,27.65B,5.915B,21.73B,,-71.00M,21.66B,21.66B,2.417B,28.64B,8.806000000000001,,,,8.806000000000001,8.806000000000001,8.806000000000001,,,,8.806000000000001,8.806000000000001,2.460B,2.460B
2018-12,28.21B,28.21B,,4.804B,,,971.00M,-971.00M,36.07B,40.88B,971.00M,-971.00M,46.06B,-971.00M,-32.72B,-7.33B,-25.39B,,-1.00M,-25.39B,-25.39B,2.61B,-31.75B,-10.29,,,,-10.29,-10.29,-10.32,,,,-10.32,-10.32,2.462B,2.462B
2018-09,78.16B,78.16B,,4.494B,,,950.00M,-950.00M,36.15B,40.64B,950.00M,-950.00M,47.12B,-950.00M,23.15B,4.44B,18.71B,,-167.00M,18.54B,18.54B,2.395B,24.10B,7.52,,,,7.52,7.52,7.52,,,,7.52,7.52,2.465B,2.465B
2018-06,68.56B,68.56B,,4.232B,,,957.00M,-957.00M,35.66B,39.89B,957.00M,-957.00M,46.14B,-957.00M,15.10B,3.021B,12.08B,,-66.00M,12.01B,12.01B,2.387B,16.06B,4.867,,,,4.867,4.867,4.867,,,,4.867,4.867,2.468B,2.468B
2018-03,50.46B,50.46B,,4.708B,,,975.00M,-975.00M,33.84B,38.55B,975.00M,-975.00M,43.42B,-975.00M,-1.523B,-452.00M,-1.071B,,-67.00M,-1.138B,-1.138B,2.387B,-548.00M,-0.4613,,,,-0.4613,-0.4613,-0.4613,,,,-0.4613,-0.4613,2.467B,2.467B
2017-12,58.96B,58.96B,,5.646B,,,586.00M,-586.00M,34.67B,40.32B,586.00M,-586.00M,44.01B,-586.00M,6.391B,-26.26B,32.66B,,-105.00M,32.55B,32.55B,2.353B,6.977B,13.2,,,,13.2,13.2,13.19,,,,13.19,13.19,2.467B,2.467B
2017-09,60.47B,60.47B,,4.496B,,,1.233B,-1.233B,33.86B,38.36B,1.233B,-1.233B,44.48B,-1.233B,5.63B,1.427B,4.203B,,-136.00M,4.067B,4.067B,2.296B,6.863B,1.649,,,,1.649,1.649,1.649,,,,1.649,1.649,2.467B,2.467B
2017-06,57.48B,57.48B,,4.489B,,,1.50B,-1.50B,33.32B,37.81B,1.50B,-1.50B,43.20B,-1.50B,6.129B,1.774B,4.355B,,-93.00M,4.262B,4.262B,2.296B,7.629B,1.7280000000000002,,,,1.7280000000000002,1.7280000000000002,1.7280000000000002,,,,1.7280000000000002,1.7280000000000002,2.467B,2.467B
2017-03,65.14B,65.14B,,4.558B,,,1.067B,-1.067B,31.98B,36.54B,1.067B,-1.067B,41.10B,-1.067B,5.688B,1.549B,4.139B,,-79.00M,4.06B,4.06B,2.243B,6.755B,1.646,,,,1.646,1.646,1.646,,,,1.646,1.646,2.467B,2.467B
