,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,AsOriginallyReported,Restated
2020-09,994.62M,994.62M,329.77M,664.85M,521.51M,22.74M,31.23M,-46.54M,30.54M,-30.54M,,575.48M,89.37M,30.54M,-30.54M,-44.67M,-30.54M,14.17M,-2.797M,16.96M,,16.96M,50.94M,98.68M,53.97M,2020-09,0.19,,,0.5701,2020-09,0.19,,,0.5676,2020-09,89.38M,89.96M,AOR,
2020-06,973.14M,973.14M,322.55M,650.58M,494.84M,22.73M,31.21M,-2.157M,30.30M,-30.30M,,548.78M,101.81M,30.30M,-30.30M,-12.56M,-30.30M,58.96M,3.879M,55.08M,,55.08M,57.09M,143.19M,53.94M,2020-06,0.62,,,0.6426,2020-06,0.61,,,0.6324,2020-06,89.32M,89.78M,AOR,
2020-03,1.019B,1.019B,341.28M,677.61M,496.64M,22.52M,32.18M,-1.56M,26.35M,-26.35M,,551.34M,126.28M,26.35M,-26.35M,-3.075M,-26.35M,96.85M,21.76M,75.10M,,75.10M,76.31M,177.90M,54.70M,2020-03,0.84,,,0.8536,2020-03,0.83,,,0.8434,2020-03,89.22M,90.07M,AOR,
2019-12,1.203B,1.203B,450.87M,752.62M,557.52M,21.49M,32.17M,-5.307M,29.16M,-26.14M,,611.18M,141.45M,29.16M,-26.14M,-4.728M,-26.14M,110.58M,42.88M,67.70M,,67.70M,70.95M,193.40M,53.66M,2019-12,0.76,,,0.7963,2019-12,0.75,,,0.7859,2019-12,89.43M,90.62M,AOR,
2019-09,1.001B,1.001B,365.06M,635.45M,512.16M,20.70M,31.69M,-1.742M,24.07M,-24.07M,,564.56M,70.89M,24.07M,-24.07M,6.282M,-24.07M,53.10M,11.71M,41.39M,,41.39M,42.75M,129.57M,52.40M,2019-09,0.46,,,0.4751,2019-09,0.46,,,0.4749,2019-09,89.85M,90.89M,AOR,Restated
2019-06,1.071B,1.071B,388.00M,682.88M,514.98M,20.10M,32.16M,0.358M,24.75M,-24.75M,,567.24M,115.64M,24.75M,-24.75M,0.111M,-24.75M,91.01M,-12.40M,103.41M,,103.41M,103.14M,168.02M,52.26M,2019-06,1.15,,,1.147,2019-06,1.13,,,1.127,2019-06,90.11M,91.19M,AOR,Restated
2019-03,970.44M,970.44M,346.64M,623.80M,518.77M,19.78M,33.68M,-4.847M,24.85M,-24.85M,,572.23M,51.57M,24.85M,-24.85M,-5.671M,-24.85M,21.05M,0.258M,20.80M,,20.80M,25.58M,99.36M,53.46M,2019-03,0.23,,,0.2833,2019-03,0.23,,,0.2826,2019-03,89.88M,91.00M,AOR,Restated
2018-12,1.089B,1.089B,407.84M,681.04M,488.06M,18.14M,34.38M,-3.908M,27.13M,-24.56M,,540.58M,140.46M,27.13M,-24.56M,-4.934M,-24.56M,110.97M,26.95M,84.02M,,84.02M,86.98M,190.61M,52.52M,2018-12,0.93,,,0.9627,2018-12,0.92,,,0.9522,2018-12,90.40M,91.76M,AOR,Restated
2018-09,910.08M,921.67M,336.11M,585.56M,447.54M,17.34M,50.85M,-4.074M,26.98M,-26.98M,,515.72M,69.84M,26.98M,-26.98M,-4.901M,-26.98M,37.95M,26.20M,11.75M,,11.75M,14.73M,133.12M,68.19M,2018-09,0.13,,,0.1627,2018-09,0.13,,,0.1623,2018-09,90.85M,92.15M,AOR,Restated
2018-06,978.02M,1.001B,367.64M,633.70M,460.80M,16.71M,50.13M,5.498M,37.60M,-37.60M,,527.64M,106.06M,37.60M,-37.60M,6.618M,-37.60M,75.07M,28.80M,46.27M,,46.27M,42.88M,179.51M,66.84M,2018-06,0.51,,,0.4728,2018-06,0.50,,,0.4632,2018-06,91.05M,92.16M,AOR,Restated
