,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-09,16.96M,0.00,0.476M,45.29M,,,53.97M,53.97M,-4.735M,,19.62M,0.00,15.50M,,2.095M,108.00M,-23.31M,48.81M,,,-38.29M,,243.91M,,2020-09,-14.98M,,-14.98M,0.00,,-14.98M,,2020-09,-0.248M,-0.248M,,-2.255M,-2.255M,,4.094M,-43.86M,-42.27M,2020-09,356.63M,186.66M,10.42M,,2020-09,,1.20B,-1.200B,-2.255M,,AOR,
2020-06,55.08M,0.00,,0.00,,,53.94M,53.94M,-27.35M,,20.39M,,15.68M,,14.08M,125.46M,26.86M,175.58M,,,-116.54M,,343.17M,,2020-06,-21.33M,,-21.33M,0.00,,-21.33M,,2020-06,-200.13M,-200.13M,,-0.698M,-0.698M,,4.078M,-10.52M,-207.26M,2020-06,227.85M,114.58M,14.21M,,2020-06,,1.127B,-1.327B,-0.698M,,AOR,
2020-03,75.10M,0.00,,0.00,,,54.70M,54.70M,25.54M,,22.86M,,25.13M,,1.637M,135.66M,-12.66M,-269.47M,,,-2.747M,,55.75M,,2020-03,-24.54M,,-24.54M,0.00,,-24.54M,,2020-03,-0.967M,-0.967M,,-73.16M,-73.16M,,5.641M,,-68.49M,2020-03,280.84M,-37.28M,-15.71M,,2020-03,,0.00,-0.967M,-73.16M,,AOR,
2019-12,67.70M,0.00,,-9.12M,,,53.66M,53.66M,-4.997M,,22.77M,9.12M,11.12M,,1.632M,-281.86M,19.93M,127.68M,,,65.20M,,82.84M,,2019-12,-53.32M,,-53.32M,-23.69M,,-62.89M,,2019-12,0.033M,0.033M,,-57.61M,-57.61M,,4.394M,,-53.18M,2019-12,306.73M,-33.23M,7.342M,,2019-12,,-281.00M,281.03M,-57.61M,,AOR,
2019-09,41.39M,0.00,,0.00,,,52.40M,52.40M,-1.376M,,21.14M,-9.12M,12.95M,,1.627M,74.29M,-17.68M,6.892M,,,37.01M,,219.52M,,2019-09,-36.22M,,-36.22M,0.00,,-36.22M,,2019-09,0.035M,0.035M,,-94.88M,-94.88M,,4.158M,,-90.68M,2019-09,218.45M,92.62M,-4.342M,,2019-09,,28.00M,-27.96M,-94.88M,,AOR,Restated
2019-06,103.41M,0.00,,0.00,,,52.26M,52.26M,-23.88M,,21.62M,,13.12M,,1.622M,62.45M,7.843M,28.97M,,,-39.92M,,227.48M,,2019-06,-39.42M,,-39.42M,0.00,,-39.42M,,2019-06,-120.96M,-120.96M,,-1.719M,-1.719M,,3.994M,,-118.69M,2019-06,149.27M,69.37M,-0.19M,,2019-06,,223.00M,-343.96M,-1.719M,,AOR,Restated
2019-03,20.80M,2.075M,,2.075M,,,53.46M,53.46M,-25.53M,,20.94M,,31.82M,,1.616M,78.39M,8.891M,-218.15M,,,61.30M,,35.60M,,2019-03,-20.06M,,-20.06M,-2.295M,,-22.36M,,2019-03,16.32M,16.32M,,-44.84M,-44.84M,,5.083M,,-23.44M,2019-03,158.66M,-10.20M,0.804M,,2019-03,,35.00M,-18.68M,-44.84M,,AOR,Restated
2018-12,84.02M,-6.947M,,-6.947M,-203.08M,,52.52M,52.52M,6.27M,,,,10.15M,,1.61M,-287.68M,13.84M,134.56M,,,36.80M,,45.15M,,2018-12,-62.24M,,-62.24M,6.07M,,-56.17M,,2018-12,109.32M,109.32M,,-156.43M,-156.43M,,3.555M,,-43.56M,2018-12,213.29M,-54.58M,-0.045M,,2018-12,,0.00,109.32M,-156.43M,,AOR,Restated
2018-09,11.75M,-13.04M,,-13.04M,68.19M,,68.19M,68.19M,13.27M,,,0.00,10.72M,,1.604M,91.46M,18.51M,49.24M,,,-2.441M,,249.26M,,2018-09,-24.50M,,-24.50M,98.31M,,73.81M,,2018-09,-261.68M,-261.68M,,-8.129M,-8.129M,,3.507M,,-266.30M,2018-09,159.96M,56.77M,-3.432M,,2018-09,,0.00,-261.68M,-8.129M,,AOR,Restated
2018-06,46.27M,-25.46M,,-25.46M,66.84M,,66.84M,66.84M,21.16M,,,,14.34M,,8.733M,24.45M,-29.06M,4.517M,,,42.23M,,174.02M,,2018-06,-22.45M,,-22.45M,406.54M,,383.10M,,2018-06,-553.80M,-553.80M,,-67.88M,-67.88M,,3.503M,,-618.17M,2018-06,227.63M,-61.05M,-6.622M,,2018-06,,0.00,-553.80M,-67.88M,,AOR,Restated
