,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,AsOriginallyReported,Restated
2020-09,553.72M,,553.72M,948.86M,23.99M,972.85M,130.90M,,1.865B,,,,984.70M,,984.70M,,984.70M,2.939B,820.99M,3.760B,,230.79M,4.975B,6.841B,,2020-09,,,,,,20.51M,,20.51M,1.711B,1.711B,,2.522B,1.957B,785.70M,2.743B,,26.05M,26.05M,,,512.31M,3.282B,5.803B,,2020-09,0.082M,2.928B,,,-130.21M,1.038B,AOR,
2020-06,356.63M,,356.63M,1.049B,22.70M,1.071B,105.94M,,1.767B,,,,1.012B,,1.012B,,1.012B,2.936B,847.38M,3.783B,,248.05M,5.043B,6.810B,,2020-06,,,,,,38.02M,,38.02M,1.765B,1.765B,,2.539B,1.937B,802.12M,2.739B,,,,,,540.40M,3.280B,5.819B,,2020-06,0.082M,2.927B,,,-142.18M,991.22M,AOR,
2020-03,227.85M,,227.85M,1.149B,,1.149B,156.03M,,1.773B,,,,1.025B,,1.025B,,1.025B,2.928B,864.15M,3.792B,,211.32M,5.028B,6.800B,,2020-03,,,,,,149.00M,,149.00M,1.847B,1.847B,,2.530B,2.035B,813.88M,2.849B,,,,,,530.58M,3.380B,5.910B,,2020-03,0.082M,2.927B,,,-168.97M,890.28M,AOR,
2019-12,280.84M,,280.84M,1.326B,,1.326B,146.03M,,2.019B,0.00,,360.82M,702.92M,275.11M,1.339B,-291.36M,1.047B,2.938B,925.09M,3.863B,79.62M,58.03M,5.133B,7.151B,,2019-12,33.00M,7.878M,358.88M,399.75M,139.72M,139.72M,76.52M,216.23M,1.928B,1.928B,,2.857B,2.044B,832.53M,2.876B,189.81M,24.41M,214.22M,108.62M,,93.34M,3.356B,6.213B,,2019-12,0.082M,2.872B,,,-77.94M,938.59M,AOR,
2019-09,306.73M,,306.73M,1.028B,,1.028B,173.85M,,1.707B,,,,952.88M,,952.88M,,952.88M,2.940B,936.31M,3.876B,,201.93M,5.031B,6.737B,,2019-09,,,,,,130.43M,,130.43M,1.803B,1.803B,,2.527B,2.052B,776.56M,2.828B,,,,,,462.36M,3.290B,5.818B,,2019-09,0.082M,2.806B,,,-81.26M,919.66M,AOR,Restated
2019-06,218.45M,,218.45M,1.113B,,1.113B,148.14M,,1.691B,,,,928.98M,,928.98M,,928.98M,2.930B,973.44M,3.904B,,205.82M,5.039B,6.730B,,2019-06,,,,,,121.15M,,121.15M,1.796B,1.796B,,2.482B,2.059B,768.24M,2.827B,,,,,,456.31M,3.284B,5.766B,,2019-06,0.082M,2.711B,,,-73.48M,963.80M,AOR,Restated
2019-03,149.27M,,149.27M,1.179B,,1.179B,156.42M,,1.716B,,,,905.59M,,905.59M,,905.59M,2.907B,1.016B,3.923B,,170.28M,4.999B,6.715B,,2019-03,,,,,,204.86M,,204.86M,1.838B,1.838B,,2.569B,2.095B,769.16M,2.864B,,,,,,424.95M,3.289B,5.858B,,2019-03,0.082M,2.710B,,,-61.57M,856.90M,AOR,Restated
2018-12,156.37M,,156.37M,1.255B,,1.255B,165.24M,,1.812B,0.00,,295.96M,,218.40M,514.36M,-246.70M,267.66M,2.923B,1.043B,3.966B,34.49M,46.22M,4.390B,6.201B,,2018-12,37.51M,19.72M,325.86M,383.09M,165.58M,165.58M,0.00,165.58M,1.745B,1.745B,,2.621B,2.116B,165.37M,2.281B,214.69M,21.19M,235.88M,96.03M,,50.08M,2.730B,5.351B,,2018-12,0.082M,2.689B,,,-39.87M,850.76M,AOR,Restated
2018-09,211.00M,,211.00M,979.18M,,979.18M,178.44M,,1.535B,,,,,,,,246.06M,2.911B,1.086B,3.997B,,166.83M,4.409B,5.945B,,2018-09,,,,,,93.29M,,93.29M,1.651B,1.651B,,2.344B,2.077B,,2.077B,,,,,,582.21M,2.660B,5.003B,,2018-09,0.082M,2.518B,,,-22.68M,941.55M,AOR,Restated
2018-06,141.80M,,141.80M,1.084B,,1.084B,199.21M,,1.608B,,,,,,,,225.90M,2.975B,1.177B,4.152B,,166.74M,4.544B,6.153B,,2018-06,,,,,,284.01M,,284.01M,1.688B,1.688B,,2.514B,2.147B,,2.147B,,,,,,570.87M,2.718B,5.232B,,2018-06,0.082M,2.512B,,,-24.05M,921.43M,AOR,Restated
