,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-12,280.00M,,,,96.00M,96.00M,5.00M,,30.00M,12.00M,66.00M,5.00M,,-66.00M,,45.00M,50.00M,473.00M,,-159.00M,,-159.00M,,0.00,,-159.00M,,992.00M,,992.00M,,-1.00B,-1.00B,-167.00M,-167.00M,11.00M,-15.00M,-179.00M,,1.666B,135.00M,0.00,1.801B,,,1.00B,-8.00M,-1.00B,,,,AOR,
2020-09,223.00M,,,,99.00M,99.00M,-18.00M,,28.00M,-8.00M,249.00M,-181.00M,,-45.00M,,-50.00M,-27.00M,297.00M,,-111.00M,,-111.00M,,7.00M,,-104.00M,,-13.00M,,-13.00M,,-68.00M,-68.00M,-167.00M,-167.00M,29.00M,-32.00M,-251.00M,,1.724B,-58.00M,0.00,1.666B,,,0.00,-13.00M,-68.00M,,,,AOR,
2020-06,166.00M,,,,100.00M,100.00M,-9.00M,,29.00M,-3.00M,45.00M,-40.00M,,-51.00M,,93.00M,47.00M,388.00M,,-114.00M,,-114.00M,,6.00M,0.00,-108.00M,,44.00M,,44.00M,,-55.00M,-55.00M,-168.00M,-168.00M,3.00M,-1.00M,-177.00M,,1.614B,103.00M,7.00M,1.724B,,,496.00M,-452.00M,-55.00M,,,,AOR,
2020-03,320.00M,,,,94.00M,94.00M,7.00M,,27.00M,8.00M,-48.00M,46.00M,,-14.00M,,-50.00M,-66.00M,390.00M,,-130.00M,,-130.00M,,-12.00M,0.00,-142.00M,,-40.00M,,-40.00M,,-195.00M,-195.00M,-170.00M,-170.00M,31.00M,0.00,-374.00M,,1.746B,-126.00M,-6.00M,1.614B,,,0.00,-40.00M,-195.00M,,,,AOR,
2019-12,318.00M,,,,93.00M,93.00M,8.00M,,27.00M,3.00M,-47.00M,-107.00M,,146.00M,,39.00M,31.00M,480.00M,,-194.00M,,-194.00M,,-41.00M,1.00M,-234.00M,,0.00,,0.00,,-150.00M,-150.00M,-165.00M,-165.00M,30.00M,-4.00M,-289.00M,,1.786B,-43.00M,3.00M,1.746B,,,0.00,0.00,-150.00M,,,,AOR,Restated
2019-09,200.00M,,,,92.00M,92.00M,-12.00M,,26.00M,44.00M,-77.00M,-65.00M,,274.00M,,-26.00M,106.00M,456.00M,,-147.00M,,-147.00M,,-4.00M,,-151.00M,,-147.00M,,-147.00M,,-450.00M,-450.00M,-170.00M,-170.00M,39.00M,-37.00M,-765.00M,,2.251B,-460.00M,-5.00M,1.786B,,,498.00M,-645.00M,-450.00M,,,,AOR,Restated
2019-06,983.00M,,,,134.00M,134.00M,-705.00M,,26.00M,-28.00M,-92.00M,31.00M,,49.00M,,50.00M,38.00M,448.00M,,-151.00M,,-151.00M,,1.242B,114.00M,1.205B,,-271.00M,,-271.00M,,-350.00M,-350.00M,-174.00M,-174.00M,1.00M,-1.00M,-795.00M,,1.391B,858.00M,2.00M,2.251B,,,49.00M,-320.00M,-350.00M,,,,AOR,Restated
2019-03,195.00M,,,,135.00M,135.00M,14.00M,,28.00M,-25.00M,161.00M,96.00M,,-142.00M,,-24.00M,91.00M,438.00M,,-147.00M,,-147.00M,,-6.00M,24.00M,-129.00M,,196.00M,,196.00M,,-327.00M,-327.00M,-178.00M,-178.00M,33.00M,0.00,-276.00M,,1.36B,33.00M,-2.00M,1.391B,,,196.00M,0.00,-327.00M,,,,AOR,Restated
2018-12,384.00M,,,,138.00M,138.00M,-1.00M,,27.00M,-26.00M,144.00M,19.00M,,-420.00M,,23.00M,-234.00M,288.00M,,-127.00M,,-127.00M,,73.00M,0.00,-54.00M,,-499.00M,,-499.00M,,-136.00M,-136.00M,-180.00M,-180.00M,3.00M,-3.00M,-815.00M,,1.945B,-581.00M,-4.00M,1.36B,,,0.00,-499.00M,-136.00M,,,,AOR,Restated
2018-09,450.00M,,,,134.00M,134.00M,2.00M,,18.00M,-18.00M,-9.00M,-66.00M,,164.00M,,-88.00M,1.00M,587.00M,,-177.00M,,-177.00M,,-5.00M,6.00M,-176.00M,,0.00,,0.00,,-150.00M,-150.00M,-181.00M,-181.00M,32.00M,-27.00M,-326.00M,,1.857B,85.00M,3.00M,1.945B,,,0.00,0.00,-150.00M,,,,AOR,Restated
2018-06,461.00M,,,3.00M,137.00M,137.00M,-16.00M,,27.00M,-23.00M,-108.00M,-51.00M,,-31.00M,,69.00M,-121.00M,468.00M,,-96.00M,-2.00M,-98.00M,,-1.277B,26.00M,-1.349B,,-5.00M,,-5.00M,,0.00,0.00,-181.00M,-181.00M,3.00M,-1.00M,-184.00M,,2.93B,-1.065B,-8.00M,1.857B,,,0.00,-5.00M,0.00,,,,AOR,Restated
2018-03,381.00M,0.00,,0.00,143.00M,143.00M,5.00M,,26.00M,6.00M,-21.00M,12.00M,,-12.00M,,18.00M,-3.00M,558.00M,,-69.00M,0.00,-69.00M,,-8.00M,48.00M,-29.00M,,-57.00M,,-57.00M,,0.00,0.00,-179.00M,-179.00M,75.00M,-1.00M,-162.00M,,2.56B,367.00M,3.00M,2.93B,,,0.00,-57.00M,0.00,,,,AOR,Restated
