,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,2.623B,2.623B,1.927B,696.00M,122.00M,221.00M,3.00M,-2.00M,52.00M,0.00,-52.00M,346.00M,350.00M,0.00,52.00M,-52.00M,-7.00M,-52.00M,291.00M,11.00M,280.00M,,280.00M,281.92M,439.00M,96.00M,343.00M,,1.12,,1.128,1.12,,1.12,,1.128,1.12,,249.00M,251.00M,0.67,,AOR,
2020-09,2.314B,2.314B,1.718B,596.00M,118.00M,223.00M,3.00M,-1.00M,50.00M,1.00M,-49.00M,344.00M,252.00M,1.00M,50.00M,-49.00M,18.00M,-49.00M,221.00M,-2.00M,223.00M,,223.00M,223.83M,370.00M,99.00M,271.00M,,0.87,,0.8732,0.87,,0.86,,0.8632,0.86,,257.00M,259.00M,0.65,,AOR,
2020-06,2.517B,2.517B,1.85B,667.00M,112.00M,222.00M,3.00M,-63.00M,49.00M,1.00M,-48.00M,337.00M,330.00M,1.00M,49.00M,-48.00M,-122.00M,-48.00M,160.00M,-6.00M,166.00M,,166.00M,218.29M,309.00M,100.00M,209.00M,,0.65,,0.8519,0.65,,0.64,,0.8396,0.64,,259.00M,262.00M,0.65,,AOR,
2020-03,2.718B,2.718B,1.972B,746.00M,119.00M,246.00M,3.00M,-2.00M,49.00M,4.00M,-45.00M,368.00M,378.00M,4.00M,49.00M,-45.00M,5.00M,-45.00M,338.00M,18.00M,320.00M,,320.00M,321.89M,481.00M,94.00M,387.00M,,1.23,,1.237,1.23,,1.22,,1.227,1.22,,261.00M,263.00M,0.65,,AOR,
2019-12,2.696B,2.696B,1.938B,758.00M,120.00M,250.00M,4.00M,0.00,48.00M,4.00M,-44.00M,374.00M,384.00M,4.00M,48.00M,-44.00M,-4.00M,-44.00M,336.00M,18.00M,318.00M,,318.00M,318.00M,477.00M,93.00M,384.00M,,1.21,,1.21,1.21,,1.20,,1.20,1.20,,262.00M,265.00M,0.65,,AOR,Restated
2019-09,2.578B,2.578B,1.907B,671.00M,122.00M,255.00M,4.00M,-17.00M,55.00M,11.00M,-44.00M,381.00M,290.00M,11.00M,55.00M,-44.00M,-48.00M,-44.00M,198.00M,-2.00M,200.00M,,200.00M,214.11M,345.00M,92.00M,253.00M,,0.75,,0.8030,0.75,,0.74,,0.7923,0.74,,266.00M,270.00M,0.63,,AOR,Restated
2019-06,2.371B,2.371B,1.747B,624.00M,108.00M,241.00M,6.00M,63.00M,55.00M,17.00M,-38.00M,355.00M,269.00M,17.00M,55.00M,-38.00M,60.00M,-38.00M,291.00M,-692.00M,983.00M,,983.00M,930.71M,480.00M,134.00M,346.00M,,3.57,,3.381,3.57,,3.54,,3.351,3.54,,276.00M,276.00M,0.63,,AOR,Restated
2019-03,2.313B,2.313B,1.712B,601.00M,110.00M,238.00M,6.00M,-11.00M,55.00M,21.00M,-34.00M,354.00M,247.00M,21.00M,55.00M,-34.00M,2.00M,-34.00M,215.00M,20.00M,195.00M,,195.00M,204.98M,405.00M,135.00M,270.00M,,0.69,,0.7255,0.69,,0.69,,0.7251,0.69,,281.00M,284.00M,0.63,,AOR,Restated
2018-12,2.715B,2.715B,1.921B,794.00M,120.00M,246.00M,5.00M,-7.00M,56.00M,22.00M,-34.00M,371.00M,423.00M,22.00M,56.00M,-34.00M,9.00M,-34.00M,398.00M,14.00M,384.00M,,384.00M,390.75M,592.00M,138.00M,454.00M,,1.35,,1.374,1.35,,1.34,,1.364,1.34,,285.00M,287.00M,0.63,,AOR,Restated
2018-09,2.991B,2.991B,2.078B,913.00M,115.00M,266.00M,6.00M,-23.00M,58.00M,24.00M,-34.00M,387.00M,526.00M,24.00M,58.00M,-34.00M,-24.00M,-34.00M,468.00M,18.00M,450.00M,,450.00M,472.12M,660.00M,134.00M,526.00M,,1.57,,1.647,1.57,,1.54,,1.616,1.54,,287.00M,292.00M,0.63,,AOR,Restated
