,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,1.799B,,1.799B,801.00M,,801.00M,421.00M,427.00M,470.00M,,1.318B,,,163.00M,4.081B,,,,,,,,10.34B,-8.127B,2.218B,1.237B,40.00M,1.277B,,1.12B,290.00M,4.905B,8.986B,,1.73B,161.00M,,1.891B,499.00M,2.39B,,25.00M,,25.00M,,,,2.621B,5.12B,,5.12B,,,76.00M,,179.00M,5.375B,7.996B,,6.855B,-5.829B,,-36.00M,990.00M,,AOR,
2020-09,1.664B,,1.664B,866.00M,,866.00M,536.00M,365.00M,422.00M,,1.323B,,,141.00M,3.994B,,,,,,,,10.28B,-8.113B,2.167B,1.237B,45.00M,1.282B,,1.125B,294.00M,4.868B,8.862B,,1.795B,167.00M,,1.962B,500.00M,2.462B,,25.00M,,25.00M,,,,2.644B,4.138B,,4.138B,,,78.00M,,181.00M,4.397B,7.041B,,6.814B,-4.947B,,-46.00M,1.821B,,AOR,
2020-06,1.722B,,1.722B,1.115B,,1.115B,451.00M,313.00M,378.00M,,1.142B,,,135.00M,4.114B,0.00,48.00M,1.848B,8.033B,103.00M,283.00M,,10.32B,-8.083B,2.232B,1.237B,58.00M,1.295B,,1.12B,169.00M,4.816B,8.93B,,1.808B,167.00M,,1.975B,490.00M,2.465B,19.00M,19.00M,14.00M,33.00M,,,,2.722B,4.156B,49.00M,4.205B,,,82.00M,,132.00M,4.421B,7.143B,,0.00,-4.904B,6.757B,-66.00M,1.787B,,AOR,
2020-03,1.612B,2.00M,1.614B,1.16B,,1.16B,397.00M,330.00M,375.00M,,1.102B,2.00M,,137.00M,4.015B,,,,,10.28B,,,10.28B,-8.076B,2.20B,1.237B,70.00M,1.307B,18.00M,1.112B,177.00M,4.814B,8.829B,,1.83B,168.00M,,1.998B,525.00M,2.523B,,12.00M,,12.00M,,,,2.69B,4.091B,51.00M,4.142B,,,87.00M,,115.00M,4.347B,7.037B,,6.725B,-4.866B,,-67.00M,1.792B,,AOR,
2019-12,1.744B,,1.744B,1.112B,,1.112B,346.00M,365.00M,437.00M,,1.148B,,,148.00M,4.152B,0.00,,,,,,10.10B,10.10B,-8.046B,2.049B,1.237B,83.00M,1.32B,,1.119B,292.00M,4.78B,8.932B,,1.87B,170.00M,,2.04B,463.00M,2.503B,,6.00M,,6.00M,,,,2.70B,4.135B,,4.135B,,,89.00M,,175.00M,4.402B,7.102B,,6.667B,-4.804B,,-33.00M,1.83B,,AOR,Restated
2019-09,1.784B,2.00M,1.786B,1.065B,,1.065B,352.00M,305.00M,384.00M,,1.041B,2.00M,,137.00M,4.031B,0.00,,,,,,9.994B,9.994B,-8.003B,1.991B,1.237B,97.00M,1.334B,10.00M,1.128B,244.00M,4.707B,8.738B,,1.75B,165.00M,,1.915B,485.00M,2.40B,,,,,,,,2.549B,4.14B,,4.14B,,,98.00M,,178.00M,4.419B,6.968B,,6.61B,-4.80B,,-40.00M,1.77B,,AOR,Restated
2019-06,2.22B,,2.22B,989.00M,,989.00M,336.00M,217.00M,417.00M,,970.00M,,,184.00M,4.363B,0.00,48.00M,1.795B,7.726B,,266.00M,,9.835B,-7.966B,1.869B,1.237B,111.00M,1.348B,,1.114B,191.00M,4.522B,8.885B,,1.42B,170.00M,,1.59B,473.00M,2.063B,,,,,,,,2.232B,4.253B,,4.253B,,,104.00M,,130.00M,4.491B,6.723B,,0.00,-4.349B,6.545B,-34.00M,2.162B,,AOR,Restated
2019-03,1.388B,,1.388B,897.00M,,897.00M,330.00M,260.00M,411.00M,,1.001B,,,201.00M,3.487B,,,,,,,,9.736B,-7.914B,1.822B,1.237B,129.00M,1.366B,1.318B,416.00M,187.00M,5.109B,8.596B,,1.31B,,,1.31B,691.00M,2.001B,,,,,,,,2.146B,4.522B,,4.522B,,,112.00M,,122.00M,4.761B,6.907B,,6.518B,-4.808B,,-21.00M,1.689B,,AOR,Restated
2018-12,1.357B,,1.357B,1.058B,,1.058B,337.00M,281.00M,479.00M,,1.097B,,,164.00M,3.676B,,,,,,,,9.689B,-7.866B,1.823B,1.237B,149.00M,1.386B,1.30B,416.00M,188.00M,5.113B,8.789B,,1.442B,178.00M,,1.62B,516.00M,2.136B,,,,,,,,2.30B,4.324B,,4.324B,,,117.00M,,108.00M,4.555B,6.855B,,6.457B,-4.502B,,-21.00M,1.934B,,AOR,Restated
2018-09,1.942B,,1.942B,1.202B,,1.202B,325.00M,375.00M,416.00M,,1.116B,,,263.00M,4.523B,0.00,,,,,,9.586B,9.586B,-7.797B,1.789B,1.237B,169.00M,1.406B,1.259B,416.00M,185.00M,5.055B,9.578B,,1.776B,180.00M,,1.956B,546.00M,2.502B,,499.00M,,499.00M,,,,3.175B,4.322B,,4.322B,,,122.00M,,102.00M,4.557B,7.732B,,6.427B,-4.569B,,-12.00M,1.846B,,AOR,Restated
