,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,,Liabilities(Quarterly),AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,9.094B,611.00M,9.705B,9.295B,,9.295B,1.798B,275.00M,2.062B,4.135B,925.00M,,,24.06B,,,,,,,44.12B,-24.39B,19.73B,18.60B,19.19B,37.79B,2.752B,,4.357B,3.357B,,2020-09,19.32B,,,,19.32B,,19.32B,,,6.692B,,6.692B,,26.01B,37.88B,37.88B,4.217B,4.217B,112.00M,,78.45B,,2020-09,23.00M,63.01B,,,,-15.36B,13.48B,,2020-09,AOR,
2020-06,8.927B,196.00M,9.123B,8.78B,,8.78B,1.869B,344.00M,2.101B,4.314B,972.00M,,,23.19B,,,,,,,43.02B,-23.83B,19.19B,17.84B,19.00B,36.84B,2.715B,,4.351B,3.243B,,2020-06,17.22B,,,,17.22B,,17.22B,,,6.607B,,6.607B,,23.83B,38.37B,38.37B,4.203B,4.203B,96.00M,,76.94B,,2020-06,23.00M,62.14B,,,,-15.78B,12.49B,,2020-06,AOR,
2020-03,11.09B,158.00M,11.25B,8.477B,,8.477B,1.502B,277.00M,1.821B,3.60B,944.00M,,,24.27B,,,,,,,42.70B,-23.72B,18.98B,15.46B,15.98B,31.44B,2.719B,,4.357B,3.294B,,2020-03,16.20B,,,,16.20B,,16.20B,,,5.882B,,5.882B,,22.08B,35.36B,35.36B,4.06B,4.06B,94.00M,,71.50B,,2020-03,23.00M,61.92B,,,,-15.06B,13.46B,,2020-03,AOR,
2019-12,5.509B,229.00M,5.738B,6.447B,1.48B,7.822B,1.395B,200.00M,1.743B,3.338B,747.00M,0.00,,17.64B,0.00,1.13B,9.314B,29.39B,1.548B,3.169B,44.55B,-23.70B,20.85B,15.50B,16.04B,31.54B,2.683B,85.00M,4.506B,385.00M,,2019-12,8.013B,1.351B,,58.00M,9.422B,2.765B,12.19B,,2.92B,2.92B,442.00M,3.362B,3.077B,20.46B,29.15B,29.15B,4.091B,4.091B,82.00M,,63.68B,,2019-12,23.00M,61.95B,,,,-14.30B,14.79B,,2019-12,AOR,
2019-09,5.494B,287.00M,5.781B,8.849B,,8.735B,1.509B,316.00M,1.842B,3.667B,888.00M,127.00M,,19.20B,,,,,,,40.64B,-23.06B,17.59B,15.34B,15.81B,31.15B,2.69B,,4.34B,2.48B,,2019-09,17.21B,,,,17.21B,,17.21B,,,2.924B,,2.924B,,20.13B,29.63B,29.63B,3.643B,3.643B,95.00M,,63.22B,,2019-09,23.00M,61.51B,,,,-15.13B,14.13B,,2019-09,AOR,Restated
2019-06,3.293B,291.00M,3.584B,8.615B,,8.502B,1.589B,384.00M,2.015B,3.988B,988.00M,150.00M,,17.21B,,,,,,,40.26B,-22.82B,17.44B,15.63B,15.58B,31.21B,2.51B,,4.353B,2.354B,,2019-06,16.46B,,,,16.46B,,16.46B,,,3.473B,,3.473B,,19.93B,27.71B,27.71B,3.658B,3.658B,85.00M,,61.05B,,2019-06,23.00M,60.75B,,,,-14.98B,13.95B,,2019-06,AOR,Restated
2019-03,5.072B,289.00M,5.361B,7.717B,,7.604B,1.438B,257.00M,1.859B,3.554B,1.208B,190.00M,,17.92B,,,,,,,40.24B,-22.70B,17.55B,14.94B,15.98B,30.92B,2.476B,,4.361B,2.242B,,2019-03,15.80B,,,,15.80B,,15.80B,,,3.291B,,3.291B,,19.09B,28.46B,28.46B,3.619B,3.619B,94.00M,,61.17B,,2019-03,23.00M,60.06B,,,,-14.66B,14.20B,,2019-03,AOR,Restated
2018-12,8.721B,272.00M,8.993B,6.079B,1.164B,7.142B,1.312B,178.00M,1.638B,3.128B,633.00M,1.997B,,21.89B,0.00,1.078B,8.941B,27.72B,,2.43B,40.16B,-22.58B,17.59B,14.81B,15.82B,30.63B,2.409B,86.00M,4.476B,293.00M,,2018-12,7.213B,1.329B,,1.997B,10.54B,2.541B,13.08B,,4.026B,4.026B,0.00,4.026B,3.277B,22.14B,28.30B,28.30B,3.499B,3.499B,84.00M,,63.05B,,2018-12,23.00M,59.95B,,,,-15.12B,14.52B,,2018-12,AOR,Restated
2018-09,11.99B,1.907B,13.90B,8.095B,,7.975B,1.401B,164.00M,1.577B,3.142B,827.00M,,,25.84B,,,,,,,38.88B,-22.34B,16.54B,14.33B,13.47B,27.80B,2.394B,,,1.057B,,2018-09,15.23B,,,,15.23B,,15.23B,,,4.474B,,4.474B,,19.70B,30.64B,30.64B,3.358B,3.358B,103.00M,,63.24B,,2018-09,24.00M,54.40B,,,,-14.25B,10.29B,,2018-09,AOR,Restated
2018-06,13.86B,4.271B,18.13B,7.965B,,7.841B,1.52B,231.00M,1.74B,3.491B,909.00M,,,30.37B,,,,,,,38.97B,-22.21B,16.76B,14.54B,13.68B,28.22B,2.401B,,,977.00M,,2018-06,14.60B,,,,14.60B,,14.60B,,,9.955B,,9.955B,,24.56B,30.64B,30.64B,3.346B,3.346B,110.00M,,68.51B,,2018-06,24.00M,53.22B,,,,-13.58B,10.11B,,2018-06,AOR,Restated
2018-03,13.44B,7.167B,20.61B,7.312B,,7.171B,1.406B,200.00M,1.729B,3.335B,1.931B,,,33.05B,,,,,,,39.38B,-22.24B,17.14B,14.80B,13.84B,28.64B,2.115B,,,946.00M,,2018-03,14.28B,,,,14.28B,,14.28B,,,11.60B,,11.60B,,25.88B,31.93B,31.93B,3.231B,3.231B,102.00M,,70.90B,,2018-03,24.00M,52.73B,,,,-12.72B,10.88B,,2018-03,AOR,Restated
2017-12,10.61B,8.90B,19.51B,5.956B,1.197B,7.024B,1.344B,167.00M,1.436B,2.947B,1.546B,0.00,,31.03B,0.00,1.148B,8.796B,27.02B,,2.144B,39.11B,-21.87B,17.24B,14.74B,13.84B,28.58B,2.042B,59.00M,134.00M,346.00M,,2017-12,6.727B,1.161B,,,7.888B,2.39B,10.28B,1.385B,4.10B,5.485B,,5.485B,2.954B,20.50B,33.80B,33.80B,3.242B,3.242B,92.00M,,68.82B,,2017-12,65.00M,52.84B,41.00M,,,-13.06B,10.89B,,2017-12,AOR,Restated
2017-09,10.24B,8.035B,18.28B,8.069B,,7.923B,1.452B,236.00M,1.563B,3.251B,745.00M,,,30.20B,,,,,,,38.75B,-21.79B,16.96B,14.75B,13.84B,28.58B,1.95B,,,771.00M,,2017-09,14.64B,,,,14.64B,,14.64B,,,7.717B,,7.717B,,22.36B,31.45B,31.45B,4.419B,4.419B,116.00M,,65.05B,,2017-09,65.00M,54.70B,41.00M,,,-12.88B,13.30B,,2017-09,AOR,Restated
2017-06,10.28B,6.878B,17.16B,7.68B,,7.543B,1.537B,312.00M,1.763B,3.612B,933.00M,,,29.25B,,,,,,,37.97B,-21.22B,16.74B,14.66B,13.73B,28.38B,1.962B,,,608.00M,,2017-06,13.83B,,,,13.83B,,13.83B,,,8.279B,,8.279B,,22.11B,31.20B,31.20B,4.429B,4.429B,126.00M,,64.41B,,2017-06,65.00M,53.71B,41.00M,,,-13.17B,12.40B,,2017-06,AOR,Restated
2017-03,9.528B,6.461B,15.99B,6.987B,,6.848B,1.429B,220.00M,1.633B,3.282B,1.031B,,,27.15B,,,,,,,37.37B,-20.72B,16.65B,14.58B,13.60B,28.18B,2.003B,,,639.00M,,2017-03,13.07B,,,,13.07B,,13.07B,,,8.577B,,8.577B,,21.64B,30.08B,30.08B,4.521B,4.521B,114.00M,,62.94B,,2017-03,65.00M,52.76B,41.00M,,,-13.42B,11.57B,,2017-03,AOR,Restated
2016-12,9.158B,6.967B,16.12B,5.709B,1.119B,6.694B,1.315B,150.00M,1.258B,2.723B,908.00M,,,26.45B,0.00,1.153B,8.306B,25.28B,,2.082B,36.82B,-20.23B,16.59B,14.43B,13.43B,27.86B,1.95B,105.00M,140.00M,338.00M,,2016-12,6.158B,1.097B,,,7.255B,2.444B,9.699B,2.257B,4.635B,6.892B,,6.892B,2.774B,21.14B,30.05B,30.05B,4.434B,4.434B,104.00M,,62.29B,,2016-12,65.00M,52.52B,41.00M,,,-13.92B,11.10B,,2016-12,AOR,Restated
2016-09,10.26B,4.524B,14.78B,7.902B,,7.745B,1.438B,228.00M,1.454B,3.12B,1.454B,,,27.10B,,,,,,,36.60B,-20.30B,16.30B,14.39B,13.28B,27.68B,1.975B,,,843.00M,,2016-09,14.30B,,,,14.30B,,14.30B,,,6.284B,,6.284B,,20.59B,29.32B,29.32B,5.18B,5.18B,116.00M,,61.18B,,2016-09,65.00M,52.20B,41.00M,,,-12.83B,12.60B,,2016-09,AOR,Restated
2016-06,9.646B,3.733B,13.38B,7.641B,,7.495B,1.512B,325.00M,1.65B,3.487B,1.517B,,,25.88B,,,,,,,36.23B,-20.01B,16.22B,14.40B,13.35B,27.74B,2.002B,,,867.00M,,2016-06,13.68B,,,,13.68B,,13.68B,,,4.774B,,4.774B,,18.46B,30.85B,30.85B,5.156B,5.156B,128.00M,,60.34B,,2016-06,65.00M,51.30B,41.00M,,,-12.81B,12.25B,,2016-06,AOR,Restated
2016-03,8.124B,4.02B,12.14B,6.843B,,6.707B,1.418B,277.00M,1.524B,3.219B,1.896B,,,23.97B,,,,,,,35.66B,-19.56B,16.10B,14.13B,13.05B,27.18B,1.935B,,,832.00M,,2016-03,12.82B,,,,12.82B,,12.82B,,,4.018B,,4.018B,,16.84B,31.07B,31.07B,5.067B,5.067B,120.00M,,58.79B,,2016-03,65.00M,50.38B,41.00M,,,-13.57B,11.11B,,2016-03,AOR,Restated
2015-12,9.096B,2.913B,12.01B,5.497B,1.07B,6.437B,1.312B,161.00M,1.247B,2.72B,1.865B,,,23.03B,0.00,1.184B,8.061B,24.76B,,1.738B,35.75B,-19.43B,16.32B,14.18B,13.08B,27.26B,2.311B,140.00M,159.00M,391.00M,,2015-12,5.546B,1.041B,,,6.587B,2.319B,8.906B,770.00M,3.301B,4.071B,,4.071B,2.842B,17.58B,29.21B,29.21B,4.959B,4.959B,107.00M,,57.64B,,2015-12,65.00M,50.47B,41.00M,,,-13.32B,11.92B,,2015-12,AOR,Restated
2015-09,8.698B,1.981B,10.68B,7.806B,,7.666B,1.41B,279.00M,1.435B,3.124B,1.345B,,,22.81B,,,,,,,35.39B,-19.26B,16.13B,14.41B,13.39B,27.80B,2.285B,,,872.00M,,2015-09,13.55B,,,,13.55B,,13.55B,,,5.525B,,5.525B,,19.07B,26.32B,26.32B,5.019B,5.019B,118.00M,,56.32B,,2015-09,65.00M,49.77B,41.00M,,,-12.51B,13.46B,,2015-09,AOR,Restated
2015-06,7.562B,2.017B,9.579B,7.976B,,7.826B,1.848B,389.00M,1.694B,3.931B,1.733B,,,23.07B,,,,,,,36.08B,-19.34B,16.74B,14.91B,14.03B,28.94B,2.626B,,,888.00M,,2015-06,13.16B,,,,13.16B,,13.16B,,,8.383B,,8.383B,,21.55B,23.08B,23.08B,5.269B,5.269B,132.00M,,55.80B,,2015-06,66.00M,50.27B,41.00M,,,-11.10B,16.33B,,2015-06,AOR,Restated
2015-03,6.41B,2.085B,8.495B,7.10B,,6.963B,1.567B,274.00M,1.621B,3.462B,2.002B,,,20.92B,,,,,,,35.62B,-18.94B,16.68B,14.68B,13.76B,28.44B,2.626B,,,960.00M,,2015-03,12.16B,,,,12.16B,,12.16B,,,7.962B,,7.962B,,20.13B,22.40B,22.40B,5.224B,5.224B,120.00M,,53.64B,,2015-03,66.00M,49.34B,41.00M,,,-11.57B,15.87B,,2015-03,AOR,Restated
2014-12,6.134B,2.592B,8.726B,5.817B,971.00M,6.651B,1.593B,173.00M,1.377B,3.143B,2.143B,,,20.66B,0.00,1.288B,8.114B,25.15B,,1.752B,36.30B,-19.06B,17.24B,14.96B,14.09B,29.05B,2.689B,93.00M,179.00M,447.00M,,2014-12,5.127B,1.009B,,,6.136B,2.222B,8.358B,746.00M,4.33B,5.076B,,5.076B,2.912B,18.09B,23.82B,23.82B,5.304B,5.304B,110.00M,,52.96B,,2014-12,66.00M,49.09B,41.00M,,,-10.67B,17.44B,,2014-12,AOR,Restated
2014-09,7.282B,5.624B,12.91B,8.53B,,8.376B,1.832B,261.00M,1.691B,3.784B,1.524B,,,26.59B,,,,,,,37.37B,-19.44B,17.93B,16.22B,15.50B,31.72B,1.946B,,,2.276B,,2014-09,13.59B,,,,13.59B,,13.59B,,,9.253B,,9.253B,,22.84B,23.49B,23.49B,5.87B,5.87B,116.00M,,57.28B,,2014-09,66.00M,48.76B,41.00M,,,-6.146B,23.07B,,2014-09,AOR,Restated
2014-06,7.607B,3.692B,11.30B,8.626B,,8.47B,1.965B,341.00M,1.888B,4.194B,1.832B,,,25.80B,,,,,,,37.38B,-19.20B,18.17B,16.46B,15.79B,32.25B,1.902B,,,2.315B,,2014-06,12.99B,,,,12.99B,,12.99B,,,7.242B,,7.242B,,20.23B,25.61B,25.61B,6.072B,6.072B,129.00M,,56.83B,,2014-06,66.00M,47.75B,41.00M,,,-5.481B,23.47B,,2014-06,AOR,Restated
2014-03,9.839B,247.00M,10.09B,7.415B,,7.262B,1.794B,235.00M,1.719B,3.748B,2.189B,,,23.28B,,,,,,,36.78B,-18.65B,18.13B,16.31B,15.65B,31.96B,1.89B,,,2.233B,,2014-03,11.62B,,,,11.62B,,11.62B,,,7.832B,,7.832B,,19.46B,24.24B,24.24B,6.092B,6.092B,120.00M,,54.60B,,2014-03,66.00M,46.77B,41.00M,,,-5.94B,22.77B,,2014-03,AOR,Restated
2013-12,9.375B,303.00M,9.678B,6.178B,921.00M,6.954B,1.732B,168.00M,1.509B,3.409B,2.162B,,,22.20B,0.00,1.34B,8.375B,25.42B,,1.831B,36.96B,-18.39B,18.58B,16.61B,16.04B,32.65B,2.623B,105.00M,214.00M,419.00M,,2013-12,4.874B,899.00M,,,5.773B,2.245B,8.018B,2.924B,2.382B,5.306B,,5.306B,2.726B,17.84B,24.33B,24.33B,5.986B,5.986B,110.00M,,53.09B,,2013-12,66.00M,46.42B,41.00M,,,-5.127B,24.28B,,2013-12,AOR,Restated
2013-09,9.204B,355.00M,9.559B,8.243B,,8.088B,1.791B,253.00M,1.694B,3.738B,1.546B,,,22.93B,,,,,,,35.91B,-17.84B,18.07B,16.53B,15.96B,32.50B,1.823B,,,1.492B,,2013-09,12.21B,,998.00M,,13.21B,,13.21B,,,5.256B,,5.256B,,18.47B,24.29B,24.29B,5.047B,5.047B,116.00M,,54.41B,,2013-09,67.00M,45.55B,41.00M,,,-6.907B,22.29B,,2013-09,AOR,Restated
2013-06,7.793B,346.00M,8.139B,8.145B,,7.981B,1.91B,351.00M,1.87B,4.131B,1.712B,,,21.96B,,,,,,,35.96B,-17.57B,18.39B,16.72B,16.17B,32.89B,1.839B,,,1.568B,,2013-06,12.10B,,763.00M,,12.86B,,12.86B,,,6.298B,,6.298B,,19.16B,23.21B,23.21B,5.10B,5.10B,106.00M,,53.89B,,2013-06,67.00M,44.52B,41.00M,,,-6.275B,22.66B,,2013-06,AOR,Restated
2013-03,6.715B,296.00M,7.011B,7.398B,,7.234B,1.846B,265.00M,1.809B,3.92B,1.745B,,,19.91B,,,,,,,36.21B,-17.37B,18.84B,16.92B,16.40B,33.32B,1.676B,,,1.606B,,2013-03,11.24B,,575.00M,,11.82B,,11.82B,,,6.175B,,6.175B,,17.99B,23.22B,23.22B,5.051B,5.051B,113.00M,,52.89B,,2013-03,67.00M,43.40B,41.00M,,,-5.607B,22.35B,,2013-03,AOR,Restated
2012-12,6.297B,322.00M,6.619B,6.215B,983.00M,7.041B,1.875B,173.00M,1.533B,3.581B,1.479B,,,18.72B,0.00,1.89B,7.792B,24.74B,,1.737B,36.16B,-17.03B,19.14B,16.97B,16.52B,33.50B,2.351B,136.00M,195.00M,542.00M,,2012-12,4.451B,838.00M,371.00M,,5.66B,2.187B,7.847B,1.101B,3.714B,4.815B,,4.815B,2.722B,17.09B,23.54B,23.54B,5.063B,5.063B,105.00M,,52.24B,,2012-12,67.00M,43.16B,41.00M,,,-5.487B,22.29B,,2012-12,AOR,Restated
2012-09,5.309B,402.00M,5.711B,7.998B,,7.998B,1.93B,253.00M,1.722B,3.905B,1.656B,,,19.27B,,,,,,,34.92B,-16.39B,18.53B,16.70B,16.31B,33.01B,1.585B,,,1.621B,,2012-09,11.72B,,287.00M,,12.01B,,12.01B,,,4.211B,,4.211B,,16.22B,23.73B,23.73B,4.93B,4.93B,145.00M,,52.43B,,2012-09,72.00M,42.33B,41.00M,,,-6.086B,21.44B,,2012-09,AOR,Restated
2012-06,3.863B,330.00M,4.193B,7.721B,,7.721B,1.991B,351.00M,1.932B,4.274B,1.845B,,,18.03B,,,,,,,34.27B,-15.76B,18.51B,16.46B,16.21B,32.66B,1.562B,,,1.617B,,2012-06,11.15B,,78.00M,,11.23B,,11.23B,,,7.038B,,7.038B,,18.27B,21.29B,21.29B,4.867B,4.867B,138.00M,,51.80B,,2012-06,72.00M,41.27B,41.00M,,,-6.636B,20.46B,,2012-06,AOR,Restated
2012-03,3.485B,328.00M,3.813B,7.158B,,7.158B,2.071B,302.00M,1.841B,4.214B,2.393B,,,17.58B,,,,,,,36.19B,-16.19B,20.00B,17.21B,17.05B,34.26B,1.515B,,,1.032B,,2012-03,11.18B,,149.00M,,11.33B,,11.33B,,,5.656B,,5.656B,,16.98B,22.05B,22.05B,5.075B,5.075B,313.00M,,51.44B,,2012-03,72.00M,40.63B,41.00M,,,-4.464B,22.64B,,2012-03,AOR,Restated
2011-12,4.067B,358.00M,4.425B,6.036B,1.033B,6.912B,1.883B,207.00M,1.737B,3.827B,2.277B,,,17.44B,0.00,1.951B,7.565B,23.80B,,1.826B,35.14B,-15.44B,19.70B,16.80B,16.44B,33.24B,1.566B,159.00M,186.00M,522.00M,,2011-12,4.083B,813.00M,192.00M,,5.088B,2.105B,7.193B,2.973B,3.232B,6.205B,,6.205B,2.985B,18.15B,20.57B,20.57B,4.995B,4.995B,311.00M,,51.98B,,2011-12,67.00M,40.32B,41.00M,,,-6.229B,20.59B,,2011-12,AOR,Restated
