,NetIncome,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,1.353B,,,46.00M,46.00M,496.00M,496.00M,50.00M,,80.00M,,-1.57B,-162.00M,-383.00M,-347.00M,-872.00M,,,,-1.764B,,,2018-03,-352.00M,9.00M,9.00M,,6.00M,1.733B,,,2018-03,0.00,4.29B,4.29B,,-493.00M,-493.00M,-2.00M,-2.00M,-1.16B,-1.16B,-78.00M,2.682B,,2018-03,2.769B,49.00M,13.48B,,2018-03,,4.291B,-495.00M,,2018-03,AOR,Restated
2017-12,-695.00M,,,80.00M,80.00M,765.00M,765.00M,2.786B,,86.00M,,3.00M,797.00M,256.00M,139.00M,-274.00M,,,,918.00M,,,2017-12,-1.495B,98.00M,98.00M,,108.00M,-856.00M,20.00M,,2017-12,2.834B,-2.565B,269.00M,,-536.00M,-536.00M,-1.00M,-1.00M,,-1.148B,-61.00M,-1.411B,,2017-12,407.00M,-29.00M,10.66B,,2017-12,,2.472B,-537.00M,,2017-12,AOR,Restated
2017-09,2.156B,,,49.00M,49.00M,573.00M,573.00M,154.00M,,63.00M,,-91.00M,-266.00M,402.00M,131.00M,665.00M,,,,932.00M,,,2017-09,-596.00M,52.00M,52.00M,,-5.00M,-1.159B,1.00M,,2017-09,-2.253B,1.69B,-563.00M,,-522.00M,-522.00M,-2.00M,-2.00M,,-1.149B,-37.00M,-2.193B,,2017-09,-64.00M,40.00M,10.28B,,2017-09,,1.552B,-524.00M,,2017-09,AOR,Restated
2017-06,2.118B,,,48.00M,48.00M,554.00M,554.00M,1.00M,,71.00M,,-165.00M,-605.00M,-313.00M,49.00M,686.00M,,,,-183.00M,,,2017-06,-561.00M,18.00M,18.00M,,98.00M,-402.00M,7.00M,,2017-06,3.274B,-2.602B,672.00M,,-498.00M,-498.00M,-1.00M,-1.00M,,-1.077B,-6.00M,-839.00M,,2017-06,765.00M,-7.00M,10.30B,,2017-06,,1.152B,-499.00M,,2017-06,AOR,Restated
2017-03,1.329B,,,44.00M,44.00M,477.00M,477.00M,129.00M,,72.00M,,-90.00M,-128.00M,-513.00M,-299.00M,-1.214B,,,,-2.154B,,,2017-03,-317.00M,12.00M,12.00M,,5.00M,568.00M,1.00M,,2017-03,-752.00M,2.424B,1.672B,,-444.00M,-444.00M,-1.00M,-1.00M,,-1.098B,-117.00M,257.00M,,2017-03,333.00M,43.00M,9.545B,,2017-03,,2.424B,-445.00M,,2017-03,AOR,Restated
2016-12,1.417B,,,310.00M,310.00M,757.00M,757.00M,167.00M,,94.00M,,-289.00M,952.00M,306.00M,151.00M,-26.00M,,,,1.383B,,,2016-12,-1.474B,40.00M,40.00M,,-187.00M,-2.496B,-2.00M,,2016-12,1.939B,-532.00M,1.407B,,-921.00M,-921.00M,-4.00M,-4.00M,,-1.083B,-45.00M,-596.00M,,2016-12,-876.00M,-234.00M,9.169B,,2016-12,,3.946B,-925.00M,,2016-12,AOR,Restated
2016-09,2.004B,,,67.00M,67.00M,567.00M,567.00M,166.00M,,67.00M,,-42.00M,-252.00M,374.00M,61.00M,705.00M,,,,888.00M,,,2016-09,-647.00M,12.00M,12.00M,,-11.00M,-785.00M,8.00M,,2016-09,821.00M,-750.00M,71.00M,,-750.00M,-750.00M,-1.00M,-1.00M,,-1.084B,-37.00M,-1.679B,,2016-09,615.00M,-5.00M,10.26B,,2016-09,,74.00M,-751.00M,,2016-09,AOR,Restated
2016-06,2.013B,,,64.00M,64.00M,563.00M,563.00M,100.00M,,54.00M,,-94.00M,-700.00M,-225.00M,53.00M,974.00M,,,,102.00M,,,2016-06,-530.00M,22.00M,22.00M,,16.00M,295.00M,1.00M,,2016-06,-1.832B,2.348B,516.00M,,-710.00M,-710.00M,0.00,0.00,,-1.022B,-5.00M,-1.093B,,2016-06,1.513B,9.00M,9.646B,,2016-06,,2.35B,-710.00M,,2016-06,AOR,Restated
2016-03,945.00M,,,60.00M,60.00M,481.00M,481.00M,19.00M,,69.00M,,208.00M,-349.00M,-530.00M,-255.00M,-343.00M,,,,-1.477B,,,2016-03,-389.00M,25.00M,25.00M,,55.00M,-1.103B,,,2016-03,1.281B,471.00M,1.752B,,-619.00M,-619.00M,-2.00M,-2.00M,,-1.038B,-101.00M,157.00M,,2016-03,-950.00M,-22.00M,8.124B,,2016-03,,3.012B,-621.00M,,2016-03,AOR,Restated
2015-12,1.733B,,,141.00M,141.00M,772.00M,772.00M,-108.00M,0.00,87.00M,85.00M,119.00M,1.092B,330.00M,107.00M,-269.00M,,,,1.26B,,,2015-12,-1.295B,23.00M,23.00M,,-61.00M,-928.00M,-2.00M,,2015-12,2.954B,-1.388B,1.566B,,-1.801B,-1.801B,-2.00M,-2.00M,,-1.032B,-262.00M,-1.354B,,2015-12,472.00M,-74.00M,9.096B,,2015-12,,1.607B,-1.803B,,2015-12,AOR,Restated
