,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-09,1.786B,1.786B,546.00M,1.24B,424.00M,112.00M,40.00M,0.00,-4.00M,62.00M,1.00M,-61.00M,576.00M,664.00M,1.00M,62.00M,-61.00M,-6.00M,-61.00M,597.00M,118.00M,479.00M,0.00,479.00M,484.61M,770.00M,111.00M,659.00M,,1.01,1.022,1.01,,1.00,1.012,1.00,,475.50M,478.50M,0.20,,AOR,
2020-06,1.548B,1.548B,451.00M,1.097B,393.00M,111.00M,40.00M,4.00M,-14.00M,58.00M,2.00M,-56.00M,544.00M,553.00M,2.00M,58.00M,-56.00M,-15.00M,-56.00M,482.00M,106.00M,376.00M,1.00M,377.00M,392.60M,651.00M,111.00M,540.00M,,0.79,0.8228,0.79,,0.79,0.8226,0.79,,475.30M,478.10M,0.20,,AOR,
2020-03,1.534B,1.534B,459.00M,1.075B,389.00M,107.00M,40.00M,,8.00M,53.00M,6.00M,-47.00M,536.00M,539.00M,6.00M,53.00M,-47.00M,5.00M,-47.00M,497.00M,74.00M,423.00M,,423.00M,420.45M,660.00M,110.00M,550.00M,,0.89,0.8846,0.89,,0.88,0.8747,0.88,,475.60M,479.00M,0.20,,AOR,
2019-12,1.674B,1.674B,530.00M,1.144B,472.00M,132.00M,40.00M,,-18.00M,56.00M,8.00M,-48.00M,644.00M,500.00M,8.00M,56.00M,-48.00M,-15.00M,-48.00M,437.00M,53.00M,384.00M,0.00,384.00M,401.57M,602.00M,109.00M,493.00M,,0.81,0.8469,0.81,,0.80,0.8366,0.80,,476.41M,480.25M,0.164,,AOR,
2019-09,1.584B,1.584B,479.00M,1.105B,391.00M,112.00M,38.00M,0.00,14.00M,56.00M,10.00M,-46.00M,541.00M,564.00M,10.00M,56.00M,-46.00M,10.00M,-46.00M,528.00M,95.00M,433.00M,0.00,433.00M,427.26M,691.00M,107.00M,584.00M,,0.91,0.8980,0.91,,0.90,0.8881,0.90,,477.80M,481.50M,0.164,,AOR,Restated
2019-06,1.547B,1.547B,465.00M,1.082B,406.00M,111.00M,39.00M,,-22.00M,55.00M,9.00M,-46.00M,556.00M,526.00M,9.00M,55.00M,-46.00M,-25.00M,-46.00M,455.00M,84.00M,371.00M,0.00,371.00M,394.64M,608.00M,98.00M,510.00M,,0.77,0.8194,0.77,,0.77,0.8190,0.77,,478.80M,482.30M,0.164,,AOR,Restated
2019-03,1.455B,1.455B,518.00M,937.00M,369.00M,102.00M,38.00M,,-5.00M,56.00M,10.00M,-46.00M,509.00M,428.00M,10.00M,56.00M,-46.00M,-1.00M,-46.00M,381.00M,69.00M,312.00M,,312.00M,316.10M,535.00M,98.00M,437.00M,,0.65,0.6585,0.65,,0.65,0.6585,0.65,,479.60M,483.10M,0.164,,AOR,Restated
2018-12,1.564B,1.564B,544.00M,1.02B,420.00M,125.00M,39.00M,,28.00M,59.00M,11.00M,-48.00M,584.00M,436.00M,11.00M,59.00M,-48.00M,30.00M,-48.00M,418.00M,73.00M,345.00M,0.00,345.00M,326.02M,578.00M,101.00M,477.00M,,0.72,0.6805,0.72,,0.71,0.6708,0.71,,480.55M,484.49M,0.126,,AOR,Restated
2018-09,1.48B,1.48B,473.00M,1.007B,367.00M,108.00M,32.00M,,-49.00M,54.00M,6.00M,-48.00M,507.00M,500.00M,6.00M,54.00M,-48.00M,-34.00M,-48.00M,418.00M,71.00M,347.00M,0.00,347.00M,395.14M,556.00M,84.00M,472.00M,,0.72,0.8199,0.72,,0.71,0.8091,0.71,,482.00M,485.80M,0.126,,AOR,Restated
2018-06,1.415B,1.415B,447.00M,968.00M,359.00M,102.00M,23.00M,,-5.00M,46.00M,8.00M,-38.00M,484.00M,484.00M,8.00M,46.00M,-38.00M,-9.00M,-38.00M,437.00M,55.00M,382.00M,2.00M,384.00M,396.24M,546.00M,63.00M,483.00M,,0.79,0.8153,0.79,,0.79,0.8151,0.79,,483.80M,487.50M,0.126,,AOR,Restated
