,NetIncome,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,479.00M,-1.00M,111.00M,111.00M,-2.00M,3.00M,14.00M,8.00M,-2.00M,-61.00M,12.00M,-108.00M,107.00M,-22.00M,-74.00M,562.00M,,-125.00M,,,-8.00M,-30.00M,-20.00M,1.00M,-174.00M,,0.00,0.00,0.00,0.00,0.00,-95.00M,-95.00M,2.00M,0.00,-93.00M,,3.353B,295.00M,6.00M,3.654B,,0.00,,0.00,214.00M,94.00M,,AOR,
2020-06,376.00M,-1.00M,111.00M,111.00M,-29.00M,9.00M,16.00M,-4.00M,-38.00M,-136.00M,72.00M,23.00M,-28.00M,48.00M,-59.00M,438.00M,,-90.00M,,,,-72.00M,-4.00M,2.00M,-164.00M,,1.24B,1.00M,1.241B,0.00,0.00,-95.00M,-95.00M,4.00M,-9.00M,1.141B,,1.951B,1.415B,-13.00M,3.353B,,1.24B,,0.00,69.00M,28.00M,,AOR,
2020-03,423.00M,-17.00M,110.00M,110.00M,-9.00M,,16.00M,1.00M,109.00M,-97.00M,-35.00M,-65.00M,-128.00M,87.00M,-129.00M,408.00M,,-94.00M,,,,-6.00M,24.00M,19.00M,-57.00M,,,,,-250.00M,-250.00M,-95.00M,-95.00M,17.00M,,-328.00M,,1.934B,23.00M,-6.00M,1.951B,,,,-250.00M,22.00M,95.00M,,AOR,
2019-12,384.00M,0.00,109.00M,109.00M,-49.00M,1.00M,16.00M,0.00,-51.00M,-1.00M,18.00M,-12.00M,159.00M,-16.00M,97.00M,582.00M,,-166.00M,,,-37.00M,-58.00M,49.00M,-1.00M,-213.00M,,,0.00,0.00,-176.00M,-176.00M,-79.00M,-79.00M,-2.00M,7.00M,-250.00M,,1.815B,119.00M,0.00,1.934B,,,,-176.00M,125.00M,27.00M,,AOR,
2019-09,433.00M,-20.00M,107.00M,107.00M,-8.00M,5.00M,16.00M,-10.00M,-47.00M,-53.00M,-6.00M,-4.00M,51.00M,27.00M,-32.00M,506.00M,,-128.00M,,,37.00M,-137.00M,13.00M,6.00M,-209.00M,,0.00,0.00,0.00,-150.00M,-150.00M,-78.00M,-78.00M,-3.00M,-1.00M,-232.00M,,1.755B,65.00M,-5.00M,1.815B,,0.00,,-150.00M,81.00M,97.00M,,AOR,Restated
2019-06,371.00M,,98.00M,98.00M,-6.00M,0.00,17.00M,0.00,-46.00M,-67.00M,57.00M,-59.00M,-16.00M,-46.00M,-177.00M,318.00M,,-103.00M,,,,0.00,40.00M,4.00M,-59.00M,,0.00,0.00,0.00,-150.00M,-150.00M,-78.00M,-78.00M,2.00M,0.00,-226.00M,,1.728B,33.00M,-6.00M,1.755B,,0.00,9.00M,-150.00M,183.00M,27.00M,,AOR,Restated
2019-03,312.00M,,98.00M,98.00M,-16.00M,1.00M,18.00M,1.00M,75.00M,17.00M,-79.00M,24.00M,-103.00M,27.00M,-39.00M,389.00M,,-63.00M,,,,0.00,36.00M,4.00M,-23.00M,,,-9.00M,-9.00M,-150.00M,-150.00M,-79.00M,-79.00M,3.00M,-8.00M,-243.00M,,1.602B,123.00M,3.00M,1.728B,,,-9.00M,-150.00M,29.00M,96.00M,,AOR,Restated
2018-12,345.00M,,101.00M,101.00M,43.00M,0.00,17.00M,4.00M,-104.00M,32.00M,76.00M,35.00M,87.00M,-27.00M,99.00M,584.00M,,-138.00M,,,,-4.00M,28.00M,40.00M,-74.00M,,0.00,8.00M,8.00M,-150.00M,-150.00M,-60.00M,-60.00M,-14.00M,19.00M,-197.00M,,1.286B,313.00M,3.00M,1.602B,,0.00,,-150.00M,46.00M,24.00M,,AOR,Restated
2018-09,347.00M,,84.00M,84.00M,0.00,-3.00M,14.00M,-27.00M,46.00M,52.00M,-11.00M,-14.00M,44.00M,6.00M,123.00M,550.00M,,-74.00M,,126.00M,,-1.994B,0.00,4.00M,-2.064B,,1.485B,0.00,1.485B,-143.00M,-143.00M,-61.00M,-61.00M,8.00M,-26.00M,1.263B,,1.558B,-251.00M,-21.00M,1.286B,,1.485B,,-143.00M,69.00M,70.00M,,AOR,Restated
2018-06,382.00M,,63.00M,63.00M,-14.00M,5.00M,11.00M,8.00M,-69.00M,10.00M,18.00M,-61.00M,-20.00M,-75.00M,-197.00M,267.00M,,-73.00M,,-73.00M,,,0.00,-3.00M,-76.00M,,,0.00,0.00,-215.00M,-215.00M,-60.00M,-60.00M,4.00M,0.00,-271.00M,,1.654B,-80.00M,-16.00M,1.558B,,,,-215.00M,179.00M,26.00M,,AOR,Restated
2018-03,350.00M,,60.00M,60.00M,-141.00M,2.00M,11.00M,4.00M,60.00M,-33.00M,-46.00M,-2.00M,-55.00M,163.00M,87.00M,389.00M,,-53.00M,,-53.00M,,,0.00,8.00M,-45.00M,,,0.00,0.00,-190.00M,-190.00M,-62.00M,-62.00M,2.00M,-12.00M,-262.00M,,1.564B,82.00M,8.00M,1.654B,,,,-190.00M,42.00M,70.00M,,AOR,Restated
2017-12,80.00M,9.00M,63.00M,63.00M,130.00M,2.00M,11.00M,0.00,8.00M,54.00M,46.00M,116.00M,69.00M,12.00M,305.00M,608.00M,,-83.00M,,141.00M,,0.00,,29.00M,-54.00M,,-750.00M,0.00,-750.00M,-125.00M,-125.00M,-51.00M,-51.00M,-20.00M,-21.00M,-967.00M,,1.981B,-413.00M,-4.00M,1.564B,,0.00,,-125.00M,89.00M,29.00M,,AOR,Restated
2017-09,296.00M,0.00,58.00M,58.00M,-16.00M,1.00M,11.00M,-9.00M,-17.00M,11.00M,10.00M,-26.00M,40.00M,52.00M,70.00M,439.00M,,-48.00M,,-48.00M,,-79.00M,,-1.00M,-128.00M,,1.231B,-100.00M,1.131B,-125.00M,-125.00M,-52.00M,-52.00M,2.00M,0.00,956.00M,,705.00M,1.267B,9.00M,1.981B,,1.131B,,-125.00M,110.00M,56.00M,,AOR,Restated
2017-06,247.00M,2.00M,59.00M,59.00M,-11.00M,,11.00M,18.00M,-19.00M,6.00M,-29.00M,-93.00M,0.00,-13.00M,-148.00M,180.00M,,-51.00M,,-51.00M,,0.00,,11.00M,-40.00M,,,100.00M,100.00M,-125.00M,-125.00M,-51.00M,-51.00M,12.00M,0.00,-64.00M,,629.00M,76.00M,0.00,705.00M,,100.00M,,-125.00M,219.00M,26.00M,,AOR,Restated
2017-03,239.00M,,62.00M,62.00M,24.00M,0.00,11.00M,4.00M,-22.00M,-52.00M,-37.00M,-13.00M,-147.00M,34.00M,-237.00M,119.00M,,-42.00M,,-42.00M,,-3.00M,,-3.00M,-48.00M,,,,,-125.00M,-125.00M,-52.00M,-52.00M,6.00M,-5.00M,-176.00M,,727.00M,-105.00M,7.00M,629.00M,,,,-125.00M,37.00M,56.00M,,AOR,Restated
2016-12,154.00M,1.00M,63.00M,63.00M,-3.00M,3.00M,9.00M,-8.00M,-29.00M,32.00M,28.00M,3.00M,1.00M,-38.00M,-3.00M,286.00M,,-60.00M,,156.00M,,0.00,,1.00M,-59.00M,,0.00,0.00,0.00,-75.00M,-75.00M,-47.00M,-47.00M,-24.00M,18.00M,-128.00M,,651.00M,99.00M,-23.00M,727.00M,,0.00,0.00,-75.00M,113.00M,25.00M,,AOR,Restated
2016-09,237.00M,0.00,60.00M,60.00M,-69.00M,2.00M,9.00M,39.00M,-9.00M,-46.00M,15.00M,19.00M,-37.00M,19.00M,-39.00M,239.00M,,-57.00M,,-57.00M,,-68.00M,,1.00M,-124.00M,,0.00,-4.00M,-4.00M,-74.00M,-74.00M,-47.00M,-47.00M,7.00M,-6.00M,-124.00M,,658.00M,-9.00M,2.00M,651.00M,,0.00,0.00,-74.00M,80.00M,56.00M,,AOR,Restated
2016-06,224.00M,6.00M,60.00M,60.00M,42.00M,,10.00M,-13.00M,32.00M,-84.00M,13.00M,-36.00M,-61.00M,-75.00M,-211.00M,137.00M,,-54.00M,,-54.00M,,-8.00M,,13.00M,-49.00M,,0.00,0.00,0.00,-75.00M,-75.00M,-47.00M,-47.00M,14.00M,0.00,-108.00M,,675.00M,-20.00M,3.00M,658.00M,,0.00,0.00,-75.00M,166.00M,26.00M,,AOR,Restated
2016-03,204.00M,-33.00M,57.00M,57.00M,-25.00M,,9.00M,4.00M,21.00M,-3.00M,-84.00M,-36.00M,-193.00M,114.00M,-181.00M,51.00M,,-45.00M,,-45.00M,,-12.00M,,75.00M,18.00M,,-400.00M,-1.00M,-401.00M,-76.00M,-76.00M,-47.00M,-47.00M,3.00M,-22.00M,-543.00M,,1.154B,-474.00M,-5.00M,675.00M,,,-400.00M,-76.00M,49.00M,58.00M,,AOR,Restated
