,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-09,3.654B,,3.654B,1.012B,,1.012B,223.00M,579.00M,824.00M,1.626B,,,465.00M,6.757B,,,,,4.187B,,4.187B,-1.894B,2.293B,2.69B,1.794B,4.484B,97.00M,94.00M,6.968B,13.72B,,357.00M,0.00,145.00M,,502.00M,516.00M,1.018B,1.101B,1.101B,1.101B,67.00M,2.40B,6.595B,167.00M,6.762B,410.00M,410.00M,5.00M,283.00M,7.718B,10.12B,,5.00M,5.526B,1.04B,2.234B,-735.00M,3.602B,,AOR,
2020-06,3.353B,,3.353B,984.00M,,984.00M,224.00M,570.00M,790.00M,1.584B,0.00,,364.00M,6.285B,,,,,4.01B,,4.01B,-1.818B,2.192B,2.629B,1.783B,4.412B,88.00M,92.00M,6.784B,13.07B,,335.00M,95.00M,170.00M,,600.00M,475.00M,1.075B,501.00M,501.00M,501.00M,65.00M,1.811B,7.194B,155.00M,7.349B,395.00M,395.00M,5.00M,271.00M,8.271B,10.08B,,5.00M,5.048B,1.03B,2.245B,-856.00M,2.982B,,AOR,
2020-03,1.951B,,1.951B,965.00M,,965.00M,207.00M,543.00M,731.00M,1.481B,,,375.00M,4.772B,,,,,3.928B,,3.928B,-1.769B,2.159B,2.583B,1.821B,4.404B,88.00M,105.00M,6.756B,11.53B,,265.00M,95.00M,123.00M,,483.00M,476.00M,959.00M,500.00M,500.00M,500.00M,50.00M,1.721B,5.963B,159.00M,6.122B,421.00M,421.00M,,251.00M,7.054B,8.775B,,5.00M,4.764B,1.017B,2.252B,-781.00M,2.753B,,AOR,
2019-12,1.932B,0.00,1.932B,1.086B,,1.086B,198.00M,511.00M,701.00M,1.41B,2.00M,,318.00M,4.748B,0.00,22.00M,983.00M,2.119B,189.00M,553.00M,3.866B,-1.737B,2.129B,2.592B,1.89B,4.482B,88.00M,98.00M,6.797B,11.54B,,301.00M,95.00M,36.00M,,432.00M,543.00M,975.00M,500.00M,500.00M,500.00M,55.00M,1.806B,5.947B,164.00M,6.111B,434.00M,434.00M,,229.00M,7.031B,8.837B,,5.00M,4.427B,1.044B,2.042B,-726.00M,2.708B,,AOR,
2019-09,1.811B,12.00M,1.823B,1.03B,,1.03B,202.00M,524.00M,713.00M,1.439B,4.00M,,322.00M,4.618B,,,,,3.731B,,3.731B,-1.725B,2.006B,2.55B,1.935B,4.485B,72.00M,91.00M,6.654B,11.27B,,284.00M,0.00,52.00M,,336.00M,451.00M,787.00M,,,,48.00M,1.052B,6.447B,169.00M,6.616B,473.00M,473.00M,,198.00M,7.542B,8.594B,,5.00M,4.217B,1.031B,1.876B,-699.00M,2.678B,,AOR,Restated
2019-06,1.751B,25.00M,1.776B,994.00M,,994.00M,193.00M,527.00M,684.00M,1.404B,4.00M,,306.00M,4.484B,,,,,3.619B,,3.619B,-1.685B,1.934B,2.505B,1.916B,4.421B,60.00M,87.00M,6.502B,10.99B,,290.00M,78.00M,31.00M,,399.00M,443.00M,842.00M,,,,55.00M,1.075B,6.446B,169.00M,6.615B,446.00M,446.00M,,188.00M,7.50B,8.575B,,5.00M,3.788B,1.019B,1.732B,-669.00M,2.411B,,AOR,Restated
2019-03,1.728B,65.00M,1.793B,970.00M,,970.00M,183.00M,523.00M,655.00M,1.361B,,,255.00M,4.379B,,,,,3.483B,,3.483B,-1.642B,1.841B,2.522B,1.989B,4.511B,65.00M,87.00M,6.504B,10.88B,,235.00M,79.00M,65.00M,,379.00M,448.00M,827.00M,,,,55.00M,1.082B,6.444B,134.00M,6.578B,464.00M,464.00M,,181.00M,7.484B,8.566B,,5.00M,3.495B,1.008B,1.593B,-598.00M,2.317B,,AOR,Restated
2018-12,1.597B,99.00M,1.696B,1.036B,,1.036B,166.00M,481.00M,744.00M,1.391B,5.00M,,271.00M,4.399B,0.00,22.00M,929.00M,1.852B,,454.00M,3.257B,-1.599B,1.658B,2.519B,2.046B,4.565B,61.00M,94.00M,6.378B,10.78B,,313.00M,79.00M,35.00M,,427.00M,487.00M,914.00M,9.00M,9.00M,9.00M,34.00M,1.223B,6.443B,0.00,6.443B,474.00M,474.00M,,187.00M,7.369B,8.592B,,5.00M,3.27B,1.026B,1.487B,-629.00M,2.185B,,AOR,Restated
2018-09,1.286B,105.00M,1.391B,929.00M,,929.00M,164.00M,492.00M,785.00M,1.441B,,,315.00M,4.076B,,,,,,,3.115B,-1.559B,1.556B,2.537B,2.12B,4.657B,73.00M,97.00M,6.383B,10.46B,,238.00M,0.00,75.00M,,313.00M,425.00M,738.00M,,,,39.00M,1.003B,6.441B,,6.441B,446.00M,446.00M,0.00,201.00M,7.338B,8.341B,,5.00M,3.067B,1.01B,1.345B,-619.00M,2.118B,,AOR,Restated
2018-06,1.558B,,1.558B,973.00M,,973.00M,160.00M,492.00M,768.00M,1.42B,,,288.00M,4.239B,,,,,,,2.992B,-1.522B,1.47B,1.514B,1.225B,2.739B,80.00M,75.00M,4.364B,8.603B,,230.00M,61.00M,53.00M,,344.00M,434.00M,778.00M,,,,29.00M,967.00M,4.955B,,4.955B,229.00M,229.00M,12.00M,204.00M,5.654B,6.621B,,5.00M,2.722B,1.001B,1.215B,-543.00M,1.97B,,AOR,Restated
