,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,SECFilingLinks,Restated
2020-09,256.00M,,,-6.00M,,,42.00M,42.00M,9.00M,0.00,10.00M,10.00M,-32.00M,-78.00M,8.00M,84.00M,,,14.00M,-4.00M,311.00M,2020-09,-59.00M,,,,,9.00M,-50.00M,,-931.00M,-15.00M,-946.00M,,0.00,0.00,-82.00M,-82.00M,19.00M,-2.00M,-1.011B,,1.603B,-750.00M,6.00M,859.00M,2020-09,,83.00M,-1.029B,0.00,,2020-09,
2020-06,129.00M,,,107.00M,,,50.00M,50.00M,7.00M,0.00,17.00M,17.00M,104.00M,-163.00M,-11.00M,-28.00M,,,12.00M,-86.00M,232.00M,2020-06,-43.00M,,,,,13.00M,-30.00M,,-2.00M,-2.00M,-4.00M,,-1.00M,-1.00M,-86.00M,-86.00M,9.00M,-9.00M,-91.00M,,1.492B,111.00M,0.00,1.603B,2020-06,,3.00M,-7.00M,-1.00M,,2020-06,
2020-03,185.00M,,,3.00M,,,45.00M,45.00M,-7.00M,177.00M,9.00M,186.00M,-217.00M,19.00M,-26.00M,57.00M,,,-7.00M,-174.00M,244.00M,2020-03,-50.00M,,,,,-2.00M,-52.00M,,1.155B,-36.00M,1.119B,,-100.00M,-100.00M,-78.00M,-78.00M,19.00M,-5.00M,955.00M,,360.00M,1.147B,-15.00M,1.492B,2020-03,,1.509B,-390.00M,-100.00M,,2020-03,
2019-12,117.00M,,,-1.00M,,,58.00M,58.00M,-15.00M,123.00M,8.00M,131.00M,77.00M,-124.00M,-18.00M,48.00M,,,-6.00M,-23.00M,272.00M,2019-12,-58.00M,,,,,-1.00M,-57.00M,,6.00M,1.00M,7.00M,,-100.00M,-100.00M,-86.00M,-86.00M,30.00M,1.00M,-148.00M,,286.00M,67.00M,7.00M,360.00M,2019-12,,-2.00M,9.00M,-100.00M,,2019-12,
2019-09,244.00M,,,0.00,,,58.00M,58.00M,7.00M,0.00,9.00M,9.00M,-1.00M,6.00M,7.00M,-9.00M,,,-2.00M,1.00M,320.00M,2019-09,-56.00M,,,,,2.00M,-54.00M,,-14.00M,1.00M,-13.00M,,-200.00M,-200.00M,-79.00M,-79.00M,3.00M,0.00,-289.00M,,315.00M,-23.00M,-6.00M,286.00M,2019-09,,3.00M,-16.00M,-200.00M,,2019-09,Restated
2019-06,272.00M,,,-3.00M,,,56.00M,56.00M,16.00M,0.00,18.00M,18.00M,-16.00M,-8.00M,8.00M,-15.00M,,,-7.00M,-38.00M,323.00M,2019-06,-47.00M,,,,,8.00M,-39.00M,,-20.00M,0.00,-20.00M,,-265.00M,-265.00M,-87.00M,-87.00M,13.00M,-6.00M,-365.00M,,392.00M,-81.00M,4.00M,315.00M,2019-06,,9.00M,-29.00M,-265.00M,,2019-06,Restated
2019-03,262.00M,,,-2.00M,,,57.00M,57.00M,-4.00M,0.00,5.00M,5.00M,-102.00M,20.00M,-30.00M,-79.00M,,,-4.00M,-195.00M,127.00M,2019-03,-60.00M,,,,,8.00M,-52.00M,,-14.00M,3.00M,-11.00M,,-135.00M,-135.00M,-76.00M,-76.00M,3.00M,-2.00M,-221.00M,,538.00M,-146.00M,0.00,392.00M,2019-03,,10.00M,-21.00M,-135.00M,,2019-03,Restated
2018-12,219.00M,,-18.00M,-2.00M,,,65.00M,65.00M,-3.00M,14.00M,11.00M,25.00M,93.00M,-76.00M,11.00M,-4.00M,,,-14.00M,10.00M,314.00M,2018-12,-70.00M,,,-1.00M,,10.00M,-61.00M,,-7.00M,-1.00M,-8.00M,,-142.00M,-142.00M,-84.00M,-84.00M,2.00M,-1.00M,-233.00M,,517.00M,20.00M,1.00M,538.00M,2018-12,,2.00M,-10.00M,-142.00M,,2018-12,Restated
2018-09,115.00M,,3.00M,-5.00M,,,64.00M,64.00M,7.00M,142.00M,8.00M,150.00M,-24.00M,-8.00M,12.00M,34.00M,,,0.00,14.00M,348.00M,2018-09,-66.00M,,103.00M,2.00M,,33.00M,-31.00M,,-53.00M,-4.00M,-57.00M,,-82.00M,-82.00M,-77.00M,-77.00M,92.00M,18.00M,-106.00M,,313.00M,211.00M,-7.00M,517.00M,2018-09,,2.00M,-59.00M,-82.00M,,2018-09,Restated
2018-06,248.00M,,4.00M,-4.00M,,,64.00M,64.00M,5.00M,,16.00M,16.00M,-54.00M,-48.00M,8.00M,-84.00M,,103.00M,-6.00M,-81.00M,248.00M,2018-06,-54.00M,,-54.00M,-6.00M,,17.00M,-43.00M,,-11.00M,-80.00M,-91.00M,,-28.00M,-28.00M,-83.00M,-83.00M,28.00M,-11.00M,-185.00M,,302.00M,20.00M,-9.00M,313.00M,2018-06,,-78.00M,-13.00M,-28.00M,,2018-06,Restated
