,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,5.586B,5.586B,58.00M,2.323B,2.381B,54.00M,172.00M,-308.00M,2.299B,0.00,3.366B,1.641B,311.00M,1.33B,,-1.00M,101.00M,1.329B,1.579B,226.00M,1.886B,,0.91,,,,1.095,0.91,,0.90,,,,1.083,0.90,,1.348B,1.362B,0.45,,AOR,
2020-09,5.513B,5.513B,75.00M,2.279B,2.354B,56.00M,170.00M,-236.00M,2.344B,104.00M,3.362B,1.396B,255.00M,1.141B,,-3.00M,70.00M,1.138B,1.331B,388.00M,1.657B,,0.79,,,,0.9330,0.79,,0.79,,,,0.9320,0.79,,1.348B,1.358B,0.45,,AOR,
2020-06,5.815B,5.815B,56.00M,2.224B,2.28B,77.00M,178.00M,-444.00M,2.091B,300.00M,3.448B,1.149B,191.00M,958.00M,,-3.00M,53.00M,955.00M,1.325B,420.00M,1.589B,,0.67,,,,0.9448,0.67,,0.67,,,,0.9431,0.67,,1.348B,1.356B,0.45,,AOR,
2020-03,5.549B,5.549B,84.00M,2.182B,2.266B,71.00M,165.00M,-107.00M,2.395B,-2.00M,3.65B,1.287B,224.00M,1.063B,,-3.00M,74.00M,1.06B,1.148B,399.00M,2.063B,,0.73,,,,0.7957,0.73,,0.73,,,,0.7951,0.73,,1.344B,1.358B,0.45,,AOR,
2019-12,3.583B,3.583B,45.00M,1.583B,1.628B,43.00M,71.00M,-223.00M,1.519B,-116.00M,2.227B,879.00M,153.00M,726.00M,,-5.00M,19.00M,721.00M,905.18M,213.00M,1.464B,,0.76,,,,0.9593,0.76,,0.75,,,,0.9468,0.75,,924.13M,936.10M,0.45,,AOR,
2019-09,2.977B,2.977B,36.00M,1.238B,1.274B,35.00M,29.00M,-34.00M,1.304B,0.00,1.70B,1.046B,218.00M,828.00M,,-3.00M,90.00M,825.00M,851.93M,141.00M,1.564B,,0.96,,,,0.9951,0.96,,0.95,,,,0.9847,0.95,,766.17M,775.79M,0.45,,AOR,Restated
2019-06,3.012B,3.012B,29.00M,1.191B,1.22B,29.00M,32.00M,-23.00M,1.258B,0.00,1.69B,1.119B,234.00M,885.00M,,1.00M,44.00M,886.00M,904.19M,139.00M,1.635B,,1.10,,,,1.124,1.10,,1.09,,,,1.113,1.09,,765.96M,774.60M,0.405,,AOR,Restated
2019-03,2.873B,2.873B,27.00M,1.159B,1.186B,29.00M,32.00M,-80.00M,1.167B,0.00,1.696B,975.00M,177.00M,798.00M,,-6.00M,43.00M,792.00M,857.44M,137.00M,1.452B,,0.98,,,,1.066,0.98,,0.97,,,,1.055,0.97,,764.14M,774.07M,0.405,,AOR,Restated
2018-12,2.915B,2.915B,,953.00M,1.055B,,34.00M,-76.00M,1.133B,2.00M,1.705B,1.01B,205.00M,805.00M,,-7.00M,44.00M,798.00M,858.57M,142.00M,1.441B,,0.99,,,,1.069,0.99,,0.97,,,,1.048,0.97,,764.93M,775.52M,0.405,,AOR,Restated
2018-09,2.898B,2.898B,,1.244B,1.244B,,33.00M,-18.00M,1.259B,0.00,1.687B,1.049B,210.00M,839.00M,,-7.00M,43.00M,832.00M,846.40M,139.00M,1.431B,,1.02,,,,1.039,1.02,,1.01,,,,1.028,1.01,,771.56M,781.87M,0.405,,AOR,Restated
