,NetIncome,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-12,106.17M,0.00,0.00,-94.10M,-107.68M,-201.78M,-201.78M,-12.55M,,-40.88M,-40.02M,839.03M,-165.59M,96.91M,10.01M,-0.616M,,,-48.51M,-167.94M,482.03M,,-33.70M,,-33.70M,-9.019M,,14.17M,-28.54M,,-51.59M,-8.298M,-59.88M,,0.00,0.00,-93.23M,-93.23M,14.76M,-6.217M,-144.57M,,1.132B,308.92M,8.35M,1.450B,,,76.60M,-136.81M,0.00,-66.01M,-123.60M,,AOR,
2020-09,219.98M,0.00,0.00,37.51M,36.17M,73.68M,73.68M,23.64M,,0.00,13.88M,9.55M,-556.38M,28.45M,30.18M,345.03M,,,47.95M,-104.77M,235.97M,,-28.05M,,-28.05M,0.00,,11.14M,-16.90M,,-36.55M,4.161M,-32.39M,,0.00,0.00,-93.18M,-93.18M,0.00,-2.38M,-127.95M,,1.038B,91.12M,3.269M,1.132B,,,12.58M,-49.13M,0.00,35.56M,42.14M,,AOR,
2020-06,-32.90M,0.00,0.00,32.92M,34.70M,67.62M,67.62M,-7.959M,,0.00,15.48M,-10.07M,68.29M,-111.42M,-17.22M,-28.63M,,,23.53M,-65.46M,-33.29M,,-33.18M,,-33.18M,0.00,,8.881M,-24.30M,,-42.24M,-3.056M,-45.30M,,0.00,0.00,-93.08M,-93.08M,0.00,-2.625M,-141.00M,,1.238B,-198.59M,-1.28M,1.038B,,,5.764M,-46.58M,0.00,10.53M,67.98M,,AOR,
2020-03,-67.81M,,,23.67M,36.81M,60.48M,60.48M,-3.127M,,40.88M,10.65M,-27.48M,653.69M,-13.93M,-22.96M,-315.78M,,,-22.97M,278.04M,291.63M,,-30.83M,,-30.83M,-4.404B,,4.271M,-4.430B,,967.50M,-1.424M,966.08M,,-47.40M,-47.40M,-93.16M,-93.16M,1.83M,-7.879M,819.47M,,4.580B,-3.319B,-23.09M,1.238B,,,1.018B,-51.61M,-47.40M,19.92M,13.48M,,AOR,
2019-12,267.34M,0.185M,0.185M,32.51M,11.81M,44.33M,44.33M,13.02M,,0.00,3.257M,-30.04M,24.56M,149.84M,15.67M,-174.50M,,,-50.16M,-34.59M,263.49M,,-42.84M,,-42.84M,-8.761M,,-2.888M,25.50M,,2.355B,-7.403M,2.348B,,-1.25M,973.94M,-85.84M,-85.84M,2.049M,-9.941M,3.228B,,1.060B,3.517B,3.186M,4.580B,,,2.355B,-8.828M,-1.25M,38.23M,12.60M,,AOR,
2019-09,212.95M,0.00,0.00,38.61M,11.81M,50.42M,50.42M,-12.74M,,0.00,8.893M,65.18M,-667.57M,-34.83M,35.51M,371.35M,,,24.12M,-271.41M,53.29M,,-32.60M,,-32.60M,0.00,,6.621M,-25.98M,,0.00,-4.52M,-4.52M,,-1.504M,-1.504M,-85.85M,-85.85M,3.958M,-22.71M,-110.62M,,1.151B,-83.32M,-7.294M,1.060B,,,0.00,0.00,-1.504M,24.90M,28.79M,,AOR,Restated
2019-06,13.43M,110.78M,110.78M,35.38M,11.82M,47.20M,47.20M,-27.03M,,0.00,10.61M,-22.92M,-127.33M,-69.54M,0.861M,124.83M,,,10.90M,-60.28M,71.78M,,-32.99M,,-32.99M,0.00,,-0.481M,-33.48M,,0.00,-0.324M,-0.324M,,-11.15M,-11.15M,-85.63M,-85.63M,23.44M,-12.51M,-86.18M,,1.197B,-47.87M,2.278M,1.151B,,,-3.419M,0.00,-11.15M,27.00M,12.23M,,AOR,Restated
2019-03,26.73M,,,27.03M,11.82M,38.84M,38.84M,11.80M,,0.00,5.285M,-14.66M,558.89M,-50.11M,-33.93M,-273.96M,,,-4.391M,196.50M,264.49M,,-25.20M,,-25.20M,0.00,,-1.80M,-27.00M,,0.00,3.419M,3.419M,,-47.48M,-47.48M,-79.27M,-79.27M,2.335M,-99.38M,-220.38M,,1.182B,17.11M,-2.851M,1.197B,,,3.419M,0.00,-47.48M,13.02M,28.58M,,AOR,Restated
2018-12,8.766M,0.00,0.00,34.34M,8.83M,43.17M,43.17M,-3.905M,,,-7.931M,-32.53M,189.36M,160.04M,40.08M,-8.376M,,,-34.98M,346.12M,471.25M,,-36.41M,,-36.41M,0.00,,0.813M,-35.60M,,,-10.73M,-10.73M,,-62.20M,-62.20M,-79.70M,-79.70M,1.172M,-7.095M,-158.55M,,907.11M,277.10M,-1.838M,1.182B,,,,,-62.20M,30.15M,12.66M,,AOR,Restated
2018-09,263.86M,0.00,0.00,42.62M,8.841M,51.46M,51.46M,10.65M,,,12.28M,-7.298M,-666.43M,-2.415M,35.86M,230.38M,,,5.595M,-397.01M,-66.06M,,-32.26M,,-32.26M,0.00,,5.203M,-27.06M,,,1.953M,1.953M,,-84.36M,-84.36M,-80.03M,-80.03M,8.719M,-3.606M,-157.32M,,1.159B,-250.44M,-1.528M,907.11M,,,,,-84.36M,15.16M,28.40M,,AOR,Restated
2018-06,60.30M,0.00,0.00,36.07M,4.554M,40.62M,40.62M,-1.402M,,,13.25M,-62.80M,-151.19M,-118.32M,-9.323M,134.31M,,,17.60M,-126.92M,-76.94M,,-43.52M,,-43.52M,-155.45M,,1.377M,-197.59M,,,0.116M,0.116M,,-65.37M,-65.37M,-78.75M,-78.75M,0.59M,-2.093M,-145.50M,,1.599B,-420.03M,-19.84M,1.159B,,,,,-65.37M,30.06M,12.50M,,AOR,Restated
2018-03,-112.49M,,,26.22M,6.478M,32.70M,32.70M,-16.44M,,,10.29M,-4.335M,808.37M,-76.52M,-78.54M,-221.86M,,,-23.43M,408.01M,317.74M,,-28.24M,,-28.24M,,,2.007M,-26.23M,,,-133.70M,-133.70M,,-38.13M,-38.13M,-70.78M,-70.78M,19.52M,-52.64M,-275.72M,,1.581B,15.79M,1.923M,1.599B,,,,,-38.13M,42.48M,28.70M,,AOR,Restated
2017-12,-5.298M,,,35.16M,6.564M,41.73M,41.73M,94.31M,,,18.64M,-31.02M,250.32M,197.24M,28.89M,-36.67M,,,-35.56M,404.22M,522.58M,,-32.36M,,-32.36M,0.00,,-2.12M,-34.48M,,0.00,-34.08M,-34.08M,,-39.07M,-39.07M,-70.96M,-70.96M,-0.001M,-6.806M,-150.92M,,1.245B,337.18M,-0.721M,1.581B,,,0.00,-18.42M,-39.07M,29.31M,13.73M,,AOR,Restated
2017-09,265.58M,,,42.06M,6.492M,48.55M,48.55M,6.889M,,,12.26M,-6.601M,-792.63M,-65.49M,23.71M,346.42M,,,-3.012M,-490.99M,-164.31M,,-36.19M,,-36.19M,0.00,,6.981M,-29.21M,,143.88M,1.405M,145.28M,,-93.68M,-93.68M,-71.36M,-71.36M,19.53M,-0.573M,-0.797M,,1.434B,-194.32M,5.595M,1.245B,,,493.88M,-350.00M,-93.68M,21.65M,31.61M,,AOR,Restated
2017-06,67.72M,,,38.09M,7.881M,45.97M,45.97M,-2.52M,,,14.29M,-6.923M,-168.32M,-135.68M,-20.95M,133.63M,,,26.96M,-164.36M,-45.82M,,-36.08M,,-36.08M,0.00,,-0.684M,-36.76M,,,121.59M,121.59M,,0.751M,0.751M,-71.25M,-71.25M,0.159M,-0.009M,51.24M,,1.463B,-31.34M,1.759M,1.434B,,,,,0.751M,33.22M,12.51M,,AOR,Restated
2017-03,68.60M,,,27.70M,7.881M,35.58M,35.58M,13.43M,,,10.84M,-11.67M,660.25M,-21.38M,-7.20M,-342.53M,,,5.997M,295.14M,411.93M,,-30.24M,,-30.24M,,,-0.781M,-31.02M,,,-107.34M,-107.34M,,-19.31M,-19.31M,-63.40M,-63.40M,9.743M,-31.39M,-211.70M,,1.282B,169.20M,11.59M,1.463B,,,,,-19.31M,31.57M,31.45M,,AOR,Restated
2016-12,180.60M,,,30.38M,8.69M,39.07M,39.07M,-25.75M,,,21.95M,5.262M,74.25M,202.67M,11.48M,74.94M,,,4.58M,367.92M,621.91M,,-51.26M,,-51.26M,0.00,,3.369M,-47.89M,,0.00,-5.182M,-5.182M,,-45.80M,-45.80M,-63.62M,-63.62M,4.692M,-6.575M,-116.48M,,830.37M,457.53M,-5.618M,1.282B,,,0.00,0.00,-45.80M,34.06M,13.82M,,AOR,Restated
2016-09,256.16M,,,32.24M,8.691M,40.93M,40.93M,16.39M,,,14.10M,-19.86M,-743.55M,-29.69M,56.42M,327.98M,,,-29.40M,-418.24M,-110.53M,,-37.25M,,-37.25M,-12.44M,,5.145M,-44.54M,,0.00,173.30M,173.30M,,-46.94M,-46.94M,-63.95M,-63.95M,1.127M,-3.242M,60.29M,,924.10M,-94.78M,1.052M,830.37M,,,0.00,0.00,-46.94M,15.56M,31.02M,,AOR,Restated
2016-06,49.42M,,,31.96M,8.691M,40.66M,40.66M,-0.764M,,,13.60M,-8.735M,-27.78M,-111.81M,-28.45M,61.78M,,,4.735M,-101.52M,-7.343M,,-35.17M,,-35.17M,,,16.80M,-18.37M,,,-83.61M,-83.61M,,-23.63M,-23.63M,-63.90M,-63.90M,28.24M,-5.072M,-147.98M,,1.096B,-173.69M,1.907M,924.10M,,,,,-23.63M,14.96M,12.62M,,AOR,Restated
