,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,1.450B,,1.450B,1.392B,1.392B,,,,395.63M,609.61M,,,,3.847B,,,,,,,,489.04M,3.692B,1.531B,5.223B,1.260B,6.972B,10.82B,,1.964B,,,1.964B,,1.964B,,439.20M,,439.20M,,,,2.403B,4.660B,4.660B,,,,24.43M,793.87M,5.478B,7.882B,,,,,,,,,,2.875B,,AOR,
2020-09,1.061B,,1.061B,1.438B,1.438B,,,,540.04M,648.16M,71.20M,,,3.759B,,,,,,1.024B,-546.80M,477.15M,3.644B,1.547B,5.191B,1.276B,6.944B,10.70B,,466.17M,93.18M,88.92M,648.27M,1.056B,1.704B,379.30M,379.30M,42.81M,422.12M,147.55M,147.55M,,2.316B,4.778B,4.778B,,,34.68M,22.88M,778.51M,5.579B,7.895B,,110.14M,4.192B,2.311B,3.560B,,,,-280.33M,2.774B,,AOR,
2020-06,966.12M,,966.12M,911.32M,911.32M,,,,564.17M,672.16M,71.90M,,,3.186B,,,,,,1.010B,-528.20M,482.22M,3.666B,1.559B,5.225B,1.329B,7.036B,10.22B,,335.24M,93.18M,88.40M,516.81M,848.56M,1.365B,384.98M,384.98M,42.37M,427.35M,141.65M,141.65M,,1.982B,4.803B,4.803B,,,38.14M,24.13M,771.69M,5.598B,7.580B,,110.14M,4.065B,2.297B,3.560B,,,,-308.13M,2.604B,,AOR,
2020-03,1.152B,,1.152B,963.82M,963.82M,,,,444.41M,672.39M,86.18M,,,3.319B,,,,,,969.14M,-513.20M,455.94M,3.573B,1.616B,5.188B,1.461B,7.106B,10.42B,,308.50M,,,308.50M,1.356B,1.665B,,73.85M,,73.85M,,,,1.739B,5.156B,5.156B,,,35.28M,26.04M,738.96M,5.921B,7.660B,,110.14M,4.192B,2.282B,3.560B,,,,-294.77M,2.729B,,AOR,
2019-12,4.580B,,4.580B,1.411B,1.411B,,,,446.10M,310.45M,,,,6.748B,0.00,3.22M,194.62M,493.00M,224.94M,915.78M,-533.53M,382.25M,494.58M,646.30M,1.141B,584.97M,2.108B,8.856B,,343.93M,93.07M,66.72M,503.71M,717.83M,1.222B,,0.503M,,0.503M,,0.00,,1.257B,4.046B,4.046B,,,,,556.56M,4.603B,5.860B,,110.14M,4.355B,2.276B,3.561B,,,,-184.22M,2.996B,,AOR,
2019-09,1.060B,,1.060B,1.417B,1.417B,,,,589.13M,346.69M,,,,3.413B,,,,,,868.58M,-496.70M,371.88M,485.04M,658.35M,1.143B,626.22M,2.141B,5.555B,,501.14M,,,501.14M,957.70M,1.459B,,7.903M,,7.903M,,,,1.467B,1.696B,1.696B,,,,,550.78M,2.247B,3.714B,,104.85M,4.180B,1.301B,3.560B,,,,-185.38M,1.841B,,AOR,Restated
2019-06,1.151B,,1.151B,805.29M,805.29M,,,,564.77M,309.00M,,,,2.830B,,,,,,877.37M,-490.00M,387.37M,485.76M,670.21M,1.156B,665.16M,2.209B,5.039B,,330.05M,,,330.05M,729.86M,1.060B,,12.79M,,12.79M,,,,1.073B,1.696B,1.696B,,,,,554.21M,2.250B,3.323B,,104.85M,4.053B,1.291B,3.560B,,,,-173.18M,1.716B,,AOR,Restated
2019-03,1.197B,,1.197B,638.42M,638.42M,,,,491.75M,305.06M,,,,2.632B,,,,,,879.82M,-484.20M,395.62M,485.53M,682.06M,1.168B,739.70M,2.303B,4.935B,,234.26M,,,234.26M,701.05M,935.32M,,13.41M,,13.41M,,,,948.72M,1.695B,1.695B,,,,,636.06M,2.332B,3.280B,,104.85M,4.126B,1.269B,3.563B,,,,-282.34M,1.655B,,AOR,Restated
2018-12,1.182B,,1.182B,1.188B,1.188B,,,,443.38M,268.70M,,,,3.083B,0.00,3.243M,191.10M,446.63M,78.22M,719.18M,-462.71M,256.47M,485.88M,693.84M,1.180B,744.29M,2.180B,5.263B,,333.52M,79.46M,75.97M,488.96M,598.71M,1.088B,,9.74M,,9.74M,,100.00M,,1.274B,1.695B,1.695B,,,,,539.09M,2.234B,3.509B,,104.85M,4.184B,1.275B,3.515B,,,,-294.51M,1.754B,,AOR,Restated
2018-09,907.11M,,907.11M,1.391B,1.391B,,,,610.92M,283.18M,,,,3.192B,,,,,,707.15M,-452.00M,255.15M,572.39M,732.24M,1.305B,743.11M,2.303B,5.495B,,458.81M,,,458.81M,842.81M,1.302B,,20.31M,,20.31M,,,,1.322B,1.695B,1.695B,,,,,591.40M,2.286B,3.608B,,104.85M,4.255B,1.282B,3.458B,,,,-296.74M,1.887B,,AOR,Restated
2018-06,1.159B,,1.159B,739.27M,739.27M,,,,610.25M,319.04M,,,,2.828B,,,,,,710.40M,-444.50M,265.90M,572.49M,741.08M,1.314B,706.76M,2.286B,5.114B,,339.86M,,,339.86M,692.46M,1.032B,,20.12M,,20.12M,,,,1.052B,1.694B,1.694B,,,,,600.31M,2.295B,3.347B,,104.85M,4.071B,1.264B,3.377B,,,,-295.08M,1.767B,,AOR,Restated
2018-03,1.599B,,1.599B,612.70M,612.70M,,,,517.44M,292.76M,,,,3.022B,,,,,,699.02M,-436.60M,262.42M,573.57M,210.90M,784.48M,660.34M,1.707B,4.729B,,256.43M,,,256.43M,574.48M,830.92M,,21.61M,,21.61M,,,,852.53M,1.694B,1.694B,,,,,611.21M,2.305B,3.158B,,104.85M,4.091B,1.053B,3.385B,,,,-292.40M,1.571B,,AOR,Restated
