,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported
2020-09,126.77M,,,16.19M,14.70M,30.89M,30.89M,1.866M,,9.593M,,9.593M,9.977M,18.95M,12.01M,-2.077M,,-35.39M,3.463M,,172.58M,2020-09,-28.31M,,,,0.00,-5.915M,,-34.23M,2020-09,-125.00M,-125.00M,,-0.056M,-0.056M,,13.68M,2.772M,-108.60M,,2020-09,29.75M,6.147M,374.93M,,,0.00,-125.00M,-0.056M,,2020-09,AOR
2020-06,122.93M,,,17.51M,13.50M,31.02M,31.02M,1.748M,,8.926M,,8.926M,32.95M,2.31M,50.54M,-9.663M,,-41.94M,34.19M,,198.81M,2020-06,-45.90M,,,,0.00,-16.26M,,-62.16M,2020-06,-200.00M,-200.00M,,-0.071M,-0.071M,,2.996M,4.791M,-192.28M,,2020-06,-55.63M,4.608M,339.04M,,,0.00,-200.00M,-0.071M,,2020-06,AOR
2020-03,53.56M,,,15.71M,13.48M,29.19M,29.19M,-2.525M,,9.196M,,9.196M,54.03M,-29.40M,-15.82M,-5.036M,,58.45M,62.21M,,151.64M,2020-03,-51.13M,,,,-76.66M,-2.381M,,-130.18M,2020-03,214.63M,214.63M,,-196.23M,-196.23M,,11.74M,2.767M,32.92M,,2020-03,54.38M,-0.032M,390.06M,,,315.00M,-100.37M,-196.23M,,2020-03,AOR
2019-12,200.67M,,,11.67M,13.31M,24.98M,24.98M,7.803M,,9.66M,,9.66M,-80.09M,52.12M,10.28M,-4.659M,,-28.86M,-51.21M,,191.90M,2019-12,-53.62M,,,,0.00,-3.021M,,-56.64M,2019-12,325.31M,325.31M,,-559.56M,-559.56M,,19.40M,3.709M,-211.14M,,2019-12,-75.88M,6.947M,335.72M,,,325.31M,0.00,-559.56M,,2019-12,AOR
2019-09,138.13M,,,13.46M,13.24M,26.70M,26.70M,0.185M,,9.662M,,9.662M,5.389M,-21.77M,9.946M,5.368M,,-25.22M,-26.30M,,148.39M,2019-09,-45.02M,,,,0.00,85.40M,,40.38M,2019-09,209.76M,209.76M,,-580.06M,-580.06M,,4.182M,-0.686M,-366.81M,,2019-09,-178.04M,-5.309M,404.65M,,,600.00M,-390.24M,-580.06M,,2019-09,AOR
2019-06,144.41M,,,16.70M,12.15M,28.85M,28.85M,0.19M,,9.314M,,9.314M,-6.823M,-17.76M,23.05M,-8.08M,,-46.12M,-55.74M,,127.02M,2019-06,-39.52M,,,,0.00,390.55M,,351.02M,2019-06,0.032M,0.032M,,-576.53M,-576.53M,,2.498M,2.40M,-571.60M,,2019-06,-93.55M,-3.42M,588.00M,,,0.197M,-0.165M,-576.53M,,2019-06,AOR
2019-03,108.99M,,,12.01M,12.76M,24.76M,24.76M,1.442M,,9.941M,,9.941M,59.33M,-44.44M,-33.48M,-3.547M,,56.01M,33.88M,,175.78M,2019-03,-25.67M,,,,0.00,459.70M,,434.04M,2019-03,0.086M,0.086M,,-753.10M,-753.10M,,27.63M,2.254M,-723.13M,,2019-03,-113.32M,2.006M,684.97M,,,0.166M,-0.08M,-753.10M,,2019-03,AOR
2018-12,185.15M,,,13.24M,12.36M,25.60M,25.60M,2.127M,,9.357M,,9.357M,-84.81M,22.43M,11.97M,8.645M,,19.59M,-22.18M,,181.55M,2018-12,-0.378M,,,31.49M,,457.45M,,425.58M,2018-12,-0.171M,-0.171M,,-498.46M,-498.46M,,10.05M,-4.503M,-493.08M,,2018-12,114.05M,-7.147M,796.28M,,,0.264M,-0.435M,-498.46M,,2018-12,AOR
2018-09,141.01M,,,14.12M,12.85M,26.98M,26.98M,3.27M,,9.213M,,9.213M,0.302M,-13.95M,-15.79M,-5.827M,,1.131M,-34.13M,,146.34M,2018-09,-58.87M,,,-31.49M,,110.21M,,51.34M,2018-09,-0.216M,-0.216M,,-263.50M,-263.50M,,7.532M,-0.023M,-256.21M,,2018-09,-58.54M,5.705M,689.37M,,,-0.216M,0.00,-263.50M,,2018-09,AOR
2018-06,155.68M,,,14.50M,12.69M,27.20M,27.20M,-4.063M,,9.079M,,9.079M,-3.997M,-5.776M,-43.59M,-2.215M,,-31.60M,-87.17M,,100.72M,2018-06,-20.84M,,,,,331.38M,,310.54M,2018-06,-99.86M,-99.86M,,-270.77M,-270.77M,,10.56M,-4.095M,-364.17M,,2018-06,47.09M,-21.41M,742.20M,,,0.145M,-100.00M,-270.77M,,2018-06,AOR
